date,open,max,min,close,volume,y
20040526,40.0,43.0,39.02,42.2,15960455200,[1 1]
20040527,42.89,43.3,42.0,42.7,5928897300,[0 0]
20040528,43.0,43.5,43.0,43.3,1535796700,[1 1]
20040531,42.81,42.93,41.2,42.7,408399200,[1 0]
20040601,41.6,42.6,41.6,42.6,2912167300,[0 1]
20040602,42.5,43.5,42.5,43.5,1719488300,[1 1]
20040603,43.2,45.95,43.06,45.4,1868009600,[1 0]
20040604,45.0,47.89,45.0,46.1,1226094500,[0 1]
20040607,47.0,47.0,45.9,46.1,384499400,[0 1]
20040608,46.0,46.0,44.5,44.8,946606600,[1 1]
20040609,44.0,45.55,43.8,45.25,418599300,[0 1]
20040611,44.27,46.0,44.27,46.0,30203600,[1 1]
20040614,45.0,46.9,45.0,46.78,1068584000,[1 0]
20040615,46.5,48.3,46.5,47.7,1588432200,[0 1]
20040616,47.5,47.7,46.0,47.0,363826700,[1 1]
20040617,46.3,47.05,46.3,46.3,1367409900,[1 0]
20040618,46.0,46.45,46.0,46.45,109533000,[1 1]
20040621,46.5,46.97,46.0,46.01,267637000,[1 0]
20040622,45.99,46.2,45.9,46.09,2190596000,[0 0]
20040623,46.0,46.5,45.69,46.35,489261000,[0 1]
20040624,46.0,47.5,46.0,47.5,229167200,[1 1]
20040625,47.0,47.5,47.0,47.25,611039700,[0 0]
20040628,47.3,47.5,47.0,47.5,344977300,[0 0]
20040629,47.1,48.45,47.1,48.3,1435336600,[1 0]
20040630,47.5,50.0,47.5,49.89,652214700,[1 1]
20040701,49.8,52.49,49.5,50.0,325481200,[1 1]
20040702,50.0,50.04,49.5,49.99,148896400,[0 0]
20040705,49.0,49.0,48.4,48.7,152466300,[0 0]
20040706,48.5,49.5,48.0,49.4,609782900,[0 0]
20040707,49.9,50.5,48.7,49.91,871463800,[0 1]
20040708,49.8,50.49,49.8,50.05,202860500,[1 0]
20040712,49.95,53.0,49.95,52.9,576191600,[1 1]
20040713,54.9,54.9,52.0,52.9,138645900,[1 1]
20040714,52.01,52.99,52.0,52.99,68768700,[1 1]
20040715,53.0,54.5,52.49,54.5,705334900,[1 1]
20040716,54.99,58.0,54.99,56.31,937735500,[0 1]
20040719,56.35,57.19,55.0,56.0,250978400,[0 0]
20040720,56.0,56.5,53.55,55.48,518181200,[0 1]
20040721,55.65,55.65,53.1,53.4,668738700,[1 0]
20040722,53.5,53.5,51.05,52.0,88037300,[1 0]
20040723,52.0,53.5,52.0,53.3,142466400,[0 1]
20040726,53.5,54.0,52.01,53.6,1769114000,[1 0]
20040727,54.1,54.5,53.6,54.02,514299200,[1 0]
20040728,54.95,54.98,53.7,53.7,1570729600,[0 1]
20040729,55.0,55.0,53.45,53.45,1949960400,[0 1]
20040730,54.0,54.0,51.9,52.0,773464900,[1 0]
20040802,51.5,52.19,51.0,52.0,327399600,[0 1]
20040803,52.0,52.99,52.0,52.5,610853500,[1 0]
20040817,49.1,49.25,48.4,48.5,166877500,[0 1]
20040816,48.55,49.0,48.55,49.0,89017800,[1 0]
20040903,57.62,58.15,56.35,56.35,71919000,[0 1]
20040902,59.2,59.2,57.49,57.49,315785900,[0 1]
20040901,56.55,60.0,56.29,60.0,539653300,[1 0]
20040831,54.4,56.9,54.01,56.6,769028800,[1 1]
20040830,54.0,55.0,52.0,54.5,92619100,[0 0]
20040827,52.2,54.6,52.2,53.7,431234200,[0 0]
20040826,50.21,52.2,50.2,52.2,536799800,[1 0]
20040825,49.4,51.5,49.0,50.76,164632900,[1 1]
20040824,48.45,49.7,48.45,48.52,241185100,[1 0]
20040823,48.51,48.51,48.2,48.4,580440400,[1 0]
20040820,49.25,49.25,48.65,48.66,99976900,[0 0]
20040819,49.0,49.8,49.0,49.25,493196300,[1 1]
20040818,48.6,49.05,48.6,49.05,105264200,[0 1]
20040910,54.0,54.06,52.3,53.16,26571500,[0 0]
20040909,56.9,56.9,53.8,53.8,89637300,[0 1]
20040908,57.4,57.4,55.5,55.5,210366800,[1 0]
20040906,56.5,56.5,56.0,56.0,15686300,[0 1]
20040928,58.0,58.0,57.7,57.75,1065334400,[1 1]
20040927,58.2,58.2,57.2,57.79,274381500,[0 0]
20040924,59.99,60.0,58.7,58.7,385249200,[1 1]
20040923,59.4,60.0,59.0,59.0,791400700,[1 0]
20040922,60.0,61.0,58.9,58.9,247635900,[0 1]
20040921,59.0,60.35,58.9,60.0,1057635500,[1 0]
20040920,57.5,58.7,57.5,58.7,198311800,[0 0]
20040917,56.22,57.8,56.22,57.79,369870000,[0 1]
20040916,56.94,57.0,55.11,56.22,98795000,[0 1]
20040915,58.5,58.8,55.5,57.0,292843200,[0 0]
20040914,55.5,61.0,53.7,58.5,592351300,[0 1]
20040913,53.16,53.75,52.95,53.61,217529400,[1 0]
20041011,56.3,56.8,56.0,56.35,56355000,[0 0]
20041008,56.0,56.5,55.35,55.8,93255600,[1 1]
20041007,55.6,56.0,55.0,55.05,280233800,[1 0]
20041006,57.0,57.0,55.5,56.0,70403300,[0 1]
20041005,57.0,57.5,56.5,56.7,1119772600,[1 0]
20041004,58.0,59.0,55.0,56.35,1064295300,[0 1]
20041001,57.8,59.0,57.8,57.82,706524200,[0 0]
20040930,57.5,57.8,57.5,57.8,134031200,[0 0]
20040929,57.75,57.75,57.3,57.3,367948700,[1 1]
20041021,56.5,58.8,56.5,58.5,485522700,[1 1]
20041020,56.99,56.99,55.8,56.5,16316900,[1 1]
20041019,58.5,58.5,56.99,56.99,120948800,[1 0]
20041018,56.2,58.44,56.1,58.0,206518500,[0 0]
20041015,56.0,56.8,56.0,56.69,127980700,[0 0]
20041014,56.0,56.0,55.0,55.7,279544300,[1 0]
20041013,56.01,56.7,56.0,56.5,386231700,[1 0]
20041109,58.0,60.0,58.0,59.3,308057200,[0 1]
20041108,58.0,58.0,57.5,57.65,128014100,[1 1]
20041105,58.0,58.0,57.21,57.5,595330700,[1 1]
20041104,58.0,58.0,57.0,57.69,643045400,[0 0]
20041103,57.99,59.0,57.7,58.0,433316200,[0 0]
20041101,58.0,58.1,57.98,58.0,99180900,[1 0]
20041029,58.5,58.55,58.0,58.0,598931600,[0 1]
20041028,58.49,58.5,57.9,58.15,472227600,[0 1]
