date,open,max,min,close,volume,y
20050502,0.59,0.65,0.58,0.65,2410464500,[0 1]
20050503,0.64,0.66,0.63,0.64,1018257000,[0 0]
20050504,0.65,0.68,0.61,0.66,2501001200,[0 0]
20050505,0.67,0.67,0.63,0.66,1818611800,[1 0]
20050506,0.66,0.67,0.65,0.66,1084414900,[0 0]
20050509,0.66,0.66,0.62,0.64,1660338800,[0 1]
20050510,0.64,0.64,0.61,0.62,1059381600,[1 0]
20050511,0.62,0.63,0.6,0.63,1707781600,[1 0]
20050512,0.63,0.64,0.61,0.62,1099431400,[1 1]
20050513,0.62,0.62,0.59,0.6,1577353400,[0 1]
20050516,0.6,0.61,0.56,0.57,1486426900,[1 0]
20050517,0.57,0.57,0.54,0.56,821152000,[0 0]
20050518,0.57,0.59,0.54,0.58,2295428200,[0 0]
20050519,0.58,0.6,0.57,0.6,1029429200,[0 1]
20050520,0.59,0.6,0.58,0.59,745254800,[0 1]
20050523,0.59,0.61,0.58,0.61,968659000,[0 1]
20050524,0.6,0.62,0.59,0.61,785415400,[1 1]
20050525,0.62,0.63,0.6,0.62,963192000,[1 0]
20050527,0.63,0.66,0.62,0.66,1658588800,[0 1]
20050530,0.65,0.66,0.63,0.64,987261500,[0 0]
20050531,0.64,0.66,0.63,0.65,1173812900,[1 1]
20050601,0.64,0.67,0.64,0.66,1162772200,[1 1]
20050602,0.66,0.67,0.64,0.65,2287266300,[0 0]
20050603,0.65,0.66,0.63,0.63,975918500,[1 0]
20050606,0.63,0.64,0.6,0.6,2303086800,[1 0]
20050607,0.6,0.6,0.57,0.58,1417976500,[1 0]
20050608,0.6,0.61,0.57,0.57,1225750800,[0 0]
20050609,0.57,0.59,0.56,0.56,983317100,[0 0]
20050610,0.57,0.59,0.56,0.59,783866200,[0 0]
20050613,0.59,0.6,0.58,0.58,885493400,[0 1]
20050614,0.58,0.63,0.56,0.62,2851052800,[1 1]
20050615,0.61,0.62,0.58,0.59,2651177600,[0 0]
20050616,0.61,0.62,0.59,0.6,1384148000,[1 1]
20050617,0.61,0.63,0.6,0.61,1875939100,[1 1]
20050620,0.61,0.63,0.6,0.62,1607720000,[0 1]
20050621,0.62,0.63,0.61,0.63,715631500,[0 0]
20050622,0.62,0.63,0.6,0.61,1264016300,[0 0]
20050623,0.62,0.62,0.58,0.58,1391551000,[1 1]
20050624,0.58,0.61,0.58,0.6,688995300,[0 0]
20050627,0.6,0.61,0.58,0.6,545184400,[1 0]
20050628,0.61,0.61,0.58,0.6,904971800,[0 1]
20050629,0.61,0.62,0.6,0.61,845235500,[0 1]
20050630,0.61,0.65,0.6,0.63,2085745500,[1 1]
20050701,0.63,0.65,0.62,0.64,1072110800,[0 0]
20050704,0.63,0.66,0.62,0.65,1004296400,[0 1]
20050705,0.64,0.68,0.62,0.63,3455563100,[0 1]
20050706,0.63,0.65,0.62,0.62,2339766900,[0 0]
20050707,0.62,0.68,0.61,0.65,2730866800,[1 0]
20050708,0.66,0.67,0.61,0.62,1697998400,[1 1]
