date,open,max,min,close,volume,y
20050502,0.67,0.67,0.6,0.62,17244,[1 0]
20050503,0.65,0.72,0.62,0.65,51671,[1 0]
20050504,0.64,0.72,0.63,0.64,32143,[0 1]
20050505,0.68,0.69,0.64,0.68,83844,[0 1]
20050506,0.67,0.68,0.64,0.64,29943,[0 0]
20050509,0.64,0.64,0.63,0.63,14588,[0 1]
20050510,0.65,0.67,0.61,0.67,57274,[1 1]
20050511,0.6,0.62,0.59,0.61,46746,[0 1]
20050512,0.62,0.64,0.61,0.63,37929,[1 1]
20050513,0.64,0.64,0.59,0.62,43104,[0 1]
20050516,0.62,0.62,0.57,0.59,52652,[0 1]
20050517,0.57,0.57,0.56,0.56,59201,[0 0]
20050518,0.56,0.58,0.55,0.57,53249,[0 1]
20050519,0.55,0.59,0.55,0.59,51872,[0 1]
20050520,0.58,0.6,0.56,0.6,43610,[1 0]
20050523,0.58,0.59,0.55,0.55,22940,[1 0]
20050524,0.6,0.61,0.59,0.59,44848,[1 0]
20050525,0.61,0.62,0.6,0.61,27258,[0 0]
20050527,0.62,0.65,0.59,0.64,110495,[0 0]
20050530,0.66,0.66,0.62,0.63,64628,[1 0]
20050531,0.63,0.65,0.63,0.65,48245,[1 1]
20050601,0.65,0.65,0.63,0.63,39654,[0 1]
20050602,0.65,0.66,0.62,0.66,73579,[0 0]
20050603,0.65,0.65,0.63,0.63,42471,[1 0]
20050606,0.63,0.63,0.59,0.62,39962,[0 0]
20050607,0.59,0.59,0.58,0.58,69236,[1 1]
20050608,0.64,0.64,0.58,0.6,52878,[0 0]
20050609,0.6,0.6,0.55,0.55,30157,[1 0]
20050610,0.57,0.59,0.57,0.58,27555,[1 0]
20050613,0.58,0.6,0.56,0.6,24994,[0 0]
20050614,0.58,0.61,0.55,0.6,64371,[1 1]
20050615,0.6,0.61,0.59,0.61,24155,[0 0]
20050616,0.6,0.6,0.59,0.59,17049,[1 1]
20050617,0.59,0.62,0.58,0.62,53188,[1 1]
20050620,0.57,0.62,0.57,0.62,56247,[0 1]
20050621,0.62,0.63,0.59,0.61,69533,[0 0]
20050622,0.63,0.63,0.6,0.6,24245,[0 0]
20050623,0.6,0.62,0.59,0.59,12796,[1 1]
20050624,0.61,0.61,0.59,0.59,39564,[0 0]
20050627,0.59,0.61,0.58,0.61,23852,[1 0]
20050628,0.59,0.61,0.58,0.6,37049,[0 1]
20050629,0.6,0.62,0.6,0.61,25249,[1 0]
20050630,0.6,0.64,0.59,0.64,140817,[0 1]
20050701,0.63,0.64,0.63,0.64,45087,[0 1]
20050704,0.6,0.65,0.6,0.65,51883,[0 1]
20050705,0.61,0.67,0.61,0.65,64639,[0 1]
20050706,0.64,0.64,0.61,0.61,19856,[0 0]
20050707,0.62,0.66,0.61,0.65,61384,[1 0]
20050708,0.64,0.65,0.62,0.65,25976,[1 0]
20050711,0.6,0.64,0.6,0.64,13876,[0 0]
20050712,0.64,0.65,0.62,0.63,48368,[0 1]
20050713,0.64,0.66,0.63,0.64,94303,[1 1]
20050714,0.64,0.66,0.63,0.65,43726,[1 1]
20050715,0.65,0.65,0.62,0.62,17959,[1 0]
20050718,0.66,0.66,0.62,0.62,18705,[0 0]
20050719,0.62,0.64,0.61,0.64,31091,[1 1]
20050720,0.6,0.61,0.59,0.6,29781,[1 0]
20050721,0.62,0.62,0.6,0.61,15209,[1 0]
20050722,0.59,0.61,0.59,0.59,38832,[1 0]
20050725,0.58,0.62,0.54,0.54,102935,[1 0]
20050726,0.54,0.55,0.52,0.54,62402,[0 0]
20050727,0.56,0.59,0.55,0.58,37495,[1 0]
20050728,0.57,0.63,0.55,0.63,99698,[0 1]
20050729,0.62,0.63,0.61,0.63,73483,[0 1]
20050801,0.62,0.63,0.61,0.61,86711,[1 0]
20050802,0.63,0.64,0.61,0.62,77640,[1 1]
20050803,0.64,0.67,0.64,0.67,180128,[0 0]
20050804,0.67,0.71,0.66,0.69,221965,[0 0]
20050805,0.71,0.8,0.7,0.76,303456,[0 1]
20050808,0.78,0.79,0.72,0.74,141438,[1 1]
20050809,0.7,0.79,0.7,0.76,79458,[0 1]
20050810,0.76,0.79,0.74,0.76,83763,[1 0]
20050811,0.75,0.78,0.71,0.73,87721,[1 0]
20050812,0.56,0.72,0.56,0.71,119398,[1 0]
20050815,0.73,0.76,0.71,0.71,45047,[0 0]
20050816,0.76,0.76,0.72,0.73,34559,[0 1]
20050817,0.73,0.78,0.73,0.77,58907,[1 0]
20050818,0.78,0.79,0.77,0.77,51142,[0 0]
20050819,0.77,0.8,0.71,0.73,58368,[0 0]
20050822,0.8,0.8,0.74,0.74,42309,[1 0]
20050823,0.75,0.75,0.73,0.73,43901,[1 1]
20050824,0.72,0.74,0.72,0.73,30467,[1 1]
20050825,0.73,0.76,0.72,0.76,83726,[0 0]
20050826,0.76,0.78,0.75,0.78,61857,[1 0]
20050829,0.76,0.8,0.76,0.78,70868,[1 1]
20050830,0.78,0.8,0.78,0.78,73250,[0 1]
20050831,0.8,0.87,0.8,0.87,322619,[0 1]
20050901,0.87,0.9,0.84,0.84,129463,[1 1]
20050902,0.84,0.87,0.8,0.87,66859,[1 0]
20050905,0.85,0.85,0.83,0.83,47060,[0 0]
20050906,0.85,0.93,0.84,0.91,186052,[0 1]
20050908,0.92,0.94,0.87,0.91,121197,[0 0]
20050909,0.92,0.95,0.92,0.95,164045,[0 1]
20050912,0.9,0.92,0.88,0.9,131112,[1 1]
20050913,0.9,0.91,0.86,0.87,92817,[0 0]
20050914,0.87,0.9,0.85,0.88,72770,[0 1]
20050915,0.88,0.9,0.88,0.88,75369,[1 0]
20050916,0.89,0.9,0.87,0.9,71691,[0 1]
20050919,0.87,0.91,0.87,0.9,124051,[1 0]
20050920,0.91,0.91,0.87,0.87,68641,[1 0]
20050921,0.87,0.89,0.85,0.86,149170,[1 0]
20050922,0.9,0.92,0.85,0.86,92209,[0 0]
20050923,0.87,0.9,0.87,0.87,90668,[0 1]
20050926,0.88,0.91,0.87,0.91,93097,[0 1]
20050927,0.91,0.94,0.91,0.93,167030,[0 1]
20050928,0.94,0.97,0.94,0.96,140156,[1 0]
20050929,0.96,1.0,0.94,0.97,155437,[0 1]
20050930,0.99,1.02,0.98,0.98,144690,[0 0]
20051003,0.99,0.99,0.9,0.93,120974,[0 0]
20051004,0.95,0.95,0.9,0.9,117500,[1 1]
20051005,0.89,0.92,0.87,0.89,148496,[1 1]
20051006,0.89,1.0,0.89,0.9,144524,[0 1]
20051007,0.95,0.97,0.92,0.92,71186,[0 0]
20051010,0.97,0.97,0.92,0.93,70008,[1 0]
20051011,0.93,0.93,0.81,0.91,55303,[0 0]
20051013,0.93,0.93,0.91,0.93,42614,[0 1]
20051014,0.91,0.94,0.91,0.93,40275,[1 1]
20051017,0.91,0.95,0.91,0.94,50342,[1 0]
20051018,0.93,0.93,0.89,0.89,67156,[0 0]
20051019,0.92,0.93,0.85,0.93,79234,[1 1]
20051020,0.95,0.96,0.9,0.91,68220,[0 0]
20051021,0.91,0.91,0.89,0.9,9720,[0 1]
20051024,0.9,0.92,0.87,0.87,57618,[0 1]
20051025,0.9,0.92,0.89,0.92,69057,[0 0]
20051026,0.91,0.94,0.9,0.92,78462,[0 1]
20051027,0.92,0.92,0.89,0.9,38464,[0 1]
20051028,0.91,0.93,0.9,0.91,45166,[0 1]
20051031,0.93,0.93,0.89,0.89,29591,[1 0]
20051101,0.93,0.93,0.9,0.93,91067,[0 0]
20051103,0.92,0.96,0.92,0.94,128845,[0 0]
20051104,0.94,0.95,0.93,0.94,32248,[0 1]
20051107,0.96,0.97,0.95,0.97,95002,[0 1]
20051108,0.95,0.99,0.95,0.99,155517,[1 0]
20051123,1.0,1.01,0.97,0.98,91729,[1 1]
20051124,0.99,1.0,0.96,0.98,83064,[0 0]
20051125,0.99,1.0,0.96,0.98,83127,[0 1]
20051128,0.98,1.01,0.97,0.97,57848,[1 0]
20051129,0.97,0.99,0.97,0.97,49710,[0 0]
20051130,1.0,1.0,0.96,0.98,97818,[0 0]
20051201,0.99,1.02,0.99,1.01,114553,[1 0]
20051202,1.03,1.05,1.0,1.04,117980,[1 0]
20051205,1.06,1.06,1.02,1.02,139593,[0 0]
20051206,1.03,1.08,1.02,1.08,181957,[1 0]
20051207,1.09,1.13,1.08,1.12,169880,[1 0]
20051208,1.14,1.2,1.1,1.1,147984,[0 1]
20051209,1.13,1.13,1.11,1.13,71991,[1 0]
20051212,1.15,1.18,1.12,1.12,118171,[1 0]
20051213,1.12,1.15,1.11,1.14,102828,[0 1]
20051214,1.15,1.16,1.12,1.12,174003,[0 1]
20051215,1.15,1.15,1.11,1.11,146415,[0 0]
20051216,1.13,1.13,1.09,1.09,128924,[1 0]
20051219,1.09,1.09,1.05,1.05,185302,[0 1]
20051220,1.07,1.09,1.05,1.07,127964,[1 1]
20051221,1.09,1.1,1.07,1.08,113974,[0 1]
20051222,1.1,1.11,1.07,1.08,60705,[1 0]
20051223,1.09,1.11,1.08,1.08,57011,[1 1]
20051226,1.09,1.12,1.04,1.08,96811,[1 1]
20051227,1.09,1.09,1.04,1.06,72620,[1 0]
20051228,1.07,1.09,1.04,1.05,84786,[0 1]
20051229,1.07,1.09,1.05,1.07,97499,[0 1]
20060102,1.07,1.1,1.05,1.05,90804,[0 0]
20060103,1.07,1.1,1.06,1.06,137623,[0 0]
20060104,1.1,1.12,1.06,1.07,201999,[0 1]
20060105,1.12,1.12,1.08,1.08,115819,[1 0]
20060106,1.12,1.12,1.07,1.1,174198,[0 0]
20060109,1.1,1.1,1.05,1.05,112302,[1 1]
20060110,1.07,1.07,1.04,1.05,197371,[1 0]
20060111,1.06,1.08,1.05,1.08,114576,[1 1]
20060112,1.09,1.09,1.07,1.07,123362,[0 0]
20060113,1.08,1.12,1.08,1.12,155246,[1 0]
20060116,1.12,1.13,1.07,1.13,174602,[0 0]
20060117,1.13,1.13,1.08,1.08,155536,[1 0]
20060118,1.08,1.09,1.08,1.09,136219,[1 1]
20060119,1.11,1.11,1.09,1.09,123451,[1 1]
20060120,1.1,1.12,1.09,1.1,53893,[0 0]
20060123,1.12,1.14,1.09,1.14,148771,[1 1]
20060124,1.15,1.2,1.15,1.2,346372,[0 0]
20060126,1.21,1.24,1.2,1.24,293288,[0 0]
20060127,1.26,1.31,1.19,1.19,250118,[1 0]
20060130,1.22,1.22,1.17,1.19,120717,[0 1]
20060131,1.19,1.2,1.16,1.16,167270,[1 1]
20060201,1.16,1.2,1.14,1.14,164371,[0 1]
20060202,1.19,1.2,1.16,1.2,160596,[1 0]
20060203,1.17,1.18,1.13,1.16,116419,[1 0]
20060206,1.14,1.17,1.14,1.15,107662,[1 0]
20060207,1.15,1.15,1.1,1.1,71735,[1 0]
20060208,1.11,1.13,1.07,1.13,91945,[1 1]
20060209,1.12,1.17,1.1,1.15,87025,[0 0]
20060210,1.2,1.21,1.17,1.17,110927,[0 0]
20060213,1.2,1.2,1.13,1.13,83940,[1 1]
20060214,1.17,1.17,1.11,1.12,59355,[0 1]
20060215,1.17,1.17,1.12,1.12,84327,[0 1]
20060216,1.14,1.14,1.11,1.13,109131,[0 1]
20060217,1.18,1.18,1.15,1.16,70528,[0 0]
20060220,1.15,1.18,1.14,1.15,85257,[1 0]
20060221,1.13,1.17,1.11,1.11,133456,[1 0]
20060222,1.13,1.19,1.1,1.13,132172,[1 1]
20060223,1.14,1.14,1.08,1.14,60917,[1 0]
20060224,1.15,1.15,1.06,1.13,38185,[0 1]
20060301,1.15,1.15,1.12,1.15,54442,[1 0]
20060302,1.15,1.16,1.13,1.15,92584,[1 1]
20060303,1.16,1.18,1.13,1.17,81831,[1 1]
20060306,1.17,1.17,1.14,1.14,69175,[0 0]
20060307,1.1,1.16,1.09,1.09,155982,[1 1]
20060308,1.1,1.11,1.09,1.09,66587,[0 1]
20060309,1.12,1.12,1.09,1.09,51158,[0 1]
20060310,1.1,1.12,1.1,1.1,50223,[0 0]
20060313,1.1,1.11,1.08,1.08,80984,[0 1]
20060314,1.1,1.1,1.07,1.1,49327,[0 1]
20060315,1.09,1.11,1.08,1.08,37131,[1 0]
20060316,1.12,1.14,1.12,1.12,179394,[0 1]
20060317,1.11,1.14,1.11,1.14,81597,[1 0]
20060320,1.11,1.14,1.11,1.12,63563,[1 1]
20060321,1.11,1.14,1.08,1.08,116880,[1 0]
20060322,1.1,1.12,1.09,1.11,164520,[0 1]
20060323,1.14,1.15,1.11,1.11,99679,[0 0]
20060324,1.12,1.13,1.1,1.1,40709,[1 1]
20060327,1.09,1.1,1.08,1.1,54633,[1 1]
20060328,1.08,1.09,0.97,1.0,251505,[1 1]
20060329,0.99,1.05,0.99,1.05,146450,[0 0]
20060330,1.05,1.1,1.05,1.07,63909,[0 1]
20060331,1.07,1.1,1.07,1.08,79398,[1 1]
20060403,1.12,1.12,1.09,1.12,82982,[1 1]
20060404,1.12,1.13,1.05,1.05,118640,[0 1]
20060405,1.12,1.12,1.09,1.12,88323,[0 0]
20060406,1.12,1.13,1.08,1.11,149164,[1 1]
20060407,1.1,1.13,1.1,1.1,53939,[0 1]
20060410,1.1,1.14,1.1,1.14,113782,[0 0]
20060411,1.15,1.15,1.13,1.14,54474,[0 0]
20060412,1.14,1.15,1.12,1.14,96394,[0 1]
20060413,1.14,1.15,1.13,1.13,37157,[0 1]
20060417,1.11,1.15,1.11,1.12,78476,[0 0]
20060418,1.15,1.15,1.1,1.15,48460,[1 0]
20060419,1.14,1.18,1.13,1.17,247620,[0 0]
20060420,1.18,1.19,1.15,1.19,77837,[0 1]
20060424,1.18,1.25,1.17,1.24,464364,[0 1]
20060425,1.24,1.25,1.2,1.22,166170,[1 0]
20060426,1.23,1.23,1.2,1.21,112471,[1 1]
20060427,1.22,1.24,1.2,1.2,80297,[1 0]
20060428,1.21,1.26,1.21,1.26,136375,[0 0]
20060502,1.27,1.29,1.24,1.27,115142,[1 0]
20060503,1.27,1.29,1.26,1.26,91850,[0 1]
20060504,1.27,1.29,1.26,1.26,132126,[1 1]
20060505,1.26,1.3,1.25,1.25,77312,[0 0]
20060508,1.26,1.28,1.25,1.27,86167,[0 1]
20060509,1.27,1.28,1.26,1.26,108731,[0 0]
20060510,1.27,1.3,1.25,1.27,86907,[1 1]
20060511,1.31,1.31,1.25,1.25,151681,[0 0]
20060512,1.29,1.29,1.2,1.23,87375,[1 1]
20060515,1.25,1.26,1.2,1.23,66951,[0 0]
20060516,1.23,1.26,1.2,1.25,106766,[0 1]
20060517,1.23,1.25,1.15,1.15,150549,[0 0]
20060518,1.17,1.23,1.16,1.22,180261,[1 1]
20060531,1.14,1.15,1.11,1.15,92576,[0 1]
20060601,1.16,1.2,1.15,1.18,127707,[0 0]
20060602,1.18,1.23,1.18,1.2,130868,[1 0]
20060605,1.18,1.23,1.17,1.18,100435,[1 0]
20060606,1.17,1.18,1.14,1.17,132212,[0 1]
20060607,1.19,1.22,1.15,1.15,92390,[0 1]
20060608,1.13,1.14,1.12,1.14,88448,[1 0]
20060609,1.16,1.18,1.11,1.11,115088,[0 1]
20060612,1.12,1.12,1.06,1.06,115872,[1 0]
20060613,1.1,1.1,1.03,1.08,101207,[0 0]
20060614,1.06,1.1,1.02,1.05,222598,[0 0]
20060616,1.09,1.09,1.08,1.09,33503,[0 0]
20060619,1.11,1.11,1.08,1.1,103593,[1 0]
20060620,1.09,1.11,1.04,1.08,67416,[1 1]
20060621,1.08,1.12,1.04,1.12,89240,[1 0]
20060622,1.1,1.15,1.1,1.15,48021,[0 1]
20060623,1.15,1.15,1.12,1.15,63460,[0 1]
20060626,1.15,1.17,1.13,1.15,73646,[1 0]
20060627,1.16,1.16,1.12,1.12,95755,[1 1]
20060628,1.12,1.13,1.1,1.13,38678,[0 0]
20060629,1.13,1.18,1.13,1.18,124617,[1 1]
20060630,1.18,1.2,1.17,1.17,137562,[0 0]
20060703,1.16,1.18,1.16,1.17,62890,[1 1]
20060704,1.19,1.2,1.16,1.17,137489,[0 1]
20060705,1.18,1.18,1.15,1.15,115362,[1 1]
20060706,1.16,1.17,1.13,1.13,47171,[1 1]
20060707,1.18,1.2,1.13,1.15,42471,[0 1]
20060710,1.15,1.17,1.13,1.13,53327,[0 0]
20060711,1.14,1.17,1.12,1.17,109085,[1 1]
20060712,1.17,1.17,1.12,1.14,45164,[0 0]
