date,open,max,min,close,volume,y
20061201,31.2,32.8,31.01,32.3,409529919,[1 1]
20061204,32.0,32.63,31.51,32.32,24013850,[1 1]
20061205,32.4,33.71,32.02,33.71,17439528,[0 0]
20061206,32.82,34.41,32.5,33.77,16031874,[1 1]
20061207,34.0,34.5,33.46,34.5,6843978,[1 0]
20061208,34.3,34.5,33.01,34.15,5758952,[0 0]
20061211,33.71,34.61,33.61,33.95,4847985,[0 0]
20061212,34.0,34.48,33.88,34.48,3458141,[0 1]
20061213,34.0,35.5,34.0,35.4,5146490,[1 1]
20061214,35.6,35.8,35.26,35.6,1498266,[0 1]
20061215,35.7,35.7,34.33,34.41,714896,[0 1]
20061218,34.62,35.05,34.16,34.2,2433835,[0 1]
20061219,33.72,34.11,33.56,33.6,3397306,[1 0]
20061220,33.5,33.8,33.0,33.55,3096490,[1 0]
20061221,33.45,33.55,32.5,33.1,5109596,[1 1]
20061222,33.0,33.5,32.12,32.71,2187955,[0 0]
20061226,32.11,33.15,31.8,33.1,2444315,[0 1]
20061227,33.0,34.0,33.0,33.5,1258405,[0 1]
20061228,33.9,34.45,33.9,34.06,3019094,[1 0]
20070102,33.5,35.44,33.5,33.55,1299612,[1 0]
20070103,34.0,36.14,34.0,35.8,3095295,[1 1]
20070104,36.0,36.0,34.55,34.55,574341,[1 0]
20070105,34.99,35.0,34.5,35.0,699190,[1 1]
20070108,34.0,35.0,34.0,34.41,1726365,[0 0]
20070109,35.0,35.34,34.46,34.46,1776665,[0 1]
20070110,34.54,35.6,34.53,35.6,1730904,[0 1]
20070111,35.65,35.65,35.5,35.5,134915,[0 1]
20070112,35.0,35.54,35.0,35.54,914465,[0 0]
20070115,35.7,35.7,35.0,35.4,1484599,[1 0]
20070116,34.81,35.99,34.81,35.99,1344741,[1 0]
20070117,35.8,37.0,35.74,37.0,788624,[1 1]
20070118,37.0,37.0,36.65,36.99,915371,[1 0]
20070119,36.8,36.8,36.41,36.41,29245,[0 1]
20070122,36.9,37.0,36.0,36.16,956107,[1 0]
20070123,36.5,36.9,36.5,36.9,737659,[1 1]
20070124,36.0,36.75,36.0,36.7,451439,[0 1]
20070126,36.89,38.0,36.4,38.0,3252949,[0 1]
20070129,37.0,39.0,37.0,39.0,1820226,[0 1]
20070130,38.5,39.65,38.21,38.25,1711824,[0 0]
20070131,40.0,40.0,38.02,39.73,1564321,[1 1]
20070201,40.0,40.0,39.01,39.01,59307,[0 1]
20070202,39.79,42.12,39.79,41.1,1392638,[1 0]
20070205,43.0,43.15,43.0,43.15,761375,[0 1]
20070206,44.2,44.99,43.5,43.5,1656889,[1 0]
20070207,43.5,43.9,43.02,43.5,805125,[1 1]
20070208,43.5,43.92,43.18,43.92,590208,[1 1]
20070209,43.92,44.3,43.92,44.3,216804,[0 0]
20070212,44.5,44.5,43.12,43.9,545643,[1 1]
20070213,43.38,43.4,42.7,43.35,1203528,[0 1]
20070214,43.0,43.0,41.98,42.9,600839,[1 1]
20070215,42.72,44.15,42.01,44.15,1016109,[1 0]
20070216,42.05,42.05,41.21,42.0,348950,[0 1]
20070221,43.1,43.1,43.0,43.0,107600,[1 0]
20070222,42.49,42.95,42.1,42.1,289020,[0 1]
20070223,42.36,42.6,42.36,42.6,437992,[1 0]
20070226,42.8,42.8,42.06,42.06,254400,[0 0]
20070227,42.3,42.3,40.25,40.25,36985,[1 0]
20070228,41.35,41.99,41.25,41.4,319547,[1 0]
20070301,40.32,41.0,39.5,41.0,321759,[1 0]
20070302,39.55,41.5,39.55,41.5,468550,[0 0]
20070305,35.01,40.2,35.01,39.0,544405,[1 0]
20070306,40.0,42.44,39.6,40.0,2274728,[0 0]
20070307,40.0,40.5,39.78,40.5,88240,[0 1]
20070308,41.9,42.9,41.9,42.53,1363670,[0 1]
20070309,43.0,43.0,42.45,42.45,64225,[0 1]
20070314,41.0,41.6,38.55,38.55,481865,[1 0]
20070315,40.01,40.01,39.71,39.71,378740,[1 1]
20070316,40.5,41.98,40.5,41.94,636397,[1 0]
20070319,41.01,41.01,41.0,41.0,41001,[0 0]
20070320,41.4,41.95,41.4,41.95,141660,[1 0]
20070321,41.41,42.3,41.4,42.3,888080,[1 0]
20070322,41.99,41.99,41.0,41.0,1348551,[0 0]
20070323,41.9,41.97,41.9,41.97,717040,[1 0]
20070326,41.97,41.97,41.97,41.97,4197,[1 0]
20070327,41.2,41.99,41.2,41.99,33434,[1 1]
20070328,41.0,41.29,40.81,40.81,447314,[0 0]
20070329,41.4,41.4,41.1,41.1,70080,[1 1]
20070330,40.33,41.37,40.33,40.83,810072,[0 1]
20070402,40.0,40.98,37.11,38.03,129991,[1 0]
20070403,40.22,40.22,39.56,39.58,723949,[0 1]
20070404,39.89,41.5,38.61,41.5,1078462,[1 0]
20070405,40.05,41.57,40.05,41.3,2196153,[1 0]
20070409,41.0,41.69,41.0,41.69,1457944,[1 0]
20070410,41.02,41.99,41.02,41.93,683653,[0 0]
20070411,40.01,41.6,40.01,41.3,815683,[0 1]
20070412,41.69,42.3,40.56,40.56,1042175,[0 0]
20070413,41.69,41.69,41.69,41.69,204281,[1 0]
20070416,41.5,42.0,40.17,41.8,2797003,[1 1]
20070417,41.7,41.7,41.65,41.7,612965,[0 1]
20070418,41.97,41.99,41.07,41.99,975905,[1 1]
20070419,41.99,42.9,40.57,42.89,1988060,[1 1]
20070503,46.5,46.98,46.0,46.5,1439942,[0 1]
20070504,46.98,47.24,45.92,47.24,902073,[0 1]
20070507,45.04,46.99,45.04,46.8,154211,[1 0]
20070509,46.75,46.75,46.01,46.51,272599,[0 0]
20070510,47.2,47.2,47.2,47.2,47200,[0 0]
20070511,47.5,50.0,47.49,49.9,1500216,[1 1]
20070514,50.0,50.0,49.0,49.0,412034,[0 0]
20070515,49.0,49.97,49.0,49.33,436754,[0 1]
20070516,49.9,50.0,49.9,50.0,334570,[1 0]
