date,open,max,min,close,volume,y
20080613,1345.0,1345.0,1225.0,1225.0,254383148700,[1 1]
20080616,1179.9,1239.96,1179.0,1230.01,37117201200,[1 0]
20080617,1251.0,1280.0,1235.01,1255.01,27562679400,[1 0]
20080618,1250.01,1323.99,1230.0,1312.99,23628766000,[1 1]
20080619,1315.01,1385.0,1271.04,1285.25,26347108000,[0 0]
20080620,1290.18,1319.0,1285.0,1318.01,11523310900,[0 0]
20080623,1325.01,1325.01,1276.99,1290.0,6921854900,[1 0]
20080624,1289.99,1329.97,1289.99,1305.0,8473601500,[1 1]
20080625,1311.01,1363.99,1290.0,1363.99,24683556000,[1 0]
20080626,1359.99,1378.0,1340.0,1351.92,91785686000,[0 1]
20080627,1352.01,1355.0,1230.0,1290.0,24534730500,[0 0]
20080630,1252.01,1298.97,1250.01,1270.0,17769443800,[0 0]
20080701,1251.0,1270.0,1118.0,1151.49,51746391500,[1 0]
20080702,1150.01,1152.0,975.0,999.0,33386517800,[1 0]
20080703,1002.01,1044.0,980.0,1010.0,9879287900,[0 1]
20080704,1010.0,1034.99,1010.0,1030.0,609914200,[1 1]
20080707,1030.0,1060.01,1000.01,1035.0,4204355700,[1 1]
20080708,1015.02,1024.99,920.0,950.0,8393908300,[0 0]
20080710,950.0,980.0,891.01,906.2,20088347400,[1 0]
20080711,881.0,960.0,700.0,811.0,29462079800,[0 0]
20080714,827.0,925.0,827.0,924.0,15702715400,[0 0]
20080715,919.98,919.98,820.13,830.0,14563208200,[0 0]
20080716,839.97,839.97,754.99,771.0,12120809200,[1 1]
20080717,771.0,771.0,675.0,675.0,21277863100,[0 0]
20080718,675.0,700.0,630.0,640.0,13858961200,[0 0]
20080721,666.0,745.0,665.99,730.0,6499258400,[0 1]
20080722,710.01,744.99,700.0,708.0,2289331100,[1 0]
20080723,710.01,760.0,708.0,720.0,4947738600,[0 0]
20080724,725.0,738.0,691.0,720.0,7901344000,[0 0]
20080725,700.06,714.99,670.0,691.0,14371836600,[0 0]
20080728,725.0,755.0,695.0,695.0,11706193200,[0 1]
20080729,702.06,725.0,700.01,725.0,6973448700,[1 1]
20080730,725.0,775.0,720.0,760.0,5352566700,[0 0]
20080731,761.01,777.97,735.0,769.0,4201860300,[0 1]
20080801,750.51,773.0,737.01,770.0,2164022800,[1 0]
20080804,755.0,764.99,720.0,750.0,4230499200,[0 0]
20080805,770.0,772.98,735.0,749.0,5001601600,[0 0]
20080806,764.32,775.0,742.0,758.0,4042366000,[0 1]
20080807,753.0,753.0,731.0,731.0,2224966100,[0 0]
20080808,730.0,743.99,705.0,710.0,3672265000,[1 0]
20080811,718.0,741.0,700.0,700.0,4584776100,[1 1]
20080812,714.99,714.99,666.01,670.0,2445359200,[1 0]
20080813,660.02,684.99,618.0,618.0,5632580800,[1 1]
20080814,630.0,659.0,546.0,552.0,3373432000,[0 0]
20080815,560.0,565.0,475.0,505.0,6272715900,[1 1]
20080818,519.99,616.0,515.0,616.0,12700142500,[0 0]
20080819,600.0,750.0,586.01,660.0,12996602100,[0 0]
20080820,685.01,685.03,632.01,645.0,2423512400,[0 1]
20080821,650.01,650.01,608.01,622.01,6271974700,[1 1]
20080822,610.0,629.99,605.0,617.0,3413780000,[0 0]
20080825,601.0,601.0,570.0,570.0,3001681900,[1 0]
20080826,570.0,590.0,551.0,555.0,2904186700,[0 1]
20080827,556.01,565.5,551.0,560.0,1774789300,[1 0]
20080828,560.0,592.0,560.0,576.9,6243214200,[1 1]
20080829,585.0,585.0,560.5,576.3,5785232100,[1 0]
20080901,576.0,578.98,570.76,570.76,149437600,[1 1]
20080902,565.01,565.01,520.0,545.0,1019780300,[0 1]
20080903,549.99,549.99,490.0,520.0,3852149000,[1 0]
20080904,519.99,525.0,484.99,490.0,1618490100,[1 1]
20080905,475.0,485.0,450.0,485.0,1371234400,[0 0]
20080908,510.0,519.65,455.0,456.0,2752196100,[1 0]
20080909,458.0,470.0,420.0,430.0,3321108400,[0 1]
20080910,447.0,475.0,420.01,446.0,3671692900,[1 1]
20080911,446.0,507.06,415.0,499.99,3428244900,[1 0]
20080912,514.0,539.0,502.0,539.0,1715343600,[0 1]
20080915,478.92,501.01,451.9,460.0,3918320700,[1 0]
20080916,419.99,460.02,418.0,445.0,4647476200,[1 0]
20080917,440.0,456.0,395.0,415.0,7490334700,[0 1]
20080918,429.01,470.0,418.6,470.0,40306854700,[1 1]
20080919,500.0,529.0,500.0,510.0,3015863200,[0 0]
20080922,510.01,519.99,482.01,485.0,2555001000,[1 0]
20080923,484.86,484.86,420.0,420.0,2416854400,[1 1]
20080924,431.03,431.99,411.01,411.01,1792829100,[0 1]
