date,open,max,min,close,volume,y
20071211,5.06,5.06,5.06,5.06,49082,[0 1]
20100106,18.49,18.54,17.9,18.0,24538653,[0 1]
20100107,18.0,18.35,17.53,18.35,19037592,[1 1]
20100108,18.5,18.5,17.96,18.05,13622480,[0 0]
20100111,18.62,19.12,18.5,18.9,18929112,[1 1]
20100112,19.05,19.17,18.68,19.03,17750063,[0 0]
20100113,19.31,19.6,19.2,19.6,14735656,[1 1]
20100114,19.49,19.64,18.61,18.79,25288958,[0 0]
20100115,18.93,18.93,18.2,18.27,16152884,[0 1]
20100118,18.9,19.2,18.7,19.19,12916119,[1 1]
20100119,19.19,19.65,19.0,19.35,12983078,[0 1]
20100120,19.19,19.37,18.45,18.79,17963563,[1 0]
20100121,18.7,18.7,17.41,17.46,28788196,[0 1]
20100122,17.51,18.25,16.82,17.58,24501737,[0 1]
20100126,17.39,18.19,17.25,17.71,14416595,[0 0]
20100127,18.0,18.13,17.29,17.44,8796369,[0 0]
20100128,17.8,17.81,17.2,17.4,9727016,[1 0]
20100129,17.61,18.29,16.55,16.55,14124193,[0 1]
20100201,17.21,17.54,16.45,17.31,13898680,[0 0]
20100202,17.62,17.83,17.47,17.67,14156328,[0 1]
20100203,18.15,18.99,18.05,18.99,24274712,[1 1]
20100204,18.7,18.9,17.3,17.59,28536448,[1 1]
20100205,17.2,18.08,16.82,17.6,16322477,[0 0]
20100208,18.38,18.44,17.57,17.85,12242306,[0 0]
20100209,17.89,18.25,17.5,17.5,12930931,[0 0]
20100210,17.72,17.99,17.21,17.5,10414962,[1 1]
20100211,17.81,17.87,17.13,17.83,12536174,[0 0]
20100212,17.7,17.7,17.34,17.5,10467617,[0 1]
20100217,18.15,18.19,17.54,17.67,4375275,[0 1]
20100218,17.8,17.8,17.42,17.58,7974664,[1 0]
20100219,17.6,17.6,17.3,17.35,11059147,[1 0]
20100222,17.35,17.6,16.9,16.91,14560755,[1 0]
20100223,16.95,16.95,16.28,16.32,18668595,[0 1]
20100224,16.46,16.8,16.32,16.37,7559713,[0 1]
20100225,16.2,16.9,15.5,15.9,14761993,[1 1]
20100226,16.05,16.2,15.78,15.78,13868476,[1 0]
20100301,15.98,16.46,15.82,16.27,11056476,[0 0]
20100302,16.8,16.8,16.05,16.19,14436000,[0 0]
20100303,16.19,16.5,15.95,15.98,10106210,[1 0]
20100304,16.15,16.2,15.65,15.75,15993777,[1 0]
20100305,16.12,16.79,16.09,16.79,12591661,[0 0]
20100308,16.85,16.94,16.64,16.82,14117275,[0 1]
20100309,16.89,17.26,16.68,16.9,12381269,[0 1]
20100310,17.0,17.25,16.8,17.0,9580972,[1 1]
20100311,17.09,18.0,16.95,17.8,22024775,[0 0]
20100312,18.01,18.3,17.16,17.37,18991816,[0 0]
20100315,17.23,17.23,16.68,16.93,15385291,[1 1]
20100316,16.91,17.23,16.53,16.88,9934983,[0 1]
20100317,17.2,17.33,16.8,16.8,8598467,[1 0]
20100318,17.0,17.0,16.5,16.59,8402674,[0 0]
20100319,16.61,16.65,16.2,16.25,9568762,[1 0]
20100322,16.23,16.49,15.8,16.4,9937639,[0 1]
20100323,16.65,16.65,16.25,16.55,5312351,[1 1]
20100324,16.59,16.8,16.46,16.46,8049733,[0 0]
20100325,16.7,16.74,16.38,16.4,4610246,[1 1]
20100326,16.49,16.6,16.3,16.35,5191271,[0 0]
20100329,16.47,16.81,16.47,16.75,5657522,[1 0]
20100330,16.89,16.96,16.52,16.63,6150489,[1 0]
20100331,16.85,16.85,16.41,16.7,6215471,[1 0]
20100401,16.75,17.15,16.75,17.08,9532072,[0 0]
20100405,17.16,17.34,16.93,16.95,10354006,[1 1]
20100406,17.06,17.35,16.61,17.27,10292343,[0 1]
20100407,17.2,17.35,17.07,17.18,7845230,[1 0]
20100408,17.15,17.59,17.1,17.56,14880557,[0 1]
20100409,17.65,17.85,17.31,17.56,9763104,[0 1]
20100412,17.65,17.75,17.25,17.25,9769170,[0 1]
20100413,17.43,17.72,17.21,17.7,13218845,[1 0]
20100414,17.79,17.79,17.53,17.61,5709590,[1 1]
20100415,17.65,18.15,17.25,17.95,30558768,[1 1]
20100416,18.06,18.3,17.8,18.13,16300625,[0 0]
20100419,18.08,18.55,17.8,18.5,20060819,[1 1]
20100420,18.61,18.82,18.49,18.82,18933230,[0 1]
20100422,18.9,18.9,18.31,18.55,11554602,[1 0]
20100423,18.5,18.5,17.85,17.95,8721930,[0 0]
20100426,18.09,18.2,17.77,17.95,7294092,[1 1]
20100427,17.9,17.9,17.4,17.5,10237400,[1 1]
20100428,17.3,17.6,16.91,17.1,13457051,[1 0]
20100429,17.0,17.5,17.0,17.5,8008625,[1 1]
20100430,17.45,17.69,17.1,17.2,9406704,[1 0]
20100503,17.7,17.7,16.97,17.3,9086221,[1 0]
20100504,17.3,17.3,16.4,16.4,17385109,[1 1]
20100505,16.45,16.77,15.89,16.26,15695516,[1 1]
20100506,16.93,16.93,14.75,15.5,20813445,[0 0]
20100507,15.4,15.7,14.82,15.15,14444509,[0 1]
20100510,16.35,17.09,16.3,17.07,15233503,[1 0]
20100511,16.99,16.99,15.87,15.89,16183902,[1 1]
20100512,16.2,16.39,15.96,16.01,8147685,[0 1]
20100513,16.16,16.31,15.88,16.06,7211494,[0 0]
20100514,15.99,16.3,15.35,16.29,12141192,[0 1]
20100517,15.4,15.7,14.8,15.34,11349802,[1 0]
20100518,15.5,16.0,14.95,14.97,7023127,[1 1]
20100519,14.35,15.2,14.02,14.84,11218512,[1 1]
20100520,14.6,15.02,14.22,14.6,10167007,[0 1]
20100521,14.33,15.35,14.33,15.23,6748745,[0 0]
20100524,15.17,16.09,15.17,16.0,12569368,[1 0]
20100525,15.1,15.74,15.1,15.5,6535908,[0 1]
20100526,16.09,16.41,15.51,16.01,11238721,[0 1]
20100527,16.2,16.39,16.16,16.28,5719684,[0 0]
20100528,16.19,16.39,16.0,16.24,5480011,[1 1]
20100531,16.06,16.29,16.0,16.17,4949358,[0 0]
20100601,16.25,16.25,15.7,15.92,6897934,[0 1]
20100602,16.5,16.75,16.17,16.55,6500770,[0 1]
20100604,16.6,16.68,15.83,16.3,7870631,[1 0]
20100607,16.3,16.3,15.8,16.2,6568355,[1 0]
20100608,16.15,16.51,16.03,16.25,4203181,[0 0]
20100609,16.35,16.49,16.19,16.4,4202832,[0 0]
20100610,16.1,16.5,16.1,16.5,3462969,[1 0]
20100611,16.34,16.39,16.13,16.39,2663256,[1 1]
20100614,16.4,16.5,16.25,16.25,4426047,[0 0]
20100615,16.3,17.14,16.3,16.87,7022733,[0 1]
20100616,17.15,17.81,16.89,17.42,13536112,[0 0]
20100617,17.42,17.8,16.9,17.35,8952165,[0 1]
20100618,17.22,17.43,17.06,17.17,5547760,[1 0]
20100621,17.15,17.85,17.15,17.85,8176209,[0 0]
20100622,17.6,18.09,17.5,17.71,11494066,[1 0]
20100623,17.87,18.3,17.8,18.25,9852321,[0 1]
20100624,18.24,18.3,17.91,18.2,5007839,[1 1]
20100625,18.16,18.69,18.16,18.69,9416763,[0 0]
20100628,18.61,18.8,18.25,18.25,7533148,[1 0]
20100629,18.19,18.19,16.81,17.03,13985207,[0 1]
20100630,17.13,17.6,16.75,16.75,9250207,[1 0]
20100701,17.0,17.61,16.5,17.3,9069556,[1 1]
20100702,17.01,17.88,17.01,17.8,4590701,[1 1]
20100705,17.65,17.8,17.47,17.8,5038137,[1 1]
20100706,17.85,18.2,17.85,18.15,10359794,[0 1]
20100707,18.25,18.45,17.91,18.25,8062373,[0 0]
20100708,18.28,18.3,17.47,17.48,11506572,[0 0]
20100712,17.69,17.7,17.16,17.4,5482159,[1 0]
20100713,17.93,18.06,17.11,18.03,5492934,[1 1]
20100714,17.93,18.0,17.51,17.7,4496239,[0 0]
20100715,17.88,18.14,17.55,18.0,4412572,[0 1]
20100716,18.2,18.2,17.4,17.65,4090375,[0 0]
20100719,17.51,18.05,17.51,18.0,6639180,[0 1]
20100720,17.92,18.35,17.86,18.13,9030419,[0 1]
20100721,18.26,18.38,18.0,18.0,5418317,[0 0]
20100722,18.22,18.74,18.22,18.41,14261357,[1 0]
20100723,18.26,18.74,18.05,18.7,7149004,[1 0]
20100726,18.67,18.86,18.21,18.76,9599935,[1 0]
20100727,18.68,19.0,18.68,19.0,9173740,[1 1]
20100728,18.86,19.0,18.12,18.45,8145044,[0 1]
20100729,18.44,18.99,18.32,18.35,4516764,[1 1]
20100730,18.32,18.59,18.13,18.5,5037723,[0 0]
20100802,18.65,18.85,18.32,18.52,8168010,[1 0]
20100803,18.53,18.53,17.85,18.0,8923582,[1 1]
20100804,18.01,18.65,17.79,18.5,9613767,[1 0]
20100805,18.55,18.85,18.26,18.74,6284706,[0 1]
20100806,18.6,18.97,18.4,18.5,6894249,[0 0]
20100809,18.98,18.98,18.2,18.33,6194634,[1 1]
20100810,18.32,18.33,17.85,18.06,5941973,[1 0]
20100811,18.27,18.49,18.03,18.3,4468498,[1 1]
20100812,18.26,18.95,18.26,18.61,7524892,[0 1]
20100813,18.99,19.83,18.99,19.3,26796525,[0 0]
20100816,19.45,19.7,19.01,19.7,16019443,[1 0]
20100817,19.8,20.5,19.8,20.44,19385317,[0 1]
20100818,20.62,20.87,19.9,19.9,16060826,[1 0]
20100819,19.94,20.5,19.92,20.06,8062663,[1 1]
20100820,20.15,20.44,19.84,20.35,7462941,[0 0]
20100823,20.48,20.9,20.31,20.4,11747488,[0 1]
20100824,20.38,20.4,20.01,20.27,7390558,[1 0]
20100825,20.15,20.45,19.9,20.3,6999185,[1 1]
20100826,20.4,20.5,20.0,20.05,5572832,[0 0]
20100827,20.05,20.51,20.05,20.45,4701734,[0 1]
20100830,20.3,20.77,20.21,20.77,7114416,[1 0]
20100831,20.7,21.05,20.57,20.94,14839980,[0 0]
20100901,21.0,21.25,20.8,21.05,15767738,[0 1]
20100902,20.98,21.0,20.4,20.4,10651701,[1 1]
20100903,21.2,21.2,19.37,19.4,27791656,[0 0]
20100906,19.3,19.69,18.98,19.4,10445510,[1 0]
20100908,19.5,20.14,19.2,20.1,16300761,[1 1]
20100909,20.5,20.58,19.95,20.19,7379602,[0 1]
20100910,20.2,20.39,19.86,19.95,14564657,[1 1]
20100913,20.29,20.6,20.1,20.3,8323289,[0 1]
20100914,20.3,20.6,20.15,20.5,6971857,[1 0]
20100915,20.59,21.01,20.16,20.5,10982945,[1 0]
20100916,20.98,21.44,20.5,20.6,9296620,[1 1]
20100917,20.5,20.7,20.1,20.48,6186819,[0 1]
20100920,20.4,20.44,19.96,20.25,10287406,[0 1]
20100921,20.25,20.25,19.7,19.7,10709589,[0 0]
20100922,19.99,20.49,19.75,20.0,8346790,[0 0]
20100923,20.0,20.75,19.76,20.7,11602248,[0 1]
20100924,20.7,20.99,20.02,20.22,10372607,[1 1]
20100927,20.3,20.67,20.05,20.52,6069044,[0 1]
20100928,20.35,20.93,20.3,20.93,9192064,[0 1]
20100929,20.98,21.8,20.64,21.59,19528727,[1 0]
20100930,21.75,22.15,21.5,22.08,17818696,[1 1]
20101001,22.35,22.35,21.52,22.06,20585237,[0 0]
20101004,22.18,22.74,22.17,22.72,15476193,[1 0]
20101005,22.87,22.95,22.46,22.7,15995659,[0 1]
20101006,22.59,23.5,22.3,22.43,13738498,[0 0]
20101007,23.14,23.5,22.6,23.18,14226285,[1 0]
20101008,23.0,23.15,22.78,23.04,9291705,[1 1]
20101011,22.99,23.14,22.6,22.6,9920072,[1 0]
20101013,22.9,23.39,22.66,23.15,12666830,[0 0]
20101014,23.1,23.39,22.7,22.7,12075502,[0 1]
