date,open,max,min,close,volume,y
20050715,18.0,18.2,17.61,18.2,3353121200,[1 0]
20050718,18.22,18.39,18.05,18.35,601129000,[0 0]
20050719,18.1,18.24,18.1,18.22,330211900,[0 0]
20050720,18.22,18.22,18.15,18.2,570050800,[0 0]
20050721,18.24,18.3,18.15,18.2,568093400,[0 0]
20050722,18.2,18.2,18.15,18.15,440524500,[0 1]
20050725,18.15,18.15,17.85,18.15,420979500,[1 0]
20050726,18.0,18.05,17.9,18.0,338269000,[0 1]
20050727,17.9,18.0,17.9,18.0,95444100,[1 0]
20050728,18.3,18.3,17.85,18.0,638053500,[1 0]
20050729,18.1,18.16,17.9,18.0,622937300,[0 1]
20050801,18.0,18.0,17.9,18.0,105776100,[1 1]
20050802,17.91,18.11,17.9,18.1,155842100,[0 1]
20050803,18.15,18.7,18.0,18.68,316514000,[0 0]
20050804,18.7,18.9,18.5,18.64,1161572800,[1 0]
20050805,18.64,18.64,18.02,18.39,357693300,[0 1]
20050808,18.37,18.9,18.37,18.88,1711176200,[1 1]
20050809,18.95,19.5,18.95,19.5,381298600,[1 1]
20050810,19.5,19.69,19.2,19.35,106533800,[0 1]
20050811,19.0,19.49,19.0,19.49,209430500,[1 1]
20050812,19.0,19.2,19.0,19.2,18436000,[1 1]
20050815,19.2,19.2,19.0,19.11,123748600,[1 0]
20050816,19.2,19.2,18.75,19.14,22919400,[0 0]
20050817,19.14,19.5,19.0,19.2,160565200,[0 0]
20050818,19.38,19.5,19.3,19.4,113287800,[1 0]
20050819,19.0,19.1,18.85,19.0,54316300,[1 1]
20050822,19.3,19.3,19.0,19.25,41557600,[1 1]
20050823,19.3,19.5,19.1,19.1,69768700,[1 0]
20050824,19.1,19.4,19.1,19.1,547925300,[0 0]
20050825,19.35,19.48,19.1,19.48,106034200,[1 0]
20050826,19.45,19.5,19.11,19.38,46360300,[0 0]
20050829,19.2,19.35,19.2,19.35,11921000,[1 0]
20050830,19.4,19.65,19.2,19.6,142884200,[0 1]
20050831,19.64,20.2,19.6,20.2,334341600,[0 1]
20050901,19.8,20.69,19.8,20.69,477956700,[0 0]
20050902,20.5,22.3,20.5,21.97,582294200,[1 1]
20050905,21.76,22.25,21.76,22.0,295911300,[0 1]
20050906,21.98,22.0,21.9,21.9,625563900,[1 1]
20050908,21.99,22.0,21.6,22.0,343961200,[0 1]
20050909,22.0,22.3,21.8,22.1,313852300,[0 0]
20050912,22.1,22.55,22.09,22.2,48158100,[1 0]
20050913,22.5,22.5,22.05,22.4,821746900,[1 1]
20050914,22.4,23.5,22.3,22.98,161007000,[0 1]
20050915,23.8,23.8,23.0,23.25,213057100,[1 1]
20050916,23.1,23.2,22.1,23.0,215848900,[1 0]
20050919,23.0,23.0,22.15,22.25,202885900,[1 0]
20050920,22.49,22.49,21.2,21.9,54027400,[0 1]
20050921,21.9,21.99,21.4,21.7,14441400,[1 1]
20050922,21.65,21.65,20.7,21.0,276944500,[1 1]
20050923,21.5,21.5,20.79,21.4,191033500,[0 0]
20050926,21.25,21.59,21.25,21.4,260422500,[0 0]
20050927,21.4,22.0,21.3,21.45,400368600,[1 1]
20050928,21.79,22.25,21.75,22.0,335445100,[0 1]
20050929,22.2,23.49,22.0,22.75,309999800,[0 1]
20050930,23.1,23.5,22.9,23.1,116471500,[0 1]
20051003,23.48,23.85,23.39,23.65,244944200,[0 1]
20051004,24.0,24.1,23.2,23.2,164552100,[0 1]
20051005,23.2,23.3,22.5,22.55,191757600,[0 1]
20051006,22.11,22.15,21.1,22.08,120739400,[1 1]
20051007,22.9,22.9,22.15,22.6,149991200,[1 1]
20051010,22.6,22.6,22.0,22.5,38706300,[0 0]
20051011,22.45,22.5,22.4,22.4,16420500,[1 0]
20051013,22.39,22.39,21.51,21.9,26713600,[1 1]
20051014,21.82,22.5,21.51,22.45,10482100,[0 0]
20051017,22.45,22.45,21.8,22.45,24229000,[1 1]
20051018,22.45,22.45,22.1,22.1,33645000,[0 1]
20051019,22.0,22.45,21.9,22.45,53616200,[0 0]
20051020,22.89,22.89,21.5,21.8,162369400,[0 0]
20051021,22.19,22.2,21.8,22.0,77069900,[0 0]
20051024,22.0,22.0,21.8,21.8,18867700,[1 1]
20051025,21.65,21.65,19.9,20.39,458513900,[0 0]
20051026,20.39,21.0,19.81,20.75,711549700,[0 1]
20051027,20.75,20.9,20.3,20.89,135230200,[1 0]
20051028,20.99,21.0,20.35,20.5,78971600,[1 1]
20051031,21.0,21.0,20.6,21.0,141224200,[1 0]
20051101,21.2,22.0,20.6,21.1,924978200,[0 0]
20051103,21.6,22.5,21.26,21.26,2100901200,[1 1]
20051104,21.26,21.8,20.4,20.99,349917400,[1 0]
20051107,21.0,21.5,20.15,21.27,499195600,[1 0]
20051108,21.25,21.38,20.5,21.2,823504100,[0 0]
20051109,21.2,21.7,20.75,21.2,447110600,[0 1]
20051110,21.5,21.5,20.91,21.25,183214700,[1 0]
20051111,21.25,21.25,20.8,20.8,168156300,[1 1]
20051114,21.0,21.0,20.41,20.89,12307400,[0 0]
20051116,21.0,21.0,20.5,21.0,604773300,[1 1]
20051117,21.0,21.1,20.9,20.9,547986900,[0 0]
20051118,21.6,22.0,21.6,21.9,500882600,[0 1]
20051121,22.0,22.5,21.8,22.5,1200639000,[0 0]
20051122,22.9,23.45,22.15,22.9,1043901700,[0 1]
20051123,23.35,23.75,23.0,23.4,273901200,[1 0]
20051124,23.3,23.49,23.0,23.25,265823700,[1 1]
20051125,23.39,23.8,23.1,23.5,105377000,[0 0]
20051128,23.5,24.05,22.6,23.2,462213000,[0 0]
20051129,23.2,23.2,22.7,22.7,185830100,[1 0]
20051130,22.5,23.2,22.3,23.0,476151200,[1 1]
20051201,23.4,24.0,23.1,23.1,93773800,[0 1]
20051202,23.0,23.8,23.0,23.4,572477400,[1 0]
20051205,23.3,24.0,23.0,23.8,214417500,[0 1]
20051206,24.2,24.5,24.0,24.33,460340000,[0 1]
20051207,24.8,24.8,23.5,24.2,175453100,[0 1]
