date,open,max,min,close,volume,y
20050715,17.99,18.17,17.7,18.0,13966088,[1 0]
20050718,18.15,18.31,18.0,18.31,4628133,[0 1]
20050719,18.1,18.23,17.8,18.23,2466366,[0 1]
20050720,18.2,18.2,18.0,18.0,1852666,[0 0]
20050721,18.11,18.24,18.1,18.1,2458210,[1 0]
20050722,18.1,18.2,18.05,18.05,906730,[1 1]
20050725,18.15,18.15,17.8,18.15,3258075,[1 1]
20050726,18.0,18.0,17.8,17.95,622036,[0 1]
20050727,17.9,18.0,16.51,17.6,460396,[1 0]
20050728,18.0,18.0,17.81,17.95,1255316,[1 0]
20050729,18.0,18.1,17.9,17.9,437410,[0 1]
20050801,16.52,18.02,16.52,18.02,474504,[1 1]
20050802,16.55,18.1,16.55,18.1,890757,[0 1]
20050803,16.62,18.6,16.62,18.6,3898228,[1 0]
20050804,18.6,18.8,17.8,18.8,1680742,[1 1]
20050805,18.42,18.42,18.2,18.2,106288,[1 0]
20050808,18.4,18.9,18.4,18.9,1154367,[1 1]
20050809,18.9,19.49,18.81,19.45,6716289,[1 0]
20050810,19.45,19.48,18.0,19.15,1694464,[1 1]
20050811,18.97,19.35,18.97,19.35,1105908,[0 1]
20050812,19.0,19.0,18.61,19.0,931995,[0 1]
20050815,19.0,19.0,18.5,18.5,562290,[0 1]
20050816,19.19,19.19,18.51,18.51,373758,[0 1]
20050817,19.1,19.35,19.0,19.0,1263178,[0 0]
20050818,19.3,19.35,19.2,19.2,549910,[1 0]
20050819,19.0,19.0,18.08,18.08,332674,[1 1]
20050822,19.1,19.1,19.1,19.1,191450,[0 1]
20050823,19.1,19.4,19.0,19.35,1586215,[1 0]
20050824,19.0,19.0,19.0,19.0,38000,[1 0]
20050825,19.29,19.4,19.29,19.39,406234,[1 0]
20050826,19.3,19.49,18.91,19.4,648408,[1 0]
20050829,18.08,19.5,18.08,19.5,664062,[0 0]
20050830,18.51,19.5,18.51,19.5,1714567,[0 0]
20050831,19.5,19.84,19.5,19.65,3041264,[0 1]
20050901,19.8,20.45,19.8,20.45,881225,[0 1]
20050902,20.6,22.0,20.5,22.0,2272814,[0 0]
20050905,21.5,21.5,20.5,20.5,288350,[1 1]
20050906,21.9,21.99,21.2,21.2,169334,[1 0]
20050908,22.1,22.2,20.0,22.2,353980,[0 1]
20050909,21.5,22.1,20.9,22.1,744277,[0 0]
20050912,22.1,22.5,20.5,22.2,642280,[1 1]
20050913,22.05,23.5,22.0,22.0,634286,[1 1]
20050914,22.38,23.49,20.5,23.49,578054,[1 1]
20050915,23.1,23.25,20.51,20.51,511205,[0 1]
20050916,23.25,23.25,22.0,22.0,655817,[0 0]
20050919,22.4,22.4,21.01,21.01,412648,[0 1]
