date,open,max,min,close,volume,y
20120409,12.08,12.1,11.6,11.85,5550050,[0 0]
20120410,11.68,11.68,10.71,11.2,9633029,[0 1]
20120411,11.3,11.35,10.46,10.87,10153800,[0 1]
20120412,10.7,10.85,10.4,10.63,12631384,[0 1]
20120413,10.76,10.9,10.31,10.7,8756075,[1 1]
20120416,10.7,10.86,10.39,10.53,7260908,[1 0]
20120417,10.62,11.36,10.62,10.69,10741783,[1 0]
20120418,10.53,10.94,10.4,10.68,8558132,[1 0]
20120419,10.84,11.29,10.84,11.04,8286686,[0 1]
20120420,11.06,11.45,11.06,11.31,7895988,[1 0]
20120423,11.11,11.71,11.03,11.71,11492140,[0 0]
20120424,11.06,12.56,11.06,12.55,13341068,[1 0]
20120425,11.81,12.92,11.81,12.41,11533415,[0 1]
20120426,12.25,12.53,12.19,12.45,5760931,[1 0]
20120427,12.32,12.8,12.32,12.42,12185718,[0 1]
20120430,12.62,12.99,12.5,12.5,11766539,[0 0]
20120514,11.0,11.0,10.68,10.95,2900993,[0 0]
20120515,10.7,10.99,10.33,10.35,4089415,[1 1]
20120516,10.36,10.93,10.12,10.5,2888854,[1 0]
20120517,10.3,10.49,9.51,9.99,2620372,[0 1]
20120518,9.9,10.33,9.55,9.87,2399121,[1 1]
20120521,9.9,10.25,9.9,10.25,1741585,[0 1]
20120522,10.11,10.49,9.98,10.06,2015765,[0 1]
20120523,10.01,10.31,9.51,9.89,2348362,[0 1]
20120524,9.45,9.66,9.18,9.43,1412030,[0 1]
20120525,10.0,10.0,9.33,9.36,1144877,[0 0]
20120528,9.45,9.78,9.4,9.45,2170075,[1 0]
20120529,9.62,9.8,9.45,9.77,1872329,[1 0]
20120530,9.31,9.67,9.3,9.67,1500195,[1 0]
20120531,9.35,9.79,9.34,9.34,2345951,[0 1]
20120601,9.01,9.5,9.01,9.5,1461119,[0 1]
20120604,9.27,9.46,8.95,8.95,1439413,[1 0]
20120605,8.96,9.0,8.54,8.84,1987627,[0 1]
20120606,8.46,8.97,8.46,8.76,1328957,[1 1]
20120608,8.7,9.35,8.45,8.45,2387554,[1 0]
20120611,9.02,9.6,9.01,9.1,3727072,[0 1]
20120612,9.17,9.62,9.15,9.62,1502569,[0 0]
20120613,9.35,9.88,9.35,9.69,2633012,[0 1]
20120614,9.4,9.87,9.4,9.62,2250214,[0 1]
20120615,9.84,10.39,9.69,10.08,3694174,[0 0]
20120618,9.81,10.35,9.72,10.35,2330946,[0 1]
20120619,9.91,10.0,9.62,9.62,2992121,[0 1]
20120620,9.67,9.69,9.43,9.68,1982321,[0 1]
20120621,9.6,9.6,9.34,9.57,1055703,[0 1]
20120622,9.43,9.58,9.35,9.58,817768,[1 1]
20120625,9.26,9.43,8.98,9.28,1314400,[1 1]
20120626,9.2,9.86,9.2,9.86,3586599,[0 1]
20120627,9.22,9.8,9.22,9.51,2648765,[1 0]
20120628,9.45,9.87,9.45,9.87,1162587,[0 0]
20120629,9.52,9.87,9.37,9.37,3211361,[1 0]
20120702,9.46,9.9,9.32,9.85,3095248,[0 0]
20120703,9.7,10.62,9.7,10.59,5355050,[0 1]
20120704,10.21,11.0,10.21,10.37,2369640,[1 0]
20120705,10.9,11.0,10.6,10.66,1822948,[0 0]
