date,open,max,min,close,volume,y
20120409,9.61,9.79,9.36,9.7,4161395500,[0 0]
20120410,9.68,9.84,9.28,9.38,5084230800,[0 0]
20120411,9.42,9.53,8.91,9.15,6740778700,[1 1]
20120412,9.27,9.27,8.91,8.91,4685186300,[1 1]
20120413,8.9,9.05,8.56,8.76,5946044200,[1 0]
20120416,8.83,8.9,8.65,8.8,3636946900,[1 1]
20120417,8.89,9.44,8.88,8.95,19143116600,[1 1]
20120418,8.98,9.3,8.74,9.27,12851021600,[1 1]
20120419,9.29,9.7,9.15,9.55,8271473200,[0 0]
20120420,9.66,9.86,9.58,9.7,7061779400,[0 1]
20120423,9.55,10.2,9.53,10.15,9430349100,[1 1]
20120424,10.24,11.0,10.1,10.82,12540102300,[0 0]
20120425,10.98,11.1,10.53,10.95,12432319700,[0 1]
20120426,10.9,11.05,10.75,11.05,7252774000,[0 1]
20120427,11.1,11.54,11.05,11.47,11774486600,[0 0]
20120430,11.59,11.59,11.29,11.49,13700766600,[0 0]
20120514,9.39,9.45,9.01,9.01,5328246400,[0 1]
20120515,9.1,9.26,8.76,8.78,6119679300,[0 1]
20120516,9.03,9.05,8.63,8.65,4868663400,[0 0]
20120517,8.71,8.76,8.28,8.28,5169548800,[1 0]
20120518,8.34,8.6,8.3,8.43,5224349400,[1 1]
20120521,8.46,8.58,8.36,8.57,5082456900,[0 0]
20120522,8.58,8.88,8.45,8.65,6397572000,[0 1]
20120523,8.65,8.81,8.11,8.25,5952587400,[0 0]
20120524,8.25,8.31,7.85,8.04,3878481900,[1 1]
20120525,8.15,8.26,7.85,8.0,5086750500,[1 1]
20120528,8.11,8.28,8.0,8.28,1319075700,[1 1]
20120529,8.31,8.43,8.1,8.18,3571956300,[1 0]
20120530,8.08,8.36,7.96,8.22,3527470200,[1 1]
20120531,8.26,8.36,8.0,8.0,5557768300,[0 1]
20120601,7.96,8.11,7.89,8.0,3063905000,[0 1]
20120604,8.0,8.01,7.71,7.74,3231334600,[1 0]
20120605,7.82,7.83,7.45,7.53,5113929900,[0 0]
20120606,7.58,7.78,7.51,7.52,4963126100,[1 1]
20120608,7.45,7.75,7.33,7.65,2852105900,[0 0]
20120611,7.68,7.75,7.59,7.61,2070150700,[1 0]
20120612,7.66,7.89,7.56,7.89,5269831200,[1 1]
20120613,7.91,8.13,7.8,7.89,7944813200,[0 1]
20120614,7.89,7.94,7.77,7.84,2532335000,[0 1]
20120615,7.85,8.19,7.81,8.18,6553571100,[0 0]
20120618,8.02,8.18,7.97,7.97,3192991200,[0 1]
20120619,8.06,8.08,7.86,7.98,4009414100,[0 0]
20120620,8.01,8.16,7.88,8.05,5855178500,[0 1]
20120621,8.03,8.14,7.96,8.03,2828423400,[0 0]
20120622,8.12,8.12,7.99,8.0,1933795000,[1 1]
20120625,7.93,7.99,7.81,7.95,1395383000,[1 1]
20120626,8.07,8.38,7.91,8.37,3977526200,[1 0]
20120627,8.35,8.44,8.24,8.24,2760838700,[0 1]
20120628,8.18,8.38,8.16,8.18,2215808500,[1 0]
20120629,8.35,8.44,8.22,8.25,2921916400,[0 1]
20120702,8.28,8.57,8.22,8.5,5114690600,[1 1]
20120703,8.59,9.1,8.59,9.01,7808226800,[0 0]
20120704,8.93,9.45,8.87,9.42,3534633200,[1 1]
20120705,9.45,9.52,9.25,9.49,7960895700,[0 0]
20120706,9.37,9.64,9.3,9.54,3660777800,[1 1]
20120710,9.57,9.73,9.51,9.6,5633055300,[0 1]
20120711,9.67,9.73,9.23,9.33,8658874700,[1 0]
20120712,9.2,9.56,9.15,9.53,4877778000,[1 0]
20120713,9.61,9.65,9.24,9.54,3305758600,[0 0]
20120716,9.45,9.55,9.32,9.41,4134636100,[0 0]
20120717,9.47,9.7,9.4,9.6,3703300400,[0 1]
20120718,9.62,9.72,9.16,9.17,7708595400,[0 0]
20120719,9.12,9.65,9.1,9.55,7644000900,[1 0]
20120720,9.49,9.68,9.42,9.58,3538083900,[1 1]
20120723,9.34,9.53,9.26,9.38,2983801500,[1 0]
20120724,9.39,9.45,9.2,9.31,2912258500,[1 0]
20120725,9.4,9.41,9.16,9.2,3090602000,[1 1]
20120726,9.3,9.6,9.22,9.6,4839363200,[0 0]
20120727,9.7,10.0,9.52,9.9,6117361900,[1 1]
20120730,9.95,10.27,9.93,10.27,3828568800,[0 1]
20120731,10.3,10.38,9.76,10.18,7503940900,[0 0]
20120801,10.08,10.15,9.29,9.43,9940696600,[1 1]
20120802,9.3,9.5,9.03,9.15,6752350500,[0 1]
20120803,9.52,9.54,9.04,9.17,6808467700,[1 0]
20120806,9.17,9.42,9.14,9.32,3417988000,[0 1]
20120807,9.35,9.54,9.24,9.25,4240717100,[1 1]
20120808,9.31,9.39,9.26,9.35,5332111800,[0 1]
20120809,9.29,9.5,9.26,9.34,7181553500,[0 0]
20120810,9.34,9.43,9.17,9.4,5036157900,[1 1]
20120813,9.39,9.39,9.09,9.1,4782920000,[1 0]
20120814,9.15,9.21,8.9,8.9,6449113500,[0 0]
20120815,8.86,9.0,8.65,8.69,7771593300,[1 0]
20120816,8.76,8.98,8.67,8.81,7339637700,[1 1]
20120817,8.9,8.92,8.53,8.6,8609057700,[1 0]
20120830,7.54,7.8,7.52,7.75,4624584100,[1 1]
20120831,7.85,7.88,7.56,7.71,6022427500,[1 0]
20120903,7.74,7.91,7.65,7.91,3019088600,[1 0]
20120904,7.89,7.92,7.62,7.65,6377028700,[1 1]
20120905,7.71,7.74,7.53,7.59,4446544500,[0 0]
20120906,7.59,7.86,7.55,7.84,6763594800,[1 0]
20120910,7.86,7.97,7.77,7.88,3333247000,[0 0]
20120911,7.94,8.2,7.89,8.16,7884195800,[1 1]
20120912,8.25,8.39,7.96,8.2,7057861200,[1 0]
20120913,8.16,8.42,8.13,8.4,5867632100,[0 0]
20120914,8.48,8.48,8.21,8.3,15103413200,[1 0]
20120917,8.3,8.4,8.3,8.3,3632714600,[0 0]
20120918,8.25,8.55,8.24,8.4,3167888000,[0 0]
20120919,8.41,8.59,8.38,8.51,4309465900,[1 0]
20120920,8.4,8.41,8.26,8.4,4092517600,[1 1]
20120921,8.44,8.44,8.11,8.11,5685234000,[0 1]
20120924,8.1,8.26,8.1,8.22,4829673000,[1 0]
20120925,8.22,8.3,8.14,8.25,3238235500,[0 0]
20120926,8.25,8.31,8.15,8.3,5513196200,[0 1]
20120927,8.35,8.35,8.2,8.26,4476883700,[1 1]
