date,open,max,min,close,volume,y
20100322,750.0,760.0,680.01,700.0,36781605200,[1 1]
20100323,700.0,719.9,680.0,718.0,9631599900,[0 0]
20100324,713.99,738.89,713.99,737.0,7368846300,[0 0]
20100325,742.0,742.0,720.0,720.0,3127822400,[0 0]
20100326,720.0,726.5,706.5,715.0,2583059400,[0 0]
20100329,732.0,732.0,695.01,710.0,1861841800,[0 1]
20100330,703.0,708.0,693.0,708.0,1312001000,[0 0]
20100331,705.0,710.0,692.0,700.0,2312549400,[1 1]
20100401,700.03,702.85,693.0,700.0,844892100,[1 0]
20100405,700.0,700.0,691.01,699.99,1285279500,[0 0]
20100406,699.5,699.5,681.0,685.0,790995600,[0 0]
20100407,675.0,675.0,605.01,660.0,7748928900,[0 0]
20100408,649.0,700.0,649.0,700.0,8287331400,[1 1]
20100409,686.5,689.98,660.05,660.05,2317365700,[1 1]
20100412,665.0,665.0,602.0,605.0,3719876500,[0 0]
20100413,613.0,640.0,600.0,609.01,4265960000,[0 0]
20100414,620.0,620.0,605.0,616.5,2174014400,[1 0]
20100415,618.0,634.99,617.99,631.5,1924313400,[0 0]
20100416,638.5,638.5,615.0,615.0,712589900,[1 1]
20100419,605.1,623.25,605.0,611.0,442499700,[0 0]
20100420,613.01,617.0,607.0,607.03,275104200,[1 1]
20100422,603.1,606.0,590.03,592.0,447421900,[0 0]
20100423,595.0,595.0,568.0,584.99,772258100,[1 1]
20100426,577.0,584.98,571.0,574.99,316758100,[1 1]
20100427,570.0,575.0,552.0,556.99,837809600,[0 1]
20100428,559.99,575.5,555.0,560.0,533462800,[1 0]
20100429,561.0,597.0,561.0,576.0,1650878100,[0 0]
20100430,585.0,600.0,575.77,593.99,2198620600,[0 0]
20100503,593.99,600.0,589.0,596.03,1563138600,[0 1]
20100504,582.0,584.0,560.0,571.0,1345366200,[0 0]
20100505,561.0,575.0,552.0,562.0,2063555200,[1 1]
20100506,562.0,569.98,530.0,531.0,1627141600,[0 1]
20100507,535.3,535.3,490.0,490.0,2873978700,[1 1]
20100510,525.01,527.0,505.01,512.01,816313000,[0 0]
20100511,500.0,510.0,483.0,490.01,1045676300,[0 0]
20100512,495.0,495.0,460.0,483.01,1020560000,[1 0]
20100513,485.5,507.0,461.01,465.0,755416200,[0 0]
20100514,474.0,490.0,462.0,479.0,1120883800,[0 0]
20100517,480.0,504.99,470.0,502.0,682787300,[0 0]
20100518,500.0,502.0,470.0,470.0,1945570600,[0 1]
20100519,470.0,470.0,445.0,458.0,1490524100,[1 1]
20100520,458.0,475.01,453.0,465.0,697896600,[1 1]
20100521,465.0,483.0,465.0,468.49,1125901200,[1 1]
20100524,479.99,479.99,453.5,460.0,157585200,[0 0]
20100525,448.44,455.0,444.0,445.0,382687700,[1 1]
20100526,451.03,465.0,451.03,460.0,368429900,[0 0]
20100527,460.1,477.0,449.01,465.0,2027850100,[0 1]
20100528,470.0,488.9,465.1,488.9,153116800,[1 1]
20100531,487.0,520.0,487.0,509.99,439748900,[0 0]
20100601,498.99,510.01,496.51,500.0,502755900,[1 1]
20100602,509.99,529.01,509.99,520.0,364622200,[1 0]
20100604,520.0,529.0,518.0,529.0,520643900,[1 0]
20100607,528.0,528.0,500.51,513.0,363335900,[0 1]
20100608,513.0,524.8,499.99,509.0,392078900,[0 1]
20100609,520.0,521.0,488.0,488.0,773065600,[0 0]
20100610,486.0,502.99,480.0,488.0,878467600,[0 1]
20100611,497.5,500.0,486.0,487.99,421602000,[1 1]
20100614,500.0,501.99,470.0,475.0,700747200,[1 1]
20100615,483.0,499.0,477.0,494.89,651542100,[0 1]
20100616,490.0,490.0,469.01,471.5,551968200,[1 1]
20100617,461.0,465.0,448.0,453.01,793282900,[0 1]
20100618,455.01,475.0,455.0,475.0,774775600,[0 1]
20100621,485.0,485.0,473.0,478.0,114475900,[1 0]
20100622,470.0,485.0,470.0,475.0,181512800,[0 0]
20100623,474.97,478.95,472.1,476.0,99925100,[1 1]
20100624,479.5,482.7,472.55,479.5,162582700,[0 0]
20100625,484.99,510.0,484.99,510.0,608499900,[1 1]
20100628,510.0,520.0,500.5,504.0,194485500,[0 1]
20100629,493.99,497.8,472.0,485.0,386072000,[0 1]
20100630,489.1,498.3,470.0,470.0,240408200,[1 0]
20100701,471.0,471.0,459.99,465.0,507373200,[0 0]
20100702,465.1,471.0,463.3,467.5,598080800,[1 0]
20100705,467.5,467.5,467.5,467.5,4675000,[0 1]
20100706,475.0,477.99,460.0,460.0,323785600,[1 0]
20100707,465.0,467.99,445.0,458.0,251113500,[0 0]
20100708,460.0,460.0,442.01,450.0,279611600,[0 1]
20100712,453.01,453.01,431.0,431.0,218862900,[1 1]
20100713,426.0,435.97,420.0,425.01,394633300,[1 0]
20100714,421.11,422.99,415.01,419.0,134005800,[1 1]
20100715,415.01,419.99,409.0,417.8,550151100,[1 1]
20100716,411.0,432.99,411.0,432.5,771768000,[0 0]
20100719,432.49,439.49,429.99,433.01,125795000,[1 1]
20100720,435.11,449.93,435.1,445.0,261334200,[1 1]
20100721,447.0,498.89,447.0,490.0,2411717900,[0 1]
20100722,500.0,524.88,492.01,503.0,1275379700,[1 0]
20100723,518.0,540.0,496.01,533.9,989323300,[1 0]
20100726,535.0,567.5,527.03,547.0,1310055900,[0 0]
20100727,547.5,547.5,525.0,534.0,235217200,[1 0]
20100728,535.0,538.0,525.0,533.5,217749900,[0 0]
20100729,529.99,535.0,521.01,535.0,126789800,[0 0]
20100730,543.0,544.0,539.99,540.01,64990200,[0 0]
20100802,534.65,542.0,534.65,540.0,296590100,[1 0]
20100803,535.0,544.99,525.75,533.0,803492500,[1 0]
20100804,532.01,537.3,513.0,528.0,99842300,[0 0]
20100805,529.99,540.0,529.99,531.8,255247900,[0 0]
20100806,537.0,537.0,522.04,533.0,297100300,[1 0]
20100809,540.0,540.0,540.0,540.0,27000000,[1 0]
20100810,538.49,538.5,525.01,530.0,144116600,[1 1]
20100811,514.16,526.99,511.12,512.0,149541400,[0 1]
20100812,519.49,519.49,505.0,519.0,627214000,[1 0]
20100813,519.99,533.0,492.01,530.0,2080220200,[0 0]
20100816,529.99,538.9,525.0,531.99,3138964500,[0 1]
20100817,530.0,530.0,525.0,529.49,526135600,[0 0]
20100818,529.49,532.0,525.0,529.99,153704900,[0 0]
20100819,538.0,542.99,500.0,509.0,606753400,[0 0]
20100820,509.0,509.0,497.82,498.5,85527200,[0 0]
20100823,510.0,510.0,495.0,507.99,306198600,[1 0]
20100824,500.0,500.01,492.0,492.0,1797828500,[1 0]
20100825,496.01,500.0,489.01,500.0,213410400,[0 1]
20100826,500.01,502.0,498.0,500.0,485021500,[0 1]
20100827,492.01,500.99,490.0,492.0,306188200,[0 1]
20100830,495.01,495.01,472.0,479.99,294762800,[1 1]
