date,open,max,min,close,volume,y
20111013,320.96,320.96,320.96,320.96,32096,[1 0]
20111017,350.0,350.0,350.0,350.0,175000,[0 1]
20111019,335.0,350.0,334.01,350.0,2756592,[1 0]
20111024,335.0,335.0,335.0,335.0,100500,[1 0]
20111027,340.0,340.0,340.0,340.0,340000,[1 0]
20111031,379.0,379.0,360.0,360.0,19588055,[1 1]
20111114,12.95,12.95,12.86,12.86,135705,[0 0]
20111117,12.4,13.0,12.0,13.0,60800,[1 1]
20111118,13.2,13.99,12.95,12.95,402622,[1 0]
20111121,13.05,13.05,12.0,13.02,151355,[0 0]
20111122,12.2,12.2,11.73,11.73,59353,[1 1]
20111123,12.92,12.92,12.92,12.92,2584,[0 0]
20111125,12.93,12.93,12.93,12.93,6465,[0 0]
20111128,12.19,12.19,12.0,12.0,121079,[0 1]
20111130,12.05,12.05,11.99,11.99,120277,[1 0]
20111201,12.9,12.9,12.07,12.08,131268,[1 1]
20111202,12.25,12.25,12.25,12.25,33075,[0 0]
20111205,12.6,12.6,12.6,12.6,88200,[0 1]
20111206,12.67,12.67,12.39,12.39,155935,[1 1]
20111207,12.3,12.3,12.3,12.3,92250,[1 1]
20111208,12.3,12.3,12.2,12.2,49000,[1 1]
20111209,12.0,12.93,12.0,12.93,81051,[0 0]
20111212,13.09,13.98,11.75,12.98,81612,[1 0]
20111213,13.96,13.96,11.7,11.7,120575,[0 0]
20111216,13.97,13.97,11.67,11.7,443099,[0 1]
20111219,11.53,12.0,11.53,11.55,91286,[1 1]
20111220,11.53,11.53,11.5,11.5,28810,[0 1]
20111221,10.8,10.8,10.72,10.72,111552,[0 1]
20111222,11.14,11.14,10.96,10.96,60460,[0 1]
20111223,11.2,11.2,11.0,11.0,111980,[1 0]
20111228,11.38,11.38,10.99,10.99,112950,[0 1]
20111229,11.22,11.22,11.22,11.22,35904,[1 0]
20120102,11.5,11.5,11.5,11.5,57500,[1 0]
20120103,11.4,11.59,11.3,11.3,262365,[1 1]
20120104,11.37,11.37,11.28,11.28,226688,[1 0]
20120105,11.5,11.5,10.7,10.9,112777,[1 0]
20120110,11.43,11.88,11.0,11.04,326244,[0 1]
20120111,11.25,11.25,10.7,11.1,343498,[1 1]
20120112,11.15,11.29,11.0,11.29,134721,[0 1]
20120113,11.85,11.85,11.5,11.6,251380,[1 1]
20120116,11.6,11.98,11.47,11.98,130490,[0 0]
20120117,11.95,12.25,11.95,12.25,264400,[1 0]
20120118,12.24,12.68,12.24,12.68,166199,[0 0]
20120119,13.0,13.78,12.65,12.65,296928,[1 0]
20120120,13.0,13.0,12.5,12.5,163550,[0 1]
20120123,12.6,14.0,12.6,14.0,1194984,[0 0]
20120124,13.25,13.25,13.15,13.17,485249,[0 0]
20120126,13.17,13.34,13.17,13.17,108368,[1 0]
20120127,12.96,12.96,12.6,12.6,213689,[0 1]
20120130,12.64,12.64,12.6,12.6,63028,[1 0]
