date,open,max,min,close,volume,y
20070914,28.48,28.97,27.95,28.15,2769598,[0 0]
20070917,28.07,28.2,27.17,27.66,3032009,[1 0]
20070918,28.01,29.0,27.27,27.27,4116708,[1 1]
20070919,28.65,28.86,27.75,28.39,5044394,[0 0]
20070920,27.75,28.65,27.35,27.5,4375735,[0 0]
20070921,28.3,28.3,27.55,28.15,3873724,[1 0]
20070924,28.6,28.92,28.27,28.5,8078817,[1 0]
20070925,29.0,29.0,28.13,28.5,3299724,[0 1]
20070926,28.81,28.96,28.5,28.5,4276441,[1 1]
20070927,28.46,28.97,28.06,28.5,5195622,[1 0]
20070928,28.57,28.57,27.85,27.9,3970812,[0 0]
20071001,28.08,28.5,27.9,28.16,4179812,[0 0]
20071002,28.2,28.41,27.66,27.93,3603567,[1 0]
20071003,28.5,28.5,27.8,28.15,2612973,[0 0]
20071004,27.9,28.0,27.16,27.27,5701816,[1 0]
20071005,27.3,28.09,26.62,27.11,9154290,[0 1]
20071008,27.38,28.79,27.38,28.7,6911569,[1 1]
20071009,29.02,29.48,29.0,29.3,10189062,[1 0]
20071010,29.4,30.07,29.01,30.05,10960166,[0 1]
20071011,30.17,30.6,29.83,30.6,8216115,[0 1]
20071015,30.2,30.5,29.8,30.1,6841920,[0 0]
20071016,30.1,30.17,29.3,29.69,3220394,[1 0]
20071017,29.49,29.5,28.42,29.29,8016537,[1 1]
20071018,28.91,29.0,27.9,27.92,5393971,[0 0]
20071019,29.0,29.05,27.8,27.81,3546616,[1 1]
20071022,27.71,28.38,27.56,28.02,2836665,[1 1]
20071023,27.8,28.5,27.8,28.0,2684322,[1 1]
20071024,28.31,28.48,27.51,27.84,3817969,[1 1]
20071025,28.19,28.19,26.86,27.0,6805781,[0 1]
20071026,27.3,27.5,26.76,27.5,2838607,[1 0]
20071029,27.4,28.0,27.34,27.5,5620311,[1 0]
20071030,27.69,27.89,27.4,27.5,4673422,[0 0]
20071031,27.8,28.0,27.23,27.71,5121275,[1 0]
20071101,28.0,28.0,27.26,27.9,6660789,[1 1]
20071105,27.9,28.52,27.35,28.5,5478535,[1 0]
20071106,28.58,29.65,28.58,29.65,7844782,[0 0]
20071107,29.6,29.7,29.2,29.51,3065331,[0 1]
20071108,29.2,29.9,28.41,28.41,4087089,[1 1]
20071109,28.21,29.5,28.21,29.5,3936600,[0 0]
20071112,29.4,29.4,28.2,28.2,2545374,[0 1]
20071113,28.0,30.22,28.0,30.19,9455893,[0 0]
20071114,30.23,30.23,29.0,30.0,5882223,[0 1]
20071116,29.0,30.5,29.0,29.62,4502186,[0 1]
20071119,29.5,30.19,28.9,29.75,3443854,[0 1]
20071121,29.6,29.6,28.11,28.15,2784643,[1 1]
20071122,28.5,29.54,28.12,28.3,4510414,[1 0]
20071123,28.2,28.98,27.8,28.98,1739151,[0 0]
20071126,28.6,28.6,26.79,28.1,1991527,[1 0]
20071127,28.0,28.1,26.79,27.7,2358569,[0 1]
20071128,27.6,29.21,27.6,28.4,2924519,[0 1]
20071129,28.42,29.53,28.34,29.34,2934959,[0 1]
20071130,29.5,30.24,29.33,29.55,5181896,[1 1]
20071203,30.0,30.2,29.7,29.7,2839438,[0 1]
20071204,30.15,30.15,29.58,30.0,2624263,[1 1]
20071205,30.15,31.2,30.15,31.05,8729891,[1 0]
20071206,31.0,31.44,30.74,31.1,3748447,[1 1]
20071207,30.26,33.3,30.26,33.3,13781680,[0 0]
20071210,33.03,33.45,32.3,33.0,7856274,[0 1]
20071211,33.1,35.0,33.1,34.6,16899330,[1 0]
20071212,34.15,35.83,34.15,35.2,9824632,[0 0]
20071213,35.1,35.1,33.71,34.3,5652625,[0 0]
20071214,34.02,35.0,33.83,34.55,5332682,[1 0]
20071217,34.6,34.6,32.5,33.01,4213171,[1 1]
20071218,33.0,33.99,31.95,32.4,3584741,[0 1]
20071219,33.0,33.0,31.7,31.7,2677525,[0 0]
20071220,32.0,32.5,32.0,32.5,824100,[1 0]
20071221,32.4,33.5,32.4,32.4,1826702,[1 1]
20071226,33.0,33.2,32.63,33.0,1977668,[0 0]
20071227,32.87,33.15,32.51,33.04,2033808,[0 1]
20071228,33.0,34.0,32.51,34.0,4210680,[0 1]
20080102,34.0,34.0,32.5,33.49,3223798,[0 0]
20080103,33.08,33.08,31.81,32.5,939094,[0 0]
20080104,32.3,32.3,30.37,31.0,2319677,[0 1]
20080107,30.7,31.0,30.25,30.45,2202610,[0 0]
20080108,30.11,31.35,30.11,30.8,887462,[1 0]
20080109,30.33,31.5,30.33,31.5,1295910,[0 0]
20080110,31.5,32.49,31.4,31.52,1347756,[0 1]
