date,open,max,min,close,volume,y
20000705,54.4,55.3,53.5,55.0,2805343400,[0 0]
20000706,54.0,54.5,53.02,53.59,1775476800,[1 0]
20000707,53.6,54.0,51.5,51.8,2433683800,[0 0]
20000710,51.5,53.0,51.2,52.05,1579225200,[1 0]
20000711,52.05,52.05,48.5,49.0,1497205000,[0 1]
20000712,49.8,50.0,47.0,48.49,2890894000,[1 1]
20000713,48.5,48.6,47.11,47.4,875939600,[0 0]
20000714,48.0,49.0,47.3,48.81,994537300,[1 1]
20000717,50.6,50.6,47.8,48.4,7343063400,[0 0]
20000718,48.0,48.3,47.01,47.2,1510974800,[0 1]
20000719,47.0,48.0,46.7,47.7,1519063200,[1 0]
20000720,48.0,50.5,48.0,49.8,1392412400,[1 0]
20000721,49.5,50.99,49.4,50.0,1289366300,[0 1]
20000724,50.0,50.5,48.7,48.85,1149232300,[0 0]
20000725,49.0,49.49,46.8,47.6,1867450800,[1 1]
20000726,47.0,48.51,46.7,48.0,1245397400,[1 0]
20000727,48.0,48.6,47.0,48.1,2044311800,[0 1]
20000728,48.2,48.2,45.89,46.4,1674482700,[1 0]
20000731,47.0,47.94,46.4,46.4,503116000,[1 1]
20000801,47.0,47.5,45.1,45.99,1342359200,[1 1]
20000802,46.0,47.0,45.1,47.0,1220421900,[0 0]
20000803,45.5,48.5,45.5,48.0,564763700,[0 1]
20000804,48.5,48.8,45.0,46.1,2158931300,[1 0]
20000807,46.5,47.6,45.51,47.5,8313582000,[1 0]
20000808,47.5,47.5,44.6,45.65,7951068500,[0 0]
20000809,46.5,46.5,43.79,44.8,15207378500,[0 0]
20000810,44.5,51.51,44.0,51.51,32736091400,[0 1]
20000811,51.0,52.49,48.5,51.5,12097749900,[0 0]
20000814,51.5,51.5,50.5,51.3,7037477100,[1 1]
20000815,51.3,53.0,50.9,51.4,7558647700,[1 0]
20000816,52.0,53.8,51.2,53.01,12210795500,[0 1]
20000817,53.01,56.0,53.0,55.21,11730337500,[1 1]
20000818,55.3,55.51,51.5,52.8,6778583100,[1 0]
20000821,52.51,53.2,51.7,52.06,4040211100,[0 1]
20000822,52.0,53.3,52.0,53.3,4356705900,[1 1]
20000823,52.76,54.8,52.75,54.8,7197124800,[0 0]
20000824,54.5,54.5,53.5,53.5,3873339600,[1 1]
20000825,54.0,55.3,53.2,54.9,7305682400,[0 0]
20000828,54.9,55.1,54.4,54.99,3038242100,[0 0]
20000829,54.5,56.51,54.5,56.51,6613720400,[1 1]
20000830,56.4,59.8,56.4,58.7,12485211000,[1 0]
20000831,58.7,59.0,57.4,57.65,8648838100,[1 0]
20000901,58.0,58.1,56.6,56.8,3815166900,[1 1]
20000904,57.5,57.5,56.7,56.7,552461100,[0 0]
20000905,56.6,57.5,56.3,57.15,3058921400,[0 1]
20000906,57.5,60.5,57.39,59.85,5726210900,[1 1]
20000908,59.8,60.5,59.0,59.66,3652698700,[1 0]
20000911,59.0,61.0,58.5,60.39,5362799600,[1 0]
20000912,60.8,60.8,58.5,58.9,5689571300,[0 0]
20000913,58.0,58.8,56.8,56.8,4843656100,[0 0]
20000914,57.6,57.7,55.5,55.52,3705188100,[0 0]
20000915,55.6,57.4,54.9,55.52,2006743600,[0 0]
20000918,55.52,56.4,54.4,54.8,3428639400,[1 0]
20000919,55.2,55.5,54.4,54.4,2144088600,[0 1]
20000920,54.7,56.6,54.4,55.9,5825044300,[0 1]
20000921,55.9,55.9,53.95,54.4,2234973400,[1 1]
20000922,52.0,54.3,52.0,53.56,3088247800,[1 0]
20000925,53.8,54.5,52.9,54.0,2785910400,[0 0]
20000926,54.2,56.45,54.0,55.4,2133762600,[0 1]
20000927,56.0,57.3,55.0,55.8,5232655100,[0 1]
20000928,55.5,56.3,55.0,55.2,1842738900,[1 1]
20000929,55.2,55.7,54.8,55.2,1935414300,[1 0]
20001002,55.2,55.8,55.1,55.4,6842200400,[0 0]
20001003,55.6,56.2,55.3,55.9,3002953000,[1 0]
20001004,55.9,56.1,55.2,55.92,2120470500,[0 1]
20001005,55.9,56.3,55.0,56.1,3053244600,[0 1]
20001006,56.0,56.3,54.11,55.0,1871370800,[1 1]
20001009,55.0,55.3,54.12,54.8,1827869000,[0 0]
20001010,55.3,57.0,55.0,56.4,3568290600,[1 0]
20001011,56.5,57.35,56.5,56.51,3634016500,[0 1]
20001013,58.5,58.9,57.5,57.7,2560753000,[1 0]
20001016,57.7,57.7,55.8,56.01,2624299100,[0 0]
20001017,56.0,56.2,53.97,53.97,2561597800,[1 1]
20001018,52.99,54.5,52.0,54.31,10500070700,[0 1]
20001019,54.99,55.9,54.5,55.7,5187399600,[1 0]
20001020,55.5,56.2,54.5,54.6,2239836200,[1 1]
20001023,54.0,54.9,52.8,53.0,2266536100,[0 0]
20001024,53.5,53.5,50.7,51.0,5094837300,[0 1]
20001025,50.0,51.6,49.8,50.5,5206037900,[0 1]
20001026,50.5,54.5,50.4,53.98,4453787700,[0 1]
20001027,54.0,54.7,53.6,54.0,3906801700,[1 1]
20001030,54.0,55.9,53.01,55.81,3464774300,[0 1]
20001031,55.8,56.5,54.8,55.3,4388354100,[1 1]
20001101,54.79,56.0,53.9,56.0,2019226700,[0 0]
20001103,56.0,56.5,54.6,54.79,2067349200,[0 0]
20001106,54.0,55.99,54.0,55.41,1756170500,[0 1]
20001107,54.8,56.8,54.8,56.79,3828790400,[0 0]
20001108,56.79,57.6,56.1,56.1,3815120500,[1 0]
20001109,56.1,56.2,54.3,55.2,4011244400,[1 1]
20001110,55.3,55.49,54.0,54.61,2782553300,[0 1]
20001113,53.51,54.9,53.51,54.8,1716951600,[1 1]
