date,open,max,min,close,volume,y
20010102,45.88,47.6,45.88,47.0,7150883,[1 1]
20010103,47.06,49.5,46.5,49.5,13184411,[0 0]
20010104,49.5,50.19,48.0,49.99,10131089,[1 0]
20010105,49.98,50.95,49.01,49.8,10190275,[1 1]
20010108,50.99,50.99,49.0,49.5,6758254,[0 1]
20010109,50.0,50.75,49.93,50.3,9913010,[1 1]
20010110,51.0,51.0,49.6,49.8,10060356,[1 0]
20010111,50.0,51.0,50.0,50.8,7828528,[1 0]
20010112,51.2,51.8,50.82,51.5,8063195,[0 1]
20010115,51.49,51.7,51.05,51.2,7459097,[1 0]
20010116,51.5,52.6,51.39,52.3,10763984,[0 0]
20010117,52.43,54.75,52.43,53.1,12969287,[1 1]
20010118,53.35,54.56,53.09,54.3,10105832,[1 1]
20010119,52.6,55.5,52.5,55.5,14243960,[0 0]
20010122,55.1,55.29,54.2,54.2,8425574,[1 1]
20010123,54.6,56.0,54.6,55.85,12825903,[0 0]
20010124,55.5,56.2,54.0,55.1,9784454,[0 1]
20010126,55.5,55.5,53.8,54.15,10871176,[0 1]
20010129,54.4,54.99,53.51,54.4,9428378,[0 0]
20010130,55.0,55.0,54.0,54.8,7366629,[1 1]
20010131,54.45,55.08,54.2,54.4,8857577,[0 0]
20010201,54.31,54.31,53.25,53.9,5781272,[1 1]
20010202,53.19,54.2,53.19,53.51,7229857,[0 0]
20010205,55.0,55.0,53.2,53.55,5713247,[0 0]
20010206,53.5,54.6,53.42,54.0,8798989,[0 1]
20010207,54.0,54.5,53.0,54.5,8615152,[0 0]
20010208,54.1,55.9,54.1,55.9,10490859,[1 0]
20010209,56.0,56.2,55.0,55.8,12792529,[1 0]
20010212,56.01,56.5,55.02,55.7,9979685,[0 1]
20010213,55.8,56.88,55.6,56.55,11306634,[1 1]
20010214,56.4,58.15,56.0,58.15,14732764,[1 0]
20010215,57.0,58.6,57.0,57.75,13881814,[0 1]
20010216,57.9,58.0,55.02,56.99,13014407,[1 0]
20010219,57.0,57.0,55.4,55.5,8559468,[0 0]
