date,open,max,min,close,volume,y
20061026,24.75,25.3,24.34,25.0,276610196,[0 1]
20061027,25.51,26.0,24.36,24.36,14374892,[1 0]
20061030,25.0,25.75,24.97,25.75,7173940,[1 1]
20061031,25.99,27.01,25.65,27.0,6943907,[1 0]
20061101,26.5,27.3,26.4,27.0,5332575,[1 1]
20061103,27.0,27.4,26.8,27.25,2512204,[0 1]
20061106,27.0,28.89,27.0,27.55,2168245,[0 1]
20061107,27.85,28.0,27.7,28.0,606873,[1 0]
20061108,28.0,28.1,27.5,27.51,1178068,[1 0]
20061109,28.0,28.0,27.41,27.78,996800,[0 1]
20061110,27.6,28.2,27.56,28.2,1385447,[0 1]
20061113,28.1,28.45,27.9,28.2,3620201,[1 1]
20061114,28.49,28.5,28.0,28.5,1079765,[1 1]
20061116,28.5,28.5,27.71,27.71,441761,[1 0]
20061117,27.46,28.18,27.15,28.18,1067134,[1 1]
20061121,28.1,28.5,28.0,28.5,2357156,[0 0]
20061122,28.0,28.3,27.52,27.52,645294,[1 0]
20061123,28.2,28.25,26.0,27.98,955769,[0 0]
20061124,27.0,27.5,27.0,27.42,569465,[1 0]
20061127,27.0,27.25,27.0,27.25,56775,[1 0]
20061128,27.4,27.5,27.4,27.5,334872,[0 1]
20061129,27.5,27.7,27.0,27.0,613339,[0 1]
20061130,27.7,27.8,27.2,27.5,534470,[1 0]
20061201,27.0,30.0,27.0,29.2,3770348,[1 0]
20061204,29.0,29.25,29.0,29.25,426725,[1 1]
20061205,29.0,29.5,28.05,29.3,367935,[1 1]
20061206,29.0,29.99,29.0,29.33,1618913,[1 1]
20061207,29.29,30.0,29.28,30.0,1189184,[0 1]
20061208,29.8,29.8,29.0,29.7,845020,[0 1]
20061211,30.0,31.5,30.0,31.5,1991343,[1 0]
20061212,31.5,33.99,31.5,33.99,1203028,[0 0]
20061213,34.2,34.2,32.83,32.83,704720,[0 0]
20061214,32.02,32.6,31.9,31.9,517998,[1 0]
20061215,32.5,33.79,32.0,33.79,301678,[1 0]
20061219,29.2,32.0,29.2,31.5,3562677,[1 0]
20061220,31.8,31.8,30.51,30.51,962078,[0 0]
20061221,29.5,29.5,29.4,29.4,111970,[1 0]
20061222,29.0,30.1,28.75,30.0,388050,[0 0]
20061227,29.69,29.69,29.69,29.69,29690,[0 1]
20061228,29.0,29.95,29.0,29.95,243030,[1 1]
20070102,29.45,29.94,29.45,29.94,56004,[0 1]
20070103,29.5,29.85,29.5,29.5,468485,[0 1]
20070104,29.6,31.0,29.6,31.0,952340,[1 1]
20070108,30.0,30.0,28.0,28.0,306300,[1 0]
20070109,29.0,29.6,27.9,29.0,448400,[1 0]
20070110,29.0,30.5,29.0,30.5,67447,[0 1]
20070111,29.5,29.5,29.5,29.5,97350,[0 0]
20070112,29.95,33.99,29.8,33.99,354632,[1 0]
20070116,30.0,30.15,30.0,30.0,126150,[0 1]
20070117,30.0,30.21,30.0,30.21,138210,[0 1]
20070118,31.09,32.2,31.0,32.2,1154248,[1 1]
20070119,33.7,33.7,33.7,33.7,60660,[0 0]
20070122,34.0,34.4,34.0,34.4,621515,[1 0]
20070123,35.0,37.01,35.0,35.2,877891,[0 1]
20070124,35.0,37.65,35.0,35.72,1544518,[1 1]
20070126,35.98,36.99,34.85,34.85,1981244,[0 0]
20070129,35.01,35.5,34.5,35.5,563273,[0 1]
20070130,35.54,35.6,34.91,34.91,930739,[1 1]
20070131,35.0,35.1,34.6,35.1,395850,[0 1]
20070201,35.9,39.35,35.9,39.35,1957001,[1 0]
20070202,39.35,39.36,37.0,37.99,1446854,[0 0]
20070205,38.2,38.2,35.99,36.7,824872,[1 1]
20070206,37.0,37.0,36.0,36.5,664990,[1 1]
20070207,36.0,36.0,35.0,36.0,1259073,[1 0]
20070208,35.8,35.8,34.0,34.89,457482,[1 1]
20070209,35.7,35.7,35.48,35.48,212776,[1 1]
20070212,35.25,35.39,35.25,35.39,400492,[0 0]
20070213,36.5,36.5,36.5,36.5,182500,[1 1]
20070214,35.01,35.8,35.01,35.8,182913,[1 1]
20070215,36.99,36.99,36.99,36.99,110970,[1 0]
20070216,36.0,36.0,34.01,35.93,293967,[1 0]
20070221,35.6,35.8,35.6,35.8,46420,[1 1]
20070222,36.5,36.5,35.15,35.15,218600,[0 0]
20070223,35.7,35.7,35.7,35.7,10710,[1 0]
20070227,34.5,34.5,28.51,34.0,91956,[1 0]
20070228,33.89,33.89,33.89,33.89,209161,[1 0]
20070301,33.6,33.6,32.0,33.0,406400,[1 1]
20070305,33.0,33.0,31.0,31.0,315519,[0 0]
20070306,32.0,33.25,32.0,33.25,522550,[1 1]
20070307,34.5,34.86,33.56,33.56,792452,[1 0]
20070309,35.9,36.69,35.3,35.6,362701,[1 0]
20070312,34.0,35.01,34.0,35.01,156030,[1 0]
