date,open,max,min,close,volume,y
20070806,10.8,10.8,9.48,10.6,575648,[0 1]
20070807,11.0,11.0,10.5,10.5,279640,[0 0]
20070808,10.75,11.5,10.75,11.1,485625,[0 1]
20070809,10.71,10.89,10.71,10.89,47394,[1 0]
20070810,10.35,10.79,10.35,10.79,121164,[1 1]
20070813,10.8,10.8,10.4,10.4,333516,[1 1]
20070814,11.0,11.0,10.79,10.79,86740,[1 0]
20070815,10.0,10.29,9.8,9.88,460456,[1 0]
20070816,9.8,9.8,8.0,8.0,540273,[0 1]
20070817,8.6,9.5,8.05,8.76,662904,[1 0]
20070820,9.1,9.68,8.8,9.0,326444,[1 0]
20070821,9.15,9.48,8.8,9.25,266741,[1 0]
20070822,9.3,9.89,9.11,9.3,385302,[1 0]
20070823,9.98,10.2,9.45,9.71,509952,[1 0]
20070824,9.64,9.85,9.32,9.5,503604,[1 1]
20070827,9.7,9.96,9.7,9.96,235275,[0 0]
20070828,9.93,9.93,9.75,9.75,397056,[1 0]
20070829,9.54,10.15,9.54,10.15,488472,[0 0]
20070830,10.3,10.35,10.1,10.3,386295,[1 1]
20070831,10.5,10.6,10.5,10.6,352145,[1 0]
20070903,10.8,10.8,10.5,10.5,281497,[0 0]
20070904,10.6,10.85,10.53,10.76,251853,[0 0]
20070905,10.61,10.8,10.61,10.7,188654,[0 0]
20070906,10.85,11.0,10.85,11.0,541564,[1 0]
20070910,11.3,11.3,10.55,10.55,383968,[1 0]
20070911,10.82,10.83,10.52,10.56,196083,[1 0]
20070912,10.55,10.6,10.5,10.5,654555,[0 1]
20070913,10.6,10.69,10.6,10.69,108210,[0 0]
20070914,10.24,10.5,10.24,10.24,148470,[1 0]
20070917,10.21,10.59,10.21,10.59,124487,[0 1]
20070918,10.5,10.8,10.46,10.8,222201,[0 0]
20070919,10.8,10.9,10.71,10.71,301753,[1 1]
20070920,10.77,10.8,10.65,10.65,309136,[0 1]
20070921,10.8,10.95,10.74,10.88,371238,[0 1]
20070924,10.8,11.0,10.8,10.85,692826,[1 0]
20070925,10.96,10.97,10.7,10.82,290635,[0 0]
20070926,10.75,10.9,10.66,10.82,450167,[0 1]
20070927,10.9,10.9,10.71,10.85,523098,[0 0]
20070928,11.0,11.2,10.8,11.2,820239,[1 1]
20071001,11.5,11.5,11.26,11.4,1082085,[1 0]
20071002,11.5,11.5,11.18,11.4,507724,[0 1]
20071003,11.83,11.83,10.7,11.3,679887,[0 0]
20071004,11.47,11.5,11.11,11.3,238766,[1 0]
20071005,11.25,11.49,11.11,11.16,537066,[1 0]
20071008,11.11,11.29,11.01,11.1,351644,[0 0]
20071009,11.11,11.15,11.0,11.1,445291,[1 1]
20071010,11.1,11.1,10.95,10.99,361595,[1 1]
20071011,11.0,11.43,10.96,11.3,574130,[0 1]
20071015,11.0,11.1,10.71,10.95,513107,[0 1]
20071016,10.7,11.15,10.5,11.02,514957,[0 0]
