date,open,max,min,close,volume,y
20050623,8.99,8.99,8.99,8.99,35960000,[1 0]
20050627,9.2,9.2,9.2,9.2,460000,[0 0]
20050630,8.98,8.98,8.98,8.98,89800,[0 1]
20050701,8.98,8.98,8.98,8.98,1077600,[0 0]
20050706,8.9,8.9,8.9,8.9,1780000,[0 0]
20050713,8.9,8.9,8.9,8.9,445000,[0 0]
20050714,8.9,9.0,8.48,9.0,281686200,[0 1]
20050718,9.0,9.0,9.0,9.0,270000,[1 1]
20050720,7.8,8.5,7.8,8.5,9220000,[1 0]
20050721,8.01,8.01,8.01,8.01,400500,[0 1]
20050722,8.0,8.0,8.0,8.0,4320000,[0 1]
20050725,7.5,8.0,7.5,8.0,775000,[1 0]
20050727,8.0,8.0,7.99,7.99,1358800,[0 0]
20050729,7.5,7.5,7.5,7.5,150000,[1 0]
20050802,8.0,8.0,8.0,8.0,80000,[0 1]
20050808,8.1,8.1,8.1,8.1,487000,[0 1]
20050809,8.0,8.9,8.0,8.9,12945300,[1 0]
20050810,9.3,9.4,9.0,9.0,12115000,[1 1]
20050811,8.51,8.51,8.5,8.5,595500,[1 1]
20050812,8.0,8.5,8.0,8.5,420000,[0 0]
20050815,9.0,9.0,9.0,9.0,90000,[1 1]
20050816,9.7,10.0,9.5,10.0,3812500,[0 1]
20050817,10.0,11.0,9.9,10.5,13316400,[1 1]
20050818,10.8,11.01,9.9,9.9,6290200,[0 1]
20050819,9.9,9.9,9.9,9.9,396000,[0 0]
20050822,10.0,10.0,10.0,10.0,500000000,[0 0]
20050823,10.0,10.0,10.0,10.0,1200000,[0 1]
20050825,9.99,9.99,9.95,9.95,298900,[1 1]
20050826,9.92,10.0,9.92,9.92,6386800,[1 0]
20050829,10.0,10.0,10.0,10.0,2000000,[0 1]
20050831,9.9,9.95,9.9,9.95,298000,[1 1]
20050902,10.0,10.0,10.0,10.0,2000000,[0 0]
20050905,10.2,10.2,10.2,10.2,510000,[0 0]
20050913,9.98,9.98,9.98,9.98,998000,[0 1]
20050915,9.9,10.0,9.9,10.0,3090000,[0 1]
20050916,10.8,10.8,10.2,10.7,4662000,[0 0]
20050919,10.9,11.0,10.6,10.8,15665500,[0 1]
20050920,11.4,11.6,11.4,11.5,2985900,[0 1]
20050921,11.4,12.5,11.4,12.5,3751000,[0 1]
20050922,11.5,11.5,11.5,11.5,115000,[0 1]
20050923,11.5,11.5,11.5,11.5,4140000,[1 0]
20050926,11.7,11.99,11.7,11.99,4363800,[0 0]
20050927,12.0,12.49,11.8,12.49,6295200,[0 1]
20050929,12.5,12.5,11.7,11.7,362000,[0 0]
20050930,12.5,12.8,12.5,12.5,378000,[1 1]
20051003,12.7,12.7,12.7,12.7,635000,[0 0]
20051004,13.0,13.8,13.0,13.7,1357000,[0 0]
20051005,12.5,12.5,12.0,12.0,1850000,[1 1]
20051010,12.99,12.99,12.97,12.99,2725400,[0 0]
20051020,12.49,12.49,12.49,12.49,624500,[1 0]
20051021,11.01,12.1,11.01,12.1,2109000,[1 1]
20051024,12.1,12.1,12.1,12.1,3025000,[1 0]
20051026,12.1,12.1,12.1,12.1,2420000,[0 0]
20051027,12.1,12.1,12.1,12.1,121000,[1 1]
20051031,12.4,12.5,12.4,12.5,1995000,[1 1]
20051109,12.5,13.49,12.5,13.49,3612600,[0 0]
20051110,13.5,13.6,13.5,13.5,2030000,[1 1]
20051111,13.8,13.8,13.8,13.8,1242000,[1 1]
20051123,13.78,13.78,13.78,13.78,137800,[1 1]
20051208,13.69,13.69,13.69,13.69,1369000,[1 1]
20051209,13.65,14.0,13.65,14.0,2616900,[0 0]
20051212,14.0,14.2,14.0,14.2,1410000,[1 1]
20051213,14.3,15.0,14.3,15.0,3204800,[0 1]
20051216,14.5,14.5,14.5,14.5,145000,[1 0]
20051219,14.5,14.5,14.5,14.5,3625000,[1 1]
20051220,14.0,14.0,14.0,14.0,140000,[1 1]
20051221,13.99,13.99,13.99,13.99,2798000,[0 0]
20051227,13.94,13.94,13.94,13.94,697000,[1 1]
20060105,13.0,14.0,13.0,14.0,8929900,[0 0]
20060110,13.0,13.0,13.0,13.0,130000,[1 0]
20060111,14.0,14.0,14.0,14.0,140000,[1 1]
20060116,14.0,14.0,14.0,14.0,140000,[1 1]
20060117,13.0,13.0,13.0,13.0,780000,[0 1]
20060118,12.99,12.99,12.99,12.99,1299000,[0 0]
20060119,13.0,13.0,13.0,13.0,1950000,[1 1]
20060120,12.99,13.0,12.99,13.0,7017500,[1 1]
20060123,13.99,13.99,13.99,13.99,139900,[0 0]
20060124,13.98,13.98,13.98,13.98,2796000,[1 0]
20060420,14.0,14.0,14.0,14.0,140000,[0 0]
20060425,14.0,14.0,14.0,14.0,1400000,[0 1]
20060426,14.4,14.5,14.4,14.5,3619000,[1 0]
20060428,15.5,15.5,15.39,15.39,308900,[1 1]
20060503,14.0,15.1,14.0,15.1,442000,[1 1]
20060509,14.5,14.5,14.5,14.5,101500000,[1 0]
20060510,14.5,14.5,14.5,14.5,14500000,[0 1]
20060511,12.71,12.71,12.71,12.71,1271000,[1 1]
20060512,13.0,14.5,13.0,14.5,830000,[1 1]
20060517,13.5,13.5,13.5,13.5,20250000,[0 1]
20060518,12.5,13.5,12.5,13.5,7685000,[1 0]
20060519,14.0,14.0,14.0,14.0,140000,[0 0]
20060523,14.5,14.5,14.5,14.5,95265000,[0 1]
20060526,14.5,14.5,14.5,14.5,1305000,[0 0]
20060621,14.49,14.49,14.49,14.49,1159200,[1 1]
20060713,13.01,13.01,13.01,13.01,130100,[0 1]
20060721,13.0,13.0,13.0,13.0,1560000,[1 0]
20060726,13.99,13.99,13.99,13.99,139900,[1 0]
20060728,14.0,14.0,14.0,14.0,14700000,[0 0]
20060803,14.0,14.0,14.0,14.0,2940000,[0 1]
20060804,14.0,14.0,14.0,14.0,13440000,[0 0]
20060808,14.49,14.5,14.49,14.5,22184800,[1 0]
20060809,14.5,14.5,14.5,14.5,580000,[0 1]
20060815,15.0,15.5,15.0,15.5,3675000,[0 1]
20060816,15.6,16.0,15.6,16.0,1756000,[0 0]
20060817,16.5,16.5,16.5,16.5,3630000,[1 0]
20060818,16.5,16.5,16.5,16.5,9900000,[0 1]
20060822,15.0,16.0,15.0,16.0,6550000,[0 0]
20060823,16.0,16.0,16.0,16.0,400640000,[0 0]
20060824,16.7,17.2,16.7,17.2,1017000,[1 1]
20060825,18.0,18.0,17.5,17.5,3690000,[1 0]
20060828,18.0,18.9,18.0,18.8,20570000,[1 0]
20060829,19.0,19.45,19.0,19.0,11870000,[1 0]
20060901,17.5,18.99,17.5,18.99,106699500,[1 0]
20060904,18.5,18.5,18.5,18.5,740000,[0 0]
20060905,19.0,19.5,19.0,19.5,11785000,[1 0]
20060906,19.25,19.8,19.1,19.8,10784000,[0 1]
20060908,19.9,20.0,19.9,20.0,10599000,[0 1]
20060914,20.5,20.5,20.5,20.5,1640000,[1 0]
20060915,20.9,20.9,20.9,20.9,627000,[0 0]
20061003,21.0,21.0,21.0,21.0,1680000,[0 0]
20061005,21.4,22.0,21.4,22.0,2835000,[0 0]
