date,open,max,min,close,volume,y
19980319,12.4,12.4,12.4,12.4,3472000,[0 0]
19980324,12.0,12.0,12.0,12.0,1320000,[0 0]
19980325,12.0,12.0,12.0,12.0,1200000,[0 0]
19980326,12.0,12.0,12.0,12.0,2400000,[0 0]
19980330,11.9,11.9,11.9,11.9,1190000,[0 1]
19980401,11.9,11.9,11.9,11.9,119000,[0 0]
19980402,11.9,11.9,11.9,11.9,238000,[0 1]
19980406,11.7,11.7,11.5,11.5,3236000,[0 0]
19980407,11.0,11.2,11.0,11.2,1664000,[0 0]
19980413,11.2,11.2,11.1,11.1,335000,[1 0]
19980422,11.4,11.4,11.4,11.4,114000,[0 0]
19980427,11.01,11.01,11.01,11.01,110100,[0 0]
19980428,11.01,11.01,11.01,11.01,110100,[0 0]
19980504,11.0,11.0,11.0,11.0,440000,[0 1]
19980506,11.01,11.01,11.01,11.01,220200,[1 0]
19980507,11.0,11.0,11.0,11.0,110000,[1 0]
19980513,10.7,10.7,10.7,10.7,107000,[0 0]
19980514,10.6,10.6,10.6,10.6,212000,[0 0]
19980526,10.5,10.5,10.5,10.5,2310000,[0 0]
19980701,9.8,9.8,9.8,9.8,98000,[0 0]
19980702,9.4,9.4,9.0,9.0,814000,[0 0]
19980717,9.0,9.0,9.0,9.0,2340000,[0 0]
19980824,7.88,7.88,7.88,7.88,23640000,[0 1]
19980827,7.88,7.88,7.88,7.88,28368000,[1 0]
19980902,7.0,7.0,7.0,7.0,8400000,[1 0]
19980909,6.44,6.44,5.99,5.99,4257400,[0 0]
19980915,5.0,5.0,5.0,5.0,600000,[0 0]
19980921,5.0,5.0,5.0,5.0,750000,[0 1]
19981105,6.0,6.0,6.0,6.0,1200000,[0 0]
19981112,6.01,6.01,6.01,6.01,721200,[0 0]
19981119,6.0,6.0,6.0,6.0,1800000,[0 1]
19981124,6.2,6.2,6.2,6.2,9300000,[0 1]
19981127,6.2,6.2,6.2,6.2,9300000,[0 1]
19981130,6.2,6.2,6.2,6.2,12400000,[1 0]
19981203,6.2,6.2,6.2,6.2,10974000,[0 0]
19981204,6.2,6.2,6.2,6.2,248000,[0 1]
19981210,6.2,6.2,6.2,6.2,9300000,[1 0]
19981214,6.2,6.2,6.2,6.2,20212000,[0 1]
19981215,6.2,6.2,6.2,6.2,620000,[1 0]
19981216,6.2,6.2,6.2,6.2,186000,[1 0]
19981217,6.2,6.2,6.2,6.2,13082000,[0 0]
19981221,6.2,6.2,6.2,6.2,11532000,[1 0]
19981223,6.2,6.2,6.2,6.2,1240000,[0 1]
19981229,6.2,6.2,6.2,6.2,9300000,[1 0]
19990119,6.2,6.2,6.2,6.2,62000,[0 0]
19990210,5.95,5.95,5.95,5.95,2856000,[0 1]
19990217,6.0,6.0,6.0,6.0,2700000,[1 0]
19990406,6.3,6.3,6.3,6.3,63000,[1 1]
19990407,6.2,6.2,6.2,6.2,620000,[0 0]
19990519,8.0,8.0,8.0,8.0,800000,[0 0]
19990521,8.0,8.0,8.0,8.0,1200000,[0 1]
19990525,8.0,8.0,8.0,8.0,80000,[0 0]
19990611,8.0,8.0,8.0,8.0,800000,[0 1]
19990708,8.0,8.0,8.0,8.0,240000,[1 0]
19990713,8.0,8.0,8.0,8.0,560000,[0 0]
19990723,8.0,8.0,8.0,8.0,4560000,[0 1]
19990820,8.5,8.5,8.5,8.5,170000,[0 1]
19990825,8.0,8.0,8.0,8.0,1360000,[0 1]
19990903,7.5,8.0,7.5,8.0,1360000,[0 1]
19990908,8.0,8.0,8.0,8.0,80000,[1 0]
19990920,7.5,7.5,7.5,7.5,225000,[0 0]
19990921,7.5,7.5,7.5,7.5,675000,[1 1]
19991005,7.51,7.51,7.51,7.51,75100,[0 0]
19991008,7.51,7.51,7.51,7.51,751000,[1 0]
19991020,8.0,8.0,8.0,8.0,560000,[0 0]
19991025,7.5,7.5,7.5,7.5,7425000,[1 0]
19991110,8.3,8.3,8.3,8.3,498000,[1 0]
19991117,8.7,8.7,8.7,8.7,870000,[0 1]
19991118,8.0,8.0,8.0,8.0,1200000,[0 1]
19991119,8.0,8.0,8.0,8.0,1600000,[0 0]
19991122,8.0,8.0,8.0,8.0,800000,[0 0]
19991123,8.0,8.0,8.0,8.0,400000,[1 0]
