date,open,max,min,close,volume,y
19980511,2.14,2.14,2.14,2.14,85600,[0 0]
19980520,2.14,2.14,2.14,2.14,128400,[1 0]
19980604,1.96,1.97,1.96,1.97,58900,[0 0]
19980605,2.0,2.0,2.0,2.0,20000,[0 1]
19980618,1.95,1.95,1.95,1.95,39000,[1 0]
19980701,1.95,1.95,1.95,1.95,58500,[0 0]
19980702,1.95,1.95,1.95,1.95,78000,[1 0]
19980819,1.5,1.5,1.5,1.5,15000,[0 0]
19980825,1.74,1.74,1.74,1.74,17400,[0 0]
19981127,2.8,2.8,2.8,2.8,588000,[0 0]
19990318,1.5,1.5,1.5,1.5,45000,[0 0]
19990322,1.5,1.5,1.5,1.5,450000,[0 0]
19990323,1.5,1.5,1.5,1.5,330000,[0 1]
19990408,1.7,1.7,1.7,1.7,340000,[0 0]
19990409,1.5,1.5,1.5,1.5,600000,[0 1]
19990412,1.5,1.5,1.5,1.5,300000,[0 0]
19990413,1.5,1.5,1.5,1.5,300000,[0 0]
19990504,1.5,1.5,1.5,1.5,1950000,[1 1]
19990525,1.5,1.5,1.5,1.5,450000,[0 1]
19990622,1.5,1.5,1.5,1.5,225000,[0 1]
19990623,1.5,1.5,1.4,1.44,940000,[1 1]
19990722,1.39,1.39,1.39,1.39,139000,[1 0]
19990723,1.3,1.3,1.3,1.3,130000,[0 0]
19990817,1.3,1.3,1.3,1.3,12909000,[0 0]
19991103,1.21,1.21,1.21,1.21,48400,[1 1]
19991119,1.2,1.2,1.2,1.2,48000,[1 0]
19991214,1.81,1.81,1.81,1.81,1773800,[1 0]
19991227,1.7,1.7,1.7,1.7,8160000,[0 1]
20000119,1.5,1.5,1.5,1.5,300000,[0 0]
20000112,1.5,1.5,1.5,1.5,90000,[0 0]
20000118,1.6,1.6,1.6,1.6,1184000,[0 1]
20000203,1.5,1.5,1.5,1.5,105000,[0 0]
20000215,1.5,1.5,1.5,1.5,36000000,[1 1]
20000216,1.5,1.5,1.5,1.5,630000,[0 1]
20000217,1.5,1.5,1.5,1.5,1440000,[1 0]
20000222,1.7,1.7,1.7,1.7,170000,[1 1]
20000223,1.8,2.0,1.8,2.0,4000000,[0 1]
20000310,2.0,2.0,2.0,2.0,180000,[0 1]
20000413,2.2,2.2,2.2,2.2,8800000,[1 0]
20000605,2.1,2.1,2.1,2.1,21000,[1 0]
20000609,2.2,2.2,2.2,2.2,20372000,[0 1]
20000615,2.3,2.3,2.3,2.3,4600000,[0 1]
20000621,2.4,2.4,2.4,2.4,4800000,[0 0]
20000626,2.5,2.5,2.5,2.5,2500000,[0 0]
20000705,2.5,2.5,2.5,2.5,850000,[1 1]
20000717,2.5,2.5,2.5,2.5,500000,[0 0]
20000718,2.5,2.5,2.5,2.5,13000000,[1 0]
20000719,2.5,2.5,2.5,2.5,7000000,[0 0]
20000721,2.5,2.5,2.5,2.5,2500000,[0 1]
20000816,2.56,2.56,2.56,2.56,4352000,[0 0]
20000912,2.6,2.6,2.6,2.6,26000,[1 1]
20000919,2.7,2.7,2.7,2.7,108000,[1 0]
20001218,2.7,2.7,2.7,2.7,297000,[0 0]
20010205,3.1,3.1,3.1,3.1,31000,[1 0]
20010425,3.1,3.1,3.1,3.1,217000,[0 0]
20010606,3.0,3.0,3.0,3.0,90000,[0 0]
20010607,3.2,3.2,3.2,3.2,640000,[0 1]
20010611,3.2,3.2,3.2,3.2,32000,[1 0]
20010618,3.2,3.2,3.2,3.2,128000,[0 0]
20010802,3.0,3.0,3.0,3.0,240000,[1 0]
20010807,3.0,3.0,3.0,3.0,540000,[0 0]
20010904,2.7,2.7,2.7,2.7,216000,[1 1]
20010905,3.0,3.0,3.0,3.0,60000,[1 0]
20011017,3.0,3.0,3.0,3.0,510000,[1 0]
20011018,2.7,2.9,2.7,2.9,805000,[0 0]
20011019,3.0,3.0,3.0,3.0,60000,[0 0]
20011030,3.19,3.2,3.19,3.2,127800,[0 1]
20011031,3.2,3.2,3.2,3.2,160000,[1 0]
20011107,3.4,3.4,3.4,3.4,68000,[0 0]
20011130,3.59,3.59,3.59,3.59,107700,[0 1]
20011205,3.5,3.5,3.5,3.5,105000,[0 1]
20011211,3.51,3.51,3.51,3.51,3510000,[0 1]
20011220,3.7,3.7,3.7,3.7,74000,[0 0]
20020118,3.6,3.6,3.6,3.6,360000,[0 0]
20020129,3.55,3.7,3.55,3.7,784000,[0 0]
20020130,3.7,3.7,3.7,3.7,296000,[0 0]
20020221,3.75,3.75,3.75,3.75,750000,[1 1]
20020225,3.8,3.8,3.8,3.8,760000,[1 0]
20020226,3.8,3.8,3.8,3.8,760000,[1 0]
20020315,3.91,4.0,3.91,4.0,791000,[0 0]
20020325,3.9,3.9,3.9,3.9,390000,[0 0]
20020326,3.9,3.9,3.9,3.9,351000,[0 0]
20020401,3.98,3.98,3.98,3.98,398000,[1 0]
20020416,3.8,3.9,3.8,3.9,229000,[0 1]
20020430,4.0,4.0,4.0,4.0,40000,[1 1]
20020506,3.9,3.9,3.9,3.9,117000,[1 1]
20020508,3.9,3.9,3.9,3.9,39000,[0 0]
20020614,3.9,3.9,3.9,3.9,39000,[0 0]
20020617,3.9,3.9,3.9,3.9,351000,[1 1]
20020627,4.0,4.0,4.0,4.0,40000,[1 0]
20020719,4.01,4.01,4.01,4.01,40100,[0 0]
20020723,4.0,4.0,4.0,4.0,400000,[1 0]
20020731,4.0,4.0,4.0,4.0,80000,[0 0]
20020808,4.05,4.05,4.05,4.05,405000,[1 1]
20020911,4.05,4.05,4.05,4.05,405000,[1 1]
20020920,4.0,4.0,4.0,4.0,200000,[1 0]
20021015,3.98,3.98,3.98,3.98,477600,[1 0]
20021024,3.9,3.9,3.8,3.8,192000,[0 1]
20021025,3.9,4.05,3.9,4.05,79500,[1 1]
20021029,4.05,4.05,4.05,4.05,40500,[0 0]
20021030,4.05,4.05,4.05,4.05,324000,[1 0]
20021106,4.1,4.1,4.1,4.1,41000,[0 1]
20021107,4.2,4.2,4.2,4.2,420000,[0 1]
20021111,4.3,4.3,4.3,4.3,172000,[1 0]
20021128,4.2,4.2,4.2,4.2,420000,[0 1]
20021220,4.2,4.2,4.2,4.2,2100000,[0 0]
20030417,3.9,3.9,3.9,3.9,39000,[0 0]
20030317,4.01,4.01,4.01,4.01,40100,[1 1]
20030313,4.01,4.01,4.01,4.01,40100,[0 0]
20030307,3.6,4.01,3.6,4.01,116100,[0 0]
20030124,3.86,3.86,3.86,3.86,18142000,[1 1]
20030606,3.85,3.85,3.85,3.85,192500,[0 1]
20030616,3.8,3.8,3.8,3.8,38000,[0 0]
20030708,3.7,3.7,3.7,3.7,37000,[0 0]
20030812,3.81,3.81,3.81,3.81,38100,[0 0]
20030904,4.01,4.01,4.01,4.01,80200,[1 0]
20030905,4.0,4.0,4.0,4.0,40000,[0 1]
20030916,4.0,4.0,4.0,4.0,40000,[1 0]
20031008,3.99,3.99,3.99,3.99,718200,[0 1]
20031015,4.0,4.0,4.0,4.0,80000,[0 1]
20031016,3.78,4.0,3.78,4.0,17951200,[0 1]
20031023,3.8,3.8,3.8,3.8,76000,[1 0]
20031117,3.8,3.8,3.75,3.75,113500,[0 1]
20031203,4.1,4.1,4.1,4.1,82000,[1 0]
20031208,4.51,4.51,4.51,4.51,45100,[0 1]
20040107,4.7,4.7,4.7,4.7,188000,[1 0]
20040108,4.7,4.7,4.7,4.7,188000,[0 0]
20040119,5.0,5.0,5.0,5.0,250000,[1 0]
20040120,5.0,5.0,5.0,5.0,250000,[0 1]
20040123,5.0,5.0,5.0,5.0,100000,[0 1]
20040126,5.0,5.0,5.0,5.0,100000,[1 0]
20040220,4.9,4.9,4.9,4.9,49000,[0 1]
20040227,4.9,4.9,4.9,4.9,147000,[1 0]
20040301,4.9,4.9,4.9,4.9,147000,[0 1]
20040303,5.0,5.0,5.0,5.0,50000,[0 0]
20040310,5.0,5.2,5.0,5.2,256000,[0 1]
20040312,5.15,5.15,5.15,5.15,206000,[0 1]
20040322,5.15,5.15,5.15,5.15,360500,[0 1]
20040408,5.15,5.15,5.15,5.15,463500,[0 0]
20040416,4.9,4.9,4.9,4.9,490000,[1 0]
20040618,5.43,5.43,5.43,5.43,54300,[1 0]
20040621,5.11,5.11,5.11,5.11,102200,[0 1]
20040713,5.5,5.5,5.5,5.5,110000,[0 0]
20040820,5.4,5.4,5.4,5.4,26460000,[1 1]
20040825,6.0,6.0,6.0,6.0,600000,[0 0]
20040903,6.0,6.0,6.0,6.0,180000,[1 1]
20040916,6.0,6.0,6.0,6.0,180000,[1 1]
20040921,6.0,6.0,6.0,6.0,180000,[1 0]
20041201,6.0,6.0,6.0,6.0,120000,[1 0]
20041208,6.0,6.0,6.0,6.0,120000,[1 1]
20041209,6.0,6.0,6.0,6.0,120000,[0 1]
20041214,6.0,6.0,6.0,6.0,60000,[0 1]
20041215,6.0,6.0,6.0,6.0,1440000,[1 1]
20041216,6.1,6.1,6.1,6.1,244000,[1 0]
20050104,6.3,6.3,6.3,6.3,378000,[1 1]
20050210,6.35,6.35,6.35,6.35,63500,[0 1]
20050223,6.0,6.0,6.0,6.0,60000,[1 1]
20050224,6.02,6.02,6.02,6.02,120400,[1 0]
20050317,5.9,5.9,5.9,5.9,118000,[0 0]
20050405,5.5,5.5,5.5,5.5,55000,[0 1]
20050406,5.5,5.5,5.5,5.5,110000,[0 1]
20050412,5.5,5.5,5.5,5.5,110000,[0 1]
20050415,5.5,5.5,5.5,5.5,55000,[0 1]
20050517,5.5,5.5,5.5,5.5,220000,[0 1]
20051213,5.5,5.5,5.5,5.5,330000,[0 1]
20060104,5.9,5.9,5.9,5.9,59000,[0 0]
20060110,5.9,5.9,5.9,5.9,59000,[1 0]
20060412,5.8,5.8,5.8,5.8,1450000,[0 0]
20060504,5.82,5.82,5.82,5.82,58200,[1 1]
20060508,6.0,6.0,6.0,6.0,180000,[0 0]
20060510,6.2,6.2,6.2,6.2,310000,[0 1]
20060517,6.25,6.25,6.25,6.25,62500,[1 0]
20060529,6.3,6.3,6.3,6.3,63000,[1 0]
20060601,6.0,6.0,6.0,6.0,60000,[0 1]
20060605,5.85,5.85,5.85,5.85,409500,[0 1]
20060607,5.85,5.85,5.85,5.85,58500,[1 0]
20060630,5.85,5.85,5.85,5.85,58500,[1 0]
20060714,6.5,6.5,6.5,6.5,130000,[0 0]
20060724,6.51,6.51,6.51,6.51,130200,[1 0]
20060824,5.98,6.55,5.98,6.55,310200,[0 0]
20060918,3.64,3.64,3.6,3.6,469000,[0 0]
20060919,3.6,3.6,3.6,3.6,360000,[1 1]
20060921,3.5,3.5,3.5,3.5,350000,[1 1]
20061003,4.1,4.1,4.1,4.1,164000,[1 0]
20061023,4.09,4.09,4.09,4.09,1145200,[1 1]
20061026,4.0,4.0,4.0,4.0,40000,[0 1]
20061027,3.61,3.61,3.61,3.61,36100,[0 0]
20061031,3.72,3.72,3.72,3.72,9300000,[1 1]
20061101,3.75,3.8,3.75,3.8,2269000,[0 1]
20061103,3.8,3.9,3.8,3.9,1208000,[1 0]
20061106,3.94,3.94,3.94,3.94,118200,[0 1]
20061107,3.95,3.95,3.95,3.95,118500,[1 0]
20061108,3.95,3.95,3.94,3.94,749100,[1 1]
20061109,4.1,4.1,3.94,3.99,2174600,[0 1]
20061110,3.9,3.9,3.9,3.9,1170000,[0 0]
20061113,3.9,3.9,3.9,3.9,585000,[0 1]
20061114,4.0,4.0,4.0,4.0,40000,[0 0]
20061117,4.47,4.47,4.47,4.47,44700,[0 1]
20061123,4.5,4.55,4.5,4.55,181000,[0 1]
20061124,4.55,4.55,4.55,4.55,455000,[0 0]
20061127,4.55,4.55,4.55,4.55,910000,[0 0]
20061129,4.7,4.7,4.7,4.7,94000,[0 1]
20061204,4.6,4.6,4.6,4.6,460000,[1 1]
20061205,4.6,4.6,4.6,4.6,736000,[0 0]
20061206,4.4,4.85,4.4,4.85,31471000,[0 0]
20061207,4.85,4.9,4.8,4.85,30206800,[0 0]
20061208,4.89,5.48,4.89,5.0,13364400,[1 0]
20061211,5.4,5.4,5.4,5.4,108000,[0 1]
20061212,5.4,5.4,5.4,5.4,108000,[0 0]
20061213,5.05,5.05,5.0,5.0,100500,[0 1]
20061214,5.35,5.35,5.35,5.35,53500,[0 0]
20070102,5.1,5.1,5.1,5.1,51000,[0 1]
20070103,5.1,5.1,5.1,5.1,102000,[1 0]
20070104,5.1,5.1,5.1,5.1,1020000,[1 0]
20070108,4.85,4.85,4.85,4.85,339500,[1 0]
20070115,5.5,5.5,5.5,5.5,55000,[1 0]
20070116,5.99,5.99,5.99,5.99,59900,[0 1]
20070117,5.69,5.69,5.69,5.69,2332900,[0 0]
20070118,5.69,5.69,5.69,5.69,569000,[0 1]
20070119,5.2,5.2,5.2,5.2,104000,[0 0]
20070122,5.2,5.2,5.0,5.0,514000,[0 0]
20070126,5.1,5.1,5.1,5.1,51000,[0 1]
20070130,5.5,5.5,5.5,5.5,1155000,[0 0]
20070131,5.5,5.5,5.5,5.5,55000,[1 0]
20070201,5.7,5.7,5.6,5.7,797000,[0 1]
20070206,5.7,5.7,5.7,5.7,285000,[0 0]
20070207,5.5,5.7,5.5,5.7,169000,[0 0]
20070213,5.6,5.6,5.6,5.6,56000,[1 0]
20070214,5.55,5.55,5.55,5.55,2775000,[1 1]
20070215,5.59,5.59,5.4,5.55,5715400,[1 0]
20070216,5.6,5.6,5.55,5.55,1166000,[0 1]
20070222,5.6,5.7,5.6,5.7,170000,[1 0]
20070226,5.7,5.7,5.7,5.7,228000,[1 1]
20070227,5.8,5.8,5.4,5.4,340000,[0 1]
20070228,5.92,5.92,5.82,5.82,117400,[0 0]
20070301,5.85,5.85,5.85,5.85,58500,[1 1]
20070306,5.75,5.75,5.74,5.74,2989800,[1 1]
20070307,5.9,5.9,5.5,5.5,2960500,[0 0]
20070308,5.65,5.65,5.55,5.55,3416000,[1 0]
20070309,5.6,5.6,5.4,5.4,29744000,[0 1]
20070312,5.55,5.6,5.4,5.6,3209000,[0 0]
20070313,5.4,5.4,5.4,5.4,2808000,[0 1]
20070314,5.55,5.55,5.55,5.55,55500,[0 0]
20070315,5.75,5.75,5.69,5.69,3037800,[1 0]
20070320,5.39,5.6,5.2,5.6,1039500,[1 0]
20070321,5.2,5.5,5.2,5.4,31540100,[1 0]
20070322,5.4,5.8,5.4,5.55,9201000,[1 1]
20070323,5.6,5.6,5.6,5.6,56000,[0 1]
20070326,5.5,5.6,5.5,5.6,6405000,[0 1]
20070327,5.4,5.4,5.4,5.4,1242000,[0 0]
20070328,5.51,5.51,5.51,5.51,110200,[1 0]
20070329,5.95,5.95,5.95,5.95,297500,[0 0]
20070402,5.9,5.9,5.8,5.8,583000,[1 0]
20070403,5.5,5.5,5.4,5.4,3142000,[1 0]
20070404,5.41,5.41,5.4,5.4,216200,[1 1]
20070405,5.4,5.95,5.4,5.95,2819000,[0 0]
