date,open,max,min,close,volume,y
19980529,2.01,2.01,2.01,2.01,8040,[0 0]
19980618,1.86,1.86,1.85,1.85,13165,[0 1]
19980701,1.7,1.7,1.7,1.7,1020,[0 0]
19980702,1.51,1.51,1.51,1.51,453,[0 1]
19980716,2.0,2.0,2.0,2.0,600,[0 1]
19980819,1.5,1.5,1.5,1.5,2700,[1 0]
19980824,1.5,1.5,1.5,1.5,2400,[0 0]
19981020,0.92,0.92,0.92,0.92,4600,[0 0]
19981127,2.8,2.8,2.8,2.8,7000,[1 1]
19981222,1.0,1.0,1.0,1.0,3700,[1 0]
19990521,1.49,1.49,1.49,1.49,447,[1 1]
19990622,1.55,1.55,1.55,1.55,12245,[1 0]
19990623,1.21,1.4,1.2,1.4,20850,[0 1]
19990817,1.0,1.3,1.0,1.3,2270,[0 0]
19990916,1.3,1.3,1.3,1.3,260,[0 0]
19991103,1.16,1.16,1.16,1.16,2784,[1 1]
19991109,0.95,0.95,0.95,0.95,1615,[1 1]
19991216,1.2,1.2,1.2,1.2,4320,[0 1]
19991217,1.81,1.81,1.81,1.81,17557,[0 1]
20010115,2.0,2.0,2.0,2.0,2400,[1 0]
20010425,1.5,1.5,1.5,1.5,8550,[1 0]
20010611,3.1,3.1,2.8,2.8,30080,[1 1]
20010619,3.0,3.0,3.0,3.0,19500,[0 1]
20010703,3.2,3.2,3.2,3.2,9920,[0 0]
20010727,3.2,3.2,3.2,3.2,4800,[0 1]
20010730,2.4,2.4,2.4,2.4,12240,[0 1]
20010807,2.8,2.8,2.8,2.8,2800,[0 1]
20010903,2.71,2.71,2.71,2.71,16802,[0 0]
20010904,2.7,2.7,2.7,2.7,16740,[0 1]
20011017,2.5,2.5,2.5,2.5,8500,[0 0]
20011018,2.5,2.5,2.5,2.5,3500,[1 0]
20011106,3.0,3.0,3.0,3.0,3000,[1 1]
20011122,3.1,3.1,3.1,3.1,22320,[1 1]
20011211,3.51,3.51,3.51,3.51,3159,[0 1]
20020117,3.6,3.6,3.6,3.6,360,[0 0]
20020118,2.8,2.8,2.8,2.8,2520,[1 1]
20020124,3.24,3.24,3.24,3.24,3564,[0 1]
20020130,3.0,3.0,3.0,3.0,300,[1 1]
20020326,3.9,3.9,3.9,3.9,1170,[1 0]
20020328,4.0,4.0,4.0,4.0,8000,[0 0]
20020401,3.5,3.5,3.5,3.5,18200,[0 0]
20020402,3.6,3.6,3.6,3.6,22320,[0 0]
20020416,3.8,3.8,3.0,3.0,20820,[0 1]
20020506,3.15,3.15,3.15,3.15,10080,[1 1]
20020605,3.7,3.7,3.7,3.7,11840,[0 1]
20020613,3.5,3.5,3.5,3.5,5600,[0 1]
20020731,4.0,4.0,4.0,4.0,800,[0 1]
20020924,4.0,4.0,4.0,4.0,14400,[1 0]
20021009,3.5,3.5,3.5,3.5,2100,[1 1]
20021010,3.0,3.0,3.0,3.0,11400,[0 1]
20021015,3.98,3.98,3.98,3.98,17512,[1 0]
20021022,3.5,3.5,3.5,3.5,3850,[0 0]
20021023,3.9,3.9,3.9,3.9,2340,[1 0]
