date,open,max,min,close,volume,y
19980318,1.8,1.8,1.8,1.8,10620000,[0 1]
19980505,1.45,1.45,1.45,1.45,5655000,[0 0]
19980511,1.52,1.52,1.52,1.52,10184000,[0 0]
19980513,1.58,1.58,1.4,1.4,3910000,[0 0]
19980514,1.4,1.4,1.4,1.4,140000,[1 0]
19980518,1.4,1.4,1.4,1.4,420000,[1 0]
19980522,1.3,1.3,1.3,1.3,910000,[1 1]
19980528,1.3,1.3,1.3,1.3,130000,[0 1]
19980602,1.24,1.24,1.24,1.24,372000,[0 1]
19980612,1.25,1.25,1.25,1.25,375000,[0 0]
19980616,1.24,1.24,1.24,1.24,124000,[1 1]
19980619,1.3,1.3,1.3,1.3,130000,[0 1]
19980626,1.3,1.3,1.3,1.3,130000,[0 1]
19980706,1.4,1.4,1.4,1.4,4200000,[1 1]
19980714,1.4,1.5,1.4,1.5,2184000,[1 1]
19980715,1.5,1.5,1.5,1.5,600000,[1 1]
19980720,1.6,1.6,1.6,1.6,320000,[0 0]
19980721,1.6,1.6,1.6,1.6,640000,[1 0]
19980729,1.8,2.0,1.8,2.0,2000000,[0 0]
19980805,1.77,1.77,1.77,1.77,177000,[0 0]
19981210,1.53,1.53,1.53,1.53,153000,[0 1]
19990118,1.6,1.6,1.6,1.6,160000,[1 0]
19990126,1.6,1.7,1.6,1.7,4660000,[1 1]
19990127,1.6,1.6,1.6,1.6,1120000,[0 0]
19990210,1.6,1.7,1.6,1.7,153150000,[1 1]
19990331,1.8,1.8,1.61,1.61,824000,[0 0]
19990405,1.63,1.69,1.63,1.69,8384000,[0 0]
19990406,1.7,1.8,1.7,1.8,3860000,[1 0]
19990407,1.83,1.85,1.83,1.85,551000,[0 1]
19990408,1.91,1.91,1.91,1.91,182214000,[1 1]
19990414,2.0,2.15,2.0,2.0,2038000,[1 0]
19990415,2.1,2.11,2.1,2.11,5252000,[0 0]
19990416,2.2,2.6,2.2,2.6,7190000,[0 1]
19990419,2.7,2.7,2.4,2.4,510000,[1 1]
19990420,2.2,2.2,2.2,2.2,2200000,[0 0]
19990422,2.49,2.49,2.49,2.49,498000,[0 0]
19990427,2.23,2.23,2.23,2.23,223000,[0 0]
19990428,2.23,2.23,2.23,2.23,892000,[0 0]
19990429,2.21,2.29,2.19,2.19,2461000,[0 1]
19990430,2.19,2.19,2.19,2.19,876000,[0 1]
19990504,2.1,2.1,2.1,2.1,630000,[1 0]
19990510,2.1,2.1,2.1,2.1,2100000,[0 1]
19990517,2.15,2.15,2.15,2.15,215000,[1 0]
19990521,2.3,2.3,2.3,2.3,230000,[0 1]
19990524,2.2,2.2,2.2,2.2,660000,[0 0]
19990528,2.25,2.25,2.25,2.25,675000,[0 0]
