date,open,max,min,close,volume,y
20070703,12.74,12.98,12.7,12.98,540938,[1 0]
20070704,13.0,13.5,12.77,13.2,1059444,[1 0]
20070705,12.85,12.9,12.84,12.9,422704,[1 1]
20070706,13.0,13.29,12.79,12.92,1757672,[1 0]
20070710,12.75,12.98,12.5,12.5,1705651,[1 1]
20070711,13.0,13.1,12.6,12.6,1536027,[1 0]
20070712,13.19,13.5,12.8,12.8,3290554,[0 0]
20070713,13.15,13.45,12.62,13.12,2036900,[1 0]
20070716,13.01,13.01,12.81,13.0,1585361,[1 1]
20070717,12.8,13.25,12.8,13.25,2373999,[0 1]
20070718,13.0,13.53,12.7,13.53,5031230,[1 0]
20070719,13.75,14.23,13.21,14.05,8340421,[1 0]
20070720,14.05,14.25,13.7,13.75,1333956,[1 0]
20070723,13.8,13.9,13.4,13.6,572488,[0 1]
20070724,13.7,13.89,13.1,13.11,849847,[1 0]
20070725,13.51,13.78,12.9,13.6,1401213,[0 1]
20070726,13.6,13.6,13.02,13.1,1115936,[0 0]
20070727,13.4,13.49,13.4,13.48,236600,[1 0]
20070730,13.4,13.85,12.91,13.5,623378,[0 0]
20070731,13.72,13.75,13.0,13.0,324330,[1 0]
20070801,13.5,13.6,13.5,13.6,468790,[1 1]
20070802,13.6,14.1,12.92,14.1,3108536,[1 1]
20070803,14.0,14.0,13.35,13.37,688517,[0 0]
20070806,13.3,13.8,13.3,13.5,533069,[0 1]
20070807,14.0,14.0,13.5,13.5,295260,[0 1]
20070808,13.95,13.95,13.36,13.75,459735,[0 0]
20070809,13.48,13.48,13.48,13.48,107840,[1 1]
20070810,13.01,13.08,13.0,13.0,307637,[0 1]
20070813,13.1,13.29,13.05,13.29,475124,[1 1]
20070814,13.3,13.3,13.3,13.3,71326,[0 1]
20070815,12.79,13.0,12.0,12.85,322233,[0 1]
20070816,11.5,11.5,10.0,10.0,327060,[0 0]
20070817,11.0,12.0,10.93,11.89,426297,[1 0]
20070820,11.7,11.7,11.7,11.7,60840,[0 1]
20070821,11.5,11.5,11.1,11.5,99180,[0 1]
20070822,11.5,11.7,11.2,11.59,275244,[0 0]
20070823,11.6,11.6,10.52,11.55,157825,[1 0]
20070824,11.21,11.4,11.2,11.2,197185,[0 1]
20070827,11.39,11.39,11.12,11.12,376777,[0 1]
20070828,11.01,11.45,11.0,11.45,319768,[0 1]
20070829,11.35,11.35,11.0,11.0,150120,[0 0]
20070830,11.4,11.5,11.0,11.5,319707,[0 0]
20070831,11.65,11.95,11.64,11.8,321389,[0 1]
20070903,11.95,12.0,11.95,12.0,114800,[0 0]
20070904,11.95,12.06,11.95,12.05,101044,[0 0]
20070905,12.05,12.05,11.51,12.0,298740,[0 0]
20070906,11.77,11.77,11.77,11.77,84744,[1 0]
20070910,11.56,11.56,11.4,11.5,137948,[1 0]
20070911,11.97,11.99,11.97,11.99,193823,[0 0]
20070912,11.1,11.1,11.1,11.1,67484,[0 1]
20070913,11.2,12.0,11.2,12.0,295914,[1 0]
20070914,11.06,11.99,11.06,11.99,280612,[1 1]
20070917,12.0,12.16,11.23,11.23,125862,[1 0]
20070918,11.94,12.1,11.5,11.5,206492,[1 0]
20070919,11.2,12.85,11.2,12.85,1530520,[0 1]
20070920,13.0,13.0,11.8,11.8,93480,[0 0]
20070921,12.85,12.85,12.0,12.0,497344,[1 0]
20070924,12.4,12.4,12.04,12.4,271232,[1 0]
20070925,12.4,12.45,12.4,12.45,127835,[1 0]
20070926,12.0,12.25,12.0,12.0,63625,[1 0]
20070927,12.5,12.55,12.5,12.55,227760,[1 0]
20070928,12.35,12.35,12.0,12.0,132375,[1 0]
20071001,12.39,13.0,12.39,12.5,1182040,[1 1]
20071002,12.4,12.5,12.4,12.5,268840,[1 0]
20071003,12.0,12.3,12.0,12.0,71250,[0 1]
20071004,12.0,12.08,11.81,12.07,139652,[0 1]
20071005,11.5,12.1,11.5,12.0,255768,[0 1]
20071008,11.5,12.19,11.19,11.19,251856,[1 1]
20071009,11.01,11.79,11.01,11.65,229098,[1 0]
20071010,11.5,11.7,11.5,11.51,290486,[1 0]
20071011,11.8,12.28,11.8,12.28,246416,[1 1]
20071015,12.15,12.15,12.15,12.15,9720,[1 0]
20071016,11.51,11.52,11.51,11.51,156556,[0 1]
20071017,11.6,11.85,11.6,11.85,235696,[0 1]
20071018,11.92,12.0,11.8,11.8,148098,[0 0]
20071019,11.8,11.8,11.01,11.05,386090,[1 1]
20071022,11.2,11.75,11.2,11.64,214062,[0 0]
20071023,11.88,11.88,11.3,11.31,298949,[1 1]
20071024,11.88,11.88,11.6,11.7,124516,[1 0]
20071025,11.7,11.9,11.52,11.6,115122,[1 0]
20071026,11.5,11.86,11.32,11.84,507759,[1 0]
20071029,11.9,11.98,11.44,11.44,307775,[0 0]
20071030,11.7,11.7,11.36,11.38,238249,[1 0]
20071031,11.36,11.36,11.25,11.25,53255,[1 0]
20071101,11.0,11.0,11.0,11.0,36300,[1 0]
20071105,11.06,11.39,10.81,10.81,321476,[0 0]
20071106,11.25,11.5,11.1,11.1,367770,[1 1]
20071107,11.0,11.0,11.0,11.0,67100,[1 0]
20071108,11.0,11.0,11.0,11.0,156705,[1 0]
20071109,11.74,11.74,10.51,10.51,140524,[0 1]
20071112,10.51,10.51,10.0,10.2,234204,[1 1]
20071113,10.2,10.2,10.2,10.2,1020,[0 0]
20071114,10.0,10.0,10.0,10.0,41000,[0 0]
20071116,9.81,9.9,9.81,9.81,178191,[0 1]
20071119,9.03,9.76,9.03,9.4,217988,[0 1]
20071121,9.5,9.59,9.3,9.59,71114,[1 0]
20071122,9.5,9.5,9.01,9.5,155645,[0 0]
20071123,9.3,9.3,9.3,9.3,73700,[0 1]
20071126,9.2,9.2,8.8,8.8,202317,[0 0]
20071127,8.73,8.79,7.61,8.5,240472,[1 0]
20071128,8.7,8.89,8.51,8.7,368260,[1 0]
20071129,8.7,8.72,8.01,8.71,182348,[1 1]
20071130,9.0,9.0,8.7,8.7,223225,[0 1]
20071203,8.8,9.0,8.8,9.0,97960,[0 0]
20071204,9.0,10.0,9.0,9.15,125600,[0 1]
20071205,9.7,9.8,9.7,9.8,140000,[0 0]
20071206,9.6,10.5,9.4,10.5,123302,[0 1]
20071207,10.0,10.0,9.25,9.42,181451,[0 0]
20071210,9.3,9.3,9.0,9.25,123280,[1 0]
20071211,9.1,9.33,8.9,8.9,752636,[0 1]
20071212,9.19,9.33,9.13,9.33,308233,[0 0]
20071213,9.3,9.3,8.97,8.97,180520,[0 1]
20071214,8.97,8.97,8.97,8.97,46644,[0 0]
20080102,9.14,9.14,8.86,8.99,78677,[1 0]
20080103,8.51,8.51,8.5,8.5,71453,[0 0]
20080107,8.7,8.7,8.7,8.7,69600,[0 0]
20080108,8.68,8.7,8.41,8.41,105251,[1 1]
20080109,9.0,9.0,9.0,9.0,27000,[1 0]
20080111,8.4,8.4,8.25,8.4,184942,[0 0]
20080114,8.4,8.89,8.25,8.89,88486,[0 1]
20080115,8.1,8.11,8.1,8.1,90772,[1 0]
20080116,8.11,8.9,8.11,8.6,165288,[0 0]
20080117,8.59,8.75,8.5,8.5,245385,[1 0]
20080118,8.11,8.9,8.0,8.9,221644,[0 1]
