date,open,max,min,close,volume,y
20000704,11.6,12.0,11.6,12.0,37151500,[0 1]
20000705,11.9,12.3,11.9,12.0,26621700,[1 1]
20000706,11.85,12.3,11.8,12.3,55295000,[0 0]
20000707,12.3,13.0,12.3,12.75,279733100,[0 1]
20000710,12.75,13.1,12.7,13.1,71065400,[1 0]
20000711,13.0,13.1,13.0,13.0,253774000,[1 1]
20000712,13.0,13.0,12.85,13.0,136257300,[1 0]
20000713,13.0,13.0,12.8,12.8,27168000,[0 1]
20000714,12.7,13.0,12.7,13.0,258532500,[0 0]
20000717,13.0,13.1,13.0,13.1,17957000,[0 0]
20000728,12.5,12.55,12.5,12.52,8388700,[1 1]
20000731,12.6,12.6,12.6,12.6,10962000,[0 1]
20000801,12.6,12.99,12.6,12.99,25741100,[0 0]
20000802,12.6,13.16,12.6,13.16,215954300,[0 0]
20000803,12.99,13.0,12.99,13.0,2858800,[0 0]
20000804,12.9,13.0,12.9,13.0,7794000,[0 1]
20000807,13.02,13.5,13.02,13.5,2635400,[1 0]
20000808,13.5,13.5,13.44,13.44,26551200,[1 1]
20000809,13.2,13.2,13.01,13.1,48569000,[1 1]
20000810,13.0,13.2,13.0,13.0,3786000,[0 1]
20000811,13.0,13.0,13.0,13.0,52780000,[1 1]
20000814,13.0,13.17,13.0,13.17,10709900,[0 1]
20000815,13.16,13.5,13.16,13.2,22327300,[0 0]
20000816,13.1,13.1,12.4,12.4,85927000,[1 1]
20000817,12.3,13.3,12.3,13.3,31754700,[1 1]
20000818,13.42,13.42,13.0,13.01,498764900,[1 0]
20000821,13.06,13.2,13.0,13.0,17512100,[1 1]
20000822,13.0,13.2,13.0,13.0,31499000,[0 1]
20000823,13.0,13.0,12.9,13.0,9613000,[0 1]
20000824,13.0,13.0,13.0,13.0,4030000,[0 0]
20000825,13.0,13.0,12.9,12.9,10389800,[0 0]
20000828,12.9,12.9,12.32,12.9,1653900,[0 0]
20000829,12.8,13.0,12.8,13.0,21107900,[0 0]
20000830,13.0,13.44,12.7,13.1,34336100,[1 0]
20000831,13.0,13.15,12.5,12.5,49212700,[1 0]
20000901,12.55,13.3,12.55,13.02,70069900,[0 1]
20000904,13.1,13.3,13.08,13.29,17055500,[1 1]
20000905,13.29,13.3,13.29,13.3,35634900,[1 0]
20000906,13.6,13.61,13.5,13.5,46072300,[1 0]
20000908,13.0,13.0,13.0,13.0,650000,[0 0]
20000911,13.5,13.8,13.5,13.8,1231000,[0 0]
20000912,13.6,13.82,13.6,13.82,63045300,[0 1]
20000913,13.7,14.11,13.6,14.11,48934200,[0 0]
20000914,13.8,14.0,13.8,14.0,120066000,[0 0]
20000915,13.5,14.1,13.5,14.1,64229900,[0 0]
20000918,13.8,13.8,13.5,13.5,17517000,[0 0]
20000919,13.5,13.5,13.5,13.5,1890000,[0 0]
20000920,13.5,13.7,13.5,13.7,17225000,[0 0]
20000921,13.7,13.99,13.7,13.71,82790900,[1 1]
20000922,13.7,13.97,13.7,13.97,29879600,[1 1]
20000925,14.1,14.15,14.1,14.15,46082600,[1 0]
20000926,14.15,14.45,14.15,14.45,20386700,[1 0]
20000927,14.45,14.45,14.0,14.1,26026400,[0 1]
20000928,14.0,14.2,14.0,14.2,6626000,[1 0]
20000929,14.2,14.99,14.2,14.99,80280000,[1 1]
20001002,14.5,14.5,14.0,14.0,51077500,[1 1]
20001003,14.99,14.99,14.11,14.5,7388000,[0 0]
20001004,14.54,14.54,14.3,14.3,54933600,[1 0]
20001005,14.5,14.5,14.32,14.32,61012700,[0 0]
20001006,14.0,14.0,13.9,14.0,70327000,[1 0]
20001009,13.8,13.8,13.7,13.8,233921000,[1 0]
20001010,13.7,14.0,13.6,13.7,201908500,[1 0]
20001011,13.7,13.7,13.7,13.7,195088000,[0 1]
20001013,13.5,13.5,13.5,13.5,41580000,[0 1]
20001016,13.4,13.4,13.3,13.3,20052000,[1 0]
20001017,13.3,13.3,12.6,13.0,168147000,[0 1]
20001018,12.7,12.7,12.6,12.6,14311000,[0 1]
20001019,13.0,13.0,13.0,13.0,8450000,[0 1]
20001020,13.0,13.0,12.8,12.9,5648600,[0 0]
20001023,13.0,13.95,12.9,13.9,10906500,[0 0]
20001024,13.0,13.0,12.4,12.4,25598000,[0 0]
20001025,12.6,12.6,12.3,12.3,58397000,[0 0]
20001026,12.4,12.6,12.4,12.5,51081500,[0 0]
20001027,12.35,12.6,12.35,12.6,22264500,[1 0]
20001030,12.8,12.8,12.8,12.8,13696000,[1 1]
20001031,13.19,13.2,13.19,13.2,6202700,[0 0]
20001101,13.2,13.2,13.2,13.2,132000,[0 0]
20001106,13.2,13.3,13.2,13.3,1462000,[1 0]
20001107,13.15,13.15,13.15,13.15,920500,[0 0]
20001108,13.15,13.15,13.15,13.15,263000,[0 1]
20001109,13.15,13.15,12.36,13.05,645600,[1 1]
20001110,13.0,13.0,13.0,13.0,130000,[0 0]
20001113,12.9,12.9,12.9,12.9,129000,[1 0]
20001114,12.95,12.95,12.5,12.5,6189000,[0 1]
20001116,12.52,12.6,12.51,12.51,1505600,[0 1]
20001117,12.6,12.6,12.49,12.49,376900,[0 0]
20001120,12.48,12.48,12.45,12.45,26767800,[1 0]
20001121,12.5,12.5,12.4,12.4,82437500,[0 0]
20001122,12.4,12.4,12.34,12.4,79214000,[0 1]
20001123,12.3,12.3,12.29,12.3,40097900,[0 1]
20001124,12.3,12.3,12.3,12.3,3690000,[1 1]
20001127,12.3,12.3,12.22,12.25,6975500,[1 0]
20001128,12.25,12.25,12.24,12.24,40147500,[1 0]
20001129,12.25,12.25,12.22,12.22,36672800,[0 0]
20001130,12.23,12.25,12.2,12.2,42783000,[1 0]
20001201,12.2,12.2,12.2,12.2,23424000,[1 1]
20001204,12.2,12.2,12.2,12.2,13664000,[0 0]
20001205,12.8,12.8,12.8,12.8,88576000,[0 0]
20001206,13.2,13.3,13.2,13.3,8186000,[0 1]
20001207,13.4,13.6,13.4,13.6,15884500,[0 0]
20001208,13.8,14.44,13.8,14.44,16642400,[0 0]
20001211,14.0,14.5,14.0,14.5,39579900,[0 0]
20001212,14.5,14.5,14.5,14.5,153990000,[0 0]
20001213,14.58,14.58,14.5,14.55,13941700,[1 0]
20001214,14.35,14.45,14.35,14.45,10401000,[0 1]
20001215,14.4,14.49,14.4,14.45,6779400,[1 0]
20001218,14.45,14.5,14.45,14.46,6508300,[1 1]
20010103,14.75,14.9,14.75,14.9,28289800,[0 0]
20010104,14.88,14.9,14.8,14.9,17409500,[0 0]
20010105,14.9,15.0,14.9,15.0,7180600,[0 0]
20010108,15.2,15.3,15.0,15.3,43668000,[0 0]
20010109,15.4,15.5,15.3,15.4,84927000,[0 0]
20010110,15.8,15.8,15.79,15.8,133664000,[0 0]
20010111,15.8,15.9,15.8,15.8,7112000,[0 1]
20010112,15.8,15.8,15.8,15.8,158000,[0 0]
20010115,15.8,16.0,15.8,16.0,26551100,[0 1]
20010116,16.0,16.0,16.0,16.0,9760000,[0 0]
20010117,16.0,16.0,15.99,16.0,136792700,[1 1]
20010118,16.0,16.0,16.0,16.0,13920000,[0 0]
20010119,16.0,16.05,16.0,16.05,2242500,[0 1]
20010122,15.9,16.0,15.5,15.5,110193600,[1 1]
20010123,15.5,16.0,15.5,16.0,192516600,[0 1]
20010124,15.5,15.55,15.5,15.5,79361500,[1 0]
20010126,15.5,15.7,15.5,15.7,131046000,[0 0]
20010129,15.5,15.7,15.5,15.7,94132000,[1 1]
20010130,15.7,15.76,15.7,15.7,29097000,[0 1]
20010131,15.7,15.95,15.5,15.95,20728700,[0 0]
20010201,15.8,15.8,15.8,15.8,51205000,[0 0]
20010202,15.8,15.9,15.8,15.9,8733000,[0 1]
20010205,16.0,16.0,16.0,16.0,320000,[0 1]
20010206,15.5,16.2,15.5,16.0,27659000,[1 0]
20010207,15.8,16.0,15.8,16.0,8400000,[0 0]
20010208,16.0,16.5,16.0,16.5,46695000,[1 0]
20010209,16.5,16.5,16.0,16.0,28620000,[0 1]
20010212,16.0,16.1,16.0,16.1,4505000,[0 1]
20010213,16.11,16.11,16.1,16.1,21897000,[1 0]
20010214,16.5,16.6,16.5,16.5,20987000,[1 1]
20010215,16.5,16.51,16.5,16.5,12376500,[0 1]
20010216,16.5,16.51,16.5,16.5,32841000,[1 1]
20010219,16.5,16.5,16.5,16.5,2970000,[0 1]
20010220,16.4,16.4,16.4,16.4,28864000,[0 1]
20010222,16.3,16.4,16.3,16.3,22627800,[1 0]
20010223,16.3,16.3,16.3,16.3,326000,[1 1]
20010228,16.2,16.2,16.2,16.2,4860000,[1 0]
20010301,16.2,16.2,16.2,16.2,6804000,[0 1]
20010302,16.2,16.2,16.2,16.2,486000,[0 1]
20010305,16.2,16.2,16.0,16.0,194804000,[0 1]
20010306,16.2,16.2,16.0,16.09,47515400,[1 0]
20010307,15.9,15.9,15.7,15.8,14261000,[1 0]
20010308,15.8,15.99,15.8,15.95,47546700,[1 0]
20010309,15.95,16.0,15.5,16.0,99167500,[0 1]
20010312,15.5,15.5,15.5,15.5,6820000,[0 1]
20010313,15.5,15.5,15.44,15.45,27047000,[0 1]
20010314,15.3,15.3,14.9,14.9,195480000,[0 0]
20010315,15.0,15.11,14.8,14.8,28669700,[0 1]
20010316,15.0,15.0,15.0,15.0,27900000,[0 0]
20010319,15.0,15.0,14.5,15.0,80853000,[0 0]
20010320,15.21,15.21,14.5,14.8,104677200,[0 1]
20010321,14.6,14.76,14.6,14.76,1026800,[0 0]
20010322,14.3,14.36,14.1,14.15,62774000,[0 0]
20010323,14.22,14.22,14.21,14.21,2274000,[1 0]
20010326,14.7,14.7,14.7,14.7,13083000,[1 0]
20010327,15.0,15.02,14.9,15.0,43048100,[1 1]
20010328,15.0,15.0,15.0,15.0,900000,[1 0]
20010329,15.01,15.01,14.98,14.98,26841100,[0 0]
20010330,14.98,15.0,14.8,15.0,63072000,[1 1]
20010402,15.0,15.0,15.0,15.0,8250000,[0 0]
20010403,14.7,14.7,14.7,14.7,147000,[0 0]
20010404,14.7,14.95,14.7,14.89,155940900,[0 1]
20010405,14.89,15.0,14.89,14.89,629015100,[0 1]
20010406,14.92,14.92,14.9,14.9,15947000,[1 1]
20010409,14.9,15.0,14.81,14.81,79511500,[0 0]
20010410,14.99,15.0,14.8,14.8,88887700,[1 0]
20010411,15.0,15.0,14.85,14.85,99242400,[0 1]
20010412,14.85,14.85,14.8,14.8,455359500,[1 0]
20010416,14.8,14.8,14.5,14.8,206254000,[0 0]
20010417,14.8,14.8,14.8,14.8,888000,[1 0]
20010418,14.98,15.0,14.7,14.8,240862100,[1 1]
20010419,14.79,15.0,14.79,15.0,151589800,[1 1]
20010420,15.0,15.0,14.55,14.55,118768500,[1 1]
20010423,14.5,15.0,14.5,15.0,27604000,[0 0]
20010424,15.0,15.16,15.0,15.15,88115700,[0 0]
20010425,15.5,15.5,15.3,15.3,50063000,[0 0]
20010426,16.0,16.0,15.99,16.0,6239700,[1 0]
20010427,15.5,15.8,15.5,15.8,1097000,[0 1]
20010430,15.8,16.0,15.8,16.0,1918000,[1 0]
20010502,15.8,15.8,15.5,15.5,4519000,[1 1]
20010503,15.5,15.5,15.2,15.2,9073000,[1 1]
20010504,15.1,15.2,14.8,14.8,275625700,[0 1]
20010507,14.8,15.1,14.8,15.0,345903100,[1 0]
20010508,15.0,15.0,14.98,14.99,15741000,[0 1]
20010509,14.99,15.1,14.99,15.1,74420400,[0 0]
20010510,15.1,15.5,15.1,15.5,110964000,[0 0]
20010511,15.5,15.6,15.5,15.5,70902800,[1 0]
20010514,15.5,15.5,15.2,15.2,47576800,[1 0]
20010515,15.3,15.3,15.2,15.2,242098600,[0 0]
20010516,15.3,15.3,14.5,14.5,26393000,[0 1]
20010517,14.5,14.6,14.2,14.5,52172600,[0 1]
20010518,15.0,15.01,15.0,15.0,95403400,[0 0]
20010521,15.0,15.0,15.0,15.0,49500000,[1 0]
20010522,15.0,15.0,15.0,15.0,90450000,[0 0]
20010523,15.0,15.0,14.97,14.97,2847900,[0 1]
20010528,14.99,14.99,14.75,14.75,5810300,[1 0]
20010529,14.5,14.5,14.1,14.15,128348100,[0 1]
20010530,14.15,14.15,13.15,13.5,184834600,[0 0]
20010531,13.6,13.6,13.5,13.5,57769000,[0 0]
20010601,13.5,13.5,13.2,13.3,12696400,[0 0]
20010604,13.4,13.4,13.29,13.4,14395200,[0 0]
20010605,13.4,13.5,13.3,13.3,32336200,[1 0]
20010606,13.3,13.45,13.01,13.01,15191800,[0 0]
20010607,13.32,13.32,13.0,13.2,40452800,[0 1]
20010608,13.3,13.3,13.2,13.3,48234800,[1 1]
20010611,13.69,13.69,13.1,13.1,1322400,[1 1]
20010612,13.15,13.2,13.05,13.15,8399100,[1 0]
20010613,13.35,13.4,13.35,13.35,13218800,[0 0]
20010615,13.35,13.35,13.35,13.35,17355000,[0 0]
20010618,13.2,13.2,13.2,13.2,7788000,[1 0]
20010629,12.99,13.0,12.97,12.97,42330600,[0 1]
20010702,12.97,12.97,12.8,12.8,26698800,[0 1]
20010703,12.8,12.81,12.65,12.65,12341100,[0 1]
20010704,12.65,12.65,12.65,12.65,20240000,[0 0]
20010705,12.75,12.75,12.3,12.5,42007500,[0 0]
20010706,12.5,12.5,12.25,12.5,11857000,[1 0]
20010710,12.5,12.51,12.45,12.45,15876200,[0 1]
20010711,12.4,12.4,12.0,12.25,48162000,[1 0]
20010712,12.0,12.5,11.89,12.0,28910400,[0 0]
20010713,11.7,11.8,11.6,11.8,10163000,[0 1]
20010716,11.8,11.8,11.72,11.72,5644400,[0 0]
20010717,11.79,11.8,11.78,11.8,47894500,[0 0]
20010718,11.8,11.8,11.79,11.8,240247800,[1 1]
20010719,11.8,11.8,11.75,11.8,294824400,[0 1]
20010720,11.8,11.8,11.7,11.7,95671900,[1 0]
20010723,11.8,11.8,11.73,11.75,111603000,[0 1]
20010724,11.8,11.8,11.55,11.6,112609700,[0 1]
20010725,11.6,11.6,11.59,11.6,359712300,[0 0]
