date,open,max,min,close,volume,y
20010103,14.0,14.89,14.0,14.89,77291,[1 0]
20010104,14.5,14.9,14.5,14.9,168510,[1 1]
20010105,14.9,14.9,14.9,14.9,13410,[0 1]
20010108,14.9,15.0,14.9,15.0,133320,[1 1]
20010109,14.86,15.3,14.85,15.3,218056,[0 0]
20010110,15.3,15.9,14.0,14.0,220045,[1 1]
20010111,14.01,15.6,14.01,15.6,110700,[0 0]
20010116,15.9,15.9,15.9,15.9,49290,[0 1]
20010117,15.9,16.0,15.5,16.0,185560,[0 1]
20010122,16.0,16.0,15.51,15.51,268120,[1 0]
20010124,15.01,15.01,15.01,15.01,19513,[0 0]
20010126,15.51,15.51,15.21,15.21,41814,[1 0]
20010129,15.4,16.0,15.1,15.5,267884,[1 1]
20010130,15.5,15.5,15.5,15.5,23250,[0 0]
20010131,15.51,15.51,15.16,15.5,81825,[1 0]
20010202,15.8,15.8,15.5,15.5,35710,[1 0]
20010205,16.0,16.0,15.02,16.0,155921,[1 0]
20010206,14.83,14.83,14.82,14.82,60795,[1 0]
20010207,15.8,15.8,15.7,15.7,275700,[0 0]
20010208,16.0,16.0,16.0,16.0,89600,[1 0]
20010209,15.5,16.0,15.5,16.0,103000,[1 0]
20010213,16.0,16.0,16.0,16.0,160000,[0 0]
20010215,16.5,16.5,16.0,16.0,98000,[0 1]
20010219,16.0,16.5,16.0,16.5,284100,[1 0]
20010220,16.5,16.5,15.0,15.0,166340,[0 1]
20010221,16.45,16.45,16.0,16.0,29025,[1 0]
20010222,16.3,16.3,16.3,16.3,84760,[1 0]
20010301,16.0,17.0,16.0,16.2,4920,[1 1]
20010302,15.02,15.02,15.02,15.02,4506,[1 0]
20010306,16.5,16.5,15.51,15.51,79332,[1 0]
20010307,15.43,15.43,15.43,15.43,54005,[0 1]
20010308,15.7,15.7,15.6,15.6,12500,[0 1]
20010312,15.43,15.43,15.43,15.43,95666,[0 0]
20010313,16.0,16.0,16.0,16.0,88000,[1 0]
20010314,16.0,16.0,14.0,14.0,38576,[0 0]
20010315,15.1,15.1,15.1,15.1,27180,[0 1]
20010316,14.8,14.8,14.8,14.8,103600,[1 0]
20010320,15.0,15.0,14.4,14.8,229980,[0 1]
