date,open,max,min,close,volume,y
20070727,14.45,15.06,13.6,15.0,4872563900,[0 0]
20070730,14.7,15.1,14.51,15.0,605684900,[0 1]
20070731,14.75,15.1,14.52,15.0,985617200,[0 1]
20070801,14.62,14.62,13.8,14.1,1141896100,[0 0]
20070802,14.39,14.4,13.87,14.2,397902400,[0 0]
20070803,13.99,14.1,13.61,13.8,364846600,[0 1]
20070806,13.8,14.6,13.15,14.6,657335900,[0 0]
20070807,14.11,14.5,13.9,14.44,868607700,[1 1]
20070808,14.15,14.6,13.84,13.84,1184806000,[1 0]
20070809,13.8,13.8,13.13,13.2,550919600,[0 1]
20070810,12.81,12.9,12.41,12.7,2326904300,[0 0]
20070813,12.99,13.44,12.51,12.55,1160180700,[1 1]
20070814,12.55,12.97,12.2,12.6,687983200,[1 0]
20070815,12.3,12.5,11.8,12.0,206737600,[1 0]
20070816,11.5,12.05,10.55,11.8,625913900,[1 0]
20070817,11.8,12.25,11.0,11.99,392201000,[0 0]
20070820,12.0,13.45,11.9,13.45,479706200,[0 0]
20070821,13.01,13.51,12.15,13.5,894039300,[1 1]
20070822,13.49,13.85,12.7,12.7,225216300,[1 0]
20070823,12.52,12.9,12.3,12.7,286322300,[1 1]
20070824,12.89,13.4,12.5,12.9,713791000,[1 1]
20070827,12.85,12.9,12.46,12.69,275564900,[1 0]
20070828,12.35,12.35,12.2,12.2,427096200,[1 1]
20070829,12.29,13.19,12.25,13.08,255116900,[0 0]
20070830,13.0,13.69,13.0,13.5,348703700,[1 1]
20070831,13.58,14.5,13.3,14.5,85453900,[0 0]
20070903,14.48,14.5,13.5,13.5,187930600,[1 0]
20070904,13.65,13.9,13.25,13.9,576821800,[0 1]
20070905,13.85,13.85,13.1,13.2,235638400,[1 0]
20070906,13.12,13.5,13.12,13.5,106201600,[0 0]
20070910,13.1,13.16,12.35,13.0,126565600,[0 0]
20070911,13.15,13.17,12.7,13.0,85051800,[0 0]
20070912,12.86,12.86,12.5,12.7,15726500,[0 1]
20070913,12.21,12.68,12.11,12.11,76324600,[1 0]
20070914,12.7,12.7,12.0,12.0,307747200,[1 0]
20070917,11.85,12.1,11.47,12.1,63774000,[1 1]
20070918,12.0,12.25,11.63,12.2,228229500,[0 0]
20070919,12.25,12.65,12.05,12.4,535970900,[0 1]
20070920,12.05,12.39,12.05,12.38,54885400,[0 0]
20070921,12.06,13.0,12.06,13.0,636874900,[0 0]
20070924,12.8,13.85,12.61,13.5,490714700,[0 0]
20070925,13.78,13.89,13.0,13.6,402983600,[0 1]
20070926,13.9,13.95,13.5,13.7,688552100,[0 0]
20070927,13.5,14.9,13.5,14.7,387772700,[1 1]
20070928,14.3,14.7,14.01,14.7,226824400,[0 1]
20071001,14.3,14.99,14.05,14.99,272560300,[0 0]
20071002,14.6,15.0,14.6,15.0,81652700,[0 0]
20071003,15.0,15.0,14.41,15.0,199531900,[1 0]
20071004,14.99,15.0,14.5,15.0,368133300,[0 1]
