date,open,max,min,close,volume,y
19980629,0.7,0.7,0.7,0.7,70000,[0 0]
19990625,0.65,0.65,0.65,0.65,65000,[0 1]
19990628,0.64,0.64,0.64,0.64,64000,[0 0]
19991109,0.58,0.58,0.56,0.56,5201000,[0 0]
19991110,0.57,0.7,0.55,0.68,51256000,[0 0]
19991111,0.74,0.74,0.55,0.6,1564000,[0 1]
19991112,0.47,0.48,0.46,0.46,3041000,[0 1]
19991116,0.45,0.45,0.4,0.41,2201000,[1 0]
19991117,0.4,0.4,0.37,0.4,6656000,[1 1]
19991118,0.38,0.4,0.35,0.38,3009000,[1 1]
19991119,0.35,0.38,0.35,0.38,1330000,[1 0]
19991122,0.32,0.32,0.32,0.32,480000,[1 0]
19991123,0.37,0.37,0.34,0.35,1019000,[0 1]
19991124,0.38,0.4,0.31,0.31,2968000,[0 0]
19991125,0.34,0.37,0.32,0.32,10318000,[0 0]
19991126,0.35,0.42,0.35,0.42,27370000,[0 0]
19991129,0.45,0.45,0.38,0.41,1952000,[1 1]
19991130,0.39,0.44,0.39,0.44,785000,[0 0]
19991201,0.42,0.5,0.42,0.48,7427000,[0 0]
19991202,0.48,0.55,0.48,0.5,11665000,[1 0]
19991203,0.53,0.58,0.51,0.56,24134000,[0 1]
19991206,0.62,0.71,0.62,0.69,40944000,[0 1]
19991207,0.71,0.75,0.6,0.61,21993000,[0 0]
19991208,0.66,0.72,0.63,0.69,15091000,[0 0]
19991209,0.63,0.65,0.6,0.65,2428000,[0 0]
19991210,0.61,0.63,0.6,0.62,3999000,[0 0]
19991213,0.62,0.67,0.62,0.63,6139000,[0 0]
19991214,0.66,0.66,0.6,0.6,5052000,[0 0]
19991216,0.59,0.62,0.59,0.6,4419000,[0 0]
19991217,0.62,0.62,0.58,0.58,2354000,[0 1]
19991220,0.6,0.6,0.55,0.57,727000,[0 1]
19991221,0.56,0.57,0.54,0.54,662000,[0 1]
19991222,0.52,0.53,0.51,0.52,1350000,[0 0]
19991227,0.58,0.58,0.55,0.55,724000,[1 0]
19991228,0.55,0.57,0.55,0.57,1003000,[1 0]
19991229,0.55,0.55,0.54,0.54,1252000,[0 0]
20000126,0.55,0.55,0.54,0.54,1787000,[0 0]
20000127,0.54,0.54,0.54,0.54,594000,[1 0]
20000131,0.52,0.52,0.5,0.51,713000,[0 0]
20000201,0.5,0.52,0.5,0.52,506000,[0 1]
20000203,0.51,0.51,0.48,0.48,393000,[1 0]
20000204,0.47,0.48,0.45,0.48,1275000,[0 0]
20000208,0.5,0.5,0.5,0.5,248000,[0 0]
20000209,0.49,0.49,0.48,0.48,289000,[1 0]
20000211,0.48,0.49,0.46,0.49,667000,[0 0]
20000217,0.47,0.47,0.47,0.47,94000,[1 0]
20000221,0.48,0.48,0.47,0.47,331000,[0 1]
20000223,0.46,0.46,0.46,0.46,46000,[0 1]
20000228,0.45,0.45,0.45,0.45,135000,[0 0]
20000229,0.43,0.43,0.43,0.43,129000,[0 1]
20000301,0.43,0.43,0.43,0.43,215000,[0 1]
20000314,0.42,0.42,0.42,0.42,84000,[0 1]
20000315,0.41,0.41,0.4,0.4,963000,[1 1]
20000322,0.4,0.4,0.4,0.4,120000,[1 0]
20000403,0.4,0.4,0.4,0.4,40000,[0 1]
20000407,0.37,0.37,0.37,0.37,370000,[0 1]
20000411,0.37,0.37,0.36,0.36,362000,[1 0]
20000414,0.36,0.36,0.31,0.33,1222000,[0 0]
20000417,0.31,0.31,0.3,0.3,460000,[0 0]
20000419,0.3,0.3,0.3,0.3,270000,[1 1]
20000428,0.37,0.37,0.37,0.37,37000,[0 0]
20000503,0.32,0.32,0.31,0.31,222000,[1 0]
20000510,0.34,0.34,0.34,0.34,238000,[0 0]
20000515,0.31,0.31,0.3,0.3,246000,[0 0]
20000516,0.32,0.35,0.32,0.35,438000,[1 0]
20000519,0.31,0.31,0.31,0.31,124000,[0 0]
20000522,0.3,0.3,0.3,0.3,210000,[1 0]
20000615,0.34,0.35,0.34,0.35,278000,[0 0]
20000628,0.3,0.35,0.3,0.35,405000,[0 0]
20000707,0.4,0.4,0.4,0.4,40000,[0 0]
20000721,0.4,0.4,0.4,0.4,11480000,[1 0]
20000724,0.4,0.4,0.4,0.4,640000,[0 0]
20000727,0.4,0.4,0.4,0.4,800000,[1 0]
20000801,0.4,0.4,0.4,0.4,680000,[1 1]
20000816,0.4,0.4,0.4,0.4,200000,[1 0]
20000103,0.53,0.56,0.51,0.55,835000,[0 0]
20000104,0.52,0.52,0.51,0.51,307000,[0 0]
20000107,0.49,0.49,0.46,0.48,953000,[0 0]
20000110,0.49,0.49,0.47,0.47,389000,[1 0]
20000111,0.47,0.47,0.46,0.47,838000,[1 0]
20000112,0.47,0.5,0.47,0.5,885000,[1 1]
20000113,0.51,0.62,0.51,0.6,3894000,[0 0]
20000114,0.58,0.58,0.58,0.58,4292000,[1 0]
20000118,0.56,0.56,0.56,0.56,952000,[0 0]
20000119,0.56,0.56,0.56,0.56,2632000,[1 1]
20000120,0.55,0.56,0.54,0.54,2100000,[0 1]
20000121,0.54,0.54,0.54,0.54,1350000,[1 1]
20000124,0.54,0.56,0.54,0.56,1726000,[0 1]
20000824,0.36,0.36,0.35,0.35,713000,[0 0]
20000825,0.35,0.35,0.35,0.35,105000,[1 0]
20000829,0.35,0.35,0.31,0.31,1911000,[0 0]
20000905,0.35,0.35,0.35,0.35,455000,[0 0]
20000906,0.35,0.35,0.35,0.35,70000,[1 1]
20000914,0.33,0.33,0.33,0.33,231000,[1 0]
20000921,0.34,0.34,0.34,0.34,102000,[0 1]
20000922,0.34,0.34,0.33,0.33,700000,[1 1]
20001016,0.35,0.38,0.35,0.38,920000,[0 1]
20001019,0.35,0.35,0.35,0.35,70000,[0 0]
20001020,0.33,0.33,0.32,0.32,452000,[0 0]
20001024,0.31,0.31,0.31,0.31,124000,[0 0]
20001116,0.32,0.32,0.32,0.32,96000,[1 1]
20001117,0.32,0.32,0.3,0.3,92000,[0 0]
20001120,0.35,0.36,0.35,0.36,178000,[0 0]
20001121,0.35,0.35,0.35,0.35,315000,[0 0]
20001122,0.36,0.39,0.36,0.39,2688000,[1 1]
20001123,0.39,0.43,0.39,0.43,566000,[0 0]
20001127,0.44,0.44,0.44,0.44,264000,[1 0]
20001128,0.44,0.45,0.44,0.45,2832000,[0 0]
20001129,0.45,0.45,0.45,0.45,270000,[1 0]
20001130,0.45,0.55,0.45,0.45,460000,[1 0]
20001204,0.47,0.47,0.47,0.47,2115000,[1 1]
20001212,0.38,0.38,0.38,0.38,4066000,[0 1]
20001213,0.43,0.43,0.43,0.43,43000,[0 1]
20001228,0.58,0.58,0.58,0.58,58000,[1 0]
20010104,0.49,0.49,0.49,0.49,49000,[0 0]
20010111,0.33,0.37,0.33,0.36,846000,[1 0]
20010116,0.36,0.36,0.36,0.36,540000,[0 0]
20010119,0.35,0.38,0.32,0.35,3069000,[0 0]
20010122,0.35,0.35,0.35,0.35,1960000,[0 0]
20010123,0.4,0.4,0.4,0.4,240000,[1 1]
20010124,0.41,0.44,0.41,0.44,2792000,[0 0]
20010129,0.43,0.43,0.43,0.43,2752000,[0 1]
20010130,0.43,0.43,0.43,0.43,15652000,[0 0]
20010202,0.45,0.45,0.45,0.45,90000,[0 0]
20010213,0.43,0.43,0.43,0.43,43000,[0 0]
20010216,0.43,0.43,0.43,0.43,430000,[0 0]
20010219,0.37,0.37,0.37,0.37,1036000,[0 1]
20010221,0.37,0.37,0.33,0.33,3207000,[0 1]
20010228,0.33,0.33,0.33,0.33,495000,[1 1]
20010302,0.35,0.35,0.35,0.35,35000,[1 1]
20010308,0.37,0.37,0.35,0.35,658000,[0 0]
20010314,0.32,0.32,0.32,0.32,416000,[1 1]
20010322,0.31,0.31,0.29,0.29,851000,[0 0]
20010323,0.31,0.31,0.31,0.31,31000,[0 0]
20010330,0.3,0.3,0.3,0.3,30000,[0 1]
20010410,0.3,0.3,0.3,0.3,690000,[1 1]
20010416,0.3,0.3,0.3,0.3,120000,[1 0]
20010418,0.3,0.33,0.28,0.3,2052000,[0 0]
20010423,0.3,0.3,0.3,0.3,30000,[0 0]
20010426,0.3,0.3,0.3,0.3,150000,[1 0]
20010430,0.29,0.29,0.29,0.29,58000,[0 0]
20010502,0.3,0.3,0.3,0.3,180000,[0 0]
20010503,0.3,0.3,0.3,0.3,1110000,[0 1]
20010504,0.3,0.3,0.3,0.3,150000,[0 1]
