date,open,max,min,close,volume,y
20110209,18.5,18.77,18.1,18.1,14696485000,[1 0]
20110210,18.0,19.04,17.6,19.0,6283714300,[0 1]
20110211,19.0,19.17,18.8,19.0,1962328400,[1 1]
20110214,19.02,19.1,18.51,18.85,2745600400,[1 1]
20110215,18.8,19.0,18.6,19.0,994468300,[1 1]
20110216,19.0,19.3,18.76,19.3,2072155300,[0 0]
20110217,19.1,19.55,19.0,19.5,1754853100,[1 1]
20110218,19.42,20.2,19.31,20.2,3545405100,[1 0]
20110221,20.01,21.48,20.0,21.0,3460563000,[0 1]
20110222,21.25,21.7,21.25,21.7,4340311900,[0 0]
20110223,22.0,22.98,21.75,22.28,8939034300,[0 1]
20110224,22.6,22.6,21.01,21.21,2075266700,[1 1]
20110225,21.11,21.48,20.57,20.97,1261467600,[1 0]
20110228,21.0,21.98,21.0,21.69,2218376300,[1 1]
20110301,21.97,21.97,21.23,21.9,2867521000,[1 1]
20110302,21.84,22.25,21.8,22.0,1474103300,[0 1]
20110303,22.0,22.24,21.45,21.7,2471857100,[1 0]
20110304,21.7,21.99,21.5,21.6,948058000,[1 1]
20110309,21.89,22.39,21.31,21.95,776473800,[0 1]
20110310,21.64,22.0,21.0,21.85,1361650900,[1 1]
20110311,21.5,21.85,21.07,21.36,715665600,[0 0]
20110314,21.06,21.06,19.66,20.0,4486331400,[0 0]
20110315,19.88,20.18,19.3,20.1,487036100,[1 0]
20110316,20.3,20.7,19.83,20.49,266685000,[0 1]
20110317,20.78,21.0,20.53,21.0,306300600,[0 0]
20110318,21.23,21.79,20.71,21.5,1287990700,[0 0]
20110321,21.4,21.95,21.3,21.48,1068667200,[1 0]
20110322,21.4,21.7,21.11,21.51,930071100,[0 1]
20110323,21.73,22.4,20.63,22.25,906960900,[0 0]
20110324,22.5,23.5,22.12,22.64,1877258000,[0 1]
20110325,22.89,23.25,22.49,22.85,1692881300,[0 1]
20110328,22.85,23.21,22.36,22.5,1902511000,[0 0]
20110329,22.74,22.89,22.39,22.6,903610900,[1 1]
20110330,22.7,23.34,22.6,23.23,958434100,[1 0]
20110331,23.34,23.44,22.66,23.2,1205644000,[0 1]
20110401,23.3,23.9,23.19,23.9,1309106000,[0 1]
20110404,23.5,24.99,23.5,23.95,1220731000,[0 1]
20110405,24.39,24.45,23.75,23.8,998600900,[0 0]
20110406,23.77,23.99,23.26,23.9,570695600,[0 0]
20110407,23.9,24.48,23.51,24.19,344553700,[0 0]
20110408,24.3,24.78,23.87,24.69,1060605100,[0 1]
20110411,24.74,25.0,23.65,24.0,1593926100,[1 1]
20110412,23.89,24.2,22.8,23.0,595020900,[0 0]
20110413,23.22,23.3,22.05,22.3,1312068800,[1 0]
20110414,22.49,22.71,21.75,21.75,241923500,[0 1]
20110415,22.09,23.29,21.81,23.29,287502100,[1 1]
20110418,22.33,22.44,21.75,22.0,924107600,[1 1]
20110419,22.0,22.5,21.75,22.0,460313500,[0 1]
20110420,22.4,22.72,21.56,22.5,719391900,[1 1]
20110425,22.89,22.99,22.32,22.5,209060900,[0 0]
20110426,22.5,22.7,21.85,22.07,109657800,[0 0]
20110427,22.2,22.34,21.09,21.45,725824500,[1 1]
20110428,21.11,21.49,20.5,21.0,302052300,[0 0]
20110429,21.1,21.5,21.08,21.5,153197600,[0 0]
20110512,21.11,21.45,20.54,21.2,1005023200,[1 0]
20110513,21.5,21.5,20.55,20.8,1107172200,[0 0]
20110516,20.51,21.24,20.51,20.9,452464500,[0 0]
20110517,20.89,20.89,19.51,19.86,2360692500,[0 1]
20110518,19.96,19.97,18.65,19.2,1861074100,[1 1]
20110519,19.05,19.6,18.82,19.0,1263208100,[1 1]
20110520,19.19,19.5,18.9,19.4,783061000,[0 1]
20110523,19.28,19.28,18.45,18.69,939203000,[0 0]
20110524,18.99,18.99,18.46,18.8,1396450400,[0 1]
20110525,18.88,18.9,17.9,17.9,1133607600,[1 0]
20110526,17.97,18.4,17.2,17.64,953862800,[0 1]
20110527,17.99,18.2,17.63,18.15,1150999600,[0 1]
20110530,18.4,18.4,18.0,18.35,291157200,[0 0]
20110531,18.41,18.98,18.4,18.98,1291196500,[0 0]
20110601,18.7,19.48,18.51,18.98,862684700,[1 0]
20110602,18.95,19.29,18.5,18.8,855013500,[1 1]
20110603,18.75,19.27,18.71,19.0,538790200,[1 0]
20110606,19.29,19.3,18.6,18.74,319409000,[1 0]
20110607,19.09,19.15,18.67,19.0,579001100,[1 0]
20110608,18.9,19.09,18.41,18.64,539406700,[0 0]
20110609,18.64,19.0,18.53,19.0,231108600,[1 1]
20110610,18.95,19.19,18.4,18.7,620190700,[1 1]
20110613,18.7,18.7,18.25,18.4,195017100,[0 0]
20110614,18.65,18.65,18.0,18.0,180591700,[0 1]
20110615,17.86,17.95,17.3,17.49,361902500,[1 0]
20110616,17.6,17.69,17.02,17.14,717436700,[1 1]
20110617,17.4,17.4,16.27,16.27,2269610800,[1 0]
20110620,16.27,16.27,15.65,15.7,1556467500,[0 1]
20110621,15.95,16.49,15.65,16.3,3050848800,[1 0]
20110622,16.49,16.89,16.26,16.88,1704926700,[1 1]
20110624,17.04,17.04,15.54,16.9,531368800,[0 1]
20110627,16.99,17.0,16.48,16.68,586593700,[1 1]
20110628,16.6,16.78,16.22,16.4,959891800,[0 0]
20110629,16.41,16.89,16.41,16.6,2048010000,[1 1]
20110630,16.77,16.77,16.07,16.2,1539408600,[1 0]
20110701,16.25,16.58,16.1,16.19,1043999000,[0 0]
20110704,16.2,16.69,16.2,16.62,528217200,[1 0]
20110705,16.79,17.47,16.78,17.0,1166356800,[0 0]
20110706,16.8,17.35,16.8,17.1,612981300,[0 0]
20110707,17.3,17.89,17.12,17.4,1584540500,[1 0]
20110708,17.57,17.85,17.15,17.46,1752585700,[0 1]
20110711,17.1,17.58,17.1,17.34,733376700,[1 0]
20110712,17.25,18.47,17.18,18.05,1525031600,[1 1]
20110713,18.16,19.15,18.16,19.1,1385570600,[0 1]
20110714,18.95,19.95,18.65,19.2,2550578000,[1 0]
20110715,19.53,19.69,18.35,18.78,549530100,[0 1]
20110718,18.72,18.72,18.0,18.4,985920800,[0 1]
20110719,18.54,18.54,17.93,18.26,550041800,[0 0]
20110720,18.3,18.5,17.94,18.25,754736200,[0 0]
20110721,18.39,19.11,18.29,18.99,722844400,[1 0]
20110722,19.37,19.37,18.65,19.0,2027268500,[0 1]
20110725,19.22,19.22,18.46,18.5,316122900,[0 0]
20110726,18.42,18.93,17.89,18.24,533003300,[0 1]
20110727,18.1,18.11,17.35,17.59,425999700,[0 1]
20110728,17.83,17.83,16.88,17.0,1188437200,[0 1]
20110729,16.93,17.7,16.5,17.7,442283200,[0 0]
20110801,17.69,17.82,16.85,17.15,898892800,[0 1]
20110802,17.24,17.24,16.75,16.82,263667000,[0 0]
20110803,16.95,16.95,15.81,15.95,987186800,[1 0]
20110804,15.85,16.08,13.8,14.4,725379700,[1 1]
20110805,14.8,15.2,13.16,13.8,1475547100,[1 1]
20110808,12.98,13.66,12.1,12.3,1518321900,[1 0]
20110809,12.43,13.6,12.15,13.6,1647594700,[0 0]
20110810,13.5,14.9,13.11,13.8,366361100,[0 0]
20110811,14.0,14.88,14.0,14.58,836735100,[0 0]
20110812,14.6,15.45,14.6,15.3,835182300,[1 0]
20110815,15.15,16.29,15.15,15.8,417963800,[1 1]
20110816,15.51,15.79,14.9,15.7,693037600,[1 1]
20110817,15.8,16.5,15.39,16.3,736262600,[0 1]
20110818,15.6,15.94,15.12,15.8,621956700,[1 0]
20110819,15.49,16.35,15.24,15.65,395821200,[1 1]
20110822,16.03,16.39,15.12,15.12,401327200,[1 0]
20110823,15.35,15.66,15.05,15.3,494472400,[1 0]
20110824,15.53,15.89,15.01,15.48,475310000,[1 1]
20110825,15.44,15.5,14.9,15.34,1039473800,[1 0]
20110826,15.11,15.3,14.95,15.2,659527200,[1 1]
20110829,15.3,15.58,15.2,15.4,826638800,[0 1]
20110830,15.44,15.69,15.18,15.4,492719400,[0 1]
20110831,15.56,15.95,15.18,15.95,936950400,[0 1]
20110901,16.05,16.09,15.57,15.6,599499400,[0 1]
20110902,15.59,15.59,14.9,15.09,1107298000,[1 0]
20110905,14.72,14.77,14.4,14.55,642496600,[0 0]
20110906,14.53,14.83,13.95,14.55,933245100,[1 1]
20110908,14.8,15.15,14.5,14.58,1084754100,[0 1]
20110909,14.6,14.73,14.01,14.55,532353900,[0 1]
20110912,14.3,14.82,14.11,14.82,383330900,[0 0]
20110913,14.85,15.35,14.81,15.2,694329000,[0 0]
20110914,15.3,15.5,14.83,15.49,873313600,[0 1]
20110915,15.49,15.75,15.23,15.4,1614856300,[1 0]
20110916,15.51,16.22,15.1,16.09,1336412900,[0 1]
20110919,15.8,16.09,15.54,16.01,454940900,[0 1]
20110920,16.18,16.81,15.93,16.34,806506200,[0 0]
20110921,16.4,16.59,15.84,16.09,1088229200,[0 0]
20110922,15.47,15.57,14.92,15.2,749986300,[1 0]
20110923,15.2,15.2,14.5,14.9,804271900,[0 0]
20110926,15.08,15.45,14.96,15.41,556815500,[1 0]
20110927,15.45,15.94,15.25,15.5,352073900,[1 1]
20110928,15.75,15.96,15.24,15.85,826037300,[1 0]
20110929,15.98,16.34,15.68,16.1,774562300,[0 0]
20110930,15.9,16.08,14.96,15.47,1756736400,[1 0]
20111003,15.2,15.2,14.35,14.47,825705300,[0 1]
20111004,14.3,14.5,13.5,13.8,768594400,[0 1]
20111005,14.0,14.88,13.94,14.8,818748900,[0 1]
20111006,14.98,15.9,14.85,15.9,603051800,[0 0]
20111007,15.79,15.9,15.04,15.6,428332800,[0 1]
20111010,15.41,16.04,15.41,15.87,935437300,[0 1]
20111011,15.7,16.16,15.43,16.11,866462400,[1 1]
20111013,16.0,16.3,15.92,16.26,984903100,[0 0]
20111014,16.3,16.39,16.07,16.15,515670100,[0 0]
20111017,16.39,16.39,14.95,15.03,1020357800,[1 1]
20111018,15.07,15.6,14.59,15.5,1126848000,[0 1]
20111019,15.5,15.73,15.14,15.54,225282400,[1 1]
20111020,15.66,15.78,15.16,15.49,1923249300,[0 1]
20111021,15.59,16.0,15.59,16.0,502659600,[0 0]
20111024,15.8,16.35,15.8,16.32,2021453100,[1 1]
20111025,16.2,16.39,15.95,16.05,365040900,[1 0]
20111026,16.11,16.63,15.95,16.59,866050100,[1 1]
20111027,16.99,17.39,16.86,17.23,1039272400,[1 0]
20111028,17.19,17.84,17.03,17.79,676128600,[0 1]
20111031,17.54,17.54,16.81,17.0,1448333500,[0 1]
20111101,16.69,17.15,15.92,16.3,803890900,[1 0]
20111103,16.77,16.89,16.06,16.7,540132000,[0 1]
20111104,16.69,17.2,16.12,17.2,591327500,[0 1]
20111107,17.05,17.46,17.0,17.37,451756500,[1 0]
20111108,17.4,17.5,16.94,17.23,405428800,[1 0]
20111109,16.9,16.9,16.5,16.75,928732700,[1 0]
20111110,16.99,16.99,16.31,16.5,720027800,[0 0]
20111111,16.6,17.75,16.5,17.15,2374371100,[1 0]
20111114,17.34,17.49,16.83,16.98,232960300,[0 1]
20111116,16.99,16.99,16.41,16.6,992746400,[1 0]
20111117,16.48,16.98,16.19,16.19,969895200,[0 1]
20111118,16.42,16.42,15.33,15.66,1248960000,[1 0]
20111121,15.51,15.79,15.02,15.02,583604500,[0 1]
20111122,15.06,15.45,14.63,15.4,928205200,[1 1]
20111123,15.3,15.6,15.02,15.15,323536700,[0 1]
20111124,15.17,15.53,14.44,14.9,943224900,[1 1]
20111125,14.99,15.42,14.73,15.0,753473400,[1 1]
20111128,15.12,15.69,15.12,15.52,498730500,[0 0]
20111129,15.5,15.67,15.04,15.18,234619000,[1 1]
20111130,16.0,16.25,15.67,16.25,1248598600,[0 0]
20111201,16.29,16.5,15.97,16.4,419361300,[0 1]
20111202,16.49,16.49,16.2,16.21,192066000,[0 1]
20111205,16.3,16.75,15.9,16.63,765244100,[0 0]
20111206,16.53,17.09,16.31,16.94,828443000,[0 0]
20111207,16.7,17.44,15.9,16.35,1689821300,[0 0]
20111208,16.5,16.6,16.06,16.21,582447500,[1 0]
20111209,16.0,16.72,15.9,16.49,589388600,[1 1]
20111212,16.39,16.48,15.9,16.2,712118900,[0 0]
20111213,16.17,16.79,16.17,16.79,480145300,[1 0]
20111214,16.55,16.93,16.22,16.4,740010400,[0 0]
20111215,16.31,16.67,16.05,16.4,998472400,[0 1]
20111216,16.25,16.65,15.97,16.35,893154400,[1 1]
20111219,16.1,16.5,15.7,16.15,1019464400,[1 1]
20111220,16.26,16.69,15.89,16.69,150195900,[1 1]
20111221,16.5,16.65,16.17,16.34,632341100,[1 0]
20111222,16.34,16.55,16.09,16.15,348266400,[1 1]
20111223,16.15,16.98,16.15,16.81,270958600,[0 1]
20111226,16.89,16.89,16.11,16.79,150028500,[1 0]
20111227,16.48,16.6,16.31,16.59,201273700,[1 1]
20111228,16.45,16.59,16.24,16.4,901212400,[1 1]
20111229,16.48,16.5,16.12,16.5,308806500,[1 0]
20120102,16.26,16.5,16.05,16.48,137938200,[1 0]
20120103,16.49,16.71,16.26,16.5,195161100,[0 1]
20120104,16.27,16.43,15.78,15.9,496654800,[0 0]
20120105,15.79,16.24,15.66,16.2,537641500,[0 0]
20120106,16.19,16.2,15.69,15.69,357331400,[1 0]
20120109,15.8,15.82,15.45,15.45,271012800,[0 0]
20120110,15.4,15.97,15.0,15.0,609956500,[1 1]
20120111,15.05,15.29,14.65,15.15,990216000,[0 1]
20120112,15.3,15.48,15.1,15.1,563024700,[0 1]
20120113,15.14,15.3,14.55,14.7,750665700,[1 0]
20120116,14.72,15.19,14.62,15.19,663592200,[0 1]
20120117,15.4,15.4,14.7,14.75,2288207500,[1 0]
20120118,14.81,15.27,14.81,15.23,2417852500,[0 1]
20120119,15.39,15.55,15.09,15.48,606309100,[0 1]
20120120,15.45,15.57,15.2,15.55,173463000,[0 1]
20120123,15.67,15.85,15.35,15.85,588356300,[1 1]
20120124,15.73,16.0,15.49,16.0,739817600,[0 0]
20120126,15.99,16.1,15.25,15.25,1699639100,[0 1]
20120127,15.37,15.37,14.65,14.9,5129756800,[1 1]
20120130,14.95,14.95,14.12,14.24,4301082600,[0 0]
20120131,14.41,14.44,14.24,14.24,1332698000,[0 1]
20120201,13.52,14.24,13.23,14.0,4568580300,[1 1]
20120202,14.2,14.44,13.9,13.9,2379332000,[0 0]
20120203,13.95,14.05,13.4,13.65,1510398400,[0 1]
20120206,13.71,13.8,13.55,13.78,719505300,[0 1]
20120207,13.7,13.89,13.7,13.78,587690300,[0 1]
20120208,13.85,13.87,13.75,13.8,808174500,[1 0]
20120209,13.8,14.01,13.8,14.01,1186015800,[0 0]
20120210,13.82,14.15,13.65,14.09,661099600,[0 0]
20120213,14.03,14.36,14.03,14.18,735824100,[0 0]
20120214,14.18,14.25,13.6,13.68,1009017600,[1 0]
20120215,13.78,13.78,13.41,13.76,1136293000,[0 0]
20120216,13.77,14.08,13.57,13.81,687094600,[1 0]
20120217,13.89,13.97,13.66,13.69,631927600,[0 0]
20120222,13.8,14.02,13.71,13.95,650493300,[1 0]
20120223,13.9,14.67,13.9,14.65,2634799600,[1 1]
20120224,14.7,14.99,14.59,14.96,2542804800,[0 0]
20120227,14.93,14.98,14.44,14.5,1884332800,[0 0]
20120228,14.65,14.98,14.26,14.94,1253748600,[1 0]
20120229,14.92,15.3,14.8,14.85,1830597500,[1 1]
20120301,15.0,15.31,14.85,15.31,1131272300,[1 1]
20120302,15.34,15.58,15.08,15.38,1152842200,[0 1]
20120305,15.15,15.76,15.11,15.55,1399761700,[0 1]
20120306,15.46,15.46,14.85,15.0,597062200,[1 1]
20120307,15.11,15.21,14.82,15.08,281241800,[0 1]
20120308,15.21,15.49,15.02,15.37,951168300,[0 0]
