date,open,max,min,close,volume,y
20110629,13.15,15.02,13.0,15.0,48136492,[0 0]
20110630,15.1,15.15,14.75,15.0,2397112,[0 0]
20110701,14.8,15.13,13.9,15.0,1679276,[1 0]
20110704,14.9,14.9,14.5,14.78,883229,[0 1]
20110705,14.5,14.99,14.41,14.6,1499366,[0 0]
20110706,14.6,14.75,14.51,14.75,315625,[1 1]
20110707,14.85,14.85,14.67,14.67,266256,[0 1]
20110708,14.7,14.84,14.35,14.35,439592,[0 0]
20110711,14.21,14.52,14.21,14.52,168730,[1 0]
20110712,14.25,14.25,14.0,14.0,198955,[1 1]
20110713,13.81,14.09,13.81,13.9,275116,[0 1]
20110714,13.21,13.94,13.21,13.94,202149,[1 0]
20110715,13.8,14.0,13.5,14.0,476980,[0 0]
20110718,14.39,14.39,13.77,13.8,477300,[1 1]
20110719,13.8,13.82,13.8,13.82,26224,[1 0]
20110720,13.6,13.82,13.6,13.82,164110,[0 0]
20110721,13.51,13.51,13.51,13.51,106729,[1 0]
20110722,13.98,14.55,13.98,14.55,121500,[1 1]
20110725,14.74,14.74,14.4,14.42,208938,[1 0]
20110726,14.5,14.5,14.5,14.5,88450,[1 1]
20110727,14.69,14.76,14.69,14.76,250236,[0 1]
20110728,14.75,14.85,13.01,14.45,75327,[1 1]
20110729,14.7,14.95,14.7,14.95,105225,[1 1]
20110802,14.39,15.0,13.9,15.0,383078,[0 1]
20110803,13.51,14.0,13.51,14.0,176533,[0 0]
20110804,14.0,14.0,13.81,13.81,116726,[0 0]
20110808,12.4,12.4,12.0,12.0,74800,[1 0]
20110809,12.01,12.01,12.01,12.01,3603,[0 0]
20110810,13.07,13.07,13.07,13.07,18298,[0 1]
20110811,13.2,13.99,13.2,13.99,214801,[0 1]
20110816,13.93,14.0,13.93,13.94,228608,[0 1]
20110818,13.0,13.0,13.0,13.0,1300,[0 1]
20110819,12.75,12.75,12.25,12.25,141020,[1 1]
20110822,12.25,12.99,12.25,12.99,162234,[1 1]
20110825,12.0,12.0,12.0,12.0,120000,[1 0]
20110830,13.7,13.7,13.7,13.7,4090,[1 0]
20110831,13.7,14.4,13.7,14.4,254226,[1 0]
20110901,14.6,15.0,14.0,15.0,277210,[1 1]
20110906,14.5,14.5,14.01,14.01,145399,[0 1]
20110908,14.6,15.0,14.6,15.0,312560,[1 0]
20110909,15.0,15.24,14.01,15.24,85647,[1 0]
20110912,14.8,15.0,14.8,15.0,50400,[0 1]
20110913,15.1,15.1,15.1,15.1,70988,[0 1]
20110914,15.19,15.73,15.0,15.73,538207,[1 0]
20110915,15.73,15.99,15.73,15.99,86780,[1 0]
20110916,15.01,16.0,15.01,16.0,236949,[1 0]
20110919,16.75,16.8,16.4,16.4,522340,[1 1]
20110920,15.8,15.8,15.41,15.41,85164,[0 0]
20110921,15.01,16.1,15.01,15.7,416411,[1 0]
20110922,17.98,17.98,14.8,14.8,228741,[1 0]
20110923,14.51,15.05,14.51,14.75,170754,[0 1]
20110927,14.5,14.5,14.5,14.5,43500,[1 0]
20110929,14.56,14.56,14.0,14.0,195440,[1 0]
20110930,14.2,14.6,14.2,14.6,80990,[0 0]
20111003,14.3,14.3,14.3,14.3,286482,[1 0]
20111004,14.0,14.45,12.53,14.24,245368,[0 1]
20111005,14.4,14.4,14.15,14.15,39670,[0 0]
20111007,13.4,13.4,13.4,13.4,33500,[1 0]
20111011,13.85,13.85,13.85,13.85,83100,[0 1]
20111017,13.6,13.6,13.6,13.6,102000,[1 0]
20111019,14.0,14.0,14.0,14.0,110600,[0 0]
20111020,14.25,14.5,13.8,13.8,300150,[0 0]
20111021,14.7,14.7,14.7,14.7,86730,[0 1]
20111024,14.01,14.01,14.01,14.01,86862,[0 0]
