date,open,max,min,close,volume,y
20111219,12.93,13.25,12.13,12.7,441191,[1 0]
20111220,12.75,13.2,12.2,12.99,1473660,[0 1]
20111221,13.0,13.19,12.61,12.89,958424,[0 1]
20111222,12.73,12.98,12.61,12.61,917311,[0 0]
20120105,13.7,13.89,13.12,13.12,572801,[1 0]
20120106,13.4,13.89,13.08,13.08,354809,[0 1]
20120109,13.3,13.9,13.12,13.9,243339,[1 1]
20120110,13.6,13.6,13.22,13.39,384888,[1 1]
20120111,13.19,13.3,12.31,13.16,907029,[0 1]
20120112,13.3,13.54,13.05,13.54,874700,[1 0]
20120113,13.1,13.57,13.01,13.18,1114643,[0 1]
20120116,13.4,13.78,13.01,13.01,538622,[1 1]
20120117,13.49,13.59,13.02,13.34,356199,[0 0]
20120118,13.97,13.97,13.3,13.48,1016666,[1 1]
20120119,13.6,13.6,13.45,13.55,617398,[0 1]
20120120,13.74,13.95,13.71,13.88,311168,[0 1]
20120123,13.9,14.22,13.9,14.22,357164,[1 1]
20120124,13.85,14.0,13.85,13.99,334831,[1 1]
20120126,14.0,14.3,14.0,14.3,821624,[1 1]
20120127,14.2,14.8,14.2,14.8,469040,[1 0]
20120130,14.5,14.5,14.2,14.3,374649,[1 0]
20120131,14.41,14.89,14.25,14.3,1011551,[0 0]
20120201,14.6,14.95,14.52,14.85,1331836,[1 0]
20120202,14.6,15.0,14.57,15.0,1929117,[1 1]
20120203,15.0,15.16,14.9,15.1,803779,[0 1]
20120206,15.2,15.65,14.81,14.98,997172,[0 1]
20120207,15.08,15.1,14.79,14.82,642579,[1 0]
20120208,14.85,15.04,14.8,14.91,798511,[1 1]
20120209,15.1,15.66,14.98,14.98,783138,[0 0]
20120210,14.97,15.91,14.72,14.72,899610,[0 0]
20120213,15.0,15.21,14.0,15.09,805275,[0 1]
20120214,15.05,15.1,15.0,15.03,174461,[1 0]
20120215,15.1,15.23,15.08,15.23,242100,[0 0]
20120216,15.6,15.79,15.3,15.56,966673,[1 1]
20120217,15.52,15.75,15.41,15.58,1135422,[0 0]
20120222,15.5,15.93,15.5,15.6,963086,[1 0]
20120223,15.61,16.49,15.61,16.04,767662,[1 0]
20120224,16.06,16.99,16.06,16.15,568704,[1 0]
20120227,15.9,16.47,15.9,16.4,922138,[1 0]
20120228,16.2,17.0,16.2,16.75,1579719,[0 1]
20120229,16.22,16.73,16.22,16.34,3329142,[1 0]
20120301,16.8,16.8,16.22,16.68,1570720,[0 0]
20120302,16.85,17.0,16.6,16.6,958225,[1 0]
20120305,16.71,17.0,15.53,16.2,1108323,[0 1]
20120306,16.7,16.7,15.6,16.18,1054965,[0 0]
20120307,16.35,17.0,16.35,17.0,649099,[0 1]
20120308,16.75,16.81,16.46,16.56,846310,[1 0]
20120309,16.8,16.95,16.8,16.85,476070,[0 0]
20120312,16.85,17.52,16.74,17.52,1394431,[0 1]
20120313,17.2,17.8,16.07,17.1,1063856,[1 1]
20120314,17.29,17.29,16.85,17.12,1111346,[0 0]
20120315,17.0,17.0,16.61,16.68,433771,[0 1]
20120316,17.0,17.03,16.35,16.71,1287065,[0 1]
20120319,16.56,17.29,16.56,17.28,1014022,[1 0]
20120320,17.0,17.29,16.89,16.89,993780,[1 0]
20120321,16.83,17.45,16.83,17.45,1062996,[1 1]
20120403,18.3,18.39,16.81,18.15,2744159,[0 0]
20120404,17.9,18.09,17.85,18.09,1288330,[1 0]
20120405,17.9,18.09,17.5,18.05,834879,[1 1]
20120409,18.1,18.27,17.84,18.0,1511994,[1 0]
20120410,17.66,17.99,17.6,17.6,1275146,[0 0]
20120411,17.76,17.8,17.6,17.6,696574,[1 0]
20120412,17.74,18.71,17.74,18.39,2615924,[1 1]
20120413,18.36,18.98,18.35,18.98,2434010,[1 1]
20120416,18.5,18.96,18.5,18.89,3220192,[1 0]
20120417,19.0,19.39,18.02,18.8,4354867,[0 1]
20120418,18.8,19.36,18.15,18.15,1870823,[1 0]
20120419,19.39,20.0,19.36,19.6,3733831,[1 0]
20120420,19.95,20.87,19.7,20.15,1735947,[0 0]
20120423,20.15,20.33,19.51,20.1,2549586,[0 0]
20120424,20.87,20.87,19.86,19.86,979001,[0 1]
20120425,20.11,20.42,19.51,20.03,1813180,[1 0]
20120426,20.1,20.24,19.04,19.04,1465802,[0 0]
20120427,20.06,20.7,20.06,20.7,1060570,[1 0]
20120430,20.6,20.88,20.3,20.4,1555077,[1 1]
20120502,20.54,21.5,20.45,21.2,3729947,[1 0]
20120503,20.8,21.44,20.45,20.95,2060517,[1 1]
20120504,21.01,21.2,20.47,21.19,2489076,[1 1]
20120507,20.65,20.99,20.01,20.99,4127599,[0 1]
20120508,20.1,21.02,19.92,20.04,2059654,[0 0]
20120509,20.15,21.33,20.0,20.65,2926010,[1 0]
20120510,20.9,21.19,20.9,21.18,2927195,[1 0]
20120511,21.07,21.3,20.9,20.95,1282450,[1 0]
20120514,20.02,20.02,19.54,19.76,1385817,[1 0]
20120515,20.11,20.11,19.5,19.73,1553279,[1 1]
20120516,19.4,19.99,19.11,19.99,2079262,[0 0]
20120517,19.5,19.89,18.8,18.99,2134826,[0 1]
20120518,18.6,20.11,18.56,18.67,1358679,[1 0]
20120521,18.8,19.5,18.8,19.39,1556895,[0 0]
20120522,19.3,19.3,18.9,19.18,1153275,[1 1]
20120523,20.11,20.11,18.0,18.2,1788407,[0 0]
20120524,18.32,18.32,17.95,17.95,1258330,[0 1]
20120525,17.95,18.59,17.95,18.4,927561,[0 1]
20120528,18.35,19.99,18.35,18.85,1081475,[1 0]
20120529,18.55,18.55,18.36,18.44,665389,[0 1]
20120530,18.7,18.7,18.02,18.4,1245958,[1 0]
20120531,18.29,19.99,17.87,18.0,3636676,[0 1]
20120601,19.0,19.0,17.61,17.61,1926359,[1 1]
20120604,18.26,18.84,18.15,18.84,710767,[0 1]
20120605,18.39,19.08,17.51,18.9,1560412,[0 0]
20120606,19.13,20.03,18.8,19.35,1083844,[0 0]
20120608,19.35,20.05,18.51,19.3,1545832,[0 1]
20120611,19.99,20.04,19.3,19.3,2007204,[0 1]
20120612,19.83,19.83,19.0,19.19,1672096,[1 1]
20120613,19.24,20.0,18.11,19.54,1410823,[0 1]
20120614,19.51,19.87,19.2,19.25,1513349,[1 1]
20120615,18.41,20.04,18.41,20.04,3564208,[0 1]
20120618,19.45,20.05,18.48,20.05,2358823,[0 0]
20120619,19.6,20.0,19.6,19.79,4196523,[1 0]
20120620,19.83,20.25,19.73,20.16,3602812,[0 0]
20120621,20.21,20.48,19.69,19.69,2673620,[1 0]
20120704,20.64,21.17,20.4,21.05,5378223,[1 1]
20120705,21.05,22.03,19.9,21.98,4598535,[0 0]
20120706,21.99,22.0,21.41,21.5,3125751,[1 1]
20120710,21.84,21.88,20.25,20.25,3006759,[0 0]
20120711,21.45,22.55,21.45,22.55,1647058,[1 1]
20120712,22.04,22.13,21.48,21.48,2279769,[0 1]
20120713,21.73,22.15,21.73,22.14,1146367,[0 0]
20120716,21.84,22.89,21.76,22.89,2779856,[0 1]
20120717,22.7,23.28,22.7,23.09,2608198,[0 1]
20120718,23.54,23.54,22.69,22.7,3396281,[0 0]
20120719,22.9,22.9,22.16,22.3,1381862,[1 1]
20120720,22.3,22.39,21.81,22.0,1350430,[0 1]
20120723,22.0,22.2,21.69,22.02,2001493,[1 0]
20120724,21.68,22.49,21.68,21.7,1519151,[1 0]
20120725,21.8,23.2,21.8,23.15,3291962,[1 1]
20120726,23.37,23.41,22.9,23.4,2211519,[0 0]
20120727,23.42,23.65,23.37,23.52,2284492,[1 0]
20120730,23.4,23.86,23.4,23.8,3250822,[1 0]
20120731,23.76,24.0,22.33,24.0,5665812,[1 0]
20120801,23.2,23.39,22.86,22.86,5195010,[0 1]
20120802,22.86,23.5,22.39,22.51,3195830,[0 1]
20120803,23.2,23.44,23.01,23.01,3508782,[1 0]
20120806,23.22,23.51,23.15,23.44,2830870,[1 1]
20120807,23.6,23.6,22.9,22.9,2524779,[1 0]
20120808,22.97,23.42,22.51,23.0,2095165,[1 0]
20120809,23.38,23.59,22.18,23.0,2934091,[0 0]
20120810,23.05,23.05,22.47,22.5,2233789,[1 0]
20120813,22.16,22.89,22.16,22.16,4118631,[0 1]
20120814,22.0,22.89,21.57,21.57,2810880,[0 1]
20120815,21.56,21.72,20.88,21.39,4348777,[0 0]
20120816,21.26,21.31,20.4,20.51,4675461,[1 0]
20120817,20.65,20.99,20.51,20.65,1416052,[1 0]
20120820,21.2,21.2,20.48,21.17,2987089,[0 0]
20120821,20.81,20.81,19.0,20.5,2315141,[1 1]
20120822,20.2,20.55,20.2,20.34,1177011,[1 1]
20120823,20.45,21.46,20.11,20.11,993054,[0 0]
20120824,20.55,20.63,20.38,20.38,643507,[1 0]
20120827,20.25,20.5,20.0,20.2,5679099,[1 1]
20120828,20.55,21.45,20.55,21.21,9069573,[1 1]
20120829,21.49,21.66,21.47,21.6,9017243,[1 1]
20120830,21.68,21.99,21.52,21.8,4816645,[1 0]
20120831,21.98,22.25,21.56,21.66,3962934,[1 1]
20120903,21.6,22.24,21.21,21.77,2709629,[1 1]
20120904,21.85,22.05,21.73,22.05,5166715,[1 1]
20120905,22.0,22.19,21.9,22.09,5227025,[0 0]
20120906,22.1,22.89,22.1,22.74,9755352,[0 0]
20120910,22.78,23.0,22.35,22.35,6996321,[1 0]
20120911,22.8,22.8,22.13,22.67,3058045,[0 1]
20120912,22.5,22.88,21.98,22.05,2877035,[0 1]
20120913,22.28,22.59,21.55,21.97,3824299,[1 0]
20120914,21.8,22.31,21.8,22.31,1116810,[0 0]
20120917,22.1,22.88,22.01,22.31,2194342,[0 0]
20120918,22.7,23.54,22.5,23.34,5767546,[0 1]
20120919,23.36,23.39,22.86,23.12,3742844,[0 0]
20120920,23.13,23.36,22.8,23.17,2018926,[1 1]
20120921,23.35,23.35,22.47,22.52,3254606,[0 0]
20121004,23.73,24.46,23.73,24.09,4674169,[1 0]
20121005,24.2,24.46,23.5,23.5,2577842,[1 1]
20121008,24.11,24.46,24.01,24.29,2056079,[1 0]
20121009,24.29,24.46,24.18,24.46,2339644,[0 0]
20121010,24.2,24.45,23.74,24.25,1674950,[1 1]
20121011,24.0,24.0,23.1,23.45,8067546,[0 1]
20121015,23.01,23.51,22.4,22.7,4191499,[1 0]
20121016,22.79,23.52,22.61,22.79,2432848,[0 0]
20121017,23.08,23.88,23.08,23.88,3861283,[1 0]
20121018,23.8,23.89,23.48,23.87,1684090,[1 0]
20121019,23.4,23.86,22.9,22.9,1424331,[0 1]
20121022,23.0,23.12,22.83,22.89,1368756,[0 0]
20121023,23.08,23.08,22.08,22.98,1534815,[1 0]
20121024,22.94,23.86,22.77,23.86,1758008,[0 0]
20121025,23.0,23.0,22.11,22.3,1111113,[0 0]
20121026,23.87,24.01,22.05,22.3,1059477,[0 0]
20121029,22.22,22.47,22.22,22.3,992475,[1 0]
20121030,22.65,22.8,22.52,22.7,1639824,[0 1]
20121031,23.0,23.0,22.05,22.05,921608,[1 0]
20121101,22.2,23.0,21.96,22.94,2192693,[1 0]
20121105,23.1,23.29,22.46,23.29,4351998,[1 1]
20121106,22.6,22.6,22.06,22.2,2046794,[0 1]
20121107,22.21,22.27,21.95,21.96,1636056,[1 0]
20121108,22.22,22.3,21.81,22.28,2297953,[0 1]
20121109,22.35,22.7,21.9,22.68,1471072,[1 0]
20121112,21.9,22.2,21.9,22.01,6147495,[1 1]
20121113,22.12,22.12,20.91,20.91,1834113,[1 0]
20121114,21.0,21.8,20.83,21.64,1589915,[1 0]
20121116,22.05,22.88,21.6,22.54,1235767,[0 1]
20121119,23.0,23.0,22.38,22.55,1293701,[1 1]
20121121,22.59,22.9,22.1,22.1,1105235,[0 0]
20121122,22.48,22.48,22.03,22.17,636146,[0 1]
20121123,22.43,22.43,21.41,22.03,711365,[1 1]
20121126,22.98,22.98,21.5,21.8,805972,[1 0]
20121127,21.8,22.98,21.64,21.76,1089930,[0 1]
20121128,21.79,21.79,21.01,21.76,2224164,[1 0]
20121129,21.35,21.35,21.03,21.18,1602055,[0 0]
20121130,22.36,22.48,20.98,21.44,2596927,[1 1]
20121203,21.01,21.29,20.68,20.96,2860859,[0 0]
20121204,21.0,21.69,20.52,21.32,3241321,[0 0]
20121205,21.51,22.18,21.2,22.18,3379658,[0 0]
20121206,21.8,22.88,21.8,22.26,2526927,[0 0]
20121207,22.06,22.35,22.01,22.01,714755,[1 1]
20121210,21.8,23.0,21.8,22.65,2435952,[0 1]
20121211,22.7,23.1,22.7,22.77,9101115,[0 1]
20121212,22.96,23.15,22.87,22.9,5163711,[1 0]
20121213,22.9,23.34,22.83,22.83,3491380,[1 0]
20121214,23.15,23.3,22.86,23.3,2530981,[1 0]
20121217,22.95,23.5,22.95,23.2,4253803,[1 0]
20121218,23.01,23.45,22.71,23.05,1528868,[0 1]
20121219,23.17,23.25,23.0,23.2,1945047,[1 0]
20121220,23.16,23.48,23.01,23.1,3037368,[0 0]
20121221,23.0,23.55,22.8,23.05,1389956,[0 1]
20121226,22.96,23.59,22.85,23.05,6087373,[1 1]
20121227,23.15,23.55,23.06,23.55,2836001,[0 0]
20121228,23.25,23.48,23.0,23.0,1341825,[1 0]
20130102,23.55,23.98,23.2,23.77,8669833,[1 0]
20130103,23.9,23.9,23.12,23.89,4501131,[0 1]
20130104,23.88,23.88,22.91,23.0,940232,[0 0]
20130107,23.2,23.2,22.94,22.94,3651975,[1 0]
20130108,23.9,23.9,22.76,23.15,2306650,[1 1]
20130109,22.9,23.6,22.8,23.17,2617738,[1 0]
20130110,23.21,23.39,23.01,23.01,1529049,[1 1]
20130111,22.89,23.5,22.89,22.89,1478547,[0 1]
20130114,23.0,23.46,23.0,23.4,2609920,[0 1]
20130115,23.4,23.99,23.4,23.99,3702062,[0 0]
20130116,23.55,23.7,23.09,23.09,1845712,[0 1]
20130117,23.4,23.81,23.09,23.81,2493233,[1 1]
