date,open,max,min,close,volume,y
20050628,11.97,12.98,11.97,12.98,142572800,[0 0]
20050629,12.9,12.9,12.9,12.9,129000,[1 0]
20050728,12.0,12.0,12.0,12.0,480000,[0 0]
20050729,12.28,12.28,12.24,12.24,245200,[0 0]
20050801,12.2,12.2,12.2,12.2,244000,[1 0]
20050802,12.0,12.0,12.0,12.0,120000,[1 0]
20050803,11.95,11.95,11.95,11.95,2292700,[0 1]
20050808,11.0,11.65,11.0,11.65,912300,[0 0]
20050809,11.65,11.65,11.65,11.65,116500,[0 0]
20050811,12.19,12.19,12.19,12.19,121900,[1 1]
20050816,11.1,11.1,11.0,11.0,442000,[1 0]
20050817,10.0,11.49,10.0,11.49,944400,[1 1]
20050818,10.5,11.48,10.5,11.48,429800,[0 0]
20050819,10.35,10.7,10.35,10.7,317500,[0 0]
20050822,11.4,11.4,11.4,11.4,114000,[1 0]
20050905,10.02,10.7,10.02,10.7,407600,[0 1]
20050906,10.7,10.7,10.7,10.7,107000,[0 0]
20050908,10.85,10.85,10.6,10.6,320500,[0 1]
20050909,9.6,10.5,9.6,10.5,1257000,[1 0]
20050912,10.8,10.8,10.8,10.8,108000,[1 0]
20050913,10.7,10.85,10.7,10.85,323500,[0 0]
20050916,10.9,10.9,10.9,10.9,109000,[0 0]
20050920,10.0,10.4,10.0,10.4,2204500,[0 1]
20050921,10.5,10.5,10.5,10.5,105000,[0 0]
20050923,10.5,10.55,10.5,10.55,210500,[1 0]
20050926,10.5,10.5,10.5,10.5,105000,[1 0]
20050927,10.5,10.5,10.5,10.5,105000,[1 0]
20050930,10.5,10.5,10.5,10.5,105000,[0 1]
20051005,10.4,10.4,10.1,10.1,205000,[0 0]
20051006,10.35,10.35,10.35,10.35,103500,[1 0]
20051010,10.4,10.4,9.61,10.25,604600,[0 0]
20051014,10.1,10.1,10.0,10.0,201000,[0 1]
20051017,9.2,9.75,9.2,9.75,1110500,[0 1]
20051018,10.35,10.35,10.35,10.35,103500,[1 1]
