date,open,max,min,close,volume,y
20040524,3.59,3.59,3.59,3.59,35900,[1 0]
20040527,3.65,3.65,3.65,3.65,328500,[1 1]
20040611,3.6,3.6,3.6,3.6,36000,[1 0]
20040708,4.2,4.2,4.2,4.2,840000,[1 0]
20040719,4.35,4.35,4.35,4.35,43500,[0 1]
20040727,4.7,4.7,4.7,4.7,47000,[0 1]
20040723,4.35,4.35,4.35,4.35,1479000,[1 0]
20040812,5.1,5.1,5.1,5.1,51000,[0 1]
20040809,4.9,4.9,4.9,4.9,49000,[0 0]
20040806,4.7,4.7,4.7,4.7,94000,[1 0]
20040820,5.65,5.65,5.65,5.65,56500,[1 0]
20040817,5.35,5.35,5.35,5.35,107000,[0 0]
20040903,5.65,5.8,5.65,5.8,1583500,[1 1]
20040917,5.9,5.9,5.9,5.9,177000,[1 1]
20040916,5.9,5.9,5.9,5.9,59000,[1 1]
20040914,5.6,5.6,5.6,5.6,56000,[0 1]
20040909,5.8,5.9,5.8,5.9,175500,[1 0]
20040908,5.8,5.8,5.8,5.8,58000,[0 0]
20041005,5.6,5.6,5.6,5.6,56000,[0 0]
20041019,5.85,5.85,5.85,5.85,643500,[0 0]
20041015,5.75,5.75,5.75,5.75,2185000,[0 0]
20041020,5.5,5.9,5.5,5.9,350000,[0 1]
20041116,5.9,5.9,5.9,5.9,236000,[1 0]
20041203,5.9,5.9,5.9,5.9,531000,[1 0]
20041202,5.7,5.7,5.7,5.7,57000,[0 1]
20041125,5.6,5.9,5.6,5.9,174000,[0 1]
20041221,5.95,5.95,5.95,5.95,119000,[1 1]
20041223,6.4,6.4,6.4,6.4,128000,[0 0]
20041228,6.7,6.7,6.7,6.7,134000,[1 1]
20041230,6.9,6.9,6.9,6.9,69000,[1 0]
20050103,7.0,7.0,7.0,7.0,70000,[1 1]
20050120,7.0,7.0,7.0,7.0,140000,[1 1]
20050218,7.01,7.01,7.01,7.01,140200,[0 1]
20050223,7.1,7.1,7.1,7.1,284000,[1 0]
20050225,7.1,7.1,7.1,7.1,284000,[0 0]
20050314,7.05,7.05,7.05,7.05,282000,[0 0]
20050316,7.05,7.05,7.05,7.05,70500,[1 0]
20050317,7.05,7.05,7.05,7.05,70500,[1 1]
20050323,7.05,7.05,7.05,7.05,141000,[0 0]
20050329,7.05,7.05,7.05,7.05,70500,[0 1]
20050428,6.48,6.48,6.48,6.48,194400,[0 0]
20050519,6.1,6.1,6.1,6.1,61000,[1 0]
20050523,6.0,6.0,6.0,6.0,360000,[0 0]
20050803,5.65,5.65,5.65,5.65,565000,[0 0]
20050805,5.67,5.67,5.67,5.67,226800,[0 0]
20050810,5.9,5.9,5.9,5.9,118000,[1 1]
20050908,5.9,5.9,5.9,5.9,177000,[0 0]
20050914,5.95,5.95,5.95,5.95,535500,[1 0]
20050915,5.95,5.95,5.95,5.95,595000,[0 0]
20051007,5.95,5.95,5.95,5.95,119000,[0 0]
20051024,6.15,6.15,6.15,6.15,307500,[0 1]
20051123,6.09,6.13,6.09,6.13,1526500,[0 0]
20051125,6.14,6.14,6.14,6.14,2456000,[1 0]
20051130,6.35,6.35,6.35,6.35,1841500,[1 1]
20051201,6.5,6.5,6.5,6.5,650000,[1 0]
20051202,6.45,6.5,6.45,6.5,2395000,[1 0]
20051223,6.7,6.7,6.5,6.5,1125000,[0 1]
20051227,6.5,6.85,6.5,6.85,945000,[0 0]
20051228,6.9,6.9,6.9,6.9,345000,[1 0]
20051229,7.1,7.2,7.1,7.2,1721000,[0 1]
20060103,7.0,7.0,7.0,7.0,350000,[0 0]
20060104,7.2,7.2,7.2,7.2,720000,[0 0]
20060113,7.51,7.51,7.51,7.51,375500,[0 1]
