date,open,max,min,close,volume,y
20080627,12.89,12.9,12.89,12.9,644600,[0 1]
20080707,11.98,11.98,11.98,11.98,599000,[0 0]
20080708,8.6,8.6,8.6,8.6,1290000,[1 0]
20080710,8.0,8.0,8.0,8.0,2000000,[1 1]
20080715,11.48,11.48,11.48,11.48,114800,[0 1]
20080717,12.1,12.3,11.95,11.95,4232500,[0 1]
20080730,10.49,10.49,10.49,10.49,104900,[1 0]
20080805,8.0,8.0,8.0,8.0,80000,[0 0]
20080806,7.8,9.09,7.67,9.09,939700,[0 0]
20080821,8.99,8.99,8.99,8.99,89900,[0 0]
20080822,9.0,9.0,9.0,9.0,90000,[1 0]
20080826,10.0,10.0,10.0,10.0,600000,[1 1]
20080827,8.0,8.0,8.0,8.0,80000,[1 0]
20080828,9.99,9.99,9.99,9.99,99900,[0 1]
20080905,7.4,7.4,7.4,7.4,9324000,[1 0]
20081002,6.0,6.0,5.0,5.0,710000,[0 1]
20081003,5.0,5.0,5.0,5.0,50000,[0 0]
20081009,5.0,5.0,5.0,5.0,50000,[1 1]
20081014,4.1,4.1,4.1,4.1,2829000,[0 0]
20081015,4.0,4.0,4.0,4.0,40000,[1 0]
20081127,4.0,4.0,3.2,3.21,1946800,[0 1]
20081128,3.5,3.5,3.5,3.5,35000,[0 0]
20081204,3.5,3.5,3.5,3.5,770000,[0 1]
20081205,4.0,4.0,4.0,4.0,40000,[0 1]
20081208,4.5,4.5,4.5,4.5,90000,[1 0]
20081211,5.0,5.0,5.0,5.0,50000,[1 0]
20081212,4.5,5.0,4.5,5.0,195000,[0 1]
20081219,5.0,5.0,5.0,5.0,1650000,[0 1]
20081226,6.0,7.5,5.31,7.5,984700,[0 0]
20081229,7.5,10.0,7.5,9.0,4269000,[0 0]
20090109,7.51,7.51,7.51,7.51,150200,[1 0]
20090113,7.51,7.51,7.51,7.51,375500,[0 0]
20090115,8.0,8.0,8.0,8.0,800000,[1 0]
20090120,8.0,8.0,8.0,8.0,80000,[0 1]
20090313,7.0,7.59,7.0,7.59,215900,[1 0]
20090316,7.99,7.99,7.99,7.99,159800,[1 0]
20090331,9.99,9.99,9.99,9.99,199800,[0 1]
20090401,8.5,8.5,7.99,7.99,1762900,[1 1]
20090408,7.5,7.5,6.51,7.0,1961500,[0 1]
20090409,7.5,8.5,7.5,7.5,645000,[0 0]
20090414,6.5,6.5,6.5,6.5,780000,[0 0]
20090415,6.5,6.5,6.5,6.5,195000,[1 0]
