date,open,max,min,close,volume,y
20070713,32.0,34.65,31.5,33.4,2399758225,[1 1]
20070716,33.7,34.45,33.57,33.88,136595352,[0 1]
20070717,33.75,34.3,32.55,34.0,139683555,[0 1]
20070718,33.7,34.52,31.92,32.2,84699842,[0 1]
20070719,32.93,33.6,31.3,32.94,55986176,[0 0]
20070720,32.3,33.3,31.96,32.33,59288365,[0 0]
20070723,32.46,33.99,32.31,33.99,89362885,[0 1]
20070724,33.81,34.3,32.7,32.8,26805186,[0 0]
20070725,33.0,33.4,32.73,33.25,35695375,[1 1]
20070726,33.7,33.7,31.51,33.1,30377343,[0 0]
20070727,32.45,33.88,31.6,32.7,19480412,[0 0]
20070730,33.0,33.0,32.0,32.25,14599169,[0 0]
20070731,32.4,32.52,31.55,32.01,23400143,[1 0]
20070801,31.69,31.87,30.2,30.88,23742755,[1 1]
20070802,31.8,32.8,31.31,32.79,20327902,[0 1]
20070803,31.89,32.4,30.21,30.5,9615386,[0 0]
20070806,30.3,30.49,29.0,29.85,17827240,[1 1]
20070807,30.16,32.0,29.8,31.41,14899522,[0 1]
20070808,31.92,32.84,31.2,31.8,14774360,[0 0]
20070809,31.97,31.97,30.87,31.2,7041691,[1 0]
20070810,30.67,30.8,29.8,30.8,13563483,[1 0]
20070813,30.9,31.3,30.01,30.01,6920323,[1 1]
20070814,30.0,30.51,29.5,29.65,7487232,[0 1]
20070815,29.2,29.79,28.45,28.9,13199931,[1 0]
20070816,28.0,28.85,25.01,28.85,25341976,[1 1]
20070817,29.5,30.3,27.62,29.9,11446870,[1 1]
20070820,29.89,30.0,28.4,28.62,8196530,[0 1]
20070821,29.0,29.69,28.99,29.69,6722123,[1 1]
20070822,29.85,30.24,29.4,29.75,12054143,[0 0]
20070823,30.1,30.4,29.5,29.61,5906802,[1 1]
20070824,29.64,30.23,29.02,30.23,8175607,[1 0]
20070827,30.0,30.24,29.74,29.91,3364105,[0 0]
20070828,29.7,29.7,28.1,28.3,6068737,[1 0]
20070829,28.6,29.8,28.0,29.8,8765486,[1 0]
