date,open,max,min,close,volume,y
20070131,20.13,22.91,20.13,22.75,9193567400,[0 1]
20070201,22.86,23.75,21.62,22.0,3007310500,[1 1]
20070202,21.79,22.08,21.7,22.04,1249867600,[0 0]
20070205,21.8,22.6,21.8,22.49,1012530300,[0 1]
20070206,22.3,23.87,22.01,23.4,564379600,[1 0]
20070207,23.32,23.78,23.0,23.0,528835100,[1 0]
20070208,23.0,23.02,22.7,23.0,666954900,[0 0]
20070209,23.0,23.0,22.75,23.0,721177500,[0 1]
20070212,22.89,23.5,22.8,23.1,943775400,[0 0]
20070213,23.2,24.71,23.2,24.5,834537200,[1 0]
20070214,24.31,24.9,23.01,23.85,1049968300,[0 1]
20070215,23.7,24.3,23.04,24.0,258592200,[0 0]
20070216,24.0,24.18,23.9,24.0,1314149400,[0 0]
20070221,24.3,24.5,24.0,24.0,42668800,[0 0]
20070222,24.1,24.29,23.8,23.8,151591800,[0 0]
20070223,23.33,24.0,23.33,23.56,195655200,[1 0]
20070226,23.33,23.94,23.1,23.7,508696100,[1 0]
20070227,23.05,23.05,21.9,22.3,229517900,[0 1]
20070228,22.5,22.5,21.56,22.0,513778800,[0 1]
20070301,21.5,22.5,21.38,22.5,678677700,[1 1]
20070302,22.39,23.28,21.75,22.18,277147300,[0 1]
20070305,21.4,22.15,21.01,21.4,455819300,[1 1]
20070306,21.99,22.75,21.99,22.5,255203900,[0 1]
20070307,22.39,22.5,21.01,22.4,192880800,[0 0]
20070308,22.4,22.55,21.11,22.19,84741600,[0 0]
20070309,22.0,22.19,21.15,21.15,279154100,[1 1]
20070312,21.31,21.59,20.8,21.15,328856900,[0 0]
20070313,21.2,21.2,19.52,19.95,328895700,[0 1]
20070314,19.6,20.16,19.0,19.65,322218900,[1 0]
20070315,20.0,20.0,19.05,19.35,84001100,[1 1]
20070316,19.1,19.2,18.2,18.35,664704900,[1 1]
20070319,18.5,19.0,17.72,19.0,428415700,[1 0]
20070320,19.31,19.31,18.55,18.8,439923400,[0 1]
20070321,18.91,20.0,17.8,19.5,467711700,[0 1]
20070322,19.25,19.25,18.9,19.1,449528900,[0 1]
20070323,19.24,19.52,18.86,18.9,622306800,[0 0]
20070326,19.5,19.5,18.6,19.0,307627800,[1 1]
20070327,19.0,19.0,18.47,18.56,68593600,[0 1]
20070328,19.19,19.19,18.25,18.6,120860600,[0 0]
20070329,19.0,19.2,18.81,19.2,910102300,[1 1]
20070330,19.48,19.5,19.0,19.5,316749300,[0 0]
20070402,19.4,19.5,18.75,18.85,144590600,[1 1]
20070403,19.3,19.3,18.76,19.05,237755800,[0 0]
20070404,19.0,20.4,18.83,20.4,366786000,[1 1]
20070405,20.69,21.1,20.4,20.7,43760200,[0 0]
20070409,20.7,21.1,20.2,20.29,123529300,[0 1]
20070410,20.5,20.5,19.5,20.4,226377900,[0 1]
20070411,20.3,20.32,19.62,19.7,111537000,[0 1]
20070412,19.61,19.8,19.25,19.5,191451800,[0 0]
20070413,19.65,20.0,19.49,19.5,39809900,[0 0]
20070416,19.6,19.78,19.1,19.2,151529800,[0 1]
20070417,19.48,20.1,19.13,19.3,116444600,[1 0]
20070418,19.23,19.5,19.1,19.5,396099000,[0 0]
20070419,19.3,19.64,18.5,18.99,166239900,[1 0]
20070420,19.2,19.29,18.51,18.9,501523200,[0 0]
20070423,18.91,19.15,18.66,18.69,125212700,[0 0]
20070424,18.9,19.0,18.4,18.75,56297100,[1 0]
20070425,18.8,19.25,18.7,19.2,196777200,[0 0]
20070426,19.24,19.7,18.99,19.2,621415300,[1 0]
20070427,19.02,19.69,18.96,19.69,92053600,[0 0]
20070430,19.3,19.89,19.3,19.89,137305200,[1 0]
20070514,21.7,22.0,21.35,22.0,96066600,[1 0]
20070515,22.14,22.5,22.07,22.3,248437800,[0 0]
20070516,22.29,22.49,22.0,22.4,379512900,[0 0]
20070517,22.4,22.48,21.74,22.4,40891200,[1 0]
20070518,22.4,22.4,21.62,21.95,1196862900,[1 0]
20070521,21.99,23.4,21.77,23.4,334468400,[1 1]
20070522,23.44,23.44,22.25,22.25,12386800,[0 1]
20070523,23.19,23.47,22.31,23.01,124557800,[1 0]
20070524,22.8,23.0,22.36,22.95,233494600,[1 0]
20070525,22.99,23.5,22.99,23.1,209540200,[1 0]
20070528,23.2,23.2,23.0,23.1,23720800,[0 0]
20070529,23.0,23.1,22.99,22.99,439538600,[1 0]
20070530,22.93,23.3,22.27,23.3,750290600,[0 0]
20070531,22.75,23.5,22.49,23.5,52361100,[1 1]
20070601,23.14,23.49,23.0,23.47,109355600,[1 1]
20070604,23.02,24.0,23.02,23.9,149669900,[1 0]
20070605,23.56,23.8,23.23,23.7,85351400,[1 1]
20070606,23.7,23.7,22.8,23.29,28372900,[0 1]
20070608,23.29,23.5,22.6,23.5,16778100,[1 1]
20070611,23.46,23.99,22.9,23.7,88918900,[1 1]
20070612,23.59,23.59,23.0,23.57,26160600,[1 1]
20070613,23.69,23.69,23.47,23.5,30083300,[0 1]
20070614,23.5,24.35,23.0,24.35,735498600,[0 0]
20070615,24.35,26.0,24.3,26.0,167699800,[0 1]
20070618,25.89,26.14,25.5,26.0,327294800,[0 1]
20070619,25.89,26.0,25.3,25.7,50914600,[1 0]
20070620,25.99,27.0,25.7,25.93,95259700,[0 1]
20070621,26.12,26.6,25.99,26.4,21936900,[0 0]
20070622,26.89,26.89,26.0,26.37,75549500,[1 0]
20070625,26.29,26.29,25.9,26.25,162242000,[1 1]
20070626,26.0,26.0,25.5,25.85,110430100,[1 0]
20070627,25.84,26.0,25.11,26.0,195698300,[1 1]
20070628,25.8,25.99,25.3,25.99,61062800,[1 1]
20070629,26.29,26.29,25.8,26.25,104291500,[0 0]
20070702,26.01,26.19,25.4,26.0,508539700,[0 0]
20070703,25.94,26.45,25.94,26.45,37113300,[1 0]
20070704,26.0,26.0,25.8,25.8,22514500,[0 1]
20070705,25.81,25.81,25.5,25.8,118392800,[1 1]
20070706,25.6,25.8,25.49,25.49,99260900,[1 1]
20070710,25.2,25.49,24.8,25.09,112345900,[0 0]
20070711,24.92,25.0,23.98,24.7,36540100,[1 0]
20070712,24.3,25.0,24.3,24.75,10875800,[0 0]
20070713,25.48,25.49,25.0,25.0,79217500,[0 0]
20070716,25.0,25.02,24.26,24.9,292547900,[0 0]
20070717,24.07,24.85,24.0,24.8,103634900,[0 1]
20070718,24.8,25.0,24.5,24.8,90180200,[1 1]
20070719,25.0,25.53,24.95,25.1,2126195300,[1 1]
20070720,25.1,25.12,24.8,25.0,711455500,[0 0]
20070723,25.2,25.2,24.51,25.0,93251400,[0 0]
20070724,24.8,24.8,24.0,24.5,131389500,[1 0]
20070725,24.0,24.4,24.0,24.3,97695800,[1 0]
20070726,23.02,23.09,22.81,23.0,23459400,[0 1]
20070727,23.39,23.9,23.2,23.5,332421500,[0 0]
20070730,23.7,23.7,22.5,22.8,318266300,[0 1]
20070731,23.1,23.1,22.6,22.8,797843600,[0 0]
20070801,22.8,22.8,22.3,22.4,315131000,[1 1]
20070802,22.4,22.8,22.4,22.8,293768000,[1 1]
20070803,22.79,22.8,21.8,22.6,55690500,[1 0]
20070806,22.31,22.31,22.0,22.3,22402500,[1 0]
20070807,22.49,22.49,21.85,22.0,98884800,[1 0]
20070808,22.5,23.0,22.5,22.9,235930900,[1 1]
20070809,22.59,22.59,21.99,22.35,227944300,[0 0]
20070810,21.3,22.5,20.9,22.5,215066400,[0 0]
20070813,22.49,22.5,21.33,21.64,310944900,[0 1]
20070814,21.99,21.99,20.9,21.4,193574400,[1 1]
20070815,21.0,21.4,20.4,20.4,31985300,[0 0]
20070816,20.0,20.0,16.7,20.0,181207300,[0 0]
20070817,19.95,20.5,17.5,19.79,305483000,[1 1]
20070820,19.79,20.05,19.15,19.8,474166600,[0 1]
20070821,19.6,19.8,19.35,19.4,298814500,[1 1]
20070822,19.55,20.0,19.39,19.79,613903100,[0 0]
20070823,19.9,19.9,19.5,19.5,262761500,[0 1]
20070824,19.4,19.75,19.15,19.75,404137200,[0 1]
20070827,19.75,20.0,19.75,19.8,624199900,[0 0]
20070828,19.5,19.7,19.25,19.25,728563300,[0 1]
20070829,19.5,19.65,18.9,19.3,250268000,[0 0]
20070830,19.3,20.0,18.96,19.7,557046100,[0 0]
20070831,20.0,20.75,19.7,19.7,443816900,[0 0]
20070903,19.8,20.4,19.8,20.1,142797900,[1 0]
