date,open,max,min,close,volume,y
20070131,20.0,22.89,19.8,22.23,558150877,[0 1]
20070201,23.4,23.44,21.54,21.99,50618332,[1 1]
20070202,21.8,22.1,21.63,22.02,16172610,[0 0]
20070205,21.62,22.51,21.62,22.35,19506412,[1 1]
20070206,22.23,23.7,22.15,23.01,25678052,[1 0]
20070207,23.21,23.73,23.0,23.0,7856003,[1 1]
20070208,22.6,23.01,22.55,22.8,4830054,[0 0]
20070209,23.0,23.0,22.41,22.85,3621008,[0 1]
20070212,22.76,23.3,22.75,23.04,8218491,[0 0]
20070213,23.1,24.6,23.09,24.08,14243295,[0 1]
20070214,24.48,24.87,23.51,23.51,4391327,[0 1]
20070215,23.01,24.49,23.01,23.96,4841061,[0 1]
20070216,24.1,24.22,23.31,24.2,4099648,[0 0]
20070221,24.0,24.2,23.81,24.06,1107017,[0 0]
20070222,24.0,24.47,23.51,24.0,2666717,[0 0]
20070223,23.58,23.8,23.33,23.56,2332746,[0 1]
20070226,23.4,23.87,22.01,23.87,3229797,[1 0]
20070227,22.9,23.07,22.0,22.41,3121398,[1 1]
20070228,22.45,22.79,21.57,21.85,2901647,[0 0]
20070301,21.5,21.8,21.01,21.65,1245351,[1 1]
20070302,22.49,22.5,21.76,21.95,1335291,[0 0]
20070305,21.51,22.05,20.82,21.11,1550636,[1 1]
20070306,21.9,22.52,21.9,22.52,466116,[0 1]
20070307,21.6,22.3,21.6,21.6,771030,[0 0]
20070308,22.0,22.44,21.75,22.0,801715,[1 0]
20070309,22.39,22.39,21.17,21.3,1167576,[1 0]
20070312,21.31,21.31,20.8,20.8,1247069,[0 1]
20070313,18.0,20.99,18.0,20.8,1528120,[0 1]
20070314,20.34,20.34,19.2,20.15,1115916,[1 0]
20070315,19.11,19.35,19.0,19.25,488892,[1 1]
20070316,18.96,18.96,18.02,18.64,1588465,[1 1]
20070319,18.35,18.64,17.88,18.5,886681,[1 1]
20070320,18.5,19.0,18.13,18.55,725262,[0 1]
20070321,18.8,19.48,18.1,19.48,957785,[0 1]
20070322,18.11,19.25,18.11,18.9,694185,[0 1]
20070323,18.82,19.47,18.82,18.91,489487,[0 0]
20070326,18.91,19.08,18.5,19.0,1022521,[0 1]
20070327,18.51,19.34,18.51,18.64,1441651,[1 1]
20070328,18.5,18.5,17.71,17.71,321539,[0 0]
20070329,18.52,19.0,18.52,19.0,1463120,[0 1]
20070330,19.18,19.47,19.18,19.26,674775,[0 1]
20070402,19.39,19.47,18.51,18.85,898273,[1 1]
20070403,19.1,19.1,18.51,18.85,600072,[1 1]
20070404,18.99,20.0,18.85,20.0,1944677,[1 1]
20070405,20.6,21.19,20.34,20.4,2090039,[0 0]
20070409,20.7,21.14,20.01,20.01,1242655,[1 0]
20070410,20.5,20.5,19.5,20.1,1531892,[1 1]
20070411,20.28,20.28,19.6,19.88,472868,[0 1]
20070412,20.0,20.0,19.33,19.37,546815,[0 0]
20070413,19.65,20.5,19.5,19.65,555163,[0 0]
20070416,19.6,19.6,19.11,19.11,1289552,[0 0]
20070417,19.5,19.76,19.25,19.25,664271,[1 0]
20070418,19.23,19.45,18.83,18.83,788965,[0 0]
20070419,19.3,19.3,18.76,18.76,1141733,[1 0]
20070420,19.51,19.51,18.62,19.0,675492,[0 0]
20070423,18.9,19.0,18.7,18.7,481075,[1 0]
20070424,18.7,18.8,18.55,18.8,1002448,[1 0]
20070425,18.8,19.59,18.8,19.16,1331350,[0 0]
20070426,19.59,19.6,19.0,19.0,850110,[1 0]
20070427,18.8,19.4,18.8,19.4,388049,[0 1]
20070430,19.7,19.83,19.5,19.75,1247718,[1 0]
20070514,21.6,21.9,21.15,21.74,452145,[1 0]
20070515,22.0,22.4,21.75,22.2,733816,[0 0]
