date,open,max,min,close,volume,y
20060621,22.5,22.5,22.5,22.5,2250000,[1 1]
20060622,22.5,24.5,22.5,24.5,9595000,[1 1]
20060623,24.0,26.0,24.0,26.0,7400000,[1 0]
20060626,28.0,28.0,28.0,28.0,2800000,[1 1]
20060627,29.0,30.5,29.0,30.5,3340000,[0 1]
20060628,33.0,33.0,33.0,33.0,3300000,[0 0]
20060629,32.99,32.99,20.0,21.5,29435700,[0 0]
20060630,21.99,24.7,21.99,23.0,11063900,[0 1]
20060703,24.0,24.2,24.0,24.2,482000,[1 0]
20060707,23.5,23.5,23.5,23.5,235000,[0 1]
20060713,24.2,24.2,24.2,24.2,484000,[0 0]
20060714,24.0,24.0,24.0,24.0,240000,[0 0]
20060717,24.0,24.0,24.0,24.0,480000,[1 0]
20060718,24.0,24.0,24.0,24.0,240000,[0 0]
20060720,24.2,24.2,23.0,23.0,941900,[1 1]
20060721,23.8,23.8,23.0,23.0,1404000,[1 0]
20060725,23.45,23.5,23.45,23.5,704000,[0 0]
20060809,5.1,6.0,5.1,6.0,597000,[0 1]
20060810,6.0,6.0,6.0,6.0,120000,[0 1]
20060822,5.94,5.94,4.51,4.51,2756700,[1 0]
20060823,5.0,5.0,5.0,5.0,100000,[0 1]
20060824,4.85,4.99,4.85,4.99,292400,[1 1]
20060828,4.5,4.8,4.5,4.8,366000,[0 1]
20060829,4.8,4.8,4.8,4.8,96000,[0 0]
20060831,4.79,4.8,4.6,4.75,328900,[1 0]
20060905,4.75,4.79,4.75,4.79,95400,[0 0]
20060906,4.8,4.8,4.5,4.5,546000,[1 0]
20060908,4.45,4.45,4.45,4.45,44500,[1 0]
20060911,4.45,4.45,4.4,4.4,177000,[1 0]
20060912,4.45,4.45,4.45,4.45,178000,[0 0]
20060913,4.45,4.66,4.45,4.66,136100,[0 0]
20060914,4.75,4.75,4.75,4.75,95000,[1 1]
20060915,4.5,4.5,4.5,4.5,45000,[0 1]
20060918,4.04,4.48,4.04,4.48,1144000,[1 0]
20060919,4.5,4.5,4.2,4.45,389000,[1 0]
20060920,4.6,4.6,4.16,4.39,508600,[0 0]
20060921,4.48,4.48,4.2,4.43,299100,[1 0]
20060922,4.48,4.48,4.3,4.3,132200,[1 0]
20060925,4.1,4.48,4.1,4.48,174100,[1 0]
20060926,4.7,4.7,4.7,4.7,94000,[0 1]
20060927,4.63,4.63,4.63,4.63,92600,[0 0]
20060929,4.65,4.75,4.2,4.47,782200,[0 1]
20061002,4.48,4.48,4.47,4.48,358200,[0 1]
20061003,4.65,4.65,4.65,4.65,93000,[1 0]
20061004,4.64,4.75,4.64,4.75,140900,[0 1]
20061005,4.65,4.65,4.25,4.64,357200,[1 0]
20061009,4.74,4.74,4.74,4.74,142200,[0 0]
20061010,4.3,4.65,4.3,4.65,225900,[1 1]
20061011,4.65,4.65,4.31,4.45,799800,[1 0]
20061013,4.65,4.7,4.65,4.7,469000,[0 0]
20061019,4.65,4.7,4.65,4.7,233000,[0 0]
20061020,4.65,4.65,4.65,4.65,325500,[0 1]
20061023,4.31,4.32,4.3,4.3,3532900,[1 0]
20061024,4.47,4.48,4.44,4.48,446200,[1 1]
20061025,4.4,4.4,4.4,4.4,132000,[1 1]
20061101,4.55,4.55,4.55,4.55,45500,[0 0]
20061103,4.23,4.23,4.2,4.2,1516200,[0 0]
20061106,4.5,4.5,4.5,4.5,45000,[1 1]
20061107,4.37,4.4,4.2,4.21,4455900,[0 1]
20061108,4.2,4.25,3.9,4.1,1950500,[0 1]
20061109,4.15,4.15,4.0,4.0,1758400,[0 1]
20061110,4.0,4.0,3.91,4.0,878400,[0 1]
20061113,4.0,4.0,4.0,4.0,240000,[0 0]
20061114,4.0,4.19,4.0,4.19,1811100,[0 1]
20061117,4.29,4.29,4.27,4.29,642300,[1 0]
20061122,4.17,4.2,4.17,4.2,251700,[1 0]
20061123,4.2,4.24,4.11,4.24,457900,[0 0]
20061124,4.3,4.33,4.3,4.33,129600,[1 1]
20061127,4.2,4.3,4.2,4.3,342400,[1 1]
20061205,4.3,4.34,4.3,4.34,691300,[1 1]
20061206,4.3,4.3,4.25,4.25,1839000,[0 1]
20061207,4.27,4.27,4.25,4.25,2342500,[0 0]
20061208,4.21,4.23,4.2,4.23,2731700,[0 0]
20061211,4.25,4.25,4.24,4.25,2167400,[1 0]
20061212,4.19,4.2,4.19,4.2,461900,[1 1]
20061213,4.24,4.24,4.24,4.24,424000,[1 0]
20061214,4.19,4.2,4.16,4.16,2503000,[1 0]
20061215,4.16,4.2,4.16,4.2,418800,[1 0]
20061218,4.2,4.2,4.2,4.2,1386000,[0 0]
20061219,4.2,4.2,4.0,4.19,7066200,[1 1]
20061220,4.24,4.24,4.24,4.24,424000,[0 1]
20061221,4.19,4.2,4.19,4.2,1259900,[1 1]
20061222,4.19,4.2,4.19,4.2,293700,[1 1]
20061226,4.1,4.19,4.1,4.15,1244000,[0 1]
20061227,4.2,4.2,4.2,4.2,714000,[0 0]
20061228,4.21,4.25,4.02,4.02,2226100,[0 1]
20070102,4.15,4.15,4.15,4.15,207500,[1 1]
20070105,4.23,4.23,4.23,4.23,42300,[1 0]
20070108,4.23,4.23,4.23,4.23,719100,[0 1]
20070109,4.22,4.23,4.22,4.23,507400,[0 0]
20070110,4.15,4.25,4.15,4.25,459000,[1 1]
20070112,4.7,4.7,4.7,4.7,658000,[1 0]
20070115,4.55,4.55,4.2,4.3,2162600,[1 0]
20070116,4.4,4.45,4.25,4.3,2899200,[1 1]
20070117,4.4,4.44,4.3,4.3,2381000,[0 1]
20070119,4.45,4.45,4.45,4.45,89000,[0 1]
20070122,4.45,4.47,4.45,4.47,89200,[1 1]
20070123,4.47,4.9,4.47,4.9,5848200,[0 1]
20070124,4.9,4.9,4.9,4.9,245000,[1 0]
20070126,4.86,4.86,4.86,4.86,486000,[1 0]
20070130,4.51,4.85,4.5,4.6,830600,[0 1]
20070131,4.41,4.41,4.41,4.41,44100,[0 0]
20070201,4.45,4.45,4.4,4.4,1455300,[1 0]
20070205,4.27,4.3,4.25,4.25,2825700,[0 0]
20070206,4.3,4.3,4.3,4.3,43000,[0 1]
20070207,4.41,4.6,4.36,4.4,3653300,[0 1]
20070208,4.4,4.4,4.4,4.4,88000,[0 1]
20070209,4.5,4.5,4.5,4.5,2250000,[1 0]
20070213,4.55,4.6,4.55,4.6,1011000,[0 1]
20070215,4.47,4.68,4.47,4.65,1743300,[1 1]
20070216,4.75,4.8,4.75,4.8,958500,[0 1]
20070222,4.8,4.85,4.8,4.8,1205000,[0 0]
20070227,4.7,4.7,4.7,4.7,470000,[1 1]
20070228,4.65,4.7,4.65,4.7,887000,[0 0]
20070301,4.46,4.46,4.46,4.46,1293400,[0 0]
20070302,4.5,4.5,4.5,4.5,810000,[1 0]
20070305,4.9,4.9,4.9,4.9,147000,[1 1]
20070306,4.49,4.49,4.49,4.49,134700,[0 0]
20070308,4.5,4.5,4.5,4.5,45000,[1 1]
20070312,4.5,4.5,4.5,4.5,90000,[0 1]
20070313,4.55,4.55,4.51,4.51,2308100,[0 1]
20070314,4.5,4.5,4.45,4.45,269000,[1 0]
20070315,4.5,4.5,4.5,4.5,270000,[0 0]
20070316,4.5,4.5,4.5,4.5,315000,[1 0]
20070321,4.6,4.6,4.6,4.6,276000,[1 0]
20070323,4.6,4.6,4.6,4.6,92000,[1 1]
20070327,4.51,4.51,4.51,4.51,90200,[1 0]
20070328,4.5,4.51,4.5,4.51,450100,[1 1]
20070329,4.51,4.6,4.51,4.6,407700,[0 0]
20070330,4.66,4.7,4.66,4.7,140200,[1 1]
20070402,4.65,4.69,4.6,4.69,879900,[0 0]
20070403,4.7,5.85,4.7,5.85,2547300,[0 0]
20070404,5.7,5.7,5.5,5.5,668000,[1 1]
20070405,5.4,5.4,5.05,5.05,752500,[1 0]
20070409,4.8,4.8,4.8,4.8,48000,[0 0]
20070410,5.0,5.0,5.0,5.0,50000,[0 1]
20070411,5.55,5.55,5.55,5.55,55500,[1 0]
20070412,5.7,5.7,5.7,5.7,57000,[0 1]
20070413,5.7,5.85,5.7,5.85,687000,[0 0]
20070416,5.9,6.0,5.9,6.0,119000,[1 0]
20070417,6.0,6.3,6.0,6.3,663000,[1 0]
20070418,5.5,6.17,5.5,6.17,116700,[0 1]
20070420,6.2,6.21,6.2,6.21,186200,[0 1]
20070423,5.9,5.9,5.9,5.9,59000,[0 1]
20070424,5.9,5.9,5.9,5.9,59000,[0 0]
20070426,5.9,5.9,5.9,5.9,590000,[1 0]
20070427,5.35,5.42,5.35,5.42,375200,[0 0]
20070430,5.89,5.89,5.89,5.89,58900,[0 1]
20070502,5.43,5.43,5.43,5.43,54300,[1 1]
20070503,5.81,5.9,5.81,5.9,2357800,[0 0]
20070504,5.95,6.3,5.95,6.29,1405400,[0 1]
20070507,6.95,6.95,6.89,6.89,138400,[1 0]
20070510,6.01,6.01,6.01,6.01,60100,[0 0]
20070511,6.5,6.5,6.5,6.5,1040000,[0 0]
20070514,6.02,6.02,6.02,6.02,60200,[1 0]
20070515,6.01,6.5,6.01,6.05,12531000,[0 1]
20070516,6.05,6.06,6.05,6.05,907900,[1 0]
20070522,6.05,6.05,6.05,6.05,60500,[0 1]
20070524,6.05,6.05,6.05,6.05,726000,[0 1]
20070525,6.35,6.35,6.35,6.35,63500,[1 0]
20070528,6.5,6.5,6.49,6.49,454600,[0 0]
20070529,6.05,6.08,6.05,6.08,3708500,[0 0]
20070530,6.45,6.45,6.45,6.45,580500,[0 1]
20070531,6.6,6.65,6.6,6.65,132500,[0 0]
20070601,6.95,6.95,6.95,6.95,139000,[1 0]
20070606,7.2,7.2,7.2,7.2,144000,[0 1]
20070608,7.49,7.49,7.49,7.49,74900,[0 0]
20070702,7.49,7.49,7.49,7.49,2247000,[1 1]
20070705,7.6,7.6,7.6,7.6,76000,[1 1]
20070716,7.5,7.5,7.5,7.5,2625000,[1 1]
20070717,7.5,7.5,7.5,7.5,900000,[1 1]
20070720,7.0,7.0,7.0,7.0,700000,[0 1]
20070723,7.4,7.4,7.4,7.4,74000,[0 0]
20070727,7.2,7.5,7.0,7.5,643300,[1 0]
20070730,7.99,7.99,7.99,7.99,79900,[1 0]
20070731,8.3,8.3,8.3,8.3,83000,[1 0]
20070807,7.1,7.7,7.1,7.7,290000,[0 1]
20070808,7.65,7.65,7.5,7.5,226500,[0 1]
20070809,7.6,7.7,7.6,7.7,153000,[0 1]
20070815,6.49,7.31,6.49,7.31,730100,[0 0]
20070816,7.2,7.2,6.96,6.96,423000,[1 1]
20070817,7.4,7.4,7.4,7.4,74000,[0 0]
20070821,7.5,7.5,7.5,7.5,75000,[1 0]
20070827,7.54,7.99,7.54,7.99,155300,[1 0]
20070910,7.0,7.0,7.0,7.0,840000,[1 1]
20070911,7.0,7.24,6.6,7.24,1188400,[0 0]
20070912,7.24,7.24,7.24,7.24,362000,[0 0]
20070913,7.5,7.5,7.5,7.5,375000,[1 0]
20070917,7.99,7.99,7.99,7.99,159800,[1 0]
20070918,7.69,7.69,7.69,7.69,1538000,[1 1]
20070919,7.95,7.99,7.95,7.99,159400,[0 0]
20071011,7.2,7.2,7.2,7.2,3600000,[0 1]
20071015,7.49,7.49,7.49,7.49,224700,[1 1]
20071016,7.49,7.85,7.3,7.5,5943300,[1 1]
20071017,7.65,7.7,7.3,7.7,10974000,[1 1]
20071018,7.59,7.59,7.59,7.59,1062600,[1 1]
20071019,7.79,7.79,7.79,7.79,155800,[0 0]
20071022,7.8,7.8,7.5,7.8,1584000,[0 0]
20071023,7.8,7.8,7.8,7.8,156000,[0 0]
20071025,7.99,8.48,7.99,8.2,4530500,[0 0]
20071026,8.15,8.15,8.15,8.15,4890000,[0 1]
20071029,8.15,8.15,8.15,8.15,4890000,[0 1]
20071031,8.48,8.48,8.48,8.48,169600,[0 0]
20071105,8.48,8.5,8.35,8.48,4236000,[1 1]
20071106,8.3,8.3,8.3,8.3,2490000,[0 1]
20071107,8.4,8.48,8.4,8.48,846400,[0 0]
20071109,8.48,8.48,8.0,8.48,3636800,[1 0]
20071112,8.48,8.48,8.48,8.48,84800,[0 1]
20071113,8.48,8.48,8.48,8.48,1526400,[0 0]
20071119,8.0,8.0,7.65,7.65,1259000,[0 1]
20071121,7.99,8.46,7.7,8.46,1360600,[0 0]
20071122,8.46,8.46,8.46,8.46,169200,[1 0]
20071127,8.45,9.9,8.45,9.9,3791600,[1 0]
20071128,8.0,8.4,7.65,8.4,1504000,[0 1]
20071129,8.49,8.5,8.41,8.5,592800,[1 0]
20071130,9.9,9.9,9.9,9.9,198000,[1 1]
20071205,8.5,9.7,8.5,9.01,640200,[0 1]
20071206,9.89,9.89,8.45,8.7,1761900,[0 0]
20071207,8.49,9.15,8.49,9.15,443300,[0 0]
20071210,9.85,9.85,9.85,9.85,98500,[0 1]
20071212,8.6,9.87,8.6,9.87,1205200,[0 1]
20071213,9.1,9.87,9.1,9.87,478100,[1 0]
20071214,9.88,9.88,9.88,9.88,98800,[1 0]
20071217,9.0,9.1,8.5,8.5,3365500,[0 0]
20071218,8.0,9.39,7.8,7.8,2490900,[1 0]
20071219,8.5,8.95,8.5,8.95,174500,[0 0]
20071220,9.77,9.77,9.77,9.77,97700,[0 1]
20071226,9.0,9.77,9.0,9.77,668300,[1 1]
20071227,9.76,9.76,9.76,9.76,195200,[0 0]
20071228,9.74,9.74,9.74,9.74,292200,[0 1]
20080102,9.89,9.89,8.49,8.49,353600,[0 1]
20080103,9.0,9.34,8.5,8.5,1957500,[1 0]
20080104,8.0,8.0,8.0,8.0,800000,[1 0]
20080107,8.99,9.0,8.99,9.0,899900,[1 0]
20080108,8.0,9.79,8.0,9.49,2682800,[0 0]
20080109,9.49,9.49,9.49,9.49,94900,[0 1]
20080110,8.55,8.94,7.5,7.51,1161100,[0 0]
20080111,8.49,8.49,7.75,7.75,239900,[1 1]
20080114,7.52,8.09,7.52,8.09,231300,[1 0]
20080116,8.3,8.3,8.0,8.0,406000,[1 1]
20080117,8.34,8.34,8.34,8.34,83400,[1 0]
20080121,7.5,8.0,7.5,8.0,465000,[0 1]
20080122,8.35,8.35,8.35,8.35,167000,[0 1]
20080124,8.4,8.4,8.4,8.4,84000,[1 1]
20080128,8.35,8.35,8.35,8.35,167000,[1 1]
20080129,8.35,8.35,8.35,8.35,167000,[1 1]
20080130,8.2,8.2,8.2,8.2,492000,[1 1]
20080131,8.6,8.6,8.6,8.6,172000,[0 0]
20080201,8.85,8.85,6.8,6.8,3488500,[0 1]
20080206,7.99,7.99,7.99,7.99,159800,[0 0]
20080207,7.86,7.87,7.86,7.87,235900,[1 1]
20080208,7.98,8.0,7.98,8.0,1758600,[0 0]
20080211,8.49,8.49,8.49,8.49,84900,[1 0]
20080212,8.07,8.78,8.07,8.69,1624600,[1 1]
20080213,8.6,8.6,8.6,8.6,172000,[0 0]
20080225,8.69,8.69,8.69,8.69,260700,[1 0]
20080226,8.8,8.8,8.8,8.8,88000,[0 1]
20080227,8.0,8.65,7.9,8.64,662900,[1 1]
20080228,8.4,8.4,7.51,7.51,5341900,[0 0]
20080229,7.95,8.5,7.8,8.25,3995000,[0 0]
