date,open,max,min,close,volume,y
20050523,11.51,11.69,11.21,11.5,3252666000,[0 1]
20050524,11.4,11.55,11.2,11.49,633121700,[0 0]
20050525,11.5,11.5,11.4,11.5,84436400,[0 1]
20050527,11.5,11.5,11.45,11.5,359894200,[0 1]
20050530,11.4,11.5,11.35,11.5,21755900,[0 0]
20050531,11.48,11.48,11.05,11.05,407325400,[1 0]
20050601,11.0,11.5,10.99,11.5,274344600,[1 0]
20050602,11.5,11.59,11.5,11.5,254408800,[1 0]
20050603,11.5,11.58,11.5,11.58,105287500,[1 1]
20050606,11.3,11.5,11.25,11.48,23649700,[0 1]
20050607,11.31,11.47,11.26,11.39,17635300,[1 1]
20050608,11.44,11.75,11.44,11.6,88102200,[0 1]
20050609,11.68,11.68,11.36,11.4,67146800,[1 0]
20050610,11.65,11.65,11.5,11.65,99129800,[1 1]
20050613,11.65,11.65,11.55,11.64,14152800,[1 0]
20050614,11.65,11.7,11.52,11.7,565402900,[1 1]
20050615,11.6,11.68,11.51,11.6,32013100,[0 1]
20050616,11.7,11.7,11.6,11.61,11863400,[0 0]
20050617,11.72,11.77,11.6,11.67,305809900,[0 0]
20050620,11.65,11.65,11.64,11.64,124654900,[1 0]
20050621,11.6,11.7,11.6,11.7,48263400,[0 1]
20050622,11.75,11.94,11.75,11.94,50228200,[1 0]
20050623,11.92,12.01,11.8,11.95,90932200,[1 1]
20050624,11.8,12.0,11.71,11.9,81122400,[0 0]
20050627,11.9,12.0,11.9,12.0,176357700,[1 0]
20050628,12.05,12.2,12.0,12.14,445046500,[1 1]
20050629,12.3,12.3,12.08,12.1,205115400,[1 1]
20050630,11.8,12.6,11.8,12.6,89406600,[1 1]
20050713,13.89,14.0,13.6,13.7,416678000,[0 0]
20050714,13.9,13.9,13.65,13.77,89026700,[1 0]
20050715,13.75,13.75,13.57,13.7,145465100,[1 0]
20050718,13.71,14.3,13.69,14.09,414598500,[1 1]
20050719,14.12,14.6,14.01,14.55,408487000,[1 1]
20050720,14.7,14.7,14.4,14.49,273609700,[0 0]
20050721,14.74,14.74,14.13,14.5,515945100,[1 0]
20050722,14.4,14.4,14.15,14.2,17868400,[0 1]
20050725,13.8,14.1,13.65,13.9,230397000,[1 0]
20050726,13.6,13.9,13.6,13.8,233925300,[1 1]
20050727,13.9,13.9,13.7,13.75,152483700,[1 1]
20050728,13.92,13.92,13.71,13.8,84381400,[1 0]
20050729,13.7,13.8,13.65,13.8,302937300,[1 1]
20050801,13.65,13.8,13.6,13.8,201835600,[1 0]
20050802,13.98,14.5,13.98,14.5,265019300,[1 0]
20050803,14.75,15.0,14.5,14.52,252782200,[0 0]
20050804,14.65,14.65,14.4,14.5,346126200,[1 0]
20050805,14.7,14.8,14.6,14.8,218737000,[0 0]
20050808,14.99,15.1,14.9,15.0,195385900,[1 1]
20050809,15.5,15.5,14.7,14.85,304743800,[0 1]
20050810,14.9,15.0,14.6,14.6,340547100,[0 1]
20050811,14.4,14.71,14.4,14.66,130616700,[0 1]
20050812,14.15,14.7,14.1,14.5,295553900,[0 0]
20050815,14.66,14.91,14.55,14.6,46535100,[0 1]
20050816,14.75,15.01,14.6,14.7,274475000,[0 1]
20050817,14.85,15.35,14.8,15.35,247175500,[1 1]
20050818,15.0,15.8,15.0,15.45,106908100,[1 1]
20050819,15.5,15.63,14.88,15.49,487498200,[1 1]
20050822,15.75,15.75,15.5,15.69,54798100,[0 1]
20050823,15.6,15.6,15.41,15.6,41550800,[1 0]
20050824,15.6,15.6,15.51,15.55,842956000,[1 0]
20050825,15.97,15.97,15.69,15.95,231367500,[1 1]
20050826,15.96,15.96,15.75,15.95,317736100,[0 0]
20050829,15.9,16.15,15.9,16.05,123413500,[0 0]
20050830,16.24,16.24,15.85,16.0,155724900,[1 0]
20050831,16.5,16.5,16.2,16.2,1051898600,[1 1]
20050901,16.4,16.4,16.3,16.4,118221500,[0 1]
20050902,16.5,16.6,16.2,16.5,83679900,[0 0]
20050905,16.5,16.7,16.5,16.65,3156500,[0 1]
20050906,16.7,16.7,16.5,16.5,99302500,[1 1]
20050908,16.6,16.6,16.2,16.2,77327900,[0 1]
20050909,16.34,16.4,16.2,16.3,708921900,[1 0]
20050912,15.91,16.3,15.91,16.2,179457800,[0 1]
20050913,16.2,16.2,16.0,16.15,50366800,[1 0]
20050914,16.1,16.2,16.09,16.18,129040100,[1 1]
20050915,16.29,16.4,16.25,16.3,456531500,[1 1]
20050916,16.01,16.25,16.01,16.13,35984400,[0 1]
20050919,15.9,16.25,15.9,16.25,223707100,[1 0]
20050920,16.2,16.4,16.2,16.4,941239000,[1 0]
20050921,16.4,16.65,16.4,16.6,327159900,[1 1]
20050922,16.7,17.0,16.45,17.0,642062000,[0 0]
20050923,17.2,17.2,17.0,17.1,74463000,[0 1]
20050926,17.25,17.25,16.8,16.93,12026800,[0 0]
20050927,17.0,17.3,17.0,17.3,260416400,[1 1]
20050928,17.5,17.7,17.3,17.7,1226930000,[0 0]
20050929,17.9,18.79,17.7,18.5,604142300,[0 0]
20050930,18.55,18.55,18.4,18.5,421366900,[0 1]
20051003,18.6,19.25,18.6,19.1,282603600,[1 0]
20051004,19.2,19.25,18.8,18.8,360458700,[0 1]
20051005,18.7,18.9,18.49,18.6,107498700,[1 1]
20051006,18.4,18.59,18.29,18.5,1031757000,[1 0]
20051007,18.6,19.25,18.6,19.2,414122800,[0 0]
20051010,19.4,19.4,18.41,18.41,299808200,[0 0]
20051011,18.7,18.8,18.25,18.25,105591500,[0 1]
20051013,18.2,18.2,17.9,17.9,44009500,[0 1]
20051014,18.24,18.24,17.7,18.2,1235770000,[1 0]
20051017,18.45,19.05,18.45,18.99,355524300,[0 0]
20051018,19.0,19.1,18.7,18.7,334370500,[0 1]
20051019,18.7,19.1,18.6,19.1,647036100,[1 1]
20051020,19.35,19.4,18.85,19.0,1345533900,[1 1]
20051021,18.99,19.4,18.99,19.26,26173900,[0 1]
20051024,19.3,19.39,19.15,19.15,1171162000,[1 0]
20051025,19.15,19.4,19.05,19.2,153615500,[0 0]
20051026,19.0,19.25,18.89,19.0,319580200,[1 1]
20051027,19.0,19.0,18.99,19.0,554414000,[1 1]
20051028,19.25,19.25,19.0,19.0,403558700,[0 1]
20051031,19.0,19.4,19.0,19.3,1224798300,[0 0]
20051101,19.4,19.4,19.0,19.0,355828800,[0 0]
20051103,19.3,19.55,19.29,19.3,901272500,[1 1]
