date,open,max,min,close,volume,y
20050523,11.5,11.7,10.65,11.23,9938095,[1 0]
20050524,11.5,11.54,11.01,11.42,835356,[1 0]
20050525,11.47,11.47,11.4,11.4,157955,[0 1]
20050527,11.5,11.54,11.41,11.54,536789,[0 1]
20050530,11.5,11.5,11.26,11.5,769354,[0 1]
20050531,11.26,11.48,11.14,11.14,885091,[0 1]
20050601,10.99,11.5,10.99,11.5,1444756,[0 0]
20050602,11.08,11.55,11.08,11.5,1888149,[0 0]
20050603,11.0,11.55,11.0,11.54,628355,[1 0]
20050607,11.3,11.4,11.22,11.4,398253,[0 1]
20050608,11.4,11.75,11.03,11.59,1829369,[0 1]
20050609,11.5,11.59,11.02,11.58,248550,[1 1]
20050610,11.0,11.62,11.0,11.62,770096,[1 1]
20050613,11.0,11.6,11.0,11.6,459084,[1 0]
20050614,11.6,11.6,11.52,11.6,602001,[1 1]
20050615,11.68,11.73,11.5,11.5,379630,[1 0]
20050616,11.58,11.64,11.5,11.5,391199,[1 1]
20050617,11.73,11.74,11.5,11.67,824437,[0 1]
20050620,11.55,11.68,11.5,11.64,37141,[0 1]
20050621,11.58,11.6,11.0,11.0,170766,[0 1]
20050622,11.59,11.89,11.59,11.89,899731,[0 0]
20050623,11.89,12.0,11.7,11.7,1885278,[1 0]
20050624,11.8,11.99,11.63,11.99,236994,[1 1]
20050627,11.8,12.0,11.51,12.0,237639,[0 1]
20050628,12.0,12.1,11.96,12.1,1033049,[1 1]
20050629,12.1,12.2,12.1,12.14,209092,[0 1]
20050630,12.1,12.43,12.1,12.43,173783,[1 1]
20050713,13.89,13.9,12.6,13.9,472528,[0 0]
20050714,13.0,13.89,13.0,13.89,166353,[1 1]
20050715,13.89,13.9,13.41,13.9,497646,[0 0]
20050718,13.7,14.02,13.7,14.02,144948,[0 0]
20050719,14.15,14.62,14.15,14.62,497245,[1 1]
20050720,14.47,14.47,14.01,14.01,196807,[0 1]
20050721,14.1,14.59,14.1,14.59,299028,[0 1]
20050722,14.5,14.75,14.3,14.75,253915,[0 1]
20050725,14.01,14.01,13.02,13.15,315408,[0 1]
20050726,13.55,14.0,13.55,14.0,451054,[1 1]
20050801,13.6,13.98,13.6,13.98,136342,[1 1]
20050802,14.0,14.5,14.0,14.5,961296,[0 0]
20050803,14.5,14.7,13.04,13.04,167722,[1 0]
20050804,14.6,15.5,14.21,15.5,146716,[0 1]
20050805,15.5,15.5,15.5,15.5,7750,[1 0]
20050808,15.0,15.0,15.0,15.0,273000,[1 0]
20050809,14.99,15.5,14.7,15.5,245033,[1 1]
20050810,14.0,14.0,14.0,14.0,47600,[0 0]
20050811,14.6,14.6,14.5,14.5,376340,[0 0]
20050812,14.35,15.0,14.35,14.8,371191,[1 0]
20050815,14.0,14.55,14.0,14.55,119265,[1 0]
20050816,14.99,14.99,14.7,14.7,205596,[1 1]
20050818,15.0,15.5,15.0,15.5,229950,[0 1]
20050822,15.5,15.7,15.5,15.7,312230,[1 0]
20050823,15.41,15.69,15.41,15.69,155584,[0 1]
20050825,15.5,15.9,15.5,15.9,363410,[1 1]
20050826,15.96,15.96,15.94,15.94,70180,[0 0]
20050829,15.9,16.98,15.9,16.98,272924,[0 1]
20050830,16.2,16.9,16.2,16.9,3310,[1 1]
20050901,16.2,16.2,16.2,16.2,153900,[0 1]
20050902,16.5,16.5,16.5,16.5,143550,[1 0]
20050906,17.0,17.0,16.6,16.99,205975,[0 0]
20050908,16.99,16.99,16.99,16.99,3398,[0 1]
20050909,16.25,16.5,16.25,16.5,55555,[1 0]
20050912,16.25,16.25,16.0,16.2,290730,[1 1]
20050913,16.19,16.19,15.01,15.01,162044,[0 0]
20050914,15.8,15.8,15.8,15.8,61620,[1 0]
20050915,16.0,16.48,16.0,16.48,227126,[1 1]
20050916,15.55,16.15,15.55,16.15,157300,[1 0]
20050919,15.9,16.4,15.9,16.4,320720,[0 1]
20050920,15.01,16.4,15.01,15.02,245890,[1 0]
20050921,16.5,18.67,16.5,18.67,352372,[0 1]
20050922,16.0,16.55,16.0,16.55,20855,[1 0]
20050923,17.99,17.99,16.81,16.81,132858,[0 1]
20050926,16.12,16.12,16.12,16.12,96720,[1 1]
20050927,17.0,17.5,17.0,17.5,238150,[0 0]
