date,open,max,min,close,volume,y
20050228,1.67,1.69,1.62,1.62,317265600,[0 1]
20050301,1.64,1.65,1.61,1.61,80036600,[0 0]
20050302,1.62,1.62,1.6,1.62,28236200,[0 0]
20050303,1.62,1.62,1.56,1.58,58881000,[0 0]
20050304,1.59,1.59,1.54,1.54,30359900,[1 0]
20050307,1.54,1.54,1.44,1.47,46760000,[1 0]
20050308,1.46,1.46,1.43,1.44,20736500,[0 0]
20050309,1.43,1.46,1.42,1.43,25186900,[0 0]
20050310,1.44,1.44,1.42,1.43,10370300,[0 0]
20050311,1.43,1.52,1.43,1.5,30612300,[0 0]
20050314,1.5,1.56,1.49,1.49,16027100,[0 1]
20050315,1.51,1.51,1.48,1.51,8363500,[0 1]
20050316,1.51,1.51,1.48,1.5,3354700,[1 0]
20050317,1.49,1.49,1.45,1.47,14567900,[1 0]
20050318,1.46,1.46,1.44,1.44,2055700,[0 0]
20050321,1.44,1.44,1.42,1.44,4477500,[0 0]
20050322,1.45,1.45,1.38,1.38,19106100,[0 0]
20050323,1.38,1.41,1.3,1.33,16492300,[1 0]
20050324,1.36,1.36,1.29,1.3,9706600,[1 0]
20050328,1.31,1.31,1.23,1.24,16088900,[1 1]
20050329,1.24,1.24,1.11,1.14,29337600,[0 1]
20050330,1.18,1.18,1.05,1.12,33267400,[0 0]
20050331,1.14,1.16,1.14,1.14,14650100,[1 1]
20050401,1.16,1.16,1.14,1.14,2370700,[1 0]
20050404,1.16,1.16,1.14,1.16,991700,[0 1]
20050405,1.16,1.22,1.16,1.18,10191700,[0 0]
20050406,1.18,1.18,1.11,1.12,2666000,[0 0]
20050407,1.16,1.18,1.14,1.16,7427000,[1 0]
20050408,1.18,1.18,1.15,1.16,525300,[0 0]
20050411,1.17,1.17,1.14,1.15,1411500,[0 0]
20050412,1.13,1.15,1.12,1.15,2960600,[1 1]
20050413,1.15,1.15,1.12,1.13,18880900,[1 0]
20050414,1.12,1.12,1.06,1.1,15130100,[0 0]
20050415,1.07,1.08,1.04,1.07,6761600,[0 1]
20050418,1.09,1.09,1.03,1.05,4259600,[0 0]
20050419,1.08,1.12,1.06,1.1,9501100,[1 0]
20050420,1.09,1.09,1.04,1.04,10400700,[1 0]
20050422,1.07,1.07,1.02,1.05,5638100,[1 0]
20050425,1.05,1.08,1.04,1.04,8608500,[0 0]
20050426,1.05,1.06,1.02,1.05,14686300,[1 0]
20050427,1.06,1.06,1.04,1.06,4637800,[0 1]
20050428,1.04,1.04,1.01,1.02,9451200,[0 0]
20050429,1.02,1.05,1.02,1.05,8800100,[0 0]
20050502,1.06,1.06,1.03,1.03,2772800,[0 0]
20050503,1.04,1.04,1.01,1.03,2740800,[0 0]
20050504,1.03,1.06,1.03,1.06,8617700,[0 1]
20050505,1.07,1.08,1.07,1.07,3846800,[0 0]
20050506,1.08,1.19,1.08,1.17,6071900,[0 0]
20050509,1.19,1.2,1.12,1.17,7982800,[0 0]
20050510,1.18,1.18,1.14,1.15,4378800,[0 0]
20050511,1.15,1.16,1.13,1.16,2095900,[0 0]
20050512,1.16,1.16,1.12,1.12,8038600,[0 0]
20050513,1.1,1.11,1.05,1.09,9382300,[1 1]
20050516,1.08,1.08,1.03,1.05,3828700,[0 0]
20050517,1.04,1.05,1.03,1.04,2296200,[1 0]
20050518,1.06,1.09,1.06,1.06,3379300,[0 0]
20050519,1.06,1.06,1.04,1.05,2785400,[0 0]
20050520,1.04,1.04,1.02,1.02,7639000,[0 0]
20050523,1.02,1.04,1.02,1.02,970600,[0 0]
20050524,1.03,1.03,1.01,1.01,2390500,[0 0]
20050525,1.02,1.02,1.0,1.0,5487700,[0 0]
20050527,1.02,1.02,1.01,1.02,7651400,[0 0]
20050530,1.03,1.07,1.03,1.06,20419300,[0 1]
20050531,1.06,1.08,1.06,1.08,1436800,[1 1]
20050601,1.07,1.07,1.06,1.07,1256900,[1 0]
20050602,1.07,1.07,1.05,1.05,1999500,[1 0]
20050603,1.04,1.06,1.04,1.05,429300,[0 1]
20050606,1.05,1.05,1.03,1.03,16284900,[0 0]
20050607,1.04,1.05,1.03,1.04,1169500,[0 1]
20050608,1.05,1.06,1.04,1.04,2527800,[0 0]
20050609,1.05,1.05,1.02,1.02,7639200,[0 1]
20050610,1.02,1.03,1.02,1.03,882300,[1 0]
20050613,1.02,1.03,1.02,1.03,4861400,[1 0]
20050614,1.03,1.04,1.02,1.04,959900,[1 0]
20050615,1.04,1.04,1.03,1.04,4523000,[0 0]
20050616,1.04,1.05,1.03,1.05,1197200,[0 0]
20050617,1.04,1.05,1.03,1.05,2267100,[0 0]
20050620,1.04,1.05,1.03,1.04,2218300,[1 1]
20050621,1.03,1.04,1.03,1.03,3580100,[0 0]
20050622,1.04,1.05,1.04,1.04,2220100,[1 0]
20050623,1.04,1.05,1.03,1.03,11805100,[0 1]
20050624,1.02,1.04,1.02,1.02,3590500,[0 1]
20050627,1.04,1.04,1.03,1.04,1231600,[0 0]
20050628,1.04,1.04,1.03,1.04,4136900,[0 0]
20050629,1.02,1.03,1.02,1.03,873100,[1 0]
20050630,1.03,1.03,1.02,1.02,1936700,[0 1]
20050701,1.02,1.02,1.02,1.02,1866600,[0 0]
20050704,1.02,1.03,1.01,1.02,5336500,[0 0]
20050705,1.01,1.01,1.0,1.01,3602500,[0 0]
20050706,1.01,1.01,0.98,0.98,8996600,[0 0]
20050707,0.98,0.98,0.98,0.98,29400,[1 0]
20050708,0.98,0.98,0.98,0.98,499800,[0 0]
20050711,0.99,1.0,0.99,1.0,3808000,[0 1]
20050712,1.0,1.01,1.0,1.0,6821200,[1 0]
20050713,0.99,1.0,0.99,0.99,2802000,[1 1]
20050714,0.99,1.0,0.98,0.98,3222800,[0 0]
20050715,0.98,0.98,0.98,0.98,548800,[0 1]
20050718,0.97,0.98,0.97,0.98,2184500,[1 1]
20050719,0.97,0.98,0.97,0.97,1202100,[0 1]
20050720,0.96,0.97,0.95,0.95,2944700,[0 0]
20050721,0.95,0.95,0.95,0.95,427500,[1 0]
20050722,0.95,0.95,0.92,0.92,1494100,[0 1]
20050725,0.91,0.91,0.89,0.89,1959000,[1 0]
20050726,0.86,0.88,0.86,0.87,2410500,[1 0]
20050727,0.86,0.87,0.86,0.86,1553000,[0 0]
20050728,0.88,0.9,0.86,0.87,7875600,[0 1]
20050729,0.88,0.88,0.87,0.88,13579000,[1 0]
20050801,0.87,0.89,0.87,0.88,1665500,[0 0]
20050802,0.88,0.88,0.88,0.88,316800,[0 0]
20050803,0.89,0.9,0.89,0.89,828500,[0 1]
20050804,0.88,0.88,0.87,0.87,2117700,[0 0]
20050805,0.88,0.89,0.87,0.87,1150600,[1 0]
20050808,0.87,0.88,0.87,0.87,1748300,[0 0]
20050809,0.87,0.88,0.87,0.87,2506600,[0 0]
20050810,0.87,0.87,0.86,0.86,7655000,[0 0]
20050811,0.87,0.87,0.86,0.86,4656000,[0 0]
20050812,0.85,0.86,0.84,0.86,3073700,[0 1]
20050815,0.85,0.85,0.83,0.83,6559300,[0 0]
20050816,0.81,0.82,0.81,0.82,1535800,[1 1]
20050817,0.81,0.83,0.8,0.81,4257100,[1 0]
20050818,0.8,0.81,0.8,0.8,3306000,[0 1]
20050819,0.79,0.79,0.78,0.78,1597200,[0 1]
20050822,0.79,0.79,0.77,0.77,9903500,[0 0]
20050823,0.78,0.78,0.74,0.74,5573600,[0 0]
20050824,0.75,0.75,0.74,0.74,2860000,[0 1]
20050825,0.74,0.74,0.72,0.72,4440900,[0 0]
20050826,0.73,0.74,0.73,0.73,4630900,[0 0]
20050829,0.74,0.77,0.74,0.76,7122200,[0 0]
20050830,0.77,0.77,0.77,0.77,9509500,[0 1]
20050831,0.78,0.79,0.77,0.79,4650900,[0 1]
20050901,0.78,0.79,0.78,0.78,1644500,[0 0]
20050902,0.79,0.82,0.79,0.81,708600,[1 0]
20050905,0.81,0.82,0.79,0.81,3071100,[0 1]
20050906,0.77,0.77,0.75,0.77,2881000,[1 0]
20050908,0.77,0.8,0.77,0.8,2389100,[1 0]
20050909,0.8,0.8,0.79,0.8,1022100,[0 1]
20050912,0.8,0.8,0.78,0.78,793700,[1 0]
20050913,0.77,0.77,0.76,0.77,1997000,[0 0]
20050914,0.78,0.78,0.78,0.78,390000,[0 1]
20050915,0.77,0.78,0.75,0.78,1624200,[1 0]
20050916,0.78,0.79,0.76,0.78,772100,[1 1]
20050919,0.78,0.78,0.75,0.76,1695000,[0 1]
20050920,0.77,0.77,0.76,0.77,692800,[0 0]
20050921,0.77,0.78,0.75,0.78,4256300,[0 1]
20050922,0.76,0.77,0.74,0.77,338300,[0 0]
20050923,0.75,0.78,0.75,0.78,5269400,[0 0]
20050926,0.77,0.77,0.76,0.76,1198600,[1 0]
20050927,0.76,0.77,0.76,0.77,1954200,[1 0]
20050928,0.77,0.78,0.76,0.77,184800,[0 0]
20050929,0.75,0.76,0.75,0.76,1440000,[1 0]
20050930,0.76,0.76,0.74,0.76,2325100,[1 0]
20051003,0.76,0.76,0.74,0.76,1465300,[0 0]
20051004,0.75,0.76,0.75,0.75,1643500,[1 0]
20051005,0.75,0.76,0.74,0.75,463900,[1 0]
20051006,0.74,0.75,0.74,0.74,2228400,[1 0]
20051007,0.75,0.75,0.74,0.75,1682500,[1 0]
20051010,0.76,0.76,0.75,0.76,1387700,[0 0]
20051011,0.75,0.76,0.75,0.76,1140100,[0 0]
20051013,0.74,0.74,0.74,0.74,2878600,[0 0]
20051014,0.74,0.75,0.74,0.75,1852200,[1 0]
20051017,0.74,0.75,0.73,0.73,828300,[0 0]
20051018,0.73,0.73,0.72,0.72,615000,[0 1]
20051019,0.72,0.73,0.7,0.73,2131300,[0 1]
20051020,0.72,0.72,0.65,0.65,3788200,[0 0]
20051021,0.69,0.73,0.68,0.73,1812600,[1 1]
