date,open,max,min,close,volume,y
20050228,1.72,1.72,1.61,1.63,987606,[0 0]
20050301,1.63,1.66,1.6,1.62,240853,[0 0]
20050302,1.65,1.65,1.59,1.59,169442,[0 0]
20050303,1.62,1.62,1.55,1.56,179677,[1 0]
20050304,1.62,1.62,1.48,1.55,83393,[1 0]
20050307,1.54,1.54,1.4,1.45,146024,[0 1]
20050308,1.48,1.48,1.4,1.41,114107,[0 1]
20050309,1.4,1.48,1.39,1.44,96174,[0 0]
20050310,1.43,1.43,1.4,1.4,31303,[0 0]
20050311,1.43,1.51,1.4,1.46,90106,[0 0]
20050314,1.52,1.57,1.45,1.45,47063,[0 1]
20050315,1.5,1.56,1.4,1.4,61796,[0 0]
20050316,1.51,1.51,1.48,1.48,8372,[1 0]
20050317,1.48,1.48,1.42,1.42,15857,[1 0]
20050318,1.46,1.46,1.46,1.46,13860,[0 0]
20050321,1.43,1.44,1.4,1.4,37440,[0 0]
20050322,1.45,1.46,1.38,1.38,72502,[0 0]
20050323,1.38,1.39,1.3,1.3,71545,[1 0]
20050324,1.36,1.36,1.28,1.28,54899,[0 1]
20050328,1.32,1.32,1.26,1.26,66254,[0 0]
20050329,1.26,1.26,1.1,1.11,109428,[0 0]
20050330,1.11,1.14,1.02,1.1,121197,[0 1]
20050331,1.15,1.17,1.12,1.17,27546,[0 1]
20050401,1.17,1.17,1.17,1.17,16380,[1 0]
20050404,1.17,1.17,1.1,1.1,3590,[0 0]
20050405,1.15,1.19,1.15,1.15,28205,[0 1]
20050406,1.19,1.21,1.1,1.1,25272,[0 1]
20050407,1.16,1.16,1.16,1.16,9200,[0 1]
20050408,1.12,1.12,1.12,1.12,1344,[0 0]
20050411,1.13,1.13,1.1,1.1,52256,[1 1]
20050412,1.06,1.11,1.06,1.1,16011,[1 0]
20050413,1.1,1.12,1.1,1.1,32486,[0 0]
20050414,1.1,1.11,1.06,1.06,67424,[0 1]
20050415,1.06,1.1,1.06,1.06,26792,[0 0]
20050418,1.05,1.05,1.04,1.05,16226,[1 0]
20050419,1.04,1.22,1.03,1.22,7721,[1 0]
20050420,1.06,1.06,1.02,1.02,21470,[1 0]
20050422,1.05,1.05,1.02,1.02,11921,[1 0]
20050425,1.05,1.06,1.03,1.03,9758,[1 0]
20050426,1.05,1.05,1.02,1.02,12326,[1 0]
20050427,1.02,1.02,1.02,1.02,2856,[1 0]
20050428,1.02,1.06,1.01,1.01,31910,[0 0]
20050429,1.02,1.05,1.01,1.01,18724,[1 1]
20050503,1.05,1.05,1.01,1.01,14807,[0 1]
20050504,1.01,1.05,1.01,1.04,22760,[0 1]
20050505,1.11,1.11,1.01,1.01,10789,[1 0]
20050506,1.08,1.15,1.08,1.15,13577,[1 0]
20050509,1.16,1.17,1.16,1.17,5146,[1 0]
20050511,1.11,1.14,1.11,1.14,24504,[0 0]
20050512,1.1,1.12,1.09,1.09,33259,[1 0]
20050513,1.09,1.12,1.05,1.06,16550,[1 0]
20050516,1.14,1.14,1.02,1.02,24989,[1 0]
20050517,1.04,1.04,1.03,1.03,8198,[1 0]
20050518,1.03,1.03,1.03,1.03,2060,[0 0]
20050519,1.06,1.06,1.05,1.05,18053,[0 0]
20050520,1.01,1.04,1.01,1.01,44704,[1 0]
20050523,0.97,1.03,0.97,1.03,5600,[0 0]
20050524,1.05,1.05,0.99,1.01,10565,[0 0]
20050525,0.98,1.01,0.97,0.98,19233,[0 0]
20050527,1.04,1.04,0.99,0.99,16207,[1 0]
20050530,1.03,1.06,1.03,1.03,39353,[0 1]
20050601,1.03,1.06,1.03,1.06,10312,[0 1]
20050602,1.05,1.05,1.05,1.05,5145,[1 0]
20050603,1.01,1.01,1.01,1.01,6161,[0 0]
20050606,1.01,1.03,1.01,1.01,9409,[1 0]
20050607,1.0,1.0,1.0,1.0,9200,[0 1]
20050608,1.02,1.07,1.02,1.07,9068,[0 0]
20050609,1.02,1.03,1.01,1.03,9318,[0 1]
20050610,1.01,1.01,1.0,1.0,21385,[1 0]
20050613,1.07,1.07,1.02,1.07,18899,[1 0]
20050614,1.02,1.02,1.02,1.02,9384,[0 0]
20050615,1.03,1.03,1.03,1.03,3296,[0 1]
20050616,1.02,1.03,1.0,1.0,23244,[0 0]
20050617,1.08,1.08,1.02,1.02,14530,[1 0]
20050620,1.01,1.01,1.01,1.01,5252,[0 0]
20050621,1.03,1.09,1.02,1.02,6564,[1 0]
20050622,1.0,1.01,1.0,1.01,6640,[0 0]
20050623,1.09,1.1,1.09,1.1,439,[1 1]
20050624,1.01,1.01,1.01,1.01,26361,[0 1]
20050628,1.06,1.06,1.06,1.06,1908,[0 0]
20050629,1.01,1.01,1.01,1.01,7171,[1 0]
20050630,1.01,1.03,1.01,1.03,16546,[0 1]
20050701,1.02,1.02,1.02,1.02,5304,[0 1]
20050705,1.03,1.03,1.01,1.01,6070,[0 0]
20050706,0.98,1.13,0.95,0.95,30427,[0 0]
20050707,0.96,0.96,0.96,0.96,1536,[1 0]
20050708,1.0,1.0,1.0,1.0,9800,[0 1]
20050711,0.97,0.97,0.97,0.97,3298,[1 1]
20050712,0.99,1.0,0.99,1.0,9926,[0 0]
20050713,0.98,0.98,0.95,0.96,21170,[0 0]
20050714,0.94,0.99,0.94,0.97,23729,[0 1]
20050715,0.98,0.98,0.98,0.98,7056,[0 0]
20050718,0.97,0.97,0.95,0.95,11186,[1 0]
20050719,0.95,1.0,0.93,0.97,21909,[1 1]
20050720,0.96,0.96,0.94,0.94,26389,[1 0]
20050721,0.94,0.95,0.94,0.95,4518,[1 1]
20050722,0.93,0.93,0.9,0.9,14935,[0 0]
20050725,0.91,0.91,0.9,0.9,3242,[0 0]
20050726,0.86,0.87,0.85,0.85,17334,[1 0]
20050727,0.85,0.86,0.85,0.86,7135,[1 1]
20050728,0.88,0.88,0.85,0.86,11489,[0 0]
20050729,0.88,0.95,0.84,0.95,11255,[0 1]
20050801,0.87,0.88,0.86,0.88,22788,[0 0]
20050802,0.88,0.9,0.86,0.9,11576,[1 0]
20050803,0.88,0.9,0.88,0.9,8856,[1 0]
20050804,0.86,0.93,0.86,0.93,23250,[0 1]
20050805,0.86,0.89,0.86,0.89,8675,[0 0]
20050808,0.87,0.87,0.87,0.87,8352,[0 1]
20050809,0.87,0.95,0.87,0.87,26219,[1 0]
20050810,0.87,0.88,0.85,0.85,43754,[1 0]
20050811,0.85,0.85,0.83,0.83,22784,[0 0]
20050812,0.84,0.85,0.83,0.85,18655,[1 0]
20050815,0.82,0.84,0.81,0.81,20874,[0 0]
