date,open,max,min,close,volume,y
20050613,52.0,52.0,52.0,52.0,20800,[1 0]
20050913,63.0,63.0,63.0,63.0,315000,[1 1]
20050928,63.0,63.0,63.0,63.0,126000,[1 0]
20051007,68.0,68.0,68.0,68.0,272000,[0 0]
20051207,70.0,70.0,70.0,70.0,413000,[1 1]
20060223,80.0,80.0,80.0,80.0,160000,[0 1]
20060609,109.0,109.0,109.0,109.0,10900,[1 1]
20060714,100.0,100.0,100.0,100.0,200000,[1 0]
20060719,100.0,100.0,100.0,100.0,140000,[1 0]
20060912,103.0,103.0,103.0,103.0,391400,[0 0]
20061122,114.5,114.5,114.5,114.5,11450,[0 1]
20061124,112.0,112.0,112.0,112.0,112000,[0 1]
20070122,162.0,162.0,162.0,162.0,81000,[1 1]
20070123,169.0,169.0,169.0,169.0,202800,[0 1]
20070201,170.0,170.0,170.0,170.0,204000,[0 1]
20070322,219.0,228.0,219.0,228.0,883200,[0 0]
20070404,18.6,18.6,18.6,18.6,91140,[0 1]
20070405,18.5,18.65,18.5,18.65,50025,[0 0]
20070409,18.8,18.8,18.2,18.2,427168,[1 0]
20070410,18.2,18.7,17.45,17.45,367196,[1 0]
20070411,17.2,17.25,16.25,16.25,547655,[0 1]
20070412,16.0,16.0,14.0,15.04,3360010,[1 0]
20070413,14.92,16.2,14.91,16.2,32270224,[0 1]
20070416,15.86,16.2,15.62,15.62,6289887,[0 1]
20070417,15.61,16.53,15.5,16.45,5721222,[0 0]
20070418,16.6,16.8,16.01,16.57,2973315,[1 1]
20070419,16.35,16.97,16.01,16.91,1439940,[1 0]
20070420,17.0,17.44,16.9,16.9,1552310,[0 1]
20070423,17.1,17.1,16.51,17.0,1101046,[1 0]
20070424,16.5,16.65,16.5,16.65,519852,[0 1]
20070425,16.76,16.9,16.6,16.9,800686,[0 1]
20070426,16.99,16.99,16.41,16.8,540991,[0 0]
20070427,16.11,17.34,16.11,16.65,593665,[1 1]
20070430,16.41,17.05,16.41,16.48,446802,[0 0]
20070502,16.8,17.1,16.75,16.93,628858,[1 1]
20070503,17.2,17.21,16.7,16.7,574372,[1 1]
20070504,17.0,17.17,16.52,16.52,661538,[0 1]
20070507,16.98,16.98,16.74,16.74,406689,[1 1]
20070508,16.8,16.8,16.4,16.4,255319,[0 1]
20070509,16.9,16.9,16.4,16.55,531366,[1 1]
20070510,16.33,16.33,15.51,15.8,693548,[1 0]
20070511,15.55,15.55,15.51,15.51,71466,[0 0]
20070514,16.15,16.5,15.8,16.5,336238,[0 1]
20070515,16.35,16.74,16.35,16.7,504863,[0 1]
20070516,16.5,16.6,16.25,16.6,540600,[0 1]
20070517,16.25,16.4,16.25,16.3,161535,[0 0]
20070518,16.42,16.6,16.0,16.6,804109,[1 1]
20070521,16.2,16.5,15.52,16.5,320718,[0 0]
20070522,16.42,16.77,16.06,16.77,787156,[0 0]
20070523,16.6,16.94,16.5,16.5,811615,[0 0]
20070524,16.7,16.7,16.13,16.13,225182,[1 0]
20070525,17.0,17.0,16.15,16.15,284061,[0 1]
20070528,16.75,16.84,16.5,16.84,270256,[1 1]
20070529,17.0,17.24,16.95,17.0,282136,[1 0]
20070530,16.35,16.9,16.35,16.9,334800,[1 0]
20070531,17.0,17.0,16.8,16.8,263468,[1 0]
20070614,18.03,18.33,17.81,18.25,658634,[1 0]
20070615,18.26,19.5,18.26,19.5,1344523,[1 0]
20070618,19.25,19.3,19.08,19.29,544193,[1 1]
20070619,18.61,18.61,18.61,18.61,75960,[1 1]
20070620,19.3,20.38,18.75,18.9,276168,[1 0]
20070621,18.0,18.5,18.0,18.5,559950,[0 0]
20070622,18.5,18.55,18.5,18.55,89025,[0 0]
20070625,18.2,18.25,18.2,18.25,171507,[1 1]
20070626,18.13,18.13,17.5,17.5,58254,[0 1]
20070627,17.91,18.0,17.91,18.0,198972,[0 0]
20070628,18.0,19.0,17.8,19.0,325100,[1 1]
20070629,17.85,19.0,17.65,19.0,271281,[1 0]
20070702,18.0,19.0,18.0,18.7,1396311,[1 1]
20070703,19.0,19.47,18.85,19.1,2370247,[1 0]
20070704,19.5,19.97,19.2,19.2,3708149,[1 0]
20070705,19.5,19.6,19.3,19.3,1611152,[0 1]
20070706,19.6,19.75,19.26,19.75,1518855,[0 0]
20070710,19.75,20.65,19.4,19.41,1056489,[1 0]
20070711,19.6,19.6,19.4,19.5,968434,[1 0]
