date,open,max,min,close,volume,y
19980324,0.32,0.32,0.32,0.32,192000,[1 1]
20000410,1.96,1.96,1.96,1.96,196000,[1 0]
20000515,1.98,1.98,1.98,1.98,198000,[1 0]
20000711,2.42,2.42,2.42,2.42,968000,[1 0]
20000713,2.42,2.42,2.42,2.42,2178000,[0 1]
20001218,2.5,2.5,2.5,2.5,500000,[0 0]
20010912,2.39,2.39,2.39,2.39,239000,[1 0]
20011213,2.45,2.45,2.45,2.45,9800000,[0 0]
20020104,2.38,2.38,2.38,2.38,3332000,[0 0]
20020509,2.38,2.38,2.38,2.38,1190000,[0 0]
20020531,2.5,2.5,2.5,2.5,2750000,[1 0]
20030307,2.31,2.31,2.31,2.31,2772000,[0 1]
20030415,2.24,2.24,2.24,2.24,7616000,[1 0]
20030428,2.3,2.3,2.3,2.3,2300000,[1 1]
20030516,2.2,2.2,2.2,2.2,2420000,[0 0]
20031010,2.1,2.1,2.1,2.1,1680000,[1 1]
20031014,2.1,2.1,2.1,2.1,420000,[0 1]
20031017,2.1,2.1,2.1,2.1,630000,[1 0]
20040301,1.9,1.9,1.9,1.9,11400000,[1 0]
20040213,1.61,1.61,1.61,1.61,161000,[0 0]
20040211,1.69,1.69,1.6,1.6,498000,[1 0]
20040106,1.99,1.99,1.99,1.99,199000,[1 0]
20040609,1.7,1.7,1.7,1.7,2210000,[0 0]
20040730,1.7,1.7,1.7,1.7,170000,[0 0]
20040804,1.75,1.75,1.75,1.75,350000,[1 0]
20040823,2.05,2.05,2.05,2.05,5740000,[0 0]
20040917,1.85,1.85,1.85,1.85,185000,[0 1]
20041125,1.9,1.9,1.9,1.9,380000,[0 0]
20041130,1.98,1.98,1.98,1.98,811800,[0 0]
20041217,1.8,1.8,1.8,1.8,3600000,[1 0]
20041227,1.75,1.75,1.75,1.75,420000,[0 0]
20050105,1.94,1.94,1.94,1.94,19400,[0 1]
20050114,1.95,1.95,1.95,1.95,838500,[0 0]
20050211,1.75,1.75,1.75,1.75,192500,[1 0]
20050216,1.8,1.8,1.8,1.8,72000,[1 0]
20050222,2.15,2.15,2.15,2.15,43000,[1 0]
20050224,1.81,1.81,1.81,1.81,325800,[0 1]
20050329,1.85,1.85,1.85,1.85,333000,[0 0]
20050422,1.73,1.73,1.73,1.73,173000,[1 0]
20050506,1.73,1.73,1.73,1.73,13840000,[0 1]
20050620,1.55,1.55,1.55,1.55,449500,[0 0]
20050623,1.65,1.65,1.65,1.65,82500,[0 0]
20050712,1.59,1.59,1.42,1.42,4710400,[0 1]
20050719,1.65,1.65,1.65,1.65,1815000,[0 0]
20050720,1.65,1.65,1.65,1.65,3135000,[0 0]
20050727,1.6,1.6,1.6,1.6,880000,[0 0]
20050810,1.53,1.53,1.53,1.53,612000,[0 1]
20050811,1.5,1.5,1.5,1.5,15000,[0 1]
20050817,1.5,1.5,1.5,1.5,1080000,[0 0]
20050825,1.52,1.52,1.52,1.52,243200,[1 1]
20050906,1.5,1.5,1.5,1.5,330000,[0 1]
20050908,1.5,1.5,1.5,1.5,75000,[0 1]
20050914,1.5,1.5,1.5,1.5,300000,[0 1]
20050919,1.3,1.3,1.3,1.3,2366000,[1 1]
20050928,1.3,1.5,1.3,1.5,14495000,[1 1]
20051003,1.45,1.45,1.45,1.45,145000,[1 1]
20051018,1.4,1.4,1.4,1.4,2044000,[0 1]
20051111,1.3,1.3,1.3,1.3,5200000,[1 1]
20051114,1.3,1.3,1.3,1.3,1040000,[0 0]
20051117,1.35,1.35,1.35,1.35,675000,[0 1]
20051118,1.25,1.35,1.25,1.35,417500,[0 0]
20051129,1.25,1.25,1.25,1.25,250000,[1 1]
20051130,1.25,1.25,1.2,1.2,575000,[0 0]
20051201,1.2,1.2,1.2,1.2,132000,[1 1]
20051216,1.45,1.45,1.45,1.45,507500,[0 1]
20060113,1.36,1.36,1.36,1.36,1414400,[0 0]
20060116,1.36,1.36,1.36,1.36,136000,[0 1]
20060119,1.45,1.45,1.45,1.45,145000,[0 0]
20060202,1.41,1.41,1.41,1.41,14100,[0 1]
20060208,1.42,1.42,1.42,1.42,6134400,[0 1]
20060214,1.2,1.25,1.2,1.25,512000,[0 1]
20060215,1.55,1.55,1.55,1.55,775000,[0 1]
20060224,1.55,1.55,1.55,1.55,434000,[0 1]
20060306,1.21,1.21,1.21,1.21,363000,[0 0]
20060330,1.3,1.3,1.3,1.3,221000,[0 0]
20060404,1.3,1.3,1.3,1.3,585000,[1 0]
20060523,1.3,1.3,1.3,1.3,1690000,[1 1]
20060525,1.35,1.35,1.35,1.35,391500,[0 0]
20060526,1.35,1.35,1.35,1.35,175500,[0 1]
20060529,1.3,1.3,1.3,1.3,169000,[0 1]
20060601,1.3,1.35,1.3,1.35,79500,[1 0]
20060606,1.35,1.35,1.35,1.35,54000,[0 0]
20060613,1.25,1.25,1.25,1.25,375000,[0 0]
20060616,1.25,1.25,1.25,1.25,125000,[1 0]
20060620,1.25,1.25,1.25,1.25,12500,[0 1]
20060626,1.1,1.1,1.1,1.1,649000,[0 1]
20060726,1.2,1.2,1.2,1.2,12000,[1 0]
20060808,1.01,1.01,0.99,1.0,159400,[0 0]
20060809,0.95,0.95,0.95,0.95,66500,[1 0]
20060816,0.82,0.9,0.82,0.9,1561400,[1 0]
20060817,0.85,0.85,0.85,0.85,42500,[1 0]
20060818,0.83,0.83,0.83,0.83,1120500,[0 1]
20060822,0.83,0.83,0.83,0.83,614200,[0 1]
20060829,0.83,0.83,0.83,0.83,16600,[1 0]
20060912,1.0,1.0,1.0,1.0,300000,[0 0]
20060918,1.0,1.0,1.0,1.0,600000,[0 1]
20061016,1.0,1.05,1.0,1.05,2467000,[0 0]
20061017,1.0,1.0,0.95,0.95,685000,[0 0]
20061025,0.85,0.85,0.85,0.85,1963500,[0 1]
20061108,0.91,0.91,0.91,0.91,9100,[0 0]
20061114,0.95,0.95,0.95,0.95,209000,[1 1]
20061116,0.95,0.95,0.86,0.86,1670800,[0 1]
20061117,0.85,1.09,0.8,1.09,1786000,[1 1]
20061121,0.9,0.9,0.9,0.9,90000,[1 0]
20061122,0.93,0.93,0.93,0.93,9300,[0 0]
20061123,0.91,0.91,0.8,0.8,2550100,[1 0]
20061127,0.86,0.86,0.86,0.86,258000,[0 1]
20061128,0.9,0.9,0.9,0.9,630000,[0 0]
20061129,0.95,1.0,0.95,1.0,1578300,[0 1]
20061130,1.05,1.05,1.05,1.05,262500,[0 0]
20061205,1.12,1.12,1.12,1.12,11200,[0 1]
20061206,1.18,1.18,1.18,1.18,118000,[1 0]
20061207,1.25,1.3,1.22,1.22,3798900,[0 1]
20061208,1.02,1.02,1.02,1.02,30600,[1 1]
20061212,1.06,1.06,1.06,1.06,10600,[0 1]
20061213,1.15,1.15,1.15,1.15,34500,[0 0]
20061214,1.25,1.25,1.2,1.2,73500,[1 1]
20061215,1.19,1.19,1.19,1.19,559300,[1 0]
20061218,1.15,1.15,1.11,1.11,34100,[1 0]
20061219,1.1,1.1,1.1,1.1,220000,[1 1]
20061222,1.17,1.17,1.17,1.17,117000,[0 1]
20061228,1.17,1.17,1.17,1.17,58500,[1 0]
20070104,1.03,1.04,1.01,1.01,152900,[0 0]
20070105,1.1,1.15,1.05,1.05,801000,[0 1]
20070108,1.15,1.15,1.15,1.15,69000,[0 0]
20070109,1.15,1.15,1.15,1.15,3220000,[0 1]
20070111,1.14,1.14,1.1,1.1,865800,[0 1]
20070112,1.02,1.15,1.02,1.15,3105300,[1 0]
20070115,1.2,1.4,1.2,1.35,3523800,[0 1]
20070117,1.25,1.33,1.21,1.33,626300,[0 1]
20070119,1.33,1.7,1.33,1.7,5356100,[0 1]
20070122,1.8,1.95,1.4,1.52,4555200,[0 0]
20070123,1.55,1.55,1.5,1.5,500600,[0 0]
20070124,1.5,1.55,1.45,1.45,1012000,[0 0]
20070126,1.5,1.5,1.5,1.5,15000,[0 0]
20070130,1.5,1.5,1.4,1.4,4336000,[1 1]
20070201,1.21,1.21,1.21,1.21,1222100,[0 0]
20070202,1.21,1.25,1.2,1.2,436100,[0 1]
20070205,1.32,2.45,1.32,2.1,86132500,[0 0]
20070206,2.17,2.65,1.52,1.65,75688200,[1 1]
20070207,1.75,1.95,1.67,1.67,8524000,[0 0]
20070208,1.75,1.8,1.62,1.62,2490100,[0 0]
20070209,1.63,1.66,1.62,1.66,1640500,[1 1]
20070212,1.66,1.66,1.58,1.58,720000,[1 1]
20070213,1.58,1.6,1.5,1.6,2829600,[0 0]
20070214,1.59,1.59,1.49,1.5,1238400,[0 1]
20070215,1.59,1.59,1.52,1.52,122300,[1 0]
20070216,1.52,1.52,1.35,1.48,1602000,[0 1]
20070221,1.49,1.5,1.47,1.47,649200,[0 0]
20070222,1.45,1.48,1.45,1.46,2598100,[0 1]
20070223,1.46,1.46,1.45,1.45,2693700,[0 0]
20070226,1.46,1.48,1.45,1.48,424700,[0 1]
20070227,1.41,1.43,1.36,1.36,1107900,[0 1]
20070228,1.42,1.42,1.42,1.42,7639600,[0 1]
