date,open,max,min,close,volume,y
19980324,0.29,0.29,0.29,0.29,8294,[1 0]
20010912,2.5,2.5,2.5,2.5,222750,[0 0]
20011213,2.45,2.45,2.45,2.45,413560,[0 0]
20020104,2.38,2.38,2.38,2.38,148750,[1 0]
20020426,2.27,2.27,2.27,2.27,58566,[0 0]
20020509,2.27,2.27,2.27,2.27,43130,[1 0]
20020716,1.6,1.6,1.6,1.6,52960,[1 0]
20021202,2.5,2.5,2.5,2.5,77500,[0 0]
20030428,1.9,1.9,1.9,1.9,129960,[1 1]
20030604,1.9,1.9,1.9,1.9,114000,[0 0]
20030606,1.9,1.9,1.9,1.9,15960,[0 1]
20030625,2.0,2.0,2.0,2.0,20800,[0 1]
20030815,2.0,2.0,2.0,2.0,20000,[0 0]
20030910,2.1,2.1,2.1,2.1,210,[0 0]
20030925,2.1,2.1,2.1,2.1,10500,[1 0]
20031008,1.6,1.6,1.6,1.6,74720,[0 1]
20040211,1.55,1.55,1.55,1.55,61535,[1 0]
20040213,1.6,1.6,1.6,1.6,63360,[0 1]
20040227,1.9,1.9,1.9,1.9,60230,[1 1]
20040301,1.9,1.9,1.9,1.9,129770,[1 0]
20040609,1.7,1.7,1.7,1.7,164730,[1 0]
20040730,1.7,1.7,1.55,1.55,62445,[0 0]
20040804,1.7,1.7,1.7,1.7,114750,[1 0]
20040809,1.51,1.51,1.51,1.51,17818,[1 1]
20041223,1.7,1.7,1.7,1.7,13430,[0 1]
20041227,1.7,1.7,1.65,1.65,15450,[1 1]
20050620,1.51,1.51,1.51,1.51,5134,[0 1]
20050712,1.42,1.42,1.42,1.42,852,[0 0]
20050815,1.25,1.25,1.25,1.25,11500,[1 1]
20050817,1.4,1.5,1.4,1.5,28270,[0 0]
20050819,1.5,1.5,1.5,1.5,9300,[0 0]
20050906,1.5,1.5,1.1,1.1,12115,[0 1]
20050919,1.3,1.3,1.3,1.3,1690,[0 0]
20050928,1.78,1.78,1.77,1.77,3736,[0 1]
20051025,1.4,1.4,1.4,1.4,12180,[1 0]
20051118,1.0,1.0,1.0,1.0,1400,[0 1]
20051207,1.2,1.2,1.2,1.2,9840,[0 0]
20051213,1.34,1.34,1.34,1.34,938,[0 1]
20051220,1.35,1.35,1.35,1.35,1350,[0 1]
20060116,1.36,1.36,1.36,1.36,10472,[1 0]
20060529,1.3,1.3,1.3,1.3,6500,[1 1]
20060601,1.35,1.35,1.35,1.35,6210,[1 1]
20060626,1.3,1.3,1.3,1.3,1430,[0 0]
20060801,1.3,1.3,1.3,1.3,1560,[0 0]
20060816,0.7,0.7,0.7,0.7,1890,[0 1]
20060914,1.36,1.36,1.36,1.36,2720,[1 0]
20061017,0.8,0.8,0.8,0.8,4720,[1 1]
20070104,1.04,1.04,1.02,1.02,6956,[0 1]
20070112,1.21,1.21,1.21,1.21,121,[1 1]
20070115,1.21,1.21,1.21,1.21,6897,[0 0]
20070123,1.6,1.6,1.6,1.6,160,[1 0]
20070205,2.3,2.46,2.0,2.05,189853,[1 0]
20070206,2.45,2.49,2.0,2.2,132848,[1 0]
20070207,1.7,1.7,1.5,1.5,15100,[0 0]
20070209,1.63,1.63,1.63,1.63,6683,[0 0]
20070213,1.5,1.5,1.5,1.5,3150,[1 0]
20070214,1.3,1.3,1.3,1.3,8060,[0 1]
20070215,1.38,1.38,1.38,1.38,4692,[1 0]
20070221,1.47,1.47,1.47,1.47,12642,[0 0]
20070222,1.43,1.45,1.43,1.45,10579,[0 1]
20070223,1.45,1.45,1.45,1.45,7250,[0 0]
20070227,1.39,1.39,1.39,1.39,11120,[0 1]
20070228,1.36,1.36,1.36,1.36,2312,[0 0]
20070312,1.2,1.2,1.2,1.2,11760,[1 1]
20070313,2.19,2.19,1.42,1.42,26787,[0 0]
20070314,1.25,1.25,1.24,1.24,12405,[1 0]
20070328,1.13,1.13,1.12,1.12,8746,[0 1]
20070329,1.12,1.12,1.0,1.0,4678,[0 0]
20070330,1.14,1.14,1.14,1.14,684,[0 0]
20070402,1.23,1.23,1.23,1.23,2337,[0 1]
20070413,1.15,1.15,1.15,1.15,4600,[0 0]
20070418,1.15,1.15,1.15,1.15,2760,[1 0]
20070419,1.23,1.3,1.23,1.28,23263,[1 0]
20070420,1.35,1.35,1.27,1.27,50488,[1 1]
20070424,1.22,1.22,1.22,1.22,3538,[1 0]
20070425,1.19,1.19,1.16,1.16,11046,[0 1]
20070426,1.18,1.18,1.18,1.18,118,[0 1]
20070507,1.2,1.2,1.11,1.11,3845,[0 1]
20070510,1.17,1.17,1.17,1.17,3159,[0 0]
20070511,1.16,1.3,1.16,1.3,19834,[1 0]
20070514,1.25,1.51,1.2,1.2,34399,[1 0]
20070515,1.47,1.55,1.39,1.4,33982,[0 1]
20070517,1.55,1.7,1.55,1.6,30121,[0 1]
20070518,1.7,1.7,1.7,1.7,14960,[0 1]
20070521,1.7,1.85,1.7,1.79,52761,[1 0]
20070522,1.74,1.79,1.73,1.79,22990,[1 0]
20070524,1.55,1.55,1.55,1.55,4495,[1 0]
20070525,1.5,1.5,1.5,1.5,5550,[0 1]
20070528,1.44,1.44,1.44,1.44,720,[0 0]
20070601,1.45,1.45,1.4,1.4,7750,[1 0]
20070604,1.43,1.43,1.43,1.43,3575,[0 0]
20070605,1.45,1.45,1.45,1.45,7250,[0 0]
20070608,1.4,1.4,1.38,1.38,7320,[0 0]
20070618,1.38,1.46,1.38,1.41,12285,[1 0]
20070620,1.5,1.5,1.5,1.5,4350,[0 0]
20070622,1.5,1.54,1.5,1.5,15558,[0 0]
20070625,1.53,1.53,1.53,1.53,1071,[1 0]
20070627,1.56,1.56,1.56,1.56,3900,[0 1]
20070628,1.59,1.59,1.59,1.59,4293,[0 0]
20070629,1.56,1.56,1.56,1.56,780,[0 1]
20070702,1.55,1.55,1.51,1.51,1530,[0 0]
20070704,1.53,1.53,1.53,1.53,10251,[1 0]
20070705,1.48,1.48,1.48,1.48,7400,[0 1]
20070706,1.5,1.75,1.5,1.75,25115,[0 0]
20070710,1.68,1.68,1.68,1.68,18984,[1 0]
20070712,1.75,1.75,1.75,1.75,15925,[0 0]
20070717,1.6,1.6,1.6,1.6,2560,[1 1]
20070720,1.55,1.55,1.55,1.55,6200,[0 1]
20070724,1.47,1.47,1.47,1.47,11025,[0 1]
20070725,1.41,1.41,1.41,1.41,9729,[0 1]
20070726,1.36,1.36,1.25,1.35,17145,[0 1]
20070731,1.43,1.44,1.43,1.44,11504,[0 0]
20070801,1.34,1.34,1.34,1.34,1340,[1 0]
20070802,1.34,1.34,1.34,1.34,6566,[1 0]
20070803,1.4,1.44,1.4,1.44,13336,[1 1]
20070807,1.5,1.7,1.5,1.7,18050,[1 0]
20070808,1.57,1.57,1.57,1.57,10519,[0 1]
20070814,1.45,1.45,1.45,1.45,1450,[0 1]
20070816,1.19,1.19,1.19,1.19,3213,[0 0]
20070817,1.18,1.18,1.18,1.18,2360,[1 1]
20070827,1.27,1.27,1.27,1.27,5461,[0 1]
20070828,1.25,1.25,1.2,1.2,23800,[0 1]
20070829,1.2,1.2,1.18,1.18,10050,[0 0]
20070910,1.3,1.3,1.1,1.1,11310,[1 1]
20070912,1.3,1.39,1.3,1.39,14840,[1 1]
20071009,1.25,1.25,1.25,1.25,1625,[1 1]
20071011,1.25,1.25,1.25,1.25,4875,[1 0]
20071023,1.32,1.32,1.32,1.32,6600,[0 0]
20071024,1.2,1.44,1.2,1.44,13215,[1 1]
20071101,1.35,1.35,1.35,1.35,1350,[0 0]
20071122,1.15,1.15,0.99,0.99,4432,[0 1]
20071123,1.3,1.3,1.3,1.3,10400,[1 0]
20071128,1.18,1.18,1.18,1.18,9912,[0 1]
20071205,1.15,1.15,1.01,1.01,1826,[0 0]
20071212,1.43,1.43,1.43,1.43,143,[1 0]
20071213,1.16,1.16,1.16,1.16,116,[1 0]
20071214,1.16,1.16,1.16,1.16,116,[0 0]
20071227,1.2,1.2,1.16,1.16,11544,[0 1]
20080110,1.0,1.0,1.0,1.0,100,[0 0]
20080111,1.28,1.28,1.0,1.0,22712,[0 0]
20080114,1.05,1.05,1.05,1.05,630,[0 1]
20080121,1.01,1.01,1.0,1.0,10080,[1 0]
20080128,0.85,0.85,0.85,0.85,1020,[1 0]
20080201,0.86,1.0,0.86,1.0,9736,[0 0]
20080207,0.94,0.94,0.94,0.94,1410,[0 0]
20080208,0.98,0.98,0.98,0.98,98,[0 0]
20080212,0.87,0.87,0.8,0.85,8080,[0 0]
20080219,0.85,0.87,0.85,0.87,6473,[1 0]
20080226,0.88,0.88,0.88,0.88,1584,[1 0]
20080227,0.92,0.95,0.9,0.9,13860,[1 1]
20080305,0.89,0.89,0.89,0.89,1691,[0 0]
20080401,0.8,0.8,0.8,0.8,7840,[0 0]
20080402,0.98,0.98,0.98,0.98,196,[0 1]
20080417,0.81,0.81,0.75,0.75,6110,[0 0]
20080422,0.81,0.81,0.81,0.81,3159,[1 0]
20080424,0.81,0.89,0.81,0.81,6689,[0 0]
20080430,0.91,0.91,0.91,0.91,91,[1 0]
20080502,0.91,0.91,0.89,0.89,180,[1 0]
20080505,0.89,0.89,0.89,0.89,89,[1 0]
20080506,0.91,0.91,0.91,0.91,91,[0 0]
20080508,0.89,0.89,0.89,0.89,178,[1 1]
20080509,0.91,0.91,0.91,0.91,91,[1 0]
20080512,0.91,0.91,0.91,0.91,91,[1 0]
20080513,0.91,0.91,0.91,0.91,91,[1 1]
20080514,0.85,0.95,0.85,0.95,2815,[1 0]
20080519,0.92,0.92,0.92,0.92,92,[0 0]
20080520,0.92,1.05,0.92,1.05,14305,[0 1]
20080521,1.17,1.2,1.05,1.05,11730,[1 1]
20080526,1.1,1.1,1.1,1.1,3300,[1 0]
20080530,1.13,1.13,1.13,1.13,9944,[0 0]
20080603,0.9,0.9,0.9,0.9,180,[0 1]
20080605,1.13,1.13,1.13,1.13,113,[0 0]
20080606,0.9,0.9,0.9,0.9,1170,[0 0]
20080610,1.13,1.13,1.13,1.13,113,[0 0]
20080611,1.13,1.13,1.13,1.13,113,[1 0]
20080618,0.9,0.9,0.9,0.9,450,[1 0]
20080620,1.13,1.13,1.13,1.13,113,[0 1]
20080625,1.13,1.13,1.13,1.13,113,[0 0]
20080702,0.85,0.85,0.75,0.75,5861,[1 1]
20080704,0.95,0.95,0.95,0.95,95,[0 0]
20080714,0.95,0.95,0.95,0.95,95,[0 1]
20080717,0.95,0.95,0.95,0.95,285,[0 0]
20080725,0.95,0.95,0.95,0.95,95,[0 0]
20080804,0.9,0.9,0.9,0.9,3150,[1 0]
20080808,0.9,0.9,0.9,0.9,90,[0 1]
20080826,0.93,0.93,0.78,0.78,4830,[0 0]
20080828,0.76,0.76,0.75,0.75,5350,[1 0]
20080903,0.81,0.81,0.81,0.81,81,[1 0]
20080908,0.81,0.81,0.81,0.81,81,[1 0]
20080910,0.81,0.81,0.81,0.81,81,[0 0]
20080919,0.81,0.81,0.81,0.81,81,[0 1]
20080924,0.81,0.81,0.81,0.81,81,[0 1]
20081006,0.56,0.56,0.56,0.56,4144,[0 0]
20081008,0.8,0.8,0.8,0.8,80,[1 1]
20090527,0.51,0.51,0.5,0.5,5025,[0 1]
20090602,0.54,0.54,0.32,0.32,4640,[1 1]
20090604,0.55,0.55,0.55,0.55,10120,[0 0]
20090608,0.5,0.5,0.5,0.5,1500,[1 0]
20090612,0.46,0.46,0.46,0.46,2300,[0 1]
20090615,0.42,0.42,0.42,0.42,378,[1 1]
20090625,0.55,0.55,0.55,0.55,55,[0 0]
20090703,0.54,0.54,0.54,0.54,702,[0 1]
20090717,0.59,0.59,0.45,0.45,6550,[0 0]
20090722,0.63,0.63,0.63,0.63,63,[1 0]
20090804,0.63,0.63,0.63,0.63,63,[0 0]
20090806,0.45,0.45,0.44,0.44,1386,[1 1]
20090812,0.45,0.45,0.45,0.45,2250,[0 0]
20090814,0.45,0.45,0.45,0.45,225,[1 1]
20090818,0.45,0.45,0.45,0.45,3420,[0 0]
20090915,0.48,0.48,0.48,0.48,48,[1 0]
20090916,0.48,0.48,0.48,0.48,48,[1 0]
20091005,0.43,0.43,0.43,0.43,344,[1 1]
20091007,0.43,0.43,0.43,0.43,43,[0 0]
20091008,0.47,0.48,0.47,0.48,4863,[1 0]
20091009,0.51,0.51,0.51,0.51,5049,[1 0]
20091013,0.5,0.5,0.5,0.5,4950,[1 0]
20091021,0.65,0.65,0.65,0.65,6175,[0 0]
20091023,0.58,0.58,0.58,0.58,580,[0 0]
20091026,0.59,0.59,0.59,0.59,177,[1 1]
20091028,0.51,0.51,0.51,0.51,51,[0 0]
20091029,0.8,0.8,0.8,0.8,80,[1 0]
20091109,0.52,0.52,0.52,0.52,3640,[1 0]
20091110,0.8,0.8,0.8,0.8,80,[0 1]
20091111,0.8,0.8,0.8,0.8,80,[0 0]
20091113,0.5,0.5,0.5,0.5,1500,[1 1]
20091119,0.51,0.79,0.51,0.79,4618,[0 0]
20091123,0.53,0.53,0.53,0.53,106,[1 0]
20091124,0.79,0.79,0.79,0.79,79,[1 0]
20091126,0.54,0.54,0.53,0.53,3870,[0 1]
20091127,0.54,0.54,0.54,0.54,1296,[1 0]
20091130,0.71,0.71,0.71,0.71,142,[0 0]
20091201,0.9,0.9,0.9,0.9,90,[0 1]
20091202,0.89,0.89,0.89,0.89,89,[0 1]
20091203,0.54,0.55,0.54,0.55,109,[0 0]
20091207,0.89,0.89,0.89,0.89,89,[1 0]
20091218,0.4,0.4,0.3,0.3,460,[0 0]
20091221,0.32,0.32,0.32,0.32,3200,[0 1]
20091222,0.3,0.3,0.3,0.3,1800,[0 1]
20091229,0.3,0.3,0.3,0.3,600,[1 1]
20100104,0.45,0.45,0.45,0.45,180,[1 0]
20100105,0.48,0.48,0.46,0.46,10170,[0 0]
20100106,0.42,0.42,0.41,0.41,10358,[0 1]
20100107,0.46,0.47,0.46,0.47,93,[0 0]
20100108,0.43,0.43,0.4,0.4,18418,[0 0]
20100111,0.49,0.49,0.43,0.49,7015,[0 1]
20100112,0.49,0.49,0.41,0.49,11143,[0 0]
20100113,0.49,0.49,0.49,0.49,245,[0 0]
20100114,0.49,0.52,0.47,0.52,15117,[0 0]
20100115,0.52,0.64,0.51,0.6,35758,[0 0]
20100118,0.65,0.65,0.65,0.65,16055,[0 1]
20100119,0.69,0.8,0.69,0.69,57435,[0 1]
20100120,0.78,0.78,0.73,0.73,48211,[0 0]
20100121,0.8,1.03,0.8,1.03,74138,[0 1]
20100122,1.3,1.3,0.97,1.07,183983,[0 0]
20100126,1.05,1.05,1.02,1.02,42540,[0 0]
20100127,1.05,1.05,0.88,0.88,30587,[0 1]
20100128,0.9,0.9,0.77,0.78,45071,[0 1]
20100129,0.81,0.88,0.81,0.85,31922,[0 0]
20100201,0.82,1.08,0.82,1.08,94053,[1 0]
