date,open,max,min,close,volume,y
19980319,0.33,0.33,0.33,0.33,7854,[1 0]
19980320,0.33,0.34,0.33,0.34,272848,[0 1]
19980323,0.33,0.33,0.33,0.33,330,[0 0]
19980327,0.32,0.32,0.32,0.32,416,[1 1]
19980402,0.34,0.34,0.34,0.34,170000,[1 1]
19980408,0.32,0.32,0.32,0.32,96000,[0 1]
19980413,0.31,0.31,0.3,0.3,18117,[0 1]
19980416,0.31,0.31,0.31,0.31,248000,[0 0]
19980420,0.34,0.34,0.32,0.32,112800,[0 0]
19980422,0.34,0.34,0.32,0.33,148843,[0 0]
19980424,0.36,0.36,0.35,0.36,453244,[1 1]
19980427,0.39,0.39,0.35,0.35,255683,[0 1]
19980429,0.4,0.42,0.4,0.42,133835,[0 0]
19980430,0.37,0.37,0.37,0.37,1332,[1 0]
19980504,0.37,0.4,0.37,0.4,12012,[0 1]
19980506,0.4,0.4,0.4,0.4,6240,[0 0]
19980508,0.36,0.36,0.36,0.36,26604,[0 1]
19980518,0.36,0.36,0.36,0.36,180000,[0 1]
19980521,0.33,0.33,0.33,0.33,18315,[1 0]
19980612,0.29,0.29,0.26,0.26,31230,[1 1]
19980619,0.26,0.26,0.26,0.26,26,[0 1]
19980626,0.28,0.28,0.27,0.27,39756,[1 0]
19980629,0.29,0.29,0.29,0.29,29000,[0 1]
19980701,0.28,0.28,0.26,0.26,134606,[0 0]
19980707,0.3,0.31,0.3,0.31,91300,[1 1]
19980715,0.27,0.27,0.27,0.27,27000,[1 0]
19980720,0.27,0.27,0.27,0.27,5400,[1 1]
19980724,0.28,0.28,0.28,0.28,1400,[1 0]
19980804,0.28,0.28,0.28,0.28,19600,[0 1]
19980817,0.2,0.2,0.2,0.2,40600,[1 1]
19980819,0.23,0.23,0.23,0.23,9016,[1 1]
19980831,0.22,0.22,0.22,0.22,119724,[0 1]
19981020,0.15,0.15,0.15,0.15,4500,[0 0]
19981117,0.11,0.11,0.11,0.11,22220,[1 1]
19981118,0.08,0.14,0.08,0.14,184160,[0 0]
19981119,0.09,0.09,0.09,0.09,5400,[1 0]
19981124,0.11,0.11,0.11,0.11,22000,[1 1]
19981204,0.16,0.16,0.16,0.16,160,[1 1]
19981215,0.1,0.1,0.1,0.1,20000,[0 0]
19981230,0.12,0.12,0.12,0.12,84000,[0 1]
19990106,0.14,0.14,0.14,0.14,98000,[0 1]
19990115,0.14,0.14,0.14,0.14,8260,[1 0]
19990126,0.15,0.17,0.15,0.17,74030,[0 0]
19990208,0.23,0.29,0.23,0.24,204424,[1 0]
19990219,0.2,0.2,0.2,0.2,40000,[1 0]
19990224,0.19,0.19,0.19,0.19,3097,[1 0]
19990225,0.22,0.25,0.22,0.25,138300,[1 1]
19990302,0.23,0.25,0.23,0.25,135511,[0 1]
19990304,0.25,0.25,0.24,0.24,54800,[1 0]
19990305,0.24,0.25,0.24,0.25,294000,[0 0]
19990310,0.26,0.26,0.26,0.26,28600,[0 0]
19990316,0.32,0.32,0.32,0.32,20320,[1 1]
19990318,0.25,0.25,0.25,0.25,12450,[0 0]
19990323,0.26,0.26,0.26,0.26,52000,[1 1]
19990324,0.28,0.28,0.28,0.28,137256,[1 0]
19990325,0.29,0.29,0.29,0.29,326482,[0 0]
19990407,0.26,0.26,0.25,0.25,181325,[1 1]
19990409,0.24,0.24,0.24,0.24,7608,[0 1]
19990412,0.25,0.25,0.25,0.25,125000,[0 0]
19990413,0.27,0.27,0.27,0.27,135000,[0 0]
19990415,0.28,0.29,0.28,0.29,33609,[0 0]
19990416,0.3,0.3,0.3,0.3,150000,[1 1]
19990419,0.31,0.31,0.31,0.31,18941,[1 1]
19990420,0.28,0.28,0.28,0.28,210840,[0 1]
19990422,0.33,0.33,0.33,0.33,33,[1 0]
19990426,0.23,0.33,0.23,0.33,204460,[0 1]
19990428,0.29,0.29,0.29,0.29,174000,[0 1]
19990429,0.31,0.31,0.31,0.31,3100,[1 0]
19990430,0.32,0.32,0.32,0.32,15520,[0 0]
