date,open,max,min,close,volume,y
19980618,1.3,1.3,1.3,1.3,72280,[0 0]
19980807,0.9,0.9,0.9,0.9,45000,[0 0]
19980904,0.68,0.68,0.68,0.68,34000,[1 0]
19981016,0.35,0.35,0.33,0.33,42250,[1 0]
19981022,0.33,0.33,0.2,0.25,39500,[1 0]
19981028,0.3,0.3,0.3,0.3,15000,[1 0]
19981030,0.25,0.25,0.2,0.2,11000,[1 0]
19981105,0.26,0.26,0.25,0.25,12600,[1 1]
19981106,0.23,0.23,0.23,0.23,9200,[0 0]
19981113,0.39,0.39,0.39,0.39,19500,[1 1]
19981123,0.23,0.23,0.23,0.23,11500,[1 0]
19981210,0.4,0.4,0.4,0.4,400,[0 1]
19981215,0.3,0.3,0.25,0.25,15500,[0 0]
19990126,0.5,0.5,0.5,0.5,25000,[0 0]
19990209,0.21,0.21,0.21,0.21,12600,[0 0]
19990413,0.35,0.35,0.35,0.35,17500,[0 0]
19990608,0.43,0.43,0.43,0.43,10750,[0 1]
19990630,0.38,0.38,0.38,0.38,19000,[1 0]
19990909,0.3,0.3,0.3,0.3,21900,[0 1]
19991021,0.36,0.36,0.36,0.36,18000,[1 1]
20010108,0.6,0.6,0.6,0.6,27000,[0 0]
20010215,0.65,0.67,0.65,0.67,75800,[1 1]
20010305,0.6,0.6,0.6,0.6,51000,[0 1]
20010309,0.59,0.59,0.59,0.59,4720,[0 0]
20010315,0.8,0.8,0.8,0.8,13600,[0 1]
20010320,0.75,0.75,0.75,0.75,9375,[1 1]
20010530,0.69,0.69,0.69,0.69,69,[0 1]
20021021,0.35,0.35,0.35,0.35,2100,[1 0]
20021218,0.31,0.31,0.31,0.31,775,[0 1]
20030611,0.25,0.25,0.25,0.25,50,[0 0]
20030620,0.25,0.25,0.25,0.25,50,[1 0]
20030623,0.25,0.25,0.25,0.25,25,[1 0]
20030717,0.21,0.21,0.21,0.21,10500,[1 1]
20030226,0.16,0.16,0.16,0.16,400,[1 0]
20030806,0.25,0.25,0.25,0.25,50,[0 1]
20031229,0.48,0.48,0.48,0.48,4896,[0 1]
20030818,0.25,0.25,0.25,0.25,100,[1 1]
20030822,0.19,0.19,0.19,0.19,1900,[0 1]
20030911,0.25,0.25,0.25,0.25,3725,[1 0]
20030924,0.3,0.3,0.28,0.28,17200,[0 1]
20031013,0.34,0.34,0.34,0.34,2278,[0 1]
20031014,0.34,0.34,0.34,0.34,170,[1 0]
20031105,0.32,0.32,0.32,0.32,32,[0 0]
20031121,0.36,0.36,0.36,0.36,13500,[1 1]
20031205,0.44,0.44,0.44,0.44,1144,[1 0]
20031210,0.38,0.38,0.38,0.38,37962,[1 1]
20031211,0.4,0.4,0.4,0.4,40,[0 0]
20040114,0.39,0.39,0.39,0.39,17160,[1 1]
20040129,0.34,0.39,0.33,0.39,54729,[0 1]
20040130,0.35,0.35,0.35,0.35,35,[1 0]
20040204,0.36,0.36,0.36,0.36,360,[1 0]
20040309,0.38,0.38,0.38,0.38,4218,[1 1]
20040316,0.41,0.41,0.41,0.41,205,[0 0]
20040505,0.34,0.34,0.34,0.34,850,[1 1]
20040707,0.38,0.39,0.38,0.39,994,[0 1]
20040823,0.5,0.5,0.5,0.5,20000,[1 0]
