date,open,max,min,close,volume,y
20040702,0.25,0.25,0.25,0.25,50000,[0 0]
20040712,0.25,0.25,0.25,0.25,20000,[0 1]
20040914,0.25,0.25,0.25,0.25,265000,[0 0]
20060221,0.2,0.2,0.2,0.2,5358000,[1 1]
20060601,0.19,0.22,0.19,0.22,82000,[0 0]
20060920,0.22,0.22,0.22,0.22,440000,[0 0]
20060921,0.22,0.22,0.22,0.22,440000,[0 0]
20060922,0.23,0.23,0.23,0.23,460000,[0 0]
20060927,0.37,0.37,0.37,0.37,7400,[0 0]
20061010,0.24,0.24,0.24,0.24,120000,[0 0]
20061011,0.24,0.24,0.24,0.24,480000,[0 0]
20061013,0.24,0.24,0.24,0.24,480000,[0 0]
20061016,0.24,0.24,0.24,0.24,480000,[0 0]
20061017,0.24,0.24,0.24,0.24,1920000,[0 0]
20061018,0.24,0.24,0.24,0.24,1080000,[0 0]
20061019,0.24,0.24,0.24,0.24,720000,[0 1]
20061020,0.24,0.24,0.24,0.24,960000,[0 0]
20061023,0.24,0.24,0.24,0.24,703200,[0 0]
20061024,0.24,0.24,0.24,0.24,720000,[1 1]
20061025,0.24,0.24,0.24,0.24,720000,[0 1]
20061026,0.24,0.24,0.24,0.24,1440000,[1 1]
20061101,0.24,0.24,0.24,0.24,720000,[0 0]
20061106,0.24,0.24,0.24,0.24,720000,[0 0]
20061107,0.24,0.24,0.24,0.24,720000,[1 0]
20061109,0.24,0.24,0.24,0.24,720000,[1 0]
20061110,0.24,0.24,0.24,0.24,720000,[0 1]
20061113,0.24,0.24,0.24,0.24,720000,[0 0]
20061121,0.24,0.24,0.24,0.24,840000,[1 0]
20061122,0.24,0.24,0.24,0.24,792000,[0 0]
20061123,0.24,0.24,0.24,0.24,768000,[0 1]
20061124,0.24,0.24,0.24,0.24,720000,[0 1]
20061206,0.24,0.24,0.24,0.24,4800,[0 1]
20070110,0.45,0.59,0.44,0.49,1675300,[0 0]
20070111,0.57,0.57,0.43,0.43,348100,[0 1]
20070115,0.34,0.39,0.31,0.39,118400,[0 0]
20070116,0.37,0.49,0.33,0.37,414100,[0 0]
20070117,0.37,0.4,0.35,0.35,147800,[0 0]
20070118,0.34,0.37,0.34,0.37,122700,[0 1]
20070119,0.45,0.45,0.42,0.42,106500,[1 0]
20070122,0.4,0.42,0.4,0.42,121000,[1 1]
20070123,0.45,0.48,0.43,0.45,1642700,[0 1]
20070124,0.47,0.53,0.46,0.46,1237500,[0 0]
20070126,0.51,0.52,0.5,0.5,231500,[1 0]
20070129,0.5,0.5,0.5,0.5,15000,[1 0]
20070130,0.5,0.5,0.47,0.47,485000,[1 1]
20070131,0.42,0.47,0.42,0.47,192000,[0 0]
20070202,0.47,0.47,0.37,0.46,180400,[0 1]
20070205,0.47,0.48,0.47,0.48,47500,[0 1]
20070206,0.48,0.48,0.48,0.48,38400,[0 0]
20070207,0.48,0.52,0.48,0.52,44000,[0 1]
20070208,0.51,0.51,0.51,0.51,102000,[1 0]
20070214,0.5,0.5,0.38,0.38,183900,[1 1]
20070215,0.49,0.85,0.49,0.71,7500900,[0 0]
20070216,0.78,0.78,0.52,0.65,3733100,[0 1]
20070222,0.74,0.74,0.52,0.59,725600,[0 0]
20070223,0.6,0.62,0.6,0.62,263900,[1 1]
20070226,0.62,0.62,0.62,0.62,347200,[1 1]
20070227,0.62,0.62,0.62,0.62,414900,[1 0]
20070305,0.6,0.6,0.6,0.6,30000,[0 0]
20070312,0.55,0.55,0.55,0.55,11000,[0 1]
20070314,0.53,0.6,0.53,0.6,16600,[0 1]
20070315,0.49,0.5,0.49,0.5,113000,[0 0]
20070316,0.6,0.64,0.6,0.62,656000,[0 0]
20070319,0.57,0.57,0.51,0.51,917900,[0 0]
20070320,0.51,0.58,0.51,0.58,170400,[0 1]
20070321,0.52,0.58,0.52,0.58,146000,[0 1]
20070322,0.55,0.55,0.53,0.55,125900,[0 1]
20070326,0.54,0.54,0.54,0.54,63700,[0 0]
20070327,0.55,0.55,0.51,0.55,75800,[0 0]
20070328,0.54,0.55,0.52,0.52,314700,[1 1]
20070329,0.52,0.52,0.52,0.52,312000,[1 0]
20070330,0.52,0.52,0.52,0.52,52000,[0 0]
20070403,0.51,0.51,0.49,0.49,320600,[1 1]
20070409,0.49,0.49,0.46,0.46,140800,[0 0]
20070411,0.46,0.46,0.45,0.45,204900,[1 0]
20070413,0.45,0.45,0.45,0.45,45000,[0 0]
20070416,0.46,0.46,0.46,0.46,13800,[0 1]
20070418,0.51,0.55,0.51,0.55,449700,[0 0]
20070419,0.54,0.55,0.51,0.55,179300,[1 0]
20070424,0.55,0.57,0.55,0.57,452000,[0 1]
20070425,0.57,0.73,0.57,0.67,10617900,[0 0]
20070426,0.69,0.71,0.63,0.63,2460700,[0 1]
20070427,0.7,0.7,0.64,0.7,822400,[0 0]
20070511,0.6,0.7,0.6,0.7,578800,[0 0]
20070515,0.6,0.64,0.6,0.64,1307800,[0 0]
20070516,0.65,0.7,0.65,0.65,1968700,[1 0]
20070517,0.61,0.61,0.6,0.6,90100,[1 1]
20070518,0.61,0.61,0.61,0.61,36600,[0 0]
20070521,0.61,0.61,0.6,0.6,872000,[0 1]
20070522,0.6,0.63,0.6,0.63,432300,[0 1]
20070523,0.62,0.68,0.62,0.68,62600,[1 0]
20070524,0.65,0.65,0.63,0.63,120300,[0 0]
20070528,0.61,0.61,0.61,0.61,61000,[1 0]
20070531,0.6,0.6,0.6,0.6,30000,[0 1]
20070601,0.61,0.63,0.61,0.63,55300,[0 1]
20070604,0.62,0.62,0.6,0.6,243300,[0 1]
20070605,0.64,0.64,0.64,0.64,6400,[0 0]
20070611,0.64,0.64,0.61,0.61,49100,[1 0]
20070612,0.61,0.61,0.6,0.6,60500,[0 1]
20070613,0.6,0.6,0.6,0.6,18000,[0 0]
20070614,0.63,0.65,0.63,0.64,389000,[1 0]
20070618,0.65,0.71,0.63,0.71,701300,[0 0]
20070619,0.71,0.71,0.65,0.69,360100,[0 1]
20070620,0.65,0.85,0.65,0.8,3590100,[1 0]
20070621,0.9,1.2,0.9,0.95,40842700,[0 0]
20070622,0.98,0.98,0.9,0.9,1136800,[0 1]
20070625,0.85,0.9,0.85,0.86,490700,[0 1]
20070626,0.9,0.9,0.71,0.71,1103800,[1 0]
20070627,0.74,0.74,0.74,0.74,815900,[0 1]
20070628,0.77,0.77,0.74,0.74,225500,[0 1]
20070629,0.72,0.73,0.72,0.73,561600,[0 1]
20070702,0.74,0.74,0.74,0.74,573600,[0 0]
20070703,0.8,0.9,0.78,0.82,1399600,[0 0]
20070705,0.86,0.86,0.85,0.85,807700,[1 0]
20070706,0.89,1.0,0.86,0.86,2587900,[0 0]
20070710,1.01,1.01,0.91,0.95,1195600,[0 0]
20070711,0.98,0.99,0.95,0.95,853100,[0 0]
20070712,0.9,0.9,0.86,0.86,203800,[0 0]
20070713,0.86,0.86,0.85,0.85,607100,[0 1]
20070716,0.85,0.85,0.85,0.85,85000,[1 0]
20070718,1.05,1.29,0.96,1.19,14672200,[0 1]
20070719,1.25,1.5,1.06,1.06,13441800,[0 1]
20070720,1.11,1.2,1.1,1.15,3443200,[0 0]
20070723,1.15,1.17,1.1,1.1,703700,[1 0]
20070724,1.05,1.05,1.0,1.0,1455000,[1 1]
20070725,1.0,1.0,1.0,1.0,170000,[0 0]
20070726,0.96,1.07,0.95,0.95,2109500,[0 1]
20070727,0.9,0.9,0.9,0.9,999000,[0 0]
20070730,0.9,0.9,0.9,0.9,45000,[0 0]
20070731,0.9,0.9,0.86,0.87,1091400,[1 0]
20070801,0.87,0.91,0.85,0.9,2550500,[0 0]
20070802,0.96,0.96,0.9,0.9,643000,[0 0]
20070803,0.95,0.95,0.94,0.94,189000,[1 1]
20070809,0.91,0.91,0.91,0.91,336700,[0 0]
20070810,0.91,0.94,0.88,0.94,1320400,[0 1]
20070813,0.95,0.95,0.9,0.92,1288400,[0 1]
20070814,0.95,0.95,0.9,0.9,887600,[0 0]
20070815,0.99,0.99,0.8,0.8,831700,[0 0]
20070816,0.8,0.8,0.75,0.75,632500,[1 0]
20070820,0.82,0.85,0.82,0.85,41300,[0 0]
20070822,0.88,1.01,0.88,0.9,1990000,[0 0]
20070823,0.95,0.95,0.86,0.95,763600,[0 1]
20070824,1.0,1.11,0.86,0.86,3744200,[1 0]
20070827,0.87,0.87,0.86,0.86,302100,[0 0]
20070903,0.8,0.81,0.8,0.81,161000,[1 0]
20070904,0.88,0.88,0.88,0.88,88000,[0 0]
20070905,0.89,1.0,0.89,0.9,3935400,[0 0]
20070906,0.9,1.0,0.88,0.88,251400,[1 0]
20070910,0.88,0.88,0.85,0.85,322600,[1 0]
20070911,0.78,0.93,0.71,0.93,765200,[0 0]
20070912,0.9,0.9,0.85,0.85,193000,[1 0]
20070913,0.82,0.9,0.82,0.82,618100,[0 1]
20070919,0.81,0.82,0.79,0.82,177200,[0 0]
20070920,0.75,0.88,0.75,0.82,177500,[1 0]
20070921,0.89,0.89,0.88,0.88,105800,[0 1]
20070924,0.88,0.98,0.81,0.85,3276800,[1 0]
20070925,0.9,0.9,0.85,0.85,349000,[1 0]
20070926,0.9,0.91,0.86,0.86,244700,[0 1]
20070928,0.82,0.82,0.82,0.82,41000,[0 1]
20071001,0.85,0.85,0.82,0.82,149300,[0 0]
20071002,0.89,0.89,0.89,0.89,8900,[0 0]
20071003,0.89,0.89,0.76,0.8,360000,[1 0]
20071004,0.84,0.86,0.8,0.8,379400,[1 0]
20071005,0.8,0.8,0.8,0.8,88900,[1 0]
20071008,0.81,0.83,0.81,0.83,589100,[1 0]
20071009,0.83,0.84,0.8,0.8,530800,[0 1]
20071010,0.8,0.8,0.8,0.8,776000,[0 0]
20071011,0.87,0.87,0.8,0.8,641100,[1 1]
20071015,0.8,0.81,0.8,0.8,72300,[1 1]
20071017,0.8,0.8,0.8,0.8,16000,[0 1]
20071018,0.79,0.79,0.76,0.76,839000,[0 0]
20071019,0.8,0.8,0.8,0.8,40000,[0 0]
20071026,0.71,0.73,0.71,0.72,164700,[1 0]
20071029,0.79,0.79,0.79,0.79,63200,[1 1]
20071030,0.8,0.8,0.8,0.8,160000,[1 0]
20071031,0.76,0.76,0.76,0.76,152000,[0 1]
20071101,0.77,0.77,0.71,0.72,514600,[1 0]
20071105,0.72,0.72,0.72,0.72,144000,[1 0]
20071106,0.74,0.74,0.74,0.74,148000,[0 0]
20071108,0.74,0.74,0.74,0.74,740000,[0 1]
20071109,0.75,0.75,0.75,0.75,195000,[1 1]
20071112,0.74,1.12,0.74,1.12,9249600,[0 1]
20071113,1.17,1.17,0.74,0.88,13664500,[1 1]
20071114,0.9,0.95,0.79,0.85,2138800,[0 1]
20071116,0.78,0.78,0.75,0.77,515400,[0 0]
20071119,0.75,0.78,0.75,0.78,1060500,[1 0]
20071121,0.74,0.74,0.74,0.74,680800,[0 1]
20071122,0.74,0.74,0.74,0.74,148000,[0 0]
20071123,0.74,0.9,0.74,0.87,1208900,[1 1]
20071126,0.84,0.85,0.84,0.85,424000,[0 1]
20071127,0.89,0.89,0.89,0.89,26500,[0 1]
20071128,0.89,0.89,0.88,0.88,70900,[0 0]
20071130,0.89,0.89,0.89,0.89,44500,[1 0]
20071203,0.74,0.86,0.74,0.86,285300,[0 1]
20071205,0.75,0.83,0.75,0.78,893300,[0 1]
20071206,0.8,0.8,0.8,0.8,600000,[1 0]
20071210,0.8,0.8,0.8,0.8,8000,[1 0]
20071213,0.74,0.74,0.74,0.74,769600,[0 0]
20071214,0.74,0.75,0.74,0.75,3405000,[1 1]
20071217,0.74,0.75,0.74,0.74,3678800,[1 0]
20071218,0.74,0.74,0.73,0.73,3661500,[0 1]
20071219,0.74,0.75,0.74,0.75,81500,[0 1]
20071220,0.78,0.78,0.75,0.75,153000,[0 0]
20071226,0.73,0.73,0.71,0.72,180900,[1 0]
20071227,0.73,0.75,0.71,0.71,233400,[0 0]
20071228,0.71,0.71,0.7,0.7,211000,[1 0]
20080103,0.7,0.72,0.7,0.72,105600,[0 0]
20080104,0.75,0.75,0.75,0.75,75000,[1 0]
20080107,0.73,0.73,0.73,0.73,14600,[1 0]
20080108,0.72,0.73,0.72,0.73,36100,[1 0]
20080109,0.7,0.72,0.7,0.72,231600,[0 1]
20080110,0.7,0.7,0.7,0.7,266000,[1 0]
20080111,0.72,0.72,0.72,0.72,7200,[0 0]
20080114,0.69,0.69,0.69,0.69,20700,[0 0]
20080115,0.69,0.78,0.69,0.77,667700,[0 1]
20080116,0.76,0.8,0.69,0.79,198400,[0 0]
20080118,0.73,0.73,0.69,0.73,390000,[0 0]
20080122,0.65,0.65,0.65,0.65,325000,[0 0]
20080123,0.67,0.67,0.66,0.66,26500,[0 0]
20080131,0.66,0.66,0.66,0.66,266000,[0 1]
20080206,0.66,0.73,0.6,0.73,1222400,[0 0]
20080213,0.63,0.7,0.63,0.7,57400,[1 0]
20080218,0.74,0.74,0.74,0.74,7400,[0 0]
20080219,0.7,0.74,0.65,0.74,170400,[1 0]
20080220,0.75,0.79,0.7,0.7,507400,[0 0]
20080221,0.71,0.71,0.7,0.7,141000,[1 0]
