date,open,max,min,close,volume,y
20071101,0.33,0.41,0.3,0.31,27503643,[0 0]
20071105,0.31,0.32,0.28,0.29,8058556,[0 0]
20071106,0.31,0.31,0.28,0.29,6755019,[0 0]
20071107,0.28,0.29,0.26,0.28,5550872,[1 0]
20071108,0.29,0.29,0.26,0.27,5460154,[0 1]
20071109,0.28,0.28,0.24,0.25,4104958,[0 0]
20071112,0.26,0.28,0.24,0.25,5536494,[0 0]
20071113,0.25,0.27,0.24,0.27,6760229,[0 0]
20071114,0.27,0.27,0.26,0.27,2955951,[0 1]
20071116,0.26,0.28,0.25,0.25,6519267,[0 0]
20071119,0.28,0.28,0.25,0.26,1362894,[1 0]
20071121,0.27,0.27,0.25,0.25,4161326,[0 0]
20071122,0.25,0.26,0.24,0.25,2033631,[0 0]
20071123,0.25,0.26,0.23,0.23,11111529,[0 0]
20071126,0.24,0.25,0.23,0.23,2471833,[1 0]
20071127,0.24,0.24,0.22,0.23,4979875,[0 0]
20071128,0.23,0.23,0.22,0.23,1515655,[1 0]
20071129,0.23,0.24,0.22,0.22,11006248,[0 1]
20071130,0.22,0.23,0.22,0.23,2192130,[0 0]
20071203,0.24,0.24,0.22,0.23,1161779,[0 0]
20071204,0.23,0.23,0.22,0.22,1264570,[0 0]
20071205,0.23,0.23,0.23,0.23,2113010,[1 0]
20071206,0.23,0.23,0.22,0.23,1606631,[0 1]
20071207,0.23,0.24,0.22,0.23,1292094,[0 0]
20071210,0.23,0.23,0.22,0.23,632969,[1 0]
20071211,0.23,0.24,0.23,0.23,764430,[1 0]
20071212,0.23,0.23,0.22,0.22,767957,[1 0]
20071213,0.23,0.23,0.22,0.22,953898,[1 0]
20071214,0.23,0.23,0.21,0.22,651998,[0 1]
20071217,0.22,0.23,0.22,0.23,1766224,[0 0]
20071218,0.22,0.23,0.21,0.22,6321839,[0 1]
20071219,0.24,0.24,0.21,0.21,1081514,[0 0]
20071220,0.23,0.23,0.2,0.2,2613113,[1 0]
20071221,0.21,0.22,0.2,0.21,1079860,[0 0]
20080110,0.21,0.22,0.21,0.21,2818303,[1 0]
20080111,0.21,0.22,0.2,0.21,806099,[1 0]
20080114,0.21,0.22,0.21,0.22,100788,[0 0]
20080115,0.21,0.21,0.19,0.2,6436155,[0 1]
20080116,0.2,0.2,0.19,0.2,766364,[0 0]
20080117,0.19,0.2,0.19,0.19,660341,[0 1]
20080118,0.19,0.19,0.18,0.19,1351468,[0 1]
20080121,0.19,0.19,0.18,0.18,2199024,[0 1]
20080122,0.18,0.18,0.17,0.17,2605835,[0 0]
20080123,0.17,0.18,0.17,0.18,335501,[1 0]
20080124,0.18,0.18,0.17,0.18,939414,[0 0]
20080128,0.18,0.19,0.18,0.18,194242,[0 0]
20080129,0.18,0.19,0.17,0.19,986752,[1 0]
20080130,0.18,0.18,0.17,0.18,2708618,[1 0]
20080131,0.18,0.18,0.17,0.18,2387272,[1 0]
20080201,0.18,0.2,0.18,0.2,1366632,[0 1]
20080206,0.18,0.19,0.18,0.19,651778,[0 0]
20080207,0.19,0.2,0.19,0.2,5829076,[1 0]
20080208,0.2,0.2,0.19,0.2,4228575,[0 1]
20080211,0.2,0.22,0.2,0.22,7135322,[0 0]
20080212,0.21,0.23,0.21,0.22,3940237,[1 0]
20080213,0.23,0.24,0.22,0.24,5972192,[1 1]
20080214,0.24,0.25,0.23,0.23,6203253,[0 1]
20080215,0.23,0.23,0.22,0.23,7236956,[0 1]
20080218,0.24,0.25,0.22,0.24,2306356,[0 1]
20080219,0.25,0.25,0.23,0.24,2954920,[0 0]
20080220,0.23,0.23,0.23,0.23,1309643,[0 0]
20080221,0.24,0.24,0.22,0.23,2344510,[0 0]
20080222,0.22,0.24,0.22,0.24,1797330,[0 1]
20080225,0.23,0.23,0.22,0.22,7461431,[0 1]
20080226,0.22,0.23,0.21,0.21,4475047,[0 0]
20080227,0.22,0.22,0.21,0.22,3346999,[0 0]
20080228,0.22,0.22,0.21,0.22,4609416,[0 0]
20080229,0.22,0.23,0.21,0.21,366737,[0 1]
20080303,0.21,0.22,0.21,0.21,3039472,[0 0]
20080304,0.21,0.22,0.21,0.22,760002,[0 0]
20080305,0.22,0.22,0.21,0.21,4612617,[0 0]
20080306,0.22,0.23,0.22,0.22,6489301,[0 1]
20080307,0.22,0.23,0.21,0.22,3876509,[1 0]
20080310,0.22,0.23,0.21,0.22,8126861,[0 0]
20080311,0.22,0.22,0.21,0.21,328288,[1 0]
20080312,0.22,0.22,0.2,0.2,5456742,[0 1]
20080313,0.21,0.21,0.2,0.21,1377541,[0 0]
20080314,0.21,0.22,0.2,0.21,1491806,[1 0]
20080317,0.2,0.22,0.2,0.21,4774683,[0 0]
20080318,0.2,0.21,0.19,0.2,8247536,[0 1]
20080319,0.21,0.21,0.2,0.21,871780,[0 1]
20080320,0.2,0.2,0.19,0.19,2132498,[0 0]
20080324,0.2,0.2,0.19,0.2,1537789,[0 0]
20080325,0.19,0.19,0.19,0.19,484899,[0 0]
20080326,0.19,0.2,0.19,0.2,3709816,[0 1]
20080327,0.2,0.2,0.19,0.19,3876761,[0 0]
20080328,0.19,0.2,0.19,0.19,488861,[0 1]
20080331,0.2,0.2,0.19,0.2,2937715,[0 1]
20080401,0.2,0.2,0.19,0.2,766779,[0 0]
20080402,0.2,0.2,0.19,0.2,1778011,[0 0]
20080403,0.19,0.21,0.19,0.2,1874749,[0 1]
20080404,0.19,0.2,0.19,0.2,533485,[1 0]
20080407,0.19,0.21,0.19,0.2,589981,[0 0]
20080408,0.2,0.21,0.19,0.21,3205002,[1 0]
20080409,0.21,0.21,0.19,0.19,739127,[1 0]
20080410,0.2,0.21,0.19,0.21,764147,[0 0]
20080411,0.2,0.22,0.2,0.2,3819126,[1 0]
20080414,0.22,0.22,0.2,0.22,979607,[1 0]
20080415,0.21,0.22,0.2,0.22,699188,[0 0]
20080416,0.22,0.23,0.21,0.21,1117428,[1 0]
20080417,0.2,0.22,0.2,0.22,1777078,[0 0]
20080418,0.21,0.22,0.21,0.22,490654,[1 0]
20080422,0.22,0.22,0.2,0.2,1644328,[0 1]
20080423,0.21,0.21,0.2,0.21,1016153,[0 0]
20080424,0.2,0.22,0.2,0.21,1529793,[0 0]
20080425,0.2,0.21,0.2,0.21,2608160,[0 1]
20080428,0.2,0.23,0.2,0.23,3817439,[0 1]
20080429,0.22,0.23,0.22,0.23,4290196,[0 1]
20080430,0.23,0.23,0.2,0.22,681042,[0 0]
20080502,0.23,0.24,0.2,0.23,2399136,[1 0]
20080505,0.24,0.24,0.21,0.21,3527478,[0 1]
20080506,0.22,0.22,0.22,0.22,707432,[0 0]
20080507,0.23,0.23,0.22,0.23,428259,[1 1]
20080508,0.22,0.23,0.22,0.22,697434,[0 1]
20080509,0.23,0.23,0.22,0.23,1167906,[0 1]
20080512,0.22,0.23,0.21,0.21,214209,[1 0]
20080513,0.21,0.23,0.21,0.22,843847,[0 0]
20080514,0.23,0.23,0.21,0.22,5636270,[0 1]
20080515,0.22,0.23,0.22,0.23,3359234,[0 0]
20080516,0.23,0.23,0.22,0.23,3420784,[0 0]
20080519,0.23,0.23,0.22,0.23,1511300,[0 1]
20080520,0.23,0.23,0.22,0.23,6951106,[0 0]
20080521,0.23,0.23,0.22,0.23,825352,[0 0]
20080523,0.22,0.23,0.22,0.23,922040,[0 0]
20080526,0.23,0.23,0.22,0.22,1652608,[0 0]
20080527,0.22,0.22,0.21,0.21,1374352,[0 0]
20080528,0.21,0.23,0.21,0.22,2625813,[0 1]
20080529,0.22,0.23,0.21,0.22,1451196,[1 0]
20080530,0.22,0.23,0.21,0.23,2952930,[0 0]
20080602,0.23,0.24,0.23,0.23,3407519,[0 1]
