date,open,max,min,close,volume,y
20020503,2.09,2.15,2.05,2.1,71540000,[0 0]
20020506,2.2,2.2,2.05,2.05,11160000,[1 1]
20020507,2.1,2.1,2.0,2.0,127161000,[0 0]
20020508,2.05,2.05,2.01,2.05,5087000,[1 1]
20020509,2.09,2.2,2.03,2.1,13243000,[1 0]
20020510,2.02,2.15,2.01,2.07,159683000,[0 1]
20020513,2.04,2.04,2.04,2.04,204000,[0 0]
20020514,2.09,2.15,2.07,2.07,7855000,[1 0]
20020515,2.12,2.15,2.12,2.14,31063000,[1 0]
20020516,2.15,2.16,2.15,2.16,431000,[0 0]
20020517,2.15,2.15,2.15,2.15,8600000,[0 0]
20020520,2.2,2.2,2.15,2.15,18034000,[0 1]
20020521,2.2,2.22,2.18,2.21,10986000,[0 0]
20020522,2.25,2.28,2.19,2.19,22703000,[1 0]
20020523,2.19,2.19,2.18,2.18,13796000,[0 0]
20020527,2.2,2.2,2.2,2.2,660000,[0 0]
20020528,2.2,2.2,2.2,2.2,24860000,[0 1]
20020529,2.25,2.25,2.25,2.25,3375000,[0 0]
20020531,2.25,2.25,2.15,2.2,31870000,[1 0]
20020603,2.2,2.2,2.2,2.2,220000,[0 0]
20020604,2.2,2.2,2.2,2.2,220000,[0 1]
20020605,2.2,2.2,2.06,2.06,11356000,[0 0]
20020606,2.15,2.15,2.05,2.05,1446000,[0 0]
20020607,2.0,2.0,2.0,2.0,10000000,[0 0]
20020610,2.07,2.07,2.04,2.05,23779000,[0 1]
20020611,2.05,2.05,2.04,2.04,2045000,[0 1]
20020612,2.03,2.03,2.0,2.0,8029000,[0 0]
20020613,2.0,2.01,2.0,2.01,4601000,[1 1]
20020614,2.0,2.0,2.0,2.0,4600000,[0 0]
20020617,2.0,2.0,2.0,2.0,1400000,[1 0]
20020618,1.95,1.95,1.95,1.95,585000,[1 1]
20020619,1.96,2.0,1.9,1.9,10060000,[0 0]
20020620,1.86,1.87,1.85,1.87,13353000,[1 1]
20020621,1.87,1.88,1.85,1.85,42645000,[0 0]
20020624,1.95,1.95,1.94,1.94,3497000,[0 1]
20020625,1.95,1.95,1.92,1.92,19422000,[1 0]
20020626,1.92,1.92,1.92,1.92,2880000,[0 0]
20020627,1.92,2.0,1.92,2.0,7267000,[0 1]
20020628,1.99,2.0,1.96,2.0,25987000,[0 0]
20020712,1.9,1.9,1.9,1.9,1900000,[0 0]
20020716,1.85,1.85,1.82,1.82,30078000,[1 0]
20020717,1.82,1.82,1.81,1.81,906000,[1 1]
20020718,1.85,1.9,1.85,1.9,25090000,[0 0]
20020719,1.9,1.9,1.9,1.9,7220000,[0 0]
20020722,1.82,1.82,1.82,1.82,546000,[0 0]
20020723,1.82,1.82,1.79,1.79,11877000,[0 0]
20020724,1.8,1.8,1.75,1.75,25941000,[0 0]
20020725,1.75,1.75,1.71,1.71,859000,[0 1]
20020729,1.8,1.8,1.71,1.71,2146000,[1 1]
20020730,1.71,1.71,1.65,1.65,4652000,[1 1]
20020731,1.69,1.75,1.69,1.75,3134000,[1 0]
20020801,1.75,1.75,1.75,1.75,1225000,[0 1]
20020802,1.75,1.8,1.75,1.8,5750000,[0 0]
20020805,1.8,1.8,1.75,1.75,11415000,[1 0]
20020806,1.74,1.75,1.74,1.75,19025000,[0 1]
20020807,1.75,1.8,1.75,1.8,2150000,[0 1]
20020808,1.85,1.85,1.85,1.85,6475000,[1 0]
20020809,1.7,1.7,1.7,1.7,3400000,[0 0]
20020812,1.7,1.7,1.55,1.55,3428000,[1 0]
20020813,1.65,1.65,1.6,1.6,5928000,[1 1]
20020814,1.54,1.54,1.49,1.5,9069000,[0 0]
20020815,1.6,1.61,1.55,1.6,2053758000,[0 0]
20020816,1.6,1.65,1.6,1.65,2780000,[0 1]
20020820,1.65,1.65,1.65,1.65,990000,[1 1]
20020822,1.7,1.7,1.65,1.65,1515000,[0 0]
20020823,1.75,1.75,1.75,1.75,350000,[0 0]
20020826,1.8,1.8,1.8,1.8,180000,[0 0]
20020827,1.75,1.75,1.74,1.74,2267000,[0 0]
20020828,1.74,1.74,1.72,1.74,10586000,[1 0]
20020829,1.7,1.7,1.69,1.7,3738000,[1 1]
20020830,1.75,1.83,1.7,1.75,27999000,[0 0]
20020902,1.75,1.82,1.75,1.8,6154000,[0 0]
20020903,1.81,1.81,1.75,1.75,3331000,[0 1]
20020904,1.75,1.75,1.75,1.75,1750000,[0 1]
20020906,1.75,1.75,1.75,1.75,1750000,[1 1]
20020909,1.74,1.74,1.7,1.7,21212000,[0 1]
20020912,1.75,1.75,1.75,1.75,525000,[0 0]
20020913,1.75,1.75,1.75,1.75,525000,[1 0]
20020916,1.75,1.75,1.75,1.75,175000,[0 0]
20020917,1.65,1.75,1.65,1.75,505000,[0 1]
20020918,1.75,1.75,1.65,1.65,4490000,[0 1]
20020919,1.7,1.7,1.62,1.67,2135000,[0 0]
20020923,1.7,1.7,1.62,1.62,983000,[0 1]
20020924,1.7,1.7,1.7,1.7,2040000,[0 0]
20020925,1.7,1.72,1.65,1.72,8158000,[0 0]
20020926,1.72,1.72,1.7,1.7,858000,[0 0]
20020927,1.56,1.7,1.56,1.7,1686000,[0 0]
20020930,1.7,1.7,1.7,1.7,850000,[0 0]
20021001,1.75,1.75,1.7,1.7,4190000,[1 1]
20021002,1.7,1.7,1.7,1.7,2890000,[1 0]
20021003,1.7,1.7,1.7,1.7,2380000,[1 0]
20021004,1.7,1.7,1.7,1.7,2890000,[1 0]
20021008,1.68,1.7,1.68,1.7,338000,[0 1]
20021010,1.6,1.6,1.6,1.6,1280000,[0 0]
20021011,1.6,1.6,1.5,1.5,24306000,[0 0]
20021014,1.5,1.6,1.32,1.4,21370000,[0 1]
20021015,1.43,1.43,1.4,1.41,10003000,[1 0]
20021016,1.41,1.43,1.4,1.43,3647000,[0 0]
20021017,1.45,1.5,1.45,1.5,3686000,[0 1]
20021018,1.52,1.54,1.5,1.54,1508000,[1 1]
20021021,1.54,1.59,1.54,1.59,2528000,[0 1]
20021022,1.62,1.62,1.6,1.6,484000,[0 0]
20021023,1.59,1.59,1.59,1.59,1908000,[0 0]
20021024,1.59,1.59,1.55,1.58,23684000,[1 0]
20021025,1.58,1.65,1.58,1.65,4909000,[1 1]
20021028,1.7,1.7,1.55,1.55,1955000,[1 0]
20021029,1.55,1.55,1.48,1.5,33626000,[0 0]
20021030,1.54,1.55,1.54,1.55,2324000,[1 0]
20021031,1.56,1.56,1.55,1.55,2171000,[1 0]
20021101,1.55,1.55,1.54,1.54,2634000,[0 0]
20021104,1.58,1.63,1.58,1.6,962000,[0 0]
20021106,1.56,1.56,1.56,1.56,1404000,[1 0]
20021107,1.58,1.58,1.58,1.58,16274000,[1 0]
20021108,1.6,1.64,1.6,1.64,324000,[1 0]
20021111,1.69,1.69,1.58,1.58,12693000,[0 0]
20021112,1.58,1.58,1.55,1.55,2653000,[1 0]
20021113,1.56,1.56,1.55,1.55,466000,[0 1]
20021114,1.56,1.56,1.56,1.56,312000,[0 0]
20021118,1.56,1.56,1.5,1.5,4868000,[1 0]
20021119,1.55,1.55,1.55,1.55,310000,[0 0]
20021120,1.55,1.6,1.55,1.6,2985000,[0 0]
20021121,1.55,1.6,1.45,1.5,25311000,[0 1]
20021122,1.5,1.5,1.48,1.5,6439000,[1 1]
20021125,1.51,1.51,1.5,1.5,901000,[0 1]
20021126,1.5,1.5,1.5,1.5,150000,[0 1]
20021127,1.5,1.5,1.48,1.48,1630000,[0 1]
20021128,1.5,1.5,1.5,1.5,150000,[0 0]
20021129,1.51,1.55,1.51,1.55,8556000,[0 0]
20021202,1.55,1.65,1.55,1.65,7250000,[1 0]
20021203,1.58,1.6,1.55,1.6,1876000,[1 1]
20021204,1.5,1.55,1.5,1.55,3905000,[0 0]
20021205,1.5,1.5,1.5,1.5,150000,[0 1]
20021206,1.5,1.5,1.5,1.5,150000,[0 1]
20021209,1.5,1.5,1.5,1.5,300000,[1 1]
