date,open,max,min,close,volume,y
20020503,1.8,2.15,1.8,2.1,822537,[0 0]
20020506,2.1,2.15,2.01,2.01,316659,[1 1]
20020507,2.03,2.05,1.96,1.96,389677,[0 1]
20020509,2.15,2.19,2.03,2.03,461800,[0 1]
20020510,2.06,2.06,2.06,2.06,275216,[1 0]
20020513,2.05,2.05,2.05,2.05,204795,[0 0]
20020515,2.12,2.12,2.12,2.12,42400,[1 0]
20020517,2.15,2.15,2.1,2.1,157867,[0 0]
20020520,2.15,2.15,2.15,2.15,64500,[0 0]
20020521,2.34,2.34,2.24,2.24,136400,[1 0]
20020523,2.2,2.2,2.2,2.2,44000,[0 1]
20020527,2.2,2.2,2.16,2.16,108544,[0 1]
20020528,2.26,2.26,2.16,2.16,237084,[0 0]
20020529,2.28,2.28,2.28,2.28,2280,[0 0]
20020531,2.25,2.25,2.25,2.25,2250,[1 0]
20020605,2.16,2.16,2.16,2.16,56376,[0 0]
20020606,2.07,2.07,2.07,2.07,20700,[1 1]
20020610,2.05,2.05,2.05,2.05,137350,[0 0]
20020613,2.0,2.0,1.9,1.9,96000,[0 1]
20020617,2.0,2.0,2.0,2.0,50000,[0 0]
20020618,1.91,1.91,1.87,1.87,76040,[0 0]
20020620,1.94,1.94,1.76,1.77,374596,[1 0]
20020624,1.9,1.9,1.9,1.9,23750,[0 1]
20020627,1.9,1.9,1.81,1.81,36452,[0 1]
20020628,1.95,1.95,1.95,1.95,177840,[1 0]
20020715,1.95,1.95,1.95,1.95,35100,[0 0]
20020716,1.8,1.8,1.8,1.8,144000,[1 1]
20020724,1.78,1.78,1.72,1.72,122680,[0 1]
20020730,1.8,1.8,1.71,1.71,143428,[0 1]
20020802,1.75,1.83,1.75,1.83,35800,[0 0]
20020806,1.74,1.77,1.74,1.77,148650,[1 0]
20020807,1.77,1.77,1.77,1.77,34338,[0 1]
20020815,1.6,1.6,1.6,1.6,157760,[0 0]
20020821,1.8,1.8,1.8,1.8,39600,[1 1]
20020822,1.8,1.9,1.8,1.9,64000,[0 0]
20020826,1.9,1.9,1.9,1.9,76000,[0 1]
20020828,1.75,1.75,1.75,1.75,20125,[0 1]
20020910,1.75,1.75,1.75,1.75,57925,[1 1]
20020911,1.99,1.99,1.99,1.99,1791,[1 0]
20020925,1.78,1.78,1.78,1.78,12460,[1 1]
20020926,1.7,1.7,1.61,1.61,101100,[0 0]
20020927,1.6,1.6,1.6,1.6,16000,[1 0]
20021001,1.56,1.56,1.56,1.56,78000,[0 1]
20021003,1.7,1.7,1.7,1.7,158100,[1 0]
20021010,1.61,1.61,1.61,1.61,76475,[0 1]
20021024,1.52,1.52,1.52,1.52,114000,[1 0]
20021028,1.61,1.61,1.61,1.61,16100,[1 0]
20021029,1.54,1.54,1.51,1.51,106300,[0 1]
20021101,1.6,1.6,1.6,1.6,20000,[0 0]
20021104,1.6,1.7,1.6,1.7,41000,[1 0]
20021111,1.55,1.69,1.55,1.69,19544,[0 0]
20021112,1.58,1.58,1.52,1.52,19364,[0 1]
20021118,1.56,1.56,1.52,1.52,245400,[0 1]
20021119,1.53,1.53,1.53,1.53,26964,[0 1]
20021120,1.54,1.54,1.54,1.54,30800,[1 0]
20021121,1.47,1.47,1.47,1.47,3234,[0 1]
20021125,1.55,1.55,1.55,1.55,133300,[0 0]
20021126,1.47,1.47,1.47,1.47,49980,[1 1]
20021202,1.65,1.65,1.6,1.6,147150,[0 1]
20021204,1.48,1.48,1.47,1.47,147500,[0 1]
20021212,1.5,1.5,1.47,1.47,59070,[0 1]
20021218,1.54,1.56,1.54,1.56,155000,[0 1]
20021220,1.58,1.58,1.52,1.52,91800,[0 1]
20021223,1.51,1.51,1.48,1.48,214728,[0 0]
20021230,1.55,1.55,1.55,1.55,116250,[0 1]
20030312,1.25,1.25,1.2,1.2,45800,[0 1]
20030317,1.24,1.24,1.2,1.2,24680,[0 1]
20030318,1.3,1.3,1.3,1.3,52000,[1 0]
20030321,1.33,1.35,1.3,1.35,179450,[1 1]
20030325,1.35,1.35,1.35,1.35,13500,[0 0]
20030326,1.3,1.3,1.3,1.3,20800,[1 0]
20030327,1.29,1.29,1.29,1.29,10965,[1 0]
20030331,1.32,1.32,1.32,1.32,13200,[0 0]
20030402,1.36,1.36,1.3,1.3,39600,[1 1]
20030403,1.37,1.37,1.35,1.35,76494,[0 1]
20030408,1.36,1.36,1.36,1.36,29920,[1 0]
20030414,1.38,1.38,1.38,1.38,110400,[1 0]
20030415,1.4,1.4,1.4,1.4,210000,[1 0]
20030416,1.45,1.45,1.39,1.39,76220,[1 0]
20030422,1.43,1.43,1.43,1.43,14300,[0 0]
