date,open,max,min,close,volume,y
20070615,41.89,43.5,41.89,43.5,2750429900,[1 0]
20070618,44.0,45.49,43.71,44.49,1464394700,[1 0]
20070619,44.09,44.78,43.35,43.35,996133400,[1 0]
20070620,44.39,45.12,43.93,44.14,2058411100,[1 0]
20070621,44.83,44.83,42.4,42.6,1399156800,[0 1]
20070622,43.2,43.2,42.1,42.95,1407487600,[1 1]
20070625,42.89,43.4,42.15,42.15,1327851700,[0 0]
20070626,42.5,43.59,42.4,43.0,2731766700,[1 1]
20070627,42.61,43.0,42.26,42.49,565233000,[1 1]
20070628,43.4,43.4,41.37,41.5,1977565400,[0 1]
20070629,41.8,42.98,41.0,42.02,2663716800,[0 0]
20070702,42.75,43.92,42.69,43.6,1800364500,[1 0]
20070703,43.85,44.89,43.6,44.8,1233785500,[1 0]
20070704,44.9,45.3,44.6,44.6,762486600,[1 0]
20070705,43.27,44.5,43.15,43.6,1213631600,[0 1]
20070706,43.65,45.21,43.65,45.0,1032462000,[1 1]
20070710,45.1,47.32,45.1,46.1,4399344000,[1 0]
20070711,46.1,46.97,45.01,46.15,2405350700,[0 0]
20070712,47.0,48.13,46.5,48.07,2874840300,[1 0]
20070713,47.6,48.19,47.0,47.25,1162611800,[1 0]
20070716,48.24,48.32,46.94,47.47,904823700,[0 1]
20070717,47.7,47.71,46.6,47.11,787865300,[0 1]
20070718,47.11,47.11,45.02,45.59,901102900,[1 1]
20070719,46.89,47.3,45.65,47.0,1410358300,[1 1]
20070720,46.02,47.4,46.02,46.6,1032091300,[1 0]
20070723,47.29,47.9,46.55,47.67,1214755500,[0 1]
20070724,47.67,47.7,43.76,44.8,2404267800,[0 1]
20070725,45.05,46.72,44.64,46.37,1921791200,[0 1]
20070726,44.76,46.08,43.01,44.75,1875777000,[0 0]
20070727,44.8,45.17,43.27,43.27,1877931900,[0 1]
20070730,44.0,44.6,43.5,43.5,2677987800,[0 1]
20070731,44.34,45.88,44.07,45.24,1135552400,[0 0]
20070801,45.0,45.3,44.0,45.3,1097601600,[1 0]
20070802,46.1,48.53,45.1,48.53,2411066700,[1 1]
20070803,48.38,49.0,47.1,48.41,3407963500,[1 1]
20070806,48.5,48.9,47.02,47.87,1339237000,[1 0]
20070807,48.0,48.0,46.01,46.21,1519993200,[0 1]
20070808,47.0,47.42,46.31,47.4,1394368800,[1 1]
20070809,45.98,46.0,43.67,43.67,2562537400,[0 1]
20070810,43.6,45.6,42.5,44.56,2191196200,[1 1]
20070813,45.75,45.8,44.16,44.16,2324438600,[0 0]
20070814,44.7,44.93,41.65,41.65,3159862700,[0 0]
20070815,41.49,42.95,39.81,41.8,4918875900,[1 0]
20070816,40.05,42.68,39.37,41.5,3545362700,[0 0]
20070817,42.51,43.0,41.3,41.51,2689625600,[1 0]
