date,open,max,min,close,volume,y
20060904,11.4,11.4,11.4,11.4,29640,[0 0]
20060906,10.5,10.5,10.5,10.5,14700,[1 1]
20060912,9.5,10.4,9.5,10.2,194040,[0 0]
20060913,11.0,11.0,11.0,11.0,52800,[0 1]
20060915,10.99,13.89,10.99,13.89,118335,[1 0]
20060918,11.5,11.5,11.5,11.5,11500,[1 0]
20060925,11.51,11.51,10.2,10.2,303998,[0 1]
20060926,10.01,10.01,10.01,10.01,42042,[0 1]
20060928,10.5,10.5,10.5,10.5,63000,[0 1]
20060929,10.5,11.0,10.5,11.0,106900,[1 1]
20061002,10.11,10.11,10.11,10.11,29319,[1 0]
20061004,11.0,11.0,11.0,11.0,17600,[1 0]
20061009,10.0,10.0,10.0,10.0,1000,[1 0]
20061016,10.0,10.0,10.0,10.0,19000,[1 0]
20061017,10.0,10.2,10.0,10.2,86520,[0 1]
20061019,10.0,10.0,10.0,10.0,25000,[0 0]
20061020,12.5,12.5,12.5,12.5,1250,[0 0]
20061026,13.0,13.0,12.0,12.0,240200,[1 1]
20061030,12.9,12.9,12.9,12.9,64500,[1 0]
20061031,12.75,13.99,12.75,13.99,152127,[0 0]
20061101,15.5,17.98,15.5,17.98,51646,[0 0]
20061103,18.0,18.0,18.0,18.0,55800,[1 0]
20061107,17.4,17.4,17.4,17.4,43500,[0 1]
20061109,18.75,19.8,18.0,19.8,177300,[0 0]
20061110,18.5,18.5,18.5,18.5,74000,[0 1]
20061114,18.0,21.0,17.85,19.0,254358,[0 1]
20061116,19.25,19.25,17.02,17.02,132169,[0 0]
20061117,19.0,19.0,19.0,19.0,9500,[0 1]
20061121,19.0,19.0,19.0,19.0,19000,[0 1]
20061123,19.0,19.0,17.5,19.0,260100,[1 1]
20061124,19.0,19.98,19.0,19.98,75080,[1 0]
20061127,19.5,19.5,19.5,19.5,97500,[1 1]
20061128,19.5,19.5,19.5,19.5,48750,[0 0]
20061130,19.35,19.5,19.35,19.5,58395,[0 0]
20061204,19.55,19.55,19.0,19.0,224375,[0 1]
20061205,19.98,19.98,19.98,19.98,143856,[0 0]
20061206,19.0,20.99,19.0,20.8,409189,[1 0]
20061207,21.0,22.0,20.8,22.0,133200,[1 0]
20061208,20.0,21.98,20.0,21.98,237980,[1 1]
20061211,21.0,21.5,21.0,21.0,291740,[1 0]
20061212,20.5,20.8,20.5,20.8,205450,[0 0]
20061213,19.47,19.5,18.95,19.3,9377617,[1 0]
20061214,19.1,19.35,18.8,19.15,198967511,[0 0]
20061215,19.05,19.54,19.0,19.47,66530805,[0 1]
20061218,19.21,19.7,19.21,19.4,27793554,[0 1]
20061219,19.23,19.4,19.06,19.25,12735786,[0 0]
20061220,19.0,19.45,19.0,19.39,19072776,[1 1]
20061221,19.38,19.44,19.06,19.16,5863004,[0 0]
20061222,19.4,19.4,19.04,19.04,5188254,[1 0]
20061226,19.1,19.2,18.47,19.01,5994402,[0 0]
20061227,19.05,19.39,19.01,19.21,7676895,[1 1]
20061228,19.34,19.39,18.95,19.01,2426284,[0 1]
20070102,19.02,19.35,19.0,19.11,3073283,[0 0]
