date,open,max,min,close,volume,y
20010124,1.63,1.65,1.63,1.65,1640000,[0 0]
20010130,1.65,1.65,1.65,1.65,1815000,[0 0]
20010201,1.65,1.65,1.65,1.65,660000,[0 0]
20010302,1.65,1.65,1.65,1.65,1320000,[0 0]
20010305,1.65,1.65,1.65,1.65,1320000,[0 0]
20010323,1.65,1.65,1.65,1.65,1650000,[0 0]
20010330,1.65,1.65,1.65,1.65,330000,[0 0]
20010411,1.65,1.65,1.65,1.65,330000,[0 0]
20010430,1.65,1.65,1.65,1.65,3465000,[0 0]
20010509,1.65,1.65,1.65,1.65,330000,[0 0]
20010523,1.65,1.65,1.65,1.65,2640000,[0 0]
20010607,1.65,1.65,1.65,1.65,660000,[0 0]
20010608,1.65,1.65,1.65,1.65,165000,[0 1]
20010612,1.65,1.65,1.65,1.65,495000,[0 0]
20010619,1.65,1.65,1.65,1.65,1485000,[0 1]
20010622,1.65,1.65,1.65,1.65,165000,[0 0]
20010704,1.65,1.65,1.65,1.65,2310000,[0 0]
20010705,1.65,1.65,1.65,1.65,165000,[0 0]
20010710,1.65,1.65,1.65,1.65,1815000,[1 0]
20010711,1.65,1.65,1.65,1.65,660000,[0 0]
20010712,1.7,1.7,1.65,1.65,2005000,[0 0]
20010719,1.65,1.65,1.65,1.65,3300000,[0 0]
20010725,1.65,1.65,1.65,1.65,165000,[0 0]
20010821,1.6,1.6,1.6,1.6,3200000,[0 0]
20010829,1.6,1.6,1.6,1.6,1600000,[0 0]
20010904,1.6,1.6,1.6,1.6,320000,[0 0]
20011009,1.61,1.61,1.61,1.61,161000,[0 0]
20011022,1.61,1.61,1.61,1.61,644000,[0 1]
20011105,1.61,1.61,1.61,1.61,322000,[0 0]
20011119,1.61,1.61,1.61,1.61,1610000,[0 0]
20011127,1.65,1.65,1.65,1.65,4950000,[0 0]
20011205,1.65,1.65,1.65,1.65,825000,[0 0]
20011206,1.65,1.65,1.65,1.65,5115000,[0 1]
20011211,1.65,1.65,1.65,1.65,1650000,[0 0]
20011217,1.65,1.65,1.65,1.65,330000,[1 0]
20011221,1.65,1.65,1.65,1.65,495000,[0 0]
20020205,1.56,1.56,1.56,1.56,156000,[0 1]
20020208,1.6,1.6,1.6,1.6,1600000,[0 0]
