date,open,max,min,close,volume,y
20010109,1.23,1.23,1.17,1.17,411092,[1 0]
20010110,1.2,1.29,1.2,1.29,118527,[0 0]
20010111,1.2,1.21,1.19,1.2,184700,[0 1]
20010112,1.2,1.2,1.18,1.18,47800,[0 0]
20010115,1.18,1.18,1.18,1.18,138060,[1 0]
20010116,1.18,1.18,1.16,1.16,169046,[1 0]
20010118,1.22,1.23,1.22,1.23,157582,[1 1]
20010119,1.22,1.22,1.22,1.22,103700,[0 1]
20010122,1.22,1.25,1.22,1.22,110562,[0 0]
20010123,1.24,1.28,1.24,1.28,351828,[0 0]
20010124,1.28,1.3,1.28,1.28,273232,[1 1]
20010126,1.29,1.35,1.29,1.35,210417,[1 0]
20010129,1.39,1.46,1.35,1.35,651776,[1 0]
20010130,1.4,1.4,1.39,1.39,112280,[0 1]
20010131,1.38,1.43,1.37,1.43,225419,[0 0]
20010201,1.4,1.4,1.35,1.35,312305,[0 0]
20010214,1.35,1.37,1.33,1.37,285606,[0 1]
20010215,1.36,1.37,1.36,1.37,127860,[1 0]
20010216,1.39,1.39,1.36,1.36,180034,[0 1]
20010219,1.35,1.35,1.27,1.27,324321,[0 0]
20010220,1.3,1.3,1.2,1.2,344570,[0 0]
20010221,1.2,1.22,1.2,1.22,151072,[1 0]
20010222,1.29,1.29,1.29,1.29,13029,[1 1]
20010223,1.34,1.34,1.32,1.32,95768,[0 0]
20010228,1.4,1.4,1.22,1.22,180049,[0 0]
20010301,1.3,1.35,1.3,1.35,88120,[1 1]
20010302,1.37,1.37,1.35,1.35,240938,[0 0]
20010306,1.33,1.34,1.32,1.32,148346,[0 1]
20010308,1.34,1.35,1.34,1.35,107345,[1 1]
20010309,1.3,1.34,1.3,1.34,110420,[1 0]
20010312,1.29,1.29,1.29,1.29,21156,[0 1]
20010313,1.29,1.29,1.25,1.25,180277,[0 1]
20010314,1.26,1.26,1.24,1.24,10556,[0 1]
20010315,1.21,1.21,1.2,1.2,36231,[0 0]
20010316,1.26,1.26,1.21,1.21,335577,[0 0]
20010319,1.26,1.26,1.26,1.26,37800,[1 0]
20010320,1.31,1.31,1.23,1.23,37682,[1 0]
20010322,1.25,1.25,1.13,1.13,392400,[0 0]
20010323,1.18,1.25,1.18,1.25,103090,[0 1]
20010326,1.27,1.27,1.24,1.25,120545,[1 0]
20010327,1.27,1.27,1.23,1.23,30529,[0 1]
20010329,1.21,1.21,1.19,1.19,120267,[0 1]
20010402,1.25,1.25,1.15,1.15,70173,[0 0]
20010404,1.25,1.25,1.25,1.25,37500,[1 0]
