date,open,max,min,close,volume,y
20070727,19.0,19.45,18.61,19.31,368809197,[1 1]
20070730,19.05,21.0,19.0,20.8,56733705,[0 0]
20070731,20.7,21.92,20.7,21.35,18156351,[1 1]
20070801,20.9,21.25,20.8,20.9,7040786,[0 0]
20070802,20.99,20.99,20.29,20.3,3753274,[0 1]
20070803,20.34,20.79,20.34,20.71,3111480,[0 1]
20070806,20.45,20.75,20.0,20.75,4566311,[0 0]
20070807,19.01,20.31,19.01,20.19,2097502,[0 1]
20070808,19.95,20.0,19.5,19.81,1610605,[0 1]
20070809,19.45,19.59,19.1,19.15,478442,[0 1]
20070810,19.0,19.8,18.71,19.5,1517195,[0 0]
20070813,19.5,20.0,18.7,18.7,1094190,[1 0]
20070814,19.48,19.59,19.35,19.59,672739,[0 1]
20070815,18.01,19.18,18.01,19.05,799589,[1 0]
20070816,18.0,18.0,17.0,18.0,1460979,[0 1]
20070817,18.95,18.99,15.3,15.3,228035,[1 0]
20070820,19.0,19.25,19.0,19.2,1159950,[1 0]
20070821,19.01,19.99,19.01,19.01,1187265,[0 1]
20070822,20.0,21.0,19.9,20.75,3632303,[1 0]
20070823,20.61,20.95,20.2,20.65,1221292,[1 0]
20070824,20.5,21.3,20.0,21.3,2365077,[1 0]
20070827,21.0,21.3,19.0,21.3,751845,[1 1]
20070828,20.9,20.9,20.9,20.9,117040,[0 1]
20070829,19.5,21.0,19.5,21.0,427655,[1 1]
20070830,20.35,20.75,20.0,20.75,211770,[1 1]
20070831,20.65,20.85,19.9,19.9,1782485,[1 1]
20070903,20.8,20.8,20.8,20.8,187685,[0 0]
20070904,20.05,21.5,19.99,21.5,2492631,[0 1]
20070905,20.0,21.39,20.0,21.39,301827,[0 0]
20070906,21.4,21.7,19.91,19.91,1516583,[1 1]
20070910,21.0,21.24,21.0,21.0,312924,[1 0]
20070911,21.09,21.25,21.05,21.25,1626623,[1 0]
20070912,21.1,21.1,21.1,21.1,179350,[1 0]
20070913,21.2,22.0,21.2,21.9,1745827,[1 0]
20070914,21.8,21.8,21.8,21.8,218000,[0 0]
20070917,21.35,21.35,21.35,21.35,106750,[0 1]
20070918,21.3,21.8,21.0,21.8,310570,[0 1]
20070919,21.5,21.89,21.5,21.89,769684,[0 0]
20070920,21.5,21.5,20.53,21.5,506703,[1 0]
20070921,20.52,21.7,20.52,21.7,631776,[1 0]
20070924,21.05,21.05,21.05,21.05,18945,[0 0]
20070925,21.5,21.8,21.02,21.8,586006,[0 0]
20070926,21.5,21.99,20.52,20.52,1813443,[0 0]
20070927,21.41,21.8,21.41,21.65,341668,[0 0]
20070928,21.65,21.8,21.4,21.8,432070,[1 0]
20071001,20.52,22.0,20.05,20.15,3062483,[0 0]
20071002,21.95,22.17,21.95,22.17,728974,[1 1]
20071003,22.5,22.5,22.5,22.5,488780,[1 0]
20071004,22.9,23.8,22.9,23.79,922996,[0 1]
20071005,23.3,24.5,22.5,24.5,244326,[0 1]
20071008,22.58,24.88,22.58,24.87,777293,[0 1]
20071009,24.88,24.88,24.88,24.88,131864,[1 0]
20071010,24.88,25.5,24.88,25.5,1022218,[1 0]
20071011,24.0,25.6,24.0,25.5,398630,[0 0]
20071015,25.1,25.25,25.1,25.25,752305,[0 1]
20071016,24.5,25.1,24.5,25.1,207060,[0 1]
20071017,24.0,25.4,24.0,25.4,97200,[1 0]
20071018,23.0,24.9,23.0,24.9,752978,[1 1]
20071019,24.41,24.41,22.26,24.41,250447,[0 1]
20071022,23.5,24.45,23.5,24.45,353430,[1 1]
20071023,25.0,25.15,25.0,25.15,498419,[0 0]
20071024,25.5,25.5,25.5,25.5,109650,[0 0]
20071025,25.0,25.0,24.0,24.0,127227,[0 0]
20071026,24.55,26.0,24.55,26.0,1018194,[0 0]
20071030,24.73,24.73,24.5,24.5,147069,[0 0]
20071031,25.0,25.14,23.0,25.14,462190,[0 0]
20071105,23.3,25.14,23.3,25.0,848538,[0 1]
20071106,25.5,25.99,25.5,25.99,102735,[0 1]
20071107,24.1,24.1,24.1,24.1,106040,[0 1]
20071108,24.5,24.5,24.01,24.01,306108,[0 0]
20071112,24.01,24.01,24.01,24.01,194481,[0 1]
20071113,23.0,23.0,23.0,23.0,126500,[0 0]
20071114,21.5,25.49,21.5,25.49,229495,[0 1]
20071127,22.0,22.05,22.0,22.05,220080,[0 0]
20071129,22.0,22.98,22.0,22.98,221560,[1 1]
20071205,20.2,21.5,20.2,21.5,183150,[1 0]
20071206,21.3,21.3,20.02,20.02,247464,[1 0]
20071207,21.95,22.8,21.95,22.8,48715,[1 1]
20071210,20.51,21.0,20.51,21.0,61677,[1 0]
20071212,21.47,21.47,21.47,21.47,171760,[0 1]
20071214,21.1,21.1,21.1,21.1,6330,[1 0]
20071226,20.0,20.0,20.0,20.0,200000,[0 0]
20071227,20.0,20.0,20.0,20.0,40000,[0 1]
20080107,19.5,19.5,19.5,19.5,58500,[0 1]
20080111,19.0,19.0,19.0,19.0,1900,[0 0]
20080114,18.0,18.0,18.0,18.0,180000,[1 0]
20080115,18.5,18.5,17.0,17.0,94650,[1 1]
20080121,16.0,16.0,16.0,16.0,177600,[0 1]
20080128,15.8,15.8,15.8,15.8,72680,[0 1]
20080201,17.0,17.0,17.0,17.0,1700,[0 0]
20080213,16.5,16.5,16.5,16.5,122100,[1 1]
20080221,15.2,15.25,15.2,15.25,152215,[0 0]
20080222,14.0,14.0,14.0,14.0,37800,[0 0]
20080225,15.4,15.4,15.4,15.4,184800,[1 0]
20080226,15.65,15.7,15.65,15.7,128725,[0 1]
20080228,15.97,15.97,15.97,15.97,70268,[0 1]
20080229,15.3,15.3,15.3,15.3,41310,[0 0]
20080310,15.0,15.0,15.0,15.0,49500,[0 1]
20080312,15.5,15.5,15.5,15.5,62000,[1 0]
20080317,15.0,15.0,15.0,15.0,156615,[1 1]
20080318,15.15,15.4,15.15,15.4,152485,[1 0]
20080401,14.0,14.0,14.0,14.0,61600,[1 1]
20080402,15.05,15.05,15.05,15.05,75250,[0 1]
20080404,15.6,15.6,15.6,15.6,1560,[1 1]
20080407,14.0,14.0,14.0,14.0,88200,[0 0]
20080417,14.3,14.3,14.3,14.3,121550,[0 1]
20080418,14.3,14.3,14.3,14.3,8580,[1 1]
20080423,14.0,14.0,14.0,14.0,158200,[1 0]
20080425,13.7,13.7,13.5,13.5,88350,[1 0]
20080502,13.5,13.5,13.5,13.5,27000,[0 1]
20080506,14.0,14.0,14.0,14.0,117600,[0 1]
20080507,13.5,13.5,13.4,13.4,84920,[0 0]
20080513,13.9,13.9,13.9,13.9,27800,[1 0]
20080514,13.6,16.0,13.6,16.0,326507,[0 1]
20080515,14.0,14.0,14.0,14.0,46200,[1 0]
20080516,16.0,16.0,15.21,15.21,164563,[1 0]
20080519,16.0,16.01,16.0,16.01,27203,[0 0]
20080526,15.01,15.01,13.6,13.6,240280,[1 0]
20080529,14.5,14.5,14.5,14.5,24650,[0 1]
20080602,14.6,14.6,14.6,14.6,4380,[1 1]
20080605,15.0,15.0,15.0,15.0,61500,[0 0]
20080612,15.0,15.0,15.0,15.0,4500,[0 1]
20080619,15.0,15.0,15.0,15.0,30000,[0 0]
20080625,14.8,14.8,14.8,14.8,28120,[0 0]
20080626,15.0,15.0,14.51,14.51,2951,[1 1]
20080630,14.51,14.51,14.51,14.51,2902,[0 1]
20080701,13.5,13.5,13.5,13.5,67500,[0 1]
20080702,13.25,13.25,13.25,13.25,25175,[0 1]
20080703,12.0,12.0,12.0,12.0,3600,[0 1]
20080707,12.0,12.0,12.0,12.0,12000,[1 1]
20080708,12.0,12.0,12.0,12.0,68400,[0 0]
20080718,12.0,12.0,12.0,12.0,3600,[1 0]
20080723,12.0,12.0,11.0,11.0,137600,[0 1]
20080724,11.0,11.0,11.0,11.0,58300,[0 0]
20080729,9.7,9.7,9.7,9.7,92150,[1 0]
20080730,10.0,10.0,10.0,10.0,48000,[1 1]
20080731,9.79,9.79,9.79,9.79,46013,[0 0]
20080806,10.0,10.0,10.0,10.0,47000,[1 0]
20080808,9.99,9.99,9.99,9.99,52947,[0 0]
20080821,9.3,9.3,9.21,9.21,88170,[1 0]
20080827,8.5,8.5,8.5,8.5,4250,[0 1]
20080902,8.11,8.11,8.0,8.0,60220,[0 0]
20080903,8.3,8.3,8.3,8.3,42330,[0 1]
20080909,7.8,7.8,7.8,7.8,16380,[0 1]
20080923,6.51,6.51,5.31,5.31,58260,[0 0]
20081010,4.05,4.75,4.05,4.75,40850,[0 0]
20081015,5.7,5.7,5.7,5.7,5700,[0 1]
20081103,2.75,2.75,2.75,2.75,22550,[1 0]
20081104,2.0,2.0,2.0,2.0,5800,[1 0]
20081113,3.0,3.0,3.0,3.0,300,[0 0]
20081201,3.25,3.25,3.25,3.25,325,[0 1]
20081204,3.3,3.49,3.3,3.49,33551,[0 0]
20081211,3.51,3.51,2.52,2.52,28638,[1 1]
20081215,3.3,3.3,3.3,3.3,10560,[0 0]
20081217,3.33,3.33,3.25,3.25,3266,[0 1]
20081219,3.01,3.43,3.01,3.43,35147,[0 0]
20081229,3.6,3.6,3.6,3.6,360,[0 0]
20090102,3.73,3.73,3.73,3.73,22753,[0 0]
20090112,3.4,3.4,3.3,3.3,21290,[1 1]
20090121,3.3,3.3,3.3,3.3,990,[0 0]
20090127,3.35,3.35,3.35,3.35,14405,[0 0]
20090129,3.62,3.62,3.62,3.62,34028,[0 0]
20090211,3.44,3.44,3.44,3.44,14448,[1 1]
20090217,3.0,3.0,3.0,3.0,300,[1 0]
20090218,3.0,3.0,3.0,3.0,16800,[1 0]
20090219,2.6,2.6,2.6,2.6,5460,[0 0]
20090225,2.93,2.93,2.93,2.93,25784,[0 1]
20090302,2.8,2.9,2.8,2.9,37050,[0 0]
20090303,3.49,3.49,2.95,2.95,20114,[1 0]
20090306,2.9,2.9,2.9,2.9,20590,[0 0]
20090310,2.6,2.6,2.58,2.58,6486,[1 0]
20090311,2.95,2.95,2.95,2.95,18585,[1 0]
20090319,2.59,2.59,2.59,2.59,3367,[0 1]
20090320,2.9,2.9,2.9,2.9,3770,[0 0]
20090414,3.0,3.49,3.0,3.49,15949,[0 0]
20090415,3.47,3.47,3.47,3.47,347,[0 1]
20090416,3.48,3.49,3.48,3.49,28566,[0 1]
20090417,3.42,3.42,3.42,3.42,29754,[0 1]
20090422,3.6,3.6,3.6,3.6,360,[1 0]
20090424,3.25,3.25,3.25,3.25,2925,[0 0]
20090428,3.05,3.05,3.05,3.05,25620,[1 1]
20090429,3.15,3.15,3.15,3.15,2205,[1 0]
20090504,3.2,3.2,3.2,3.2,26880,[0 1]
20090511,3.1,3.1,3.1,3.1,930,[0 1]
20090513,3.05,3.05,3.05,3.05,6405,[1 0]
20090515,3.05,3.05,3.01,3.01,25592,[1 0]
20090519,3.0,3.0,3.0,3.0,3000,[0 1]
20090527,3.52,3.6,3.52,3.6,40496,[1 0]
20090528,3.4,3.71,3.3,3.3,22220,[1 0]
20090529,3.11,3.11,3.11,3.11,8397,[1 0]
20090601,3.55,3.75,3.55,3.75,58400,[0 0]
