date,open,max,min,close,volume,y
20110413,15.98,16.05,15.62,16.0,25943800,[0 0]
20110414,16.0,16.02,15.8,15.86,7243470,[1 0]
20110415,15.9,15.9,15.5,15.56,5886312,[1 0]
20110418,15.81,15.95,15.49,15.8,1786904,[0 0]
20110419,15.8,15.98,15.4,15.5,2157508,[0 1]
20110420,15.75,15.89,15.64,15.84,686768,[0 1]
20110425,15.41,15.67,15.41,15.41,447785,[0 1]
20110426,15.68,15.68,15.3,15.3,173884,[1 1]
20110427,14.72,15.14,14.55,14.7,761995,[0 0]
20110428,15.19,15.19,14.56,14.58,677772,[1 0]
20110429,14.95,15.0,14.82,14.82,512239,[1 0]
20110502,15.0,15.44,14.8,14.8,647029,[0 1]
20110503,14.79,15.01,14.79,15.01,962998,[0 0]
20110504,14.8,15.4,14.61,14.61,259625,[1 0]
20110505,14.8,14.8,14.8,14.8,25128,[0 1]
20110506,14.9,14.99,14.81,14.81,351792,[0 1]
20110509,15.15,15.2,14.61,15.0,301145,[1 0]
20110510,14.81,15.0,14.6,15.0,503991,[0 0]
20110511,15.0,15.0,14.81,14.81,1286565,[0 0]
20110512,15.0,15.18,15.0,15.18,435018,[1 1]
20110513,15.0,15.0,15.0,15.0,93000,[0 1]
20110516,15.0,15.1,13.7,15.1,333455,[0 1]
20110517,15.19,15.19,15.01,15.01,48266,[0 1]
20110518,15.02,15.02,15.01,15.01,112600,[0 1]
20110519,15.0,15.18,15.0,15.18,243450,[0 1]
20110520,15.19,15.19,15.0,15.0,45361,[1 1]
20110523,14.6,14.6,14.6,14.6,2920,[0 1]
20110524,14.5,15.19,14.5,14.75,189333,[0 1]
20110525,14.5,14.79,14.41,14.41,444171,[0 0]
20110526,14.4,14.4,14.01,14.03,462021,[1 1]
20110527,14.4,14.4,14.11,14.11,70212,[1 1]
20110530,14.2,14.2,14.1,14.1,25400,[0 1]
20110531,14.78,14.78,14.35,14.78,597998,[0 0]
20110601,15.0,15.18,14.9,15.18,572067,[1 1]
20110602,14.75,14.96,14.75,14.96,38371,[1 1]
20110603,14.68,14.68,14.01,14.01,197973,[0 0]
20110606,14.01,14.01,14.01,14.01,121887,[0 0]
20110607,14.4,14.4,14.0,14.0,47680,[0 0]
20110609,14.49,14.49,13.51,13.51,112005,[1 1]
20110610,14.48,14.48,13.5,13.85,297179,[1 0]
20110614,14.0,14.0,14.0,14.0,121800,[1 1]
20110615,14.0,14.0,13.83,13.83,69388,[1 1]
20110616,14.05,14.05,14.05,14.05,19420,[0 1]
20110617,13.46,13.8,13.45,13.45,260952,[1 0]
20110620,13.8,13.8,13.8,13.8,16560,[1 0]
20110621,13.14,13.14,13.14,13.14,32850,[1 0]
20110622,14.0,14.05,13.99,14.0,146980,[0 1]
20110624,13.8,13.8,13.16,13.16,234608,[0 0]
20110627,13.99,14.1,13.99,14.1,189073,[0 0]
20110628,14.35,14.35,13.91,13.95,366086,[1 0]
20110629,14.0,14.0,14.0,14.0,1400,[0 0]
20110630,14.05,14.05,14.05,14.05,80085,[0 1]
20110701,13.6,14.2,13.45,14.2,211000,[0 1]
20110704,13.9,13.9,13.9,13.9,5560,[0 1]
20110705,14.0,14.0,14.0,14.0,49000,[1 0]
20110706,13.97,13.97,13.97,13.97,2795,[0 1]
20110707,13.98,14.0,13.98,14.0,65708,[0 0]
20110708,13.7,13.8,13.7,13.8,219260,[0 1]
20110712,13.31,13.75,13.31,13.55,68908,[0 1]
20110713,13.5,13.73,13.27,13.73,100951,[1 1]
20110715,13.71,13.95,13.7,13.95,268161,[0 1]
20110719,14.0,14.0,13.8,13.98,163712,[0 0]
20110720,13.9,14.0,13.9,14.0,52830,[1 0]
20110721,13.85,13.85,13.85,13.85,69250,[1 1]
20110722,14.0,14.0,14.0,14.0,72800,[0 1]
20110725,14.0,14.0,14.0,14.0,14000,[1 0]
20110727,13.83,13.83,13.5,13.5,16497,[1 0]
20110728,13.51,14.0,13.51,14.0,357140,[0 1]
20110729,13.93,14.15,13.93,14.15,210535,[1 0]
20110801,14.25,14.36,14.25,14.36,168598,[0 0]
20110802,14.5,14.5,14.4,14.5,142740,[1 0]
20110803,14.08,14.3,14.0,14.3,282284,[1 1]
20110804,13.9,14.0,13.9,14.0,139020,[0 0]
20110805,13.7,13.71,13.7,13.71,274075,[1 1]
20110808,13.2,13.4,13.0,13.4,477733,[1 0]
20110809,13.11,13.5,13.11,13.4,272585,[1 1]
20110810,13.05,13.5,13.05,13.35,159507,[0 1]
20110811,13.51,13.53,13.51,13.53,276979,[0 1]
20110812,13.7,13.7,13.7,13.7,34250,[1 0]
20110815,14.39,14.4,14.39,14.4,236377,[1 1]
20110816,13.51,13.51,13.51,13.51,117537,[0 1]
20110818,13.71,13.71,13.71,13.71,16452,[0 1]
20110819,14.29,14.29,14.29,14.29,1429,[1 1]
20110822,14.29,14.5,14.29,14.35,288314,[1 0]
20110823,14.5,15.39,14.5,15.39,344318,[0 1]
20110824,14.5,14.5,14.2,14.2,247150,[1 1]
20110825,14.3,14.3,14.3,14.3,1430,[1 0]
20110829,14.49,14.51,14.49,14.51,33335,[1 0]
20110830,14.5,14.5,14.01,14.01,71500,[0 1]
20110831,14.7,14.7,14.21,14.21,147000,[0 0]
20110905,14.01,14.01,14.01,14.01,51837,[1 1]
20110906,14.5,14.61,14.5,14.61,299900,[1 1]
20110908,14.4,14.4,14.2,14.2,88060,[0 0]
20110914,14.01,14.01,14.01,14.01,16812,[1 1]
20110915,14.02,15.25,14.02,15.25,160250,[1 0]
20110920,14.25,14.25,14.1,14.1,143895,[1 0]
20110921,14.14,14.14,13.96,13.96,279794,[1 0]
20110922,13.21,13.21,13.2,13.2,117567,[1 0]
20110923,13.0,13.0,12.6,12.61,114787,[0 0]
20110926,12.8,12.8,12.8,12.8,3840,[0 0]
20110927,12.6,12.6,12.25,12.25,176465,[1 1]
20110928,12.0,12.0,12.0,12.0,27200,[0 0]
20110929,11.8,11.8,11.74,11.74,58880,[0 0]
20110930,11.0,11.0,11.0,11.0,14300,[0 0]
20111003,11.1,11.1,11.1,11.1,14430,[1 0]
20111004,11.5,11.5,10.65,10.65,120385,[1 0]
20111005,10.9,10.9,10.9,10.9,87200,[1 0]
20111010,10.4,10.4,10.4,10.4,96720,[1 0]
20111013,10.6,10.6,10.54,10.54,83734,[0 0]
20111017,9.9,9.9,9.6,9.6,35910,[0 1]
20111018,9.3,9.5,9.3,9.4,179560,[1 1]
20111019,9.3,9.3,9.3,9.3,89280,[0 1]
20111020,9.4,9.4,9.4,9.4,11280,[0 1]
20111024,10.94,10.94,10.94,10.94,54700,[1 1]
20111025,11.15,11.15,10.9,10.9,53710,[1 0]
20111026,10.8,10.8,10.8,10.8,70200,[1 0]
20111027,11.01,11.01,11.01,11.01,26424,[0 0]
20111031,11.3,11.3,10.22,10.22,28192,[1 1]
20111103,11.8,11.8,11.79,11.79,73148,[0 0]
20111107,11.85,11.85,11.85,11.85,15405,[1 1]
20111108,11.95,11.95,11.94,11.94,87167,[0 1]
20111109,11.6,11.6,11.6,11.6,69600,[0 1]
20111110,12.0,12.3,12.0,12.2,97820,[0 1]
20111114,12.19,12.2,12.19,12.2,101245,[1 1]
20111116,12.01,12.01,12.01,12.01,104487,[0 0]
20111117,12.14,12.14,12.14,12.14,42490,[1 1]
20111121,11.87,11.87,11.87,11.87,66472,[1 1]
20111122,11.9,11.9,11.9,11.9,84490,[0 1]
20111123,11.51,12.0,11.51,12.0,51355,[0 1]
20111130,12.8,12.9,10.0,11.15,386220,[1 0]
20111201,13.4,13.64,13.0,13.64,225174,[0 1]
20111206,13.85,14.0,13.7,14.0,37395,[0 1]
20111207,13.7,13.7,13.7,13.7,64390,[0 1]
20111209,13.7,14.1,13.7,14.1,55080,[0 1]
20111212,13.0,13.0,13.0,13.0,113100,[0 1]
20111213,12.6,13.75,12.53,12.54,229913,[0 1]
20111215,12.46,14.0,12.46,12.86,226162,[1 0]
20111220,12.98,12.98,12.98,12.98,64900,[1 0]
20111226,12.06,12.8,12.06,12.8,64244,[1 0]
20111227,12.0,12.0,12.0,12.0,60000,[0 1]
20111228,11.55,11.55,11.55,11.55,28875,[0 0]
20120102,11.63,11.63,11.63,11.63,22097,[1 1]
20120103,11.5,11.5,11.0,11.0,80400,[0 1]
20120104,11.42,11.42,11.42,11.42,11420,[1 0]
20120105,11.98,12.0,11.98,12.0,58742,[0 0]
20120106,11.0,11.25,10.84,11.25,139780,[1 1]
20120110,11.01,11.01,11.01,11.01,55050,[0 0]
20120116,11.02,11.5,11.02,11.5,132008,[1 1]
20120117,11.75,11.75,11.75,11.75,30550,[0 0]
20120118,12.1,12.98,11.95,12.98,15891,[1 0]
20120119,12.03,12.03,12.03,12.03,104661,[0 1]
20120123,12.72,12.72,12.72,12.72,12720,[1 0]
