date,open,max,min,close,volume,y
20070509,24.55,26.0,24.2,26.0,43571500,[0 1]
20070510,25.8,25.8,24.5,24.61,7500900,[1 0]
20070511,24.5,26.0,24.5,25.48,57136600,[1 1]
20070514,24.5,25.5,24.5,25.5,4070000,[0 1]
20070515,24.7,24.7,24.6,24.6,16483900,[1 1]
20070516,25.3,25.3,25.0,25.0,61006200,[0 0]
20070517,25.8,25.8,25.8,25.8,258000,[0 1]
20070518,26.0,26.0,25.5,25.55,13290000,[1 1]
20070521,25.9,28.0,25.9,27.95,24117500,[1 0]
20070522,26.0,29.0,26.0,28.0,15902000,[0 0]
20070523,27.8,28.5,27.5,28.5,6202900,[0 1]
20070524,26.15,28.45,26.15,28.45,10607000,[1 1]
20070525,28.0,28.45,28.0,28.45,3665000,[1 0]
20070529,28.0,28.0,27.5,27.7,2784000,[0 0]
20070530,27.9,28.0,27.0,27.9,18848500,[1 0]
20070531,28.5,28.55,28.5,28.5,3707500,[1 0]
20070601,28.5,28.6,28.5,28.6,2285500,[1 1]
20070604,28.8,30.0,28.1,30.0,34001300,[0 0]
20070605,30.0,30.5,29.5,29.5,9970000,[0 1]
20070606,29.0,29.0,28.6,28.6,5212000,[1 1]
20070608,29.0,29.0,28.0,28.5,5407200,[1 1]
20070611,28.5,28.5,28.5,28.5,5985000,[0 0]
20070612,28.0,28.6,28.0,28.6,846000,[0 1]
20070613,29.0,30.5,28.99,30.0,45415100,[1 1]
20070614,30.0,30.5,30.0,30.5,10855000,[0 1]
20070615,31.0,31.0,31.0,31.0,1240000,[0 1]
20070618,31.0,31.0,31.0,31.0,3100000,[0 0]
20070619,29.0,30.44,29.0,30.44,7258000,[1 0]
20070620,31.0,31.0,30.0,30.0,7600000,[0 0]
20070621,31.0,31.5,31.0,31.5,16130000,[0 0]
20070622,31.5,32.8,31.5,31.5,7281000,[1 1]
20070625,31.0,32.0,30.5,32.0,18970000,[1 0]
20070626,32.0,32.0,32.0,32.0,2560000,[0 1]
20070627,32.5,34.0,32.0,32.5,14335000,[0 0]
20070628,32.5,35.0,32.5,34.5,89479800,[0 1]
20070629,34.4,34.4,33.0,33.8,55165100,[1 1]
20070702,33.8,33.8,33.5,33.69,14836700,[0 0]
20070703,33.75,33.75,32.02,32.02,13055400,[0 1]
20070704,33.0,33.0,32.5,32.89,51203500,[1 1]
20070705,33.0,34.7,33.0,33.99,105310300,[1 1]
20070706,34.0,37.5,34.0,35.9,168433000,[0 0]
20070710,38.0,38.0,36.15,36.15,15797000,[0 0]
20070711,37.0,37.0,36.5,36.5,22481000,[0 1]
20070712,36.01,36.4,35.5,35.6,20123400,[1 0]
20070713,36.9,36.9,35.6,35.6,12408500,[0 1]
20070716,36.0,36.0,35.0,35.0,8511600,[0 0]
20070717,36.0,36.0,35.5,35.5,3224000,[1 0]
20070718,35.0,35.9,35.0,35.8,16381000,[1 0]
20070719,36.0,36.0,36.0,36.0,14040000,[0 0]
20070720,36.1,36.1,35.37,35.37,46638600,[0 0]
20070723,36.5,37.0,36.0,36.99,28790400,[0 1]
20070724,36.5,36.8,34.8,34.8,32785800,[0 0]
20070725,36.0,36.0,35.96,35.98,18356700,[1 1]
20070726,35.9,35.98,35.0,35.98,3201800,[0 0]
20070727,35.97,35.97,35.0,35.0,5365400,[1 1]
20070730,35.0,36.0,35.0,36.0,43257600,[0 1]
20070731,36.0,36.0,35.5,35.9,23619000,[0 0]
20070801,35.9,35.9,35.5,35.5,9667000,[0 0]
20070802,35.5,35.5,35.01,35.49,35494000,[1 1]
20070803,35.49,35.5,35.0,35.1,20225200,[0 1]
20070806,34.5,35.0,34.5,34.5,28329000,[0 0]
20070807,35.25,35.3,34.5,35.3,7732500,[1 0]
20070808,35.5,35.6,35.5,35.58,13137800,[1 0]
20070809,35.6,36.46,34.01,36.0,9242800,[0 0]
20070810,36.0,36.0,34.0,35.4,5269000,[0 1]
20070813,35.0,35.5,35.0,35.0,8450000,[0 1]
20070814,36.0,36.0,35.99,35.99,1079800,[1 1]
20070815,34.7,35.9,34.7,35.9,3937000,[0 1]
20070816,35.0,35.0,33.5,34.0,14484000,[0 1]
20070817,35.0,35.0,32.0,32.0,21691700,[0 0]
20070820,34.0,34.0,33.25,33.5,27520000,[0 0]
20070821,33.99,34.0,33.7,33.79,26072400,[0 0]
20070822,34.0,34.98,32.5,34.0,14998000,[0 1]
20070823,33.99,34.0,33.99,34.0,4079900,[0 1]
20070824,34.0,34.4,33.79,33.8,15937700,[0 0]
20070827,33.8,33.8,32.64,32.64,8077200,[0 0]
20070828,34.97,34.97,32.6,33.51,2041200,[1 0]
20070829,33.1,37.0,33.0,36.0,59050200,[0 0]
20070830,36.0,36.99,35.99,36.99,11258900,[0 0]
20070831,36.99,38.0,36.99,37.5,22594600,[0 0]
20070903,38.1,38.1,38.0,38.0,1517000,[1 0]
20070904,37.5,37.5,37.5,37.5,1500000,[1 0]
20070905,34.9,37.0,34.9,37.0,2176000,[1 0]
20070906,36.99,36.99,36.99,36.99,5178600,[0 0]
20070910,36.0,36.8,36.0,36.8,1096000,[1 1]
20070911,36.7,36.8,36.2,36.2,7319000,[0 1]
20070912,36.4,36.5,36.4,36.49,11676000,[0 0]
20070913,36.5,36.5,36.41,36.5,37213300,[0 1]
20070914,36.5,36.6,36.5,36.5,21171000,[0 1]
20070917,36.5,36.6,36.4,36.4,16025000,[1 0]
20070918,36.3,37.5,36.3,37.5,57183000,[0 0]
20070919,40.0,40.0,37.5,37.5,4631000,[1 1]
20070921,36.99,37.0,36.99,37.0,7769900,[1 0]
20070924,37.5,37.5,37.5,37.5,1125000,[1 0]
