date,open,max,min,close,volume,y
19980402,5.2,5.2,5.2,5.2,52000,[1 0]
19980406,5.21,5.21,5.21,5.21,9378000,[0 1]
19980407,5.1,5.1,5.1,5.1,28560000,[0 1]
19980408,4.9,4.9,4.9,4.9,12250000,[0 1]
19980413,5.0,5.2,5.0,5.2,5552000,[0 0]
19980414,4.9,4.9,4.9,4.9,980000,[1 0]
19980416,4.9,5.2,4.9,5.2,205000,[0 1]
19980417,5.1,5.15,5.1,5.15,1633000,[0 0]
19980420,5.2,5.2,5.2,5.2,468000,[0 0]
19980422,5.19,5.19,5.19,5.19,259500,[0 0]
19980423,5.0,5.0,5.0,5.0,4000000,[0 0]
19980424,5.0,5.05,5.0,5.05,651500,[0 0]
19980427,4.9,5.05,4.9,5.05,540500,[1 0]
19980428,5.01,5.01,5.0,5.0,6851000,[1 1]
19980429,5.15,5.15,5.15,5.15,3605000,[0 0]
19980430,5.15,5.15,5.15,5.15,3090000,[0 1]
19980514,5.1,5.1,5.1,5.1,7650000,[0 1]
19980519,5.1,5.1,5.1,5.1,11220000,[0 0]
19980521,4.9,4.9,4.8,4.8,49940000,[0 1]
19980522,4.8,4.8,4.8,4.8,1440000,[0 0]
19980526,4.8,4.8,4.7,4.7,47950000,[0 0]
19980527,4.7,4.7,4.7,4.7,3760000,[1 0]
19980528,4.7,4.7,4.7,4.7,5170000,[1 0]
19980529,4.7,4.7,4.7,4.7,3760000,[1 0]
19980601,4.7,4.7,4.7,4.7,6580000,[0 0]
19980602,5.05,5.05,5.05,5.05,505000,[0 0]
19980609,5.05,5.05,4.81,4.81,1491000,[0 0]
19980618,4.98,4.98,4.98,4.98,498000,[0 0]
19980619,5.0,5.0,5.0,5.0,1500000,[0 0]
19980701,4.65,4.65,4.65,4.65,24180000,[0 1]
19980702,4.65,4.65,4.4,4.4,4035000,[1 1]
19980708,4.4,4.4,4.4,4.4,20240000,[0 1]
19980714,4.5,4.5,4.5,4.5,900000,[0 1]
19980715,4.4,4.4,4.35,4.35,21790000,[0 1]
19980716,4.5,4.55,4.5,4.55,5000000,[0 0]
19980717,4.3,4.55,4.3,4.55,28904000,[0 1]
19980720,4.46,4.46,4.46,4.46,892000,[1 0]
19980721,4.4,4.4,4.4,4.4,880000,[0 1]
19980728,4.5,4.5,4.5,4.5,900000,[1 0]
19980730,4.3,4.5,4.3,4.5,2600000,[0 1]
19980731,4.5,4.5,4.5,4.5,450000,[0 1]
19980803,4.3,4.3,4.05,4.05,33815000,[0 0]
19980804,4.0,4.0,4.0,4.0,21200000,[0 1]
19980805,4.1,4.1,4.1,4.1,2050000,[0 1]
19980810,3.8,3.8,3.8,3.8,380000,[0 0]
19980811,4.1,4.1,4.1,4.1,820000,[1 0]
19980814,4.1,4.1,4.1,4.1,410000,[0 0]
19980817,4.19,4.19,4.19,4.19,21788000,[0 0]
19980820,4.19,4.19,4.19,4.19,3771000,[0 0]
