date,open,max,min,close,volume,y
19980415,4.9,4.9,4.9,4.9,16170,[0 1]
19980428,4.06,4.06,4.06,4.06,20300,[0 0]
19980505,5.0,5.0,5.0,5.0,260000,[0 1]
19980514,5.0,5.0,5.0,5.0,50000,[0 0]
19980519,5.01,5.01,5.0,5.0,40005,[0 0]
19980528,4.7,4.7,4.7,4.7,29140,[0 1]
19980609,4.89,4.89,4.89,4.89,244500,[0 0]
19980701,4.86,4.86,4.86,4.86,194400,[1 0]
19980710,4.4,4.4,4.3,4.3,45200,[0 1]
19980720,4.0,4.0,4.0,4.0,150000,[0 1]
19980803,4.0,4.0,4.0,4.0,120000,[0 1]
19980806,2.01,2.01,2.01,2.01,804,[0 1]
19980818,3.7,3.7,3.7,3.7,92500,[0 0]
19980826,3.15,3.15,3.15,3.15,39375,[0 1]
19980827,3.0,3.0,2.81,2.81,298250,[1 1]
19980902,4.0,4.0,4.0,4.0,10000,[0 1]
19980909,2.5,2.5,2.2,2.2,139500,[0 0]
19980910,2.03,2.03,2.03,2.03,162400,[1 0]
19980911,2.05,2.05,2.05,2.05,20500,[1 0]
19980914,2.2,2.2,2.03,2.03,81893,[1 0]
19981009,2.2,2.2,2.2,2.2,33000,[1 0]
19981016,2.01,2.01,2.01,2.01,50250,[1 1]
19981023,2.45,2.45,2.45,2.45,71295,[0 0]
19981027,1.75,1.75,1.75,1.75,122500,[1 0]
19981028,2.45,2.45,2.45,2.45,196000,[1 0]
19981030,2.4,2.4,2.4,2.4,72000,[1 0]
19981103,2.4,2.4,2.4,2.4,120000,[0 1]
19981105,2.31,2.31,2.31,2.31,14322,[1 0]
19981111,2.72,2.72,2.72,2.72,204000,[1 1]
19981113,2.62,3.1,2.62,3.1,273664,[0 1]
19981124,3.15,3.15,3.15,3.15,157500,[1 1]
19981215,2.66,2.66,2.66,2.66,82992,[1 0]
19990222,2.9,2.9,2.9,2.9,29000,[1 0]
19990302,2.11,2.7,2.11,2.7,182780,[1 1]
19990304,2.5,2.7,2.5,2.7,253240,[1 0]
19990325,3.0,3.0,3.0,3.0,37500,[0 0]
19990407,2.17,2.17,2.17,2.17,6076,[1 0]
19990414,3.0,3.0,3.0,3.0,120000,[0 1]
19990420,2.8,2.8,2.8,2.8,115360,[0 0]
19990422,2.81,2.81,2.81,2.81,56200,[0 0]
19990426,2.81,2.81,2.61,2.61,198008,[1 0]
19990427,3.0,3.0,3.0,3.0,26400,[1 0]
19990429,2.6,2.6,2.6,2.6,85280,[0 1]
19990518,3.2,3.2,3.2,3.2,224000,[0 0]
19990519,3.3,3.3,3.3,3.3,57750,[1 0]
