date,open,max,min,close,volume,y
20130429,22.75,24.1,22.75,23.0,33283224000,[1 1]
20130430,23.0,23.5,21.9,23.01,5608601900,[1 1]
20130502,22.7,23.4,22.15,23.4,686454400,[1 1]
20130503,23.39,23.85,23.13,23.85,2368103900,[0 0]
20130506,23.9,24.15,23.63,23.99,424507600,[0 0]
20130507,24.0,24.85,23.96,24.1,1088113200,[1 1]
20130508,24.15,24.57,24.0,24.15,1197987500,[0 0]
20130509,24.0,24.59,23.3,24.1,1197158400,[1 1]
20130510,23.78,24.19,23.01,23.9,404781400,[1 1]
20130513,23.52,24.6,22.7,23.3,1572475800,[0 0]
20130514,23.4,23.4,22.45,23.0,2087617000,[0 0]
20130515,22.89,23.7,22.7,23.53,1503777200,[1 0]
20130516,23.56,24.3,22.85,24.0,1828153600,[1 1]
20130517,24.03,24.18,23.3,23.79,938996400,[0 0]
20130520,23.69,23.97,23.2,23.4,718521800,[0 0]
20130521,23.35,23.98,23.1,23.94,498637100,[1 1]
20130522,23.63,25.52,23.63,24.97,1271275200,[1 1]
20130523,24.68,25.49,24.65,25.49,598533700,[0 1]
20130524,25.3,25.99,25.22,25.7,749052300,[0 0]
20130527,25.68,25.69,25.11,25.6,247814200,[0 0]
20130528,25.61,25.69,25.21,25.35,422407000,[1 0]
20130529,25.22,25.7,24.11,25.0,385782400,[0 0]
20130531,25.03,25.03,24.43,24.9,467563700,[0 1]
20130603,24.83,25.41,24.57,25.41,547930200,[1 1]
20130604,25.16,25.39,24.84,25.0,1243808600,[0 0]
20130605,24.99,26.1,24.99,25.45,2158293500,[0 1]
20130606,25.29,25.89,25.06,25.6,1315117400,[0 1]
20130607,25.48,25.5,25.17,25.43,574359900,[1 1]
20130610,25.13,25.6,24.9,24.9,1102577500,[1 1]
20130611,24.22,24.79,23.76,24.79,366316400,[0 0]
20130612,24.63,24.88,24.25,24.5,149686200,[0 0]
20130613,24.02,25.01,24.02,24.85,526286700,[1 0]
20130614,25.35,25.5,24.52,25.16,143270000,[1 0]
20130617,25.14,26.29,25.0,26.29,2204059600,[0 0]
20130618,26.29,26.9,26.04,26.5,502824000,[0 0]
20130619,27.2,27.2,25.81,26.5,1188579900,[1 1]
