date,open,max,min,close,volume,y
20070212,23.4,23.78,21.51,23.59,1514310275,[1 1]
20070213,24.8,25.25,24.5,24.7,158609768,[1 1]
20070214,25.1,25.4,24.8,25.0,69557102,[1 1]
20070215,25.1,26.89,25.01,25.8,84906399,[0 0]
20070216,26.3,28.6,26.18,28.45,75329879,[0 1]
20070221,29.5,32.14,29.05,29.9,87987542,[0 1]
20070222,31.8,31.9,29.81,29.95,72480245,[0 1]
20070223,30.25,30.32,27.89,28.14,79133803,[0 0]
20070226,28.54,29.2,27.4,27.55,38925953,[0 1]
20070227,26.51,27.0,25.2,26.2,44397587,[0 1]
20070228,26.3,27.25,26.3,26.98,25995582,[1 0]
20070301,26.7,26.99,25.62,26.51,25836210,[1 0]
20070302,26.5,27.35,26.37,26.7,14869950,[1 0]
20070305,26.3,26.35,25.9,25.9,19332572,[1 1]
20070306,26.7,27.39,26.7,26.89,21516285,[0 1]
20070307,27.12,27.2,26.5,26.5,17211221,[1 0]
20070308,27.2,27.5,26.5,26.5,14364196,[0 1]
20070309,27.0,27.18,26.1,26.5,15180916,[1 0]
20070312,26.6,26.7,26.18,26.65,14314028,[1 1]
20070313,26.6,26.6,25.62,25.65,13353126,[0 1]
20070314,25.51,26.1,24.62,26.1,12834506,[1 1]
20070315,26.5,26.65,25.7,26.55,7892853,[1 1]
20070316,26.45,27.1,26.3,26.3,9678895,[0 1]
20070319,26.9,26.96,26.01,26.75,8498737,[0 0]
20070320,26.98,26.98,26.2,26.55,7647445,[1 0]
20070321,26.5,26.8,26.11,26.65,11187463,[0 0]
20070322,26.63,26.8,25.91,26.0,10761755,[0 0]
20070323,26.0,26.3,25.96,26.15,7991544,[1 0]
20070326,26.5,26.9,26.21,26.77,13131980,[0 1]
20070327,26.77,27.7,26.31,26.66,18932993,[0 0]
20070328,26.95,27.19,26.52,26.72,15309123,[1 0]
20070329,26.61,27.25,26.61,26.82,16090069,[0 1]
20070330,27.0,27.0,26.5,26.64,9501203,[1 1]
20070402,26.66,26.66,26.0,26.11,4816311,[0 0]
20070403,26.2,26.75,26.2,26.6,10359616,[0 1]
20070404,26.5,27.5,26.3,27.5,22019501,[1 0]
20070405,27.2,27.4,26.75,27.0,6051461,[1 0]
20070409,26.72,27.85,26.72,27.01,13534096,[0 0]
20070410,27.32,27.5,26.7,27.4,9977192,[0 0]
20070411,27.27,27.68,26.5,26.54,7789449,[1 0]
20070412,26.6,26.75,26.24,26.6,4474151,[0 1]
20070413,26.98,27.4,26.82,27.1,7545685,[1 0]
20070416,27.1,27.59,26.88,27.4,17712711,[0 1]
20070417,27.5,27.6,27.18,27.5,9958306,[0 0]
20070418,27.01,27.65,27.01,27.6,12127352,[1 0]
20070419,27.1,27.4,26.81,27.2,12164959,[0 0]
20070420,27.2,27.74,27.15,27.67,13986569,[1 0]
20070423,27.5,27.7,27.17,27.5,4893398,[1 1]
20070424,27.25,27.25,26.9,26.9,5412769,[1 1]
20070425,27.15,27.47,27.06,27.1,11395786,[1 0]
20070426,27.15,27.24,26.8,27.0,5659796,[1 0]
20070427,26.8,26.89,26.5,26.5,3620642,[1 0]
20070430,26.78,26.78,26.2,26.2,6609962,[1 0]
20070502,26.25,26.5,25.84,25.86,6900029,[0 0]
20070503,25.96,25.97,25.26,25.32,8174900,[1 0]
20070504,25.65,25.9,25.26,25.46,8147707,[0 0]
20070507,25.7,25.7,25.35,25.35,5057057,[1 0]
20070508,25.2,25.2,24.71,24.8,6656583,[0 1]
20070509,25.0,25.5,24.86,25.3,8208513,[0 0]
20070510,25.13,25.2,24.2,24.5,8399910,[0 0]
20070511,24.6,24.98,23.5,23.72,9492862,[1 1]
20070514,24.07,24.07,23.52,24.0,7621398,[1 0]
20070515,24.18,24.19,23.5,23.65,7112604,[1 0]
20070516,23.56,24.0,23.43,23.45,9149970,[0 1]
20070517,23.53,23.96,23.48,23.65,6106449,[0 1]
20070518,23.66,24.74,23.66,24.48,9250096,[0 1]
20070521,24.41,25.0,24.41,24.8,6638402,[1 0]
20070522,24.53,24.8,24.0,24.0,5623005,[0 1]
20070523,24.15,24.3,23.81,23.9,6226495,[0 1]
20070524,24.0,24.0,23.5,23.65,3368503,[1 1]
20070525,23.6,23.98,23.4,23.79,3092730,[0 1]
20070528,23.99,24.94,23.9,24.27,6957121,[0 1]
20070529,24.75,25.1,23.96,24.08,7619053,[1 1]
20070530,24.07,24.8,23.5,24.8,5607395,[0 1]
20070531,24.5,24.5,23.99,24.09,5104027,[1 0]
20070601,24.0,24.25,23.65,23.8,5214351,[0 1]
20070604,23.7,23.87,23.45,23.7,6159776,[1 1]
20070605,23.74,23.74,23.0,23.1,8301558,[0 1]
20070606,23.5,23.5,23.0,23.1,5224135,[0 0]
20070608,23.0,23.18,22.7,23.18,3857665,[0 0]
20070611,23.15,23.48,23.01,23.15,5192980,[1 0]
20070612,23.05,23.1,22.65,22.65,2668394,[0 0]
20070613,22.8,23.48,22.8,22.9,3585964,[1 1]
