date,open,max,min,close,volume,y
19990423,2.81,2.81,2.81,2.81,56200,[1 0]
19990513,4.0,4.0,4.0,4.0,1200000,[0 0]
19990824,3.5,3.5,3.5,3.5,175000,[0 1]
19991005,3.21,3.21,3.21,3.21,160500,[0 1]
19991006,3.21,3.21,3.21,3.21,706200,[1 0]
19991104,3.05,3.05,3.05,3.05,30500,[0 0]
19991117,3.06,3.06,3.06,3.06,183600,[1 0]
19991125,3.06,3.06,3.06,3.06,61200,[1 0]
19991213,4.5,4.5,4.5,4.5,225000,[0 1]
19991216,5.05,5.05,5.05,5.05,707000,[1 0]
19991217,5.0,5.0,5.0,5.0,1500000,[0 0]
20000821,4.5,4.5,4.5,4.5,225000,[0 0]
20000828,4.5,4.5,4.5,4.5,45000,[0 1]
20000831,4.99,4.99,4.99,4.99,149700,[0 0]
20001025,4.29,4.29,4.29,4.29,257400,[0 1]
20001106,4.6,4.6,4.6,4.6,138000,[0 1]
20001212,4.2,4.2,4.2,4.2,588000,[0 1]
20001228,4.12,4.12,4.12,4.12,288400,[1 0]
20001220,4.3,4.3,4.3,4.3,129000,[0 0]
20000503,5.0,5.0,5.0,5.0,2950000,[0 0]
20000508,4.99,5.0,4.99,5.0,699900,[1 0]
20000523,5.0,5.0,5.0,5.0,200000,[1 0]
20000602,4.8,4.8,4.8,4.8,528000,[1 0]
20000705,4.8,4.8,4.8,4.8,240000,[0 1]
20000721,4.8,4.8,4.8,4.8,3168000,[0 0]
20000807,4.2,4.2,4.1,4.1,208000,[1 1]
20000727,4.5,4.5,4.5,4.5,2250000,[0 0]
20000728,4.2,4.2,4.2,4.2,210000,[0 1]
20000801,4.21,4.21,4.2,4.2,294200,[0 1]
20000804,4.2,4.2,4.2,4.2,126000,[1 0]
20000808,4.5,4.5,4.5,4.5,1890000,[0 0]
20000815,4.5,4.5,4.5,4.5,450000,[1 0]
20010105,4.7,4.7,4.7,4.7,94000,[0 1]
20010117,4.5,4.5,4.5,4.5,225000,[1 0]
20010122,4.55,4.55,4.55,4.55,136500,[1 0]
