date,open,max,min,close,volume,y
20110203,19.56,19.99,19.5,19.69,6647343700,[0 0]
20110204,19.71,19.8,19.5,19.69,734993100,[1 1]
20110207,19.6,19.69,19.3,19.45,504711500,[1 1]
20110208,19.45,19.82,19.45,19.8,179943400,[1 0]
20110209,19.9,19.9,19.73,19.82,290585500,[1 1]
20110210,19.82,20.19,19.82,20.1,142807300,[1 0]
20110211,20.15,20.19,20.0,20.18,780909200,[1 1]
20110214,20.01,20.4,19.9,20.4,655383400,[0 1]
20110215,20.0,20.48,20.0,20.4,103332000,[1 0]
20110216,20.12,20.6,20.12,20.6,81750500,[1 1]
20110217,20.49,21.0,20.49,21.0,368336700,[1 1]
20110218,20.61,21.54,20.61,21.4,189793200,[0 0]
20110221,21.24,21.69,21.01,21.25,25008000,[0 0]
20110222,21.48,21.65,21.0,21.65,115034000,[1 0]
20110223,21.23,21.98,21.23,21.98,72720200,[0 1]
20110224,21.95,21.97,21.4,21.95,123715100,[0 0]
20110225,21.95,22.5,21.76,22.0,325423100,[0 1]
20110228,21.38,22.85,21.38,22.6,664626600,[1 0]
20110301,22.8,22.8,22.35,22.4,97682500,[1 1]
20110302,22.24,22.99,22.24,22.95,968472100,[0 1]
20110303,22.95,23.5,22.69,23.45,464197900,[1 0]
20110304,23.47,23.74,22.94,23.49,101323700,[1 0]
20110309,23.86,23.86,23.45,23.67,9903000,[0 0]
20110310,23.8,23.8,23.26,23.4,24116200,[1 0]
20110311,23.86,23.86,23.35,23.35,106647500,[1 1]
20110314,23.75,23.75,22.76,23.0,306844100,[0 1]
20110315,22.99,22.99,22.3,22.9,111911000,[1 0]
20110316,22.69,23.0,22.5,23.0,106305600,[1 1]
20110317,22.99,23.0,22.51,23.0,21069500,[0 0]
20110318,23.0,23.0,22.51,23.0,82498700,[0 0]
20110321,23.02,23.92,22.9,23.8,388822700,[1 0]
20110322,23.5,23.7,23.2,23.7,54761700,[1 0]
20110323,23.12,23.5,22.65,23.3,377838800,[0 0]
20110324,23.3,23.3,22.0,22.55,391560100,[0 1]
20110325,23.0,23.38,22.12,22.6,161370700,[0 1]
20110328,22.33,22.63,22.33,22.62,65901400,[1 0]
20110329,23.23,23.39,22.3,22.3,136554900,[1 1]
20110330,22.89,22.99,22.3,22.8,1026731000,[1 1]
20110331,23.25,23.25,22.56,23.2,577378200,[0 1]
20110401,22.72,22.89,22.5,22.6,299198200,[0 1]
20110404,23.19,23.19,22.7,22.99,452631200,[0 0]
