date,open,max,min,close,volume,y
19980316,2.0,2.0,2.0,2.0,400000,[1 0]
19980317,2.0,2.05,2.0,2.05,1825000,[0 0]
19980318,2.0,2.05,1.91,2.0,10495000,[1 0]
19980319,1.9,1.95,1.85,1.95,6355000,[0 0]
19980320,1.9,1.9,1.85,1.85,6355000,[0 0]
19980323,1.85,1.88,1.85,1.88,558000,[1 0]
19980325,1.8,1.8,1.8,1.8,360000,[0 0]
19980327,1.79,1.8,1.75,1.75,11463000,[0 0]
19980330,1.75,1.75,1.75,1.75,175000,[0 0]
19980331,1.7,1.7,1.7,1.7,170000,[1 0]
19980401,1.7,1.7,1.7,1.7,850000,[0 0]
19980402,1.66,1.92,1.6,1.92,193945000,[0 1]
19980403,1.88,1.88,1.87,1.87,1501000,[1 0]
19980406,1.87,1.87,1.84,1.86,8161000,[0 0]
19980407,1.81,1.83,1.81,1.83,6156000,[1 0]
19980408,1.85,1.9,1.83,1.83,1113000,[0 0]
19980414,1.85,1.85,1.83,1.83,2765000,[1 1]
19980416,1.79,1.79,1.77,1.77,18953000,[0 0]
19980417,1.77,1.77,1.75,1.75,4069000,[0 1]
19980420,1.77,1.77,1.77,1.77,17700000,[0 0]
19980422,1.7,1.7,1.7,1.7,5100000,[0 0]
19980423,1.7,1.71,1.67,1.7,13233000,[1 0]
19980424,1.65,1.65,1.65,1.65,165000,[0 0]
19980427,1.63,1.65,1.63,1.65,1813000,[0 1]
19980429,1.7,1.7,1.68,1.68,10536000,[0 0]
19980430,1.75,1.75,1.69,1.74,26794000,[0 1]
19980504,1.72,1.72,1.7,1.7,2232000,[0 0]
19980506,1.66,1.66,1.66,1.66,498000,[0 1]
19980508,1.65,1.65,1.65,1.65,1485000,[0 0]
19980511,1.7,1.7,1.63,1.66,7415000,[0 0]
19980512,1.66,1.66,1.57,1.57,2105000,[1 0]
19980513,1.55,1.57,1.5,1.57,5150000,[0 0]
19980518,1.5,1.5,1.5,1.5,600000,[0 0]
19980519,1.5,1.54,1.5,1.54,5404000,[1 0]
19980520,1.48,1.56,1.48,1.56,2382000,[0 0]
19980521,1.5,1.5,1.49,1.5,11843000,[0 0]
19980522,1.48,1.48,1.48,1.48,888000,[0 0]
19980525,1.48,1.48,1.48,1.48,296000,[0 0]
19980527,1.45,1.5,1.43,1.5,5499000,[0 0]
19980528,1.48,1.49,1.46,1.49,11371000,[0 0]
19980601,1.44,1.45,1.44,1.45,12315000,[0 0]
19980602,1.43,1.43,1.43,1.43,7293000,[0 0]
19980603,1.37,1.37,1.27,1.27,75404000,[0 0]
19980604,1.26,1.35,1.26,1.35,31449000,[0 1]
19980608,1.35,1.35,1.32,1.33,2929000,[0 1]
19980609,1.33,1.33,1.3,1.3,1309000,[0 0]
19980615,1.2,1.2,1.2,1.2,4680000,[1 1]
19980616,1.2,1.22,1.18,1.2,3586000,[0 1]
19980617,1.2,1.27,1.2,1.27,3727000,[0 1]
19980618,1.2,1.2,1.2,1.2,1200000,[0 0]
19980619,1.2,1.2,1.17,1.17,5376000,[0 0]
19980622,1.16,1.17,1.16,1.16,5570000,[1 0]
19980623,1.15,1.2,1.15,1.2,7902000,[0 1]
19980624,1.2,1.2,1.18,1.18,3560000,[0 0]
19980625,1.15,1.15,1.15,1.15,28750000,[0 0]
19980626,1.15,1.15,1.15,1.15,17365000,[0 0]
19980630,1.18,1.2,1.18,1.18,9456000,[0 0]
19980701,1.2,1.2,1.18,1.18,6496000,[1 0]
19980702,1.18,1.18,1.16,1.16,25379000,[0 0]
19980717,1.1,1.12,1.1,1.12,1884000,[0 0]
19980720,1.1,1.1,1.09,1.09,329000,[0 0]
19980721,1.11,1.12,1.11,1.11,3110000,[0 1]
19980722,1.1,1.1,1.1,1.1,19030000,[1 0]
19980723,1.11,1.11,1.08,1.1,16393000,[1 0]
19980724,1.07,1.09,1.07,1.09,11221000,[0 0]
19980727,1.07,1.07,1.07,1.07,107000,[0 0]
19980729,1.07,1.07,1.07,1.07,1070000,[0 1]
19980730,1.04,1.08,1.04,1.08,16304000,[0 0]
19980731,1.07,1.08,1.06,1.06,20583000,[0 1]
19980803,1.0,1.05,1.0,1.05,1150000,[0 0]
19980804,1.0,1.02,0.98,1.02,1294000,[0 1]
19980805,1.0,1.0,0.99,0.99,1099000,[1 0]
19980806,0.99,0.99,0.98,0.98,6878000,[1 0]
19980807,0.94,0.94,0.92,0.92,11644000,[0 1]
19980810,0.9,0.9,0.89,0.9,1250000,[1 0]
19980811,0.86,0.86,0.85,0.85,10640000,[1 1]
19980812,0.85,0.85,0.85,0.85,12750000,[0 0]
19980813,0.84,0.85,0.83,0.85,17345000,[1 0]
19980814,0.82,0.82,0.82,0.82,5986000,[0 0]
19980817,0.79,0.79,0.79,0.79,158000,[0 0]
19980818,0.79,0.79,0.79,0.79,1264000,[1 1]
19980819,0.79,0.79,0.77,0.77,11029000,[0 0]
19980820,0.78,0.78,0.77,0.77,3977000,[0 0]
19980821,0.7,0.75,0.7,0.75,10515000,[0 1]
19980824,0.7,0.73,0.7,0.73,10506000,[1 0]
19980825,0.7,0.72,0.7,0.72,12256000,[0 1]
19980826,0.72,0.72,0.72,0.72,48240000,[0 1]
19980827,0.69,0.69,0.68,0.69,26693000,[1 1]
19980828,0.68,0.7,0.68,0.7,413000,[1 1]
19980831,0.7,0.72,0.68,0.68,32952000,[0 1]
19980901,0.66,0.7,0.66,0.7,10466000,[0 1]
19980902,0.7,0.7,0.69,0.7,50640000,[0 0]
19980903,0.68,0.69,0.68,0.68,4499000,[0 1]
19980908,0.68,0.69,0.65,0.69,4774000,[0 0]
19980909,0.69,0.7,0.67,0.7,8334000,[1 0]
19980910,0.66,0.66,0.63,0.65,11999000,[0 1]
19980911,0.63,0.7,0.63,0.7,22641000,[1 0]
19980914,0.7,0.7,0.7,0.7,2240000,[1 1]
19980915,0.7,0.75,0.7,0.75,9837000,[1 0]
19980916,0.75,0.75,0.72,0.73,11644000,[1 0]
19980917,0.7,0.7,0.7,0.7,3500000,[0 0]
19980918,0.7,0.7,0.7,0.7,6930000,[0 1]
19980922,0.66,0.7,0.66,0.7,6436000,[0 1]
19980923,0.73,0.75,0.7,0.75,6120000,[0 0]
19980925,0.7,0.7,0.7,0.7,560000,[1 0]
19980929,0.67,0.67,0.67,0.67,335000,[1 0]
19980930,0.7,0.7,0.7,0.7,140000,[0 0]
19981001,0.7,0.7,0.7,0.7,140000,[1 1]
19981007,0.69,0.69,0.69,0.69,276000,[1 0]
19981008,0.65,0.65,0.65,0.65,6500000,[0 0]
19981009,0.65,0.65,0.6,0.63,6574000,[1 1]
19981013,0.6,0.6,0.58,0.6,10910000,[0 1]
19981014,0.57,0.57,0.57,0.57,2907000,[0 1]
19981015,0.53,0.55,0.53,0.55,14420000,[1 1]
19981016,0.53,0.53,0.52,0.52,13880000,[1 1]
19981019,0.55,0.55,0.55,0.55,275000,[1 0]
19981020,0.53,0.53,0.5,0.5,8999000,[0 1]
19981021,0.5,0.5,0.49,0.49,40820000,[0 1]
19981022,0.48,0.48,0.47,0.48,29297000,[1 1]
19981023,0.47,0.49,0.46,0.47,6535000,[0 0]
19981026,0.47,0.47,0.44,0.45,2083000,[0 0]
19981027,0.5,0.5,0.42,0.43,14787000,[1 0]
19981028,0.41,0.42,0.41,0.42,8852000,[0 1]
19981029,0.4,0.4,0.4,0.4,4080000,[1 0]
19981030,0.4,0.42,0.4,0.42,22978000,[1 1]
19981103,0.46,0.5,0.45,0.46,34784000,[1 0]
19981104,0.46,0.47,0.45,0.46,20117000,[1 1]
19981105,0.45,0.47,0.45,0.47,25997000,[1 1]
19981106,0.47,0.47,0.45,0.47,14200000,[0 1]
19981109,0.47,0.47,0.45,0.45,5244000,[0 0]
19981110,0.44,0.44,0.43,0.44,10609000,[0 0]
19981111,0.45,0.46,0.44,0.44,3673000,[0 0]
19981112,0.43,0.43,0.42,0.42,7999000,[0 1]
19981113,0.42,0.43,0.42,0.42,12555000,[1 1]
19981116,0.42,0.43,0.42,0.43,4070000,[1 0]
19981117,0.43,0.43,0.42,0.43,5018000,[0 0]
19981118,0.41,0.43,0.41,0.43,5242000,[0 0]
19981119,0.44,0.45,0.43,0.43,5166000,[1 0]
19981120,0.45,0.48,0.45,0.45,2362000,[1 0]
19981123,0.46,0.47,0.45,0.45,14992000,[0 0]
19981124,0.45,0.46,0.45,0.45,15635000,[0 1]
19981125,0.46,0.47,0.44,0.44,24378000,[1 1]
19981126,0.45,0.46,0.45,0.46,586000,[0 1]
19981127,0.46,0.47,0.46,0.47,25627000,[0 0]
19981130,0.45,0.47,0.45,0.46,14732000,[0 1]
19981201,0.46,0.47,0.46,0.47,9446000,[1 1]
19981202,0.47,0.47,0.45,0.47,10005000,[1 0]
19981203,0.44,0.45,0.44,0.45,2470000,[0 0]
19981204,0.46,0.46,0.46,0.46,4462000,[0 1]
19981207,0.46,0.47,0.45,0.47,9855000,[1 0]
19981208,0.46,0.47,0.46,0.47,19260000,[1 0]
19981209,0.47,0.48,0.46,0.48,31694000,[0 1]
19981210,0.5,0.53,0.5,0.51,10424000,[1 0]
19981211,0.49,0.49,0.47,0.49,4210000,[1 0]
19981214,0.45,0.46,0.43,0.46,2820000,[0 1]
19981215,0.45,0.48,0.45,0.48,786000,[0 0]
19981216,0.48,0.48,0.48,0.48,960000,[1 0]
19981217,0.48,0.48,0.48,0.48,4560000,[0 0]
19981222,0.48,0.49,0.48,0.48,21890000,[1 1]
19981223,0.48,0.48,0.48,0.48,1248000,[0 1]
19981228,0.48,0.48,0.48,0.48,768000,[1 1]
19981229,0.5,0.51,0.49,0.51,404000,[0 0]
19981230,0.5,0.55,0.5,0.55,2249000,[1 0]
19990105,0.52,0.52,0.52,0.52,260000,[1 1]
19990108,0.52,0.52,0.52,0.52,52000,[1 1]
19990111,0.48,0.48,0.48,0.48,480000,[1 0]
19990113,0.44,0.45,0.42,0.45,2650000,[1 0]
19990114,0.44,0.45,0.44,0.45,4519000,[1 1]
19990115,0.47,0.54,0.47,0.54,2528000,[0 1]
19990118,0.59,0.6,0.56,0.56,2601000,[1 1]
19990119,0.55,0.55,0.55,0.55,330000,[1 0]
19990120,0.55,0.55,0.55,0.55,55000,[0 1]
19990121,0.56,0.58,0.56,0.56,7500000,[1 0]
19990122,0.55,0.56,0.55,0.56,334000,[0 1]
19990126,0.57,0.61,0.57,0.6,11870000,[1 1]
19990127,0.62,0.72,0.62,0.7,12221000,[0 1]
19990128,0.71,0.9,0.71,0.84,16676000,[1 1]
19990129,0.9,0.9,0.85,0.85,4578000,[0 1]
19990201,0.85,0.91,0.85,0.89,11314000,[0 0]
19990202,0.9,0.91,0.78,0.78,7602000,[1 0]
19990203,0.78,0.83,0.78,0.82,3130000,[1 0]
19990204,0.76,0.76,0.76,0.76,76000,[0 1]
19990208,0.79,0.79,0.79,0.79,474000,[0 0]
19990209,0.77,0.77,0.77,0.77,77000,[0 1]
19990210,0.77,0.77,0.77,0.77,2310000,[1 0]
19990211,0.77,0.77,0.75,0.75,1654000,[0 1]
19990212,0.8,0.8,0.79,0.8,1279000,[0 1]
19990222,0.8,0.8,0.8,0.8,2400000,[0 0]
19990223,0.79,0.79,0.79,0.79,2449000,[0 0]
19990224,0.8,0.8,0.8,0.8,240000,[0 1]
19990225,0.8,0.8,0.79,0.8,2224000,[0 1]
19990226,0.79,0.79,0.79,0.79,316000,[0 1]
19990302,0.79,0.81,0.79,0.81,2891000,[1 1]
19990303,0.82,0.84,0.82,0.83,2825000,[0 0]
19990304,0.85,0.85,0.81,0.83,991000,[0 0]
19990309,0.85,0.85,0.85,0.85,850000,[0 0]
19990310,0.85,0.86,0.82,0.86,1617000,[0 1]
19990311,0.88,0.99,0.88,0.99,2377000,[1 1]
19990315,0.97,0.98,0.94,0.98,5238000,[1 0]
19990316,0.99,1.06,0.99,1.05,6190000,[0 0]
19990317,1.02,1.05,1.02,1.05,522000,[0 0]
19990318,1.01,1.03,1.01,1.03,4585000,[1 1]
19990319,1.0,1.03,0.98,0.98,7397000,[1 1]
19990324,1.05,1.05,0.91,0.95,1985000,[0 1]
19990325,0.99,1.0,0.97,0.97,3696000,[1 0]
19990329,0.94,0.94,0.94,0.94,94000,[1 0]
19990330,0.98,0.98,0.96,0.96,5342000,[0 1]
19990331,0.94,0.94,0.94,0.94,7802000,[0 1]
19990405,0.9,0.94,0.9,0.94,1217000,[0 1]
19990406,0.94,0.98,0.94,0.98,7357000,[0 1]
19990407,0.99,1.0,0.95,0.95,2544000,[0 0]
19990408,0.96,0.97,0.96,0.96,1057000,[1 1]
19990409,0.95,0.95,0.95,0.95,190000,[0 1]
19990412,0.95,0.95,0.95,0.95,95000,[1 1]
19990413,0.92,0.92,0.9,0.9,1002000,[1 0]
19990415,0.9,0.97,0.9,0.97,1531000,[0 1]
19990416,1.0,1.04,1.0,1.04,25299000,[1 1]
19990419,1.04,1.29,1.04,1.18,66046000,[0 1]
19990420,1.11,1.19,1.09,1.18,18608000,[1 0]
19990422,1.19,1.29,1.13,1.15,24982000,[0 1]
19990423,1.13,1.13,1.03,1.12,5598000,[1 1]
19990426,1.19,1.19,1.05,1.14,11858000,[0 1]
19990427,1.18,1.18,1.15,1.15,1268000,[1 0]
19990428,1.12,1.12,1.11,1.11,2008000,[1 1]
19990429,1.15,1.18,1.11,1.18,9677000,[1 0]
19990430,1.15,1.18,1.14,1.17,14642000,[1 1]
19990503,1.17,1.23,1.17,1.19,16953000,[0 0]
19990504,1.2,1.2,1.18,1.2,2976000,[1 1]
19990505,1.18,1.21,1.18,1.21,13834000,[1 1]
19990506,1.25,1.25,1.24,1.25,9489000,[0 0]
19990507,1.26,1.29,1.25,1.29,4389000,[0 0]
19990510,1.28,1.3,1.28,1.3,3333000,[0 0]
19990511,1.29,1.3,1.25,1.29,4243000,[1 1]
19990512,1.28,1.28,1.26,1.26,1660000,[0 0]
19990513,1.27,1.28,1.27,1.27,6098000,[1 1]
19990514,1.2,1.2,1.2,1.2,1320000,[0 0]
19990517,1.23,1.27,1.23,1.23,3950000,[0 1]
19990518,1.25,1.35,1.25,1.34,19039000,[1 1]
19990519,1.35,1.7,1.35,1.62,29864000,[0 0]
19990520,1.65,1.65,1.56,1.56,12367000,[0 0]
19990521,1.51,1.51,1.45,1.45,2069000,[0 1]
19990524,1.48,1.48,1.39,1.39,4760000,[0 1]
19990525,1.24,1.4,1.24,1.29,9210000,[0 0]
19990526,1.35,1.4,1.3,1.4,2037000,[0 0]
19990527,1.4,1.4,1.33,1.33,413000,[1 1]
19990528,1.31,1.31,1.3,1.3,2735000,[0 0]
19990531,1.34,1.34,1.32,1.32,1467000,[0 1]
19990601,1.34,1.45,1.32,1.45,12279000,[0 1]
19990602,1.41,1.41,1.37,1.37,2229000,[0 0]
19990604,1.39,1.39,1.39,1.39,278000,[1 0]
19990607,1.43,1.43,1.42,1.42,2132000,[0 1]
19990608,1.43,1.5,1.42,1.48,7228000,[0 0]
19990610,1.45,1.45,1.4,1.4,285000,[0 0]
19990611,1.41,1.44,1.41,1.42,2422000,[0 0]
19990614,1.45,1.48,1.45,1.48,1605000,[1 1]
19990615,1.48,1.52,1.48,1.5,6612000,[0 0]
19990616,1.52,1.65,1.5,1.56,5945000,[0 0]
19990617,1.46,1.51,1.46,1.48,1934000,[0 0]
19990618,1.5,1.55,1.5,1.55,2259000,[0 0]
19990621,1.55,1.55,1.53,1.55,2631000,[1 1]
19990622,1.57,1.57,1.54,1.54,3085000,[1 0]
19990623,1.53,1.53,1.53,1.53,1530000,[0 1]
19990625,1.46,1.46,1.45,1.45,3047000,[0 1]
19990628,1.46,1.46,1.45,1.45,22190000,[1 1]
19990629,1.45,1.45,1.43,1.43,19646000,[0 1]
19990630,1.38,1.38,1.38,1.38,276000,[0 0]
19990701,1.43,1.43,1.42,1.42,428000,[0 0]
19990702,1.54,1.74,1.53,1.74,11245000,[1 0]
19990705,1.78,1.99,1.78,1.98,22799000,[0 0]
19990706,2.0,2.05,1.95,2.03,57478000,[0 0]
19990707,2.0,2.18,1.95,1.97,19017000,[0 0]
19990708,1.97,1.98,1.9,1.9,7691000,[1 1]
19990712,1.8,1.8,1.8,1.8,720000,[0 1]
19990713,1.75,1.75,1.75,1.75,3500000,[1 0]
19990714,1.75,1.76,1.71,1.72,11273000,[0 0]
19990715,1.73,1.74,1.73,1.74,1390000,[0 0]
19990716,1.72,1.75,1.72,1.73,7287000,[0 1]
19990719,1.8,1.85,1.8,1.82,5767000,[1 0]
19990720,1.81,1.81,1.75,1.75,3704000,[0 1]
19990721,1.74,1.74,1.74,1.74,696000,[0 1]
19990722,1.74,1.74,1.73,1.73,5193000,[1 0]
19990723,1.75,1.75,1.6,1.6,5658000,[1 0]
19990726,1.7,1.7,1.65,1.65,5490000,[0 0]
19990727,1.7,1.7,1.7,1.7,850000,[0 0]
19990728,1.77,1.77,1.77,1.77,177000,[1 1]
19990729,1.7,1.7,1.64,1.65,7429000,[1 0]
19990730,1.69,1.69,1.67,1.67,66745000,[0 1]
19990802,1.67,1.7,1.61,1.61,7307000,[0 1]
19990804,1.6,1.6,1.6,1.6,2880000,[0 1]
19990806,1.6,1.6,1.6,1.6,6880000,[0 0]
19990809,1.61,1.63,1.6,1.63,4016000,[1 1]
19990810,1.64,1.64,1.64,1.64,2296000,[0 1]
19990811,1.64,1.75,1.64,1.75,6921000,[0 0]
19990812,1.78,1.78,1.78,1.78,178000,[0 1]
19990813,1.64,1.78,1.64,1.78,342000,[1 1]
19990816,1.8,1.8,1.78,1.78,1612000,[0 1]
19990817,1.76,1.76,1.75,1.75,4204000,[0 0]
19990818,1.7,1.7,1.7,1.7,4420000,[0 1]
19990819,1.7,1.72,1.7,1.72,3420000,[0 0]
19990820,1.8,1.9,1.8,1.9,2710000,[1 1]
19990823,1.85,1.85,1.75,1.75,1100000,[0 0]
19990824,1.89,1.89,1.89,1.89,189000,[0 1]
19990825,1.9,1.9,1.85,1.85,1115000,[0 0]
19990826,1.91,1.91,1.78,1.84,9275000,[1 1]
19990827,1.84,2.0,1.84,1.95,9793000,[0 0]
19990830,2.0,2.05,1.95,1.96,6595000,[0 0]
19990831,1.94,1.98,1.91,1.96,27615000,[1 0]
19990901,2.01,2.16,2.01,2.15,17289000,[0 0]
19990902,2.14,2.15,2.14,2.15,9645000,[1 0]
19990903,2.18,2.2,2.1,2.1,8974000,[0 0]
19990906,2.15,2.15,2.15,2.15,1290000,[0 1]
19990908,2.15,2.15,2.1,2.1,18760000,[1 0]
19990909,2.1,2.15,2.1,2.1,4842000,[0 0]
19990910,2.14,2.14,2.12,2.12,2127000,[0 0]
19990913,2.1,2.1,2.05,2.05,3528000,[0 1]
19990914,2.05,2.05,2.05,2.05,205000,[0 0]
19990915,2.07,2.07,2.01,2.01,2055000,[1 0]
19990916,2.05,2.05,2.02,2.02,20642000,[1 0]
19990917,2.08,2.08,2.08,2.08,416000,[0 0]
19990921,2.05,2.06,2.05,2.05,22143000,[0 0]
19990922,2.05,2.25,2.05,2.25,72226000,[1 1]
19990923,2.3,2.7,2.3,2.55,31171000,[1 0]
19990924,2.69,2.7,2.59,2.65,20344000,[0 1]
19990927,2.8,2.8,2.54,2.61,35795000,[0 1]
19990928,2.55,2.55,2.4,2.5,22995000,[0 0]
19990929,2.45,2.59,2.45,2.59,2004000,[1 1]
19990930,2.46,2.5,2.4,2.4,249436000,[1 1]
19991001,2.45,2.55,2.45,2.55,7229000,[0 0]
19991004,2.59,2.6,2.55,2.6,774000,[0 1]
19991005,2.6,2.7,2.6,2.7,51493000,[0 1]
19991006,2.75,3.0,2.7,3.0,45120000,[0 0]
19991007,3.3,3.3,2.96,3.15,23864000,[1 1]
19991008,3.1,3.15,3.1,3.15,12514000,[0 0]
19991011,3.2,3.25,3.15,3.25,41191000,[1 0]
19991013,3.25,3.26,3.18,3.25,4536000,[0 0]
19991014,3.2,3.35,3.2,3.34,19539000,[0 0]
19991015,3.26,3.5,3.18,3.5,53379000,[1 1]
19991018,3.48,3.55,3.4,3.4,40067000,[0 1]
19991019,3.5,3.5,3.37,3.45,21958000,[1 0]
19991020,3.49,3.6,3.48,3.6,11239000,[0 0]
19991021,3.6,3.69,3.5,3.69,13969000,[0 1]
19991022,3.9,3.9,3.67,3.9,30636000,[1 1]
19991025,4.0,4.0,3.82,3.88,34495000,[1 0]
19991026,3.7,3.84,3.7,3.74,61322000,[0 1]
19991027,3.84,3.85,3.78,3.78,20562000,[1 0]
19991028,3.76,3.8,3.76,3.8,18918000,[1 0]
19991029,3.84,3.9,3.8,3.8,49982000,[0 0]
19991101,3.8,3.8,3.73,3.75,22095000,[0 0]
19991103,3.75,3.9,3.75,3.82,44663000,[0 0]
19991104,3.9,3.9,3.87,3.88,23685000,[1 1]
19991105,3.94,4.0,3.94,3.99,12758000,[0 1]
19991108,3.88,3.92,3.88,3.89,4667000,[0 0]
19991109,3.87,3.9,3.87,3.9,12079000,[0 0]
19991110,3.89,3.95,3.85,3.95,8964000,[0 1]
19991111,3.9,4.35,3.9,4.28,44222000,[0 0]
19991112,4.3,4.3,4.1,4.1,56081000,[0 0]
19991116,4.09,4.5,3.9,4.5,18304000,[0 0]
19991117,4.4,4.45,4.22,4.45,34890000,[0 0]
19991118,4.48,4.5,4.4,4.45,30909000,[0 0]
19991119,4.5,4.7,4.4,4.7,87536000,[1 1]
19991122,4.5,4.55,4.4,4.4,4926000,[0 1]
19991123,4.4,4.55,4.2,4.55,32238000,[0 1]
19991124,4.6,4.6,4.45,4.5,9945000,[1 0]
19991125,4.49,4.5,4.36,4.5,8033000,[0 0]
19991126,4.64,4.8,4.5,4.8,32808000,[0 1]
19991129,4.7,4.7,4.5,4.6,53960000,[1 0]
19991130,4.5,4.6,4.25,4.6,22785000,[1 1]
19991202,4.6,4.6,4.55,4.55,5055000,[1 1]
19991203,4.55,4.6,4.55,4.6,60829000,[0 1]
19991206,4.6,4.65,4.55,4.65,19760000,[1 0]
19991207,4.6,4.6,4.55,4.6,23890000,[0 0]
19991208,4.6,4.6,4.6,4.6,56120000,[1 1]
19991209,4.7,5.0,4.7,5.0,12105000,[0 0]
19991210,5.0,5.0,4.95,4.98,9468000,[1 1]
19991213,5.0,5.0,5.0,5.0,3000000,[0 1]
19991214,4.9,4.94,4.8,4.94,13014000,[0 0]
19991215,4.99,5.0,4.91,4.91,26770000,[0 1]
19991216,4.85,4.85,4.7,4.8,9127000,[1 0]
19991217,4.65,4.78,4.65,4.75,144341000,[1 0]
19991220,4.65,4.65,4.6,4.65,10200000,[0 1]
19991221,4.64,4.7,4.64,4.7,5139000,[1 1]
19991222,4.7,4.75,4.5,4.7,10680000,[0 0]
19991223,4.6,4.9,4.6,4.9,15064000,[1 1]
19991227,4.9,4.9,4.89,4.9,10285000,[0 0]
19991228,4.9,4.95,4.9,4.95,11360000,[0 0]
19991229,5.1,5.25,5.0,5.25,20133000,[1 0]
19991230,5.29,5.5,5.29,5.5,3213000,[1 0]
20000412,3.6,3.61,3.55,3.6,22956000,[0 1]
20000413,3.6,3.61,3.6,3.6,9361000,[0 0]
20000414,3.6,3.6,3.3,3.5,5292000,[1 0]
20000418,3.5,3.55,3.5,3.5,3170000,[1 1]
20000419,3.4,3.4,3.3,3.3,10730000,[0 1]
20000420,3.1,3.3,3.09,3.3,222845000,[1 0]
20000425,3.2,3.2,3.2,3.2,3200000,[0 1]
20000426,3.25,3.25,3.15,3.24,20408000,[0 1]
20000427,3.34,3.5,3.34,3.5,10914000,[0 0]
20000512,3.95,3.95,3.82,3.82,23431000,[0 1]
20000515,3.95,3.95,3.79,3.9,257243000,[1 0]
20000516,3.9,4.0,3.84,3.87,4285000,[1 1]
20000517,3.8,3.87,3.8,3.8,57058000,[1 1]
20000518,3.8,3.81,3.8,3.8,30835000,[0 0]
20000522,3.7,3.7,3.65,3.65,12925000,[0 0]
20000523,3.7,3.7,3.6,3.6,9055000,[1 0]
20000525,3.6,3.65,3.6,3.65,29238000,[1 1]
20000526,3.6,3.7,3.6,3.7,6130000,[0 0]
20000529,3.85,3.85,3.7,3.83,16078000,[0 0]
20000530,3.85,3.9,3.82,3.9,1927000,[0 1]
20000531,3.89,3.9,3.85,3.85,1934000,[0 1]
20000601,3.85,3.96,3.85,3.96,20712000,[0 0]
20000602,4.0,4.04,3.98,4.04,84004000,[1 0]
20000605,3.99,4.0,3.99,4.0,799000,[1 1]
20000607,3.99,4.11,3.94,4.11,43069000,[0 0]
20000609,3.99,3.99,3.86,3.86,4658000,[0 1]
20000612,3.9,3.9,3.86,3.86,19380000,[0 1]
20000613,3.86,4.4,3.86,4.4,103514000,[0 0]
20000614,4.35,4.35,4.2,4.25,197937000,[1 0]
20000615,4.3,4.4,4.25,4.35,40627000,[1 1]
20000616,4.35,4.35,4.25,4.3,94760000,[0 0]
20000619,4.3,4.36,4.3,4.36,1302000,[0 1]
20000620,4.4,4.4,4.3,4.3,5190000,[0 1]
20000621,4.4,4.4,4.29,4.35,83920000,[0 0]
20000623,4.3,4.35,4.3,4.35,155270000,[0 1]
20000626,4.3,4.3,4.25,4.3,4694000,[0 1]
20000627,4.3,4.35,4.3,4.34,32366000,[0 1]
20000628,4.4,4.45,4.4,4.45,144014000,[0 0]
20000629,4.49,4.49,4.4,4.45,249550000,[0 0]
20000630,4.43,4.5,4.43,4.5,155102000,[0 0]
20000703,4.5,4.6,4.5,4.6,79503000,[0 1]
20000704,4.65,4.75,4.65,4.7,31448000,[1 0]
20000705,4.7,4.75,4.7,4.75,69240000,[0 0]
20000706,4.8,4.8,4.75,4.75,52339000,[0 0]
20000707,4.7,4.8,4.7,4.75,17620000,[1 0]
20000710,5.0,5.0,4.89,4.9,1969000,[0 0]
20000711,4.97,4.97,4.97,4.97,1491000,[0 0]
20000712,5.0,5.0,5.0,5.0,10000000,[1 0]
20000713,5.0,5.0,4.81,4.81,29427000,[0 0]
20000714,4.85,4.97,4.85,4.97,3945000,[0 0]
20000717,5.1,5.1,5.0,5.0,41026000,[1 1]
20000718,5.0,5.0,5.0,5.0,15000000,[1 0]
20000719,4.96,4.96,4.95,4.95,11884000,[0 1]
20000720,5.0,5.09,5.0,5.0,51216000,[1 0]
20000721,5.0,5.04,5.0,5.04,48044000,[0 0]
20000724,5.04,5.39,5.04,5.23,116771000,[0 1]
20000725,5.3,5.35,5.2,5.2,262341000,[0 1]
